Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(369)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  137, 1, 3, 492452, 14505.53, 0, 0.00, 1: 73; 2: 26; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 192,  5, 13,  145, 1, 4, 505067, 14505.53, 112, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 799, 10,  6,  145, 1, 4, 473611, 14505.53, 0, 0.00, 1: 71; 2: 23; 3: 8; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 767,  5, 11,  145, 1, 4, 435105, 14505.53, 0, 0.00, 1: 72; 2: 23; 3: 5; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 366, 10,  6,  145, 1, 4, 473648, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 105, 10,  6,  145, 1, 4, 473539, 14505.53, 65, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 797,  5, 13,  145, 1, 4, 504136, 14505.53, 85, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 160,  7,  8,  145, 1, 4, 443520, 14505.53, 6, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 162,  5, 13,  145, 1, 4, 503734, 14505.53, 0, 0.00, 1: 71; 2: 25; 3: 4; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 176,  5, 12,  145, 1, 4, 472944, 14505.53, 255, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 566, 10,  6,  145, 1, 4, 473650, 14505.53, 0, 0.00, 1: 65; 2: 35; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 788,  5, 12,  145, 1, 4, 473520, 14505.53, 225, 0.00, 1: 68; 2: 30; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 785,  7,  8,  145, 1, 4, 443520, 14505.53, 13, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 342, 10,  6,  145, 1, 4, 472840, 14505.53, 0, 0.00, 1: 68; 2: 30; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 166, 10,  6,  145, 1, 4, 473279, 14505.53, 0, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 775, 10,  6,  145, 1, 4, 473395, 14505.53, 0, 0.00, 1: 68; 2: 30; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 559,  5, 13,  145, 1, 4, 504549, 14505.53, 0, 0.00, 1: 68; 2: 30; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 563,  7,  8,  145, 1, 4, 443520, 14505.53, 0, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 938,  5, 12,  145, 1, 4, 473343, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 487,  5, 12,  145, 1, 4, 473471, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  145, 1, 4, 492364, 14505.53, 18, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 837,  6, 10,  145, 1, 4, 473306, 14505.53, 85, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 226,  5, 12,  145, 1, 4, 473578, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  59,  5, 13,  145, 1, 4, 504431, 14505.53, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 706, 10,  6,  145, 1, 4, 473191, 14505.53, 80, 0.00, 1: 66; 2: 33; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 613,  6, 10,  145, 1, 4, 473299, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 614,  7,  8,  145, 1, 4, 443520, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  49,  5, 12,  145, 1, 4, 473467, 14505.53, 0, 0.00, 1: 68; 2: 30; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network,  60,  7,  9,  145, 1, 4, 492399, 14505.53, 225, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 949,  6, 10,  145, 1, 4, 473527, 14505.53, 0, 0.00, 1: 70; 2: 26; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 952,  6, 10,  145, 1, 4, 473436, 14505.53, 0, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 244,  7,  8,  145, 1, 4, 443520, 14505.53, 13, 0.00, 1: 70; 2: 26; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 970,  5, 12,  145, 1, 4, 473446, 14505.53, 80, 0.00, 1: 69; 2: 28; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 629,  5, 11,  145, 1, 4, 435105, 14505.53, 255, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 443,  5, 12,  145, 1, 4, 473245, 14505.53, 0, 0.00, 1: 70; 2: 27; 3: 3; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 664,  5, 12,  145, 1, 4, 473248, 14505.53, 104, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 988,  7,  8,  145, 1, 4, 443520, 14505.53, 225, 0.00, 1: 65; 2: 35; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 277,  7,  9,  145, 1, 4, 493021, 14505.53, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 504,  7,  8,  145, 1, 4, 443520, 14505.53, 0, 0.00, 1: 68; 2: 30; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 103,  5, 13,  145, 1, 4, 504733, 14505.53, 0, 0.00, 1: 70; 2: 26; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 214,  7,  8,  145, 1, 4, 443520, 14505.53, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 719,  7,  9,  145, 1, 4, 492916, 14505.53, 0, 0.00, 1: 66; 2: 33; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  90,  8,  7,  145, 1, 4, 443520, 14505.53, 80, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 717,  5, 11,  145, 1, 4, 435105, 14505.53, 85, 0.00, 1: 68; 2: 30; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 218,  5, 11,  145, 1, 4, 435105, 14505.53, 80, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 595,  5, 12,  145, 1, 4, 473542, 14505.53, 111, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 845,  5, 12,  145, 1, 4, 473393, 14505.53, 85, 0.00, 1: 69; 2: 29; 3: 2; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 237,  5, 11,  146, 1, 4, 435105, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 633,  5, 11,  146, 1, 4, 435105, 14505.53, 0, 0.00, 1: 65; 2: 34; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 597,  8,  7,  146, 1, 4, 443520, 14505.53, 85, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 288,  5, 12,  146, 1, 4, 473396, 14505.53, 11, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 683,  5, 13,  146, 1, 4, 504448, 14505.53, 70, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 247,  6, 10,  146, 1, 4, 473345, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 296,  5, 12,  146, 1, 4, 473151, 14505.53, 32, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 592,  5, 12,  146, 1, 4, 473640, 14505.53, 208, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 325,  7,  9,  146, 1, 4, 492745, 14505.53, 85, 0.00, 1: 70; 2: 25; 3: 6; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 210,  5, 12,  146, 1, 4, 473479, 14505.53, 124, 0.00, 1: 67; 2: 31; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 576,  8,  7,  146, 1, 4, 443520, 14505.53, 176, 0.00, 1: 64; 2: 36; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 229,  7,  8,  146, 1, 4, 443520, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 582,  5, 13,  146, 1, 4, 503933, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 615,  5, 12,  146, 1, 4, 473311, 14505.53, 0, 0.00, 1: 70; 2: 24; 3: 8; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 329,  7,  9,  146, 1, 4, 492992, 14505.53, 165, 0.00, 1: 70; 2: 25; 3: 6; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 759,  5, 13,  146, 1, 4, 503949, 14505.53, 0, 0.00, 1: 69; 2: 26; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 305,  5, 12,  146, 1, 4, 472609, 14505.53, 115, 0.00, 1: 66; 2: 33; 3: 2; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 762,  6, 10,  146, 1, 4, 473597, 14505.53, 0, 0.00, 1: 69; 2: 26; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 182,  6, 10,  146, 1, 4, 473300, 14505.53, 255, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 383,  5, 11,  146, 1, 4, 435105, 14505.53, 0, 0.00, 1: 68; 2: 29; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network,  53,  8,  7,  146, 1, 4, 443520, 14505.53, 0, 0.00, 1: 71; 2: 23; 3: 7; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 517,  7,  8,  146, 1, 4, 443520, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 950,  5, 11,  146, 1, 4, 435105, 14505.53, 0, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 516,  8,  7,  146, 1, 4, 443520, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 403,  8,  7,  146, 1, 4, 443520, 14505.53, 111, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 840, 10,  6,  146, 1, 4, 473433, 14505.53, 48, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  16, 10,  6,  146, 1, 4, 473800, 14505.53, 176, 0.00, 1: 68; 2: 29; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 968,  5, 13,  146, 1, 4, 504457, 14505.53, 192, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 453,  5, 12,  146, 1, 4, 473261, 14505.53, 85, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 919,  5, 12,  146, 1, 4, 473376, 14505.53, 0, 0.00, 1: 65; 2: 34; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 836,  7,  8,  146, 1, 4, 443520, 14505.53, 225, 0.00, 1: 65; 2: 34; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 869,  5, 13,  146, 1, 4, 504497, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 100,  5, 11,  146, 1, 4, 435105, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  30,  7,  8,  146, 1, 4, 443520, 14505.53, 0, 0.00, 1: 69; 2: 26; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 960, 10,  6,  146, 1, 4, 473303, 14505.53, 176, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 913,  6, 10,  146, 1, 4, 473536, 14505.53, 85, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 391,  5, 13,  146, 1, 4, 504994, 14505.53, 0, 0.00, 1: 65; 2: 34; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  85,  5, 13,  146, 1, 4, 505002, 14505.53, 85, 0.00, 1: 71; 2: 22; 3: 9; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 909,  7,  8,  146, 1, 4, 443520, 14505.53, 85, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 912,  5, 13,  146, 1, 4, 504698, 14505.53, 128, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 536,  5, 13,  146, 1, 4, 505205, 14505.53, 232, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 345,  6, 10,  146, 1, 4, 473267, 14505.53, 93, 0.00, 1: 66; 2: 33; 3: 2; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 352,  7,  8,  146, 1, 4, 443520, 14505.53, 6, 0.00, 1: 69; 2: 26; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 558,  8,  7,  146, 1, 4, 443520, 14505.53, 32, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,   2,  5, 13,  146, 1, 4, 504240, 14505.53, 188, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 793,  7,  8,  146, 1, 4, 443520, 14505.53, 94, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 361,  7,  8,  146, 1, 4, 443520, 14505.53, 66, 0.00, 1: 66; 2: 33; 3: 2; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 802,  8,  7,  146, 1, 4, 443520, 14505.53, 0, 0.00, 1: 69; 2: 26; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 367,  6, 10,  146, 1, 4, 473548, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 370,  5, 13,  146, 1, 4, 505215, 14505.53, 0, 0.00, 1: 64; 2: 36; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 981,  7,  8,  146, 1, 4, 443520, 14505.53, 85, 0.00, 1: 70; 2: 24; 3: 8; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 157,  6, 10,  146, 1, 4, 473490, 14505.53, 85, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,   9,  5, 13,  146, 1, 4, 504703, 14505.53, 66, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 466,  5, 11,  146, 1, 4, 435105, 14505.53, 79, 0.00, 1: 68; 2: 29; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 814,  6, 10,  146, 1, 4, 472957, 14505.53, 0, 0.00, 1: 69; 2: 26; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  10,  5, 11,  146, 1, 4, 435105, 14505.53, 188, 0.00, 1: 68; 2: 29; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 470,  8,  7,  146, 1, 4, 443520, 14505.53, 0, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 139,  7,  8,  146, 1, 4, 443520, 14505.53, 111, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 134,  5, 11,  146, 1, 4, 435105, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  51,  5, 11,  146, 1, 4, 435105, 14505.53, 0, 0.00, 1: 69; 2: 27; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network,  37,  8,  7,  147, 1, 4, 443520, 14505.53, 0, 0.00, 1: 69; 2: 27; 3: 4; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 439,  5, 13,  147, 1, 4, 504703, 14505.53, 0, 0.00, 1: 71; 2: 23; 3: 6; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 232,  8,  7,  147, 1, 4, 443520, 14505.53, 32, 0.00, 1: 65; 2: 33; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  32,  5, 11,  147, 1, 4, 435105, 14505.53, 5, 0.00, 1: 69; 2: 25; 3: 8; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 246,  8,  7,  147, 1, 4, 443520, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  27,  5, 11,  147, 1, 4, 435105, 14505.53, 112, 0.00, 1: 66; 2: 31; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 674,  5, 11,  147, 1, 4, 435105, 14505.53, 0, 0.00, 1: 64; 2: 35; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 256,  6, 10,  147, 1, 4, 473385, 14505.53, 0, 0.00, 1: 68; 2: 27; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 973,  7,  8,  147, 1, 4, 443520, 14505.53, 85, 0.00, 1: 66; 2: 31; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 670,  5, 13,  147, 1, 4, 503806, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 668,  5, 12,  147, 1, 4, 473702, 14505.53, 225, 0.00, 1: 68; 2: 27; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 666,  5, 13,  147, 1, 4, 505615, 14505.53, 80, 0.00, 1: 67; 2: 30; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 993, 10,  6,  147, 1, 4, 473300, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 198,  5, 11,  147, 1, 4, 435105, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 175,  8,  7,  147, 1, 4, 443520, 14505.53, 0, 0.00, 1: 68; 2: 28; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 790,  5, 13,  147, 1, 4, 504663, 14505.53, 0, 0.00, 1: 64; 2: 35; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 763,  5, 13,  147, 1, 4, 505189, 14505.53, 0, 0.00, 1: 66; 2: 31; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 155,  5, 13,  147, 1, 4, 504486, 14505.53, 112, 0.00, 1: 68; 2: 27; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 807, 10,  6,  147, 1, 4, 473152, 14505.53, 0, 0.00, 1: 63; 2: 37; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 145,  5, 12,  147, 1, 4, 473657, 14505.53, 196, 0.00, 1: 66; 2: 31; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 142,  5, 11,  147, 1, 4, 435105, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 131,  5, 13,  147, 1, 4, 504580, 14505.53, 111, 0.00, 1: 67; 2: 30; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 127, 10,  6,  147, 1, 4, 473659, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 755,  7,  8,  147, 1, 4, 443520, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 189,  5, 11,  147, 1, 4, 435105, 14505.53, 255, 0.00, 1: 68; 2: 27; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 701, 10,  6,  147, 1, 4, 473640, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 739, 10,  6,  147, 1, 4, 473533, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 121,  7,  8,  147, 1, 4, 443520, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 847, 10,  6,  147, 1, 4, 473376, 14505.53, 0, 0.00, 1: 63; 2: 37; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 111,  5, 11,  147, 1, 4, 435105, 14505.53, 0, 0.00, 1: 69; 2: 28; 3: 2; 4: 4; 
MAPK_Cancer_Cell_Fate_Network, 106,  5, 12,  147, 1, 4, 473682, 14505.53, 80, 0.00, 1: 68; 2: 27; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  99,  8,  7,  147, 1, 4, 443520, 14505.53, 0, 0.00, 1: 64; 2: 35; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 877,  5, 12,  147, 1, 4, 473551, 14505.53, 51, 0.00, 1: 67; 2: 30; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 881,  5, 13,  147, 1, 4, 504887, 14505.53, 0, 0.00, 1: 64; 2: 35; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 917,  6, 10,  147, 1, 4, 473663, 14505.53, 85, 0.00, 1: 64; 2: 35; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 228,  7,  9,  147, 1, 4, 492705, 14505.53, 0, 0.00, 1: 67; 2: 30; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network,  42,  5, 13,  147, 1, 4, 504370, 14505.53, 75, 0.00, 1: 63; 2: 37; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 521,  8,  7,  147, 1, 4, 443520, 14505.53, 0, 0.00, 1: 64; 2: 35; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 446,  5, 12,  147, 1, 4, 473512, 14505.53, 0, 0.00, 1: 66; 2: 31; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 483,  5, 11,  147, 1, 4, 435105, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 323,  5, 13,  147, 1, 4, 504773, 14505.53, 111, 0.00, 1: 68; 2: 27; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 637,  7,  8,  147, 1, 4, 443520, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 402,  7,  8,  147, 1, 4, 443520, 14505.53, 125, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 396,  5, 12,  147, 1, 4, 473457, 14505.53, 225, 0.00, 1: 67; 2: 30; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 580,  5, 13,  147, 1, 4, 504841, 14505.53, 225, 0.00, 1: 69; 2: 26; 3: 6; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 404,  5, 13,  147, 1, 4, 504774, 14505.53, 225, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 618,  5, 12,  147, 1, 4, 473287, 14505.53, 71, 0.00, 1: 66; 2: 31; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 557,  5, 11,  147, 1, 4, 435105, 14505.53, 49, 0.00, 1: 65; 2: 33; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 429,  5, 12,  147, 1, 4, 473213, 14505.53, 32, 0.00, 1: 64; 2: 35; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 336,  5, 11,  147, 1, 4, 435105, 14505.53, 16, 0.00, 1: 68; 2: 28; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 308, 10,  6,  147, 1, 4, 473656, 14505.53, 0, 0.00, 1: 67; 2: 29; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 641,  5, 13,  147, 1, 4, 504698, 14505.53, 83, 0.00, 1: 64; 2: 36; 3: 1; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 170,  5, 11,  148, 1, 4, 435105, 14505.53, 84, 0.00, 1: 65; 2: 32; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 684,  5, 11,  148, 1, 4, 435105, 14505.53, 82, 0.00, 1: 67; 2: 30; 3: 3; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 249,  5, 12,  148, 1, 4, 473533, 14505.53, 0, 0.00, 1: 67; 2: 28; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 153,  8,  7,  148, 1, 4, 443520, 14505.53, 92, 0.00, 1: 62; 2: 38; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 910,  5, 12,  148, 1, 4, 473476, 14505.53, 0, 0.00, 1: 65; 2: 33; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 251,  5, 13,  148, 1, 4, 505455, 14505.53, 0, 0.00, 1: 67; 2: 28; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  74,  5, 12,  148, 1, 4, 473600, 14505.53, 124, 0.00, 1: 66; 2: 31; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 508,  5, 11,  148, 1, 4, 435105, 14505.53, 0, 0.00, 1: 67; 2: 28; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 201,  8,  7,  148, 1, 4, 443520, 14505.53, 196, 0.00, 1: 62; 2: 38; 3: 2; 4: 1; 
