Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
3(864)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 574,  7,  8,  130, 0, 3, 439154, 12113.99, 0, 0.00, 0: 8; 1: 55; 2: 27; 3: 7; 
Differentiation_of_T_lymphocytes, 310,  5, 12,  153, 0, 3, 463934, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 30; 3: 17; 
Differentiation_of_T_lymphocytes, 794,  5, 10,  153, 0, 3, 395675, 12113.99, 124, 0.00, 0: 8; 1: 39; 2: 36; 3: 14; 
Differentiation_of_T_lymphocytes, 853,  5, 11,  153, 0, 3, 432131, 12113.99, 86, 0.00, 0: 8; 1: 42; 2: 30; 3: 17; 
Differentiation_of_T_lymphocytes, 295,  5, 10,  153, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 43; 2: 28; 3: 18; 
Differentiation_of_T_lymphocytes, 561,  5, 12,  153, 0, 3, 464029, 12113.99, 0, 0.00, 0: 8; 1: 43; 2: 28; 3: 18; 
Differentiation_of_T_lymphocytes, 809,  5, 11,  153, 0, 3, 432186, 12113.99, 73, 0.00, 0: 8; 1: 44; 2: 26; 3: 19; 
Differentiation_of_T_lymphocytes, 566,  9,  6,  153, 0, 3, 426043, 12113.99, 0, 0.00, 0: 8; 1: 43; 2: 28; 3: 18; 
Differentiation_of_T_lymphocytes, 960,  9,  6,  153, 0, 3, 426067, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 34; 3: 15; 
Differentiation_of_T_lymphocytes,  22,  7,  8,  153, 0, 3, 439001, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 34; 3: 15; 
Differentiation_of_T_lymphocytes, 714,  7,  8,  153, 0, 3, 439182, 12113.99, 124, 0.00, 0: 8; 1: 40; 2: 34; 3: 15; 
Differentiation_of_T_lymphocytes, 421,  4, 14,  153, 0, 3, 439204, 12113.99, 0, 0.00, 0: 8; 1: 44; 2: 26; 3: 19; 
Differentiation_of_T_lymphocytes,  96,  5, 12,  153, 0, 3, 463978, 12113.99, 5, 0.00, 0: 8; 1: 45; 2: 24; 3: 20; 
Differentiation_of_T_lymphocytes, 744,  9,  6,  153, 0, 3, 426083, 12113.99, 32, 0.00, 0: 8; 1: 43; 2: 28; 3: 18; 
Differentiation_of_T_lymphocytes, 492,  5, 11,  153, 0, 3, 432118, 12113.99, 66, 0.00, 0: 8; 1: 42; 2: 30; 3: 17; 
Differentiation_of_T_lymphocytes, 665,  5, 10,  153, 0, 3, 395675, 12113.99, 183, 0.00, 0: 8; 1: 42; 2: 30; 3: 17; 
Differentiation_of_T_lymphocytes, 886,  5, 10,  153, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 43; 2: 28; 3: 18; 
Differentiation_of_T_lymphocytes, 728,  6,  9,  153, 0, 3, 426095, 12113.99, 216, 0.00, 0: 8; 1: 43; 2: 28; 3: 18; 
Differentiation_of_T_lymphocytes, 296,  5, 12,  154, 0, 3, 464094, 12113.99, 32, 0.00, 0: 8; 1: 42; 2: 29; 3: 18; 
Differentiation_of_T_lymphocytes, 212,  5, 11,  154, 0, 3, 432361, 12113.99, 14, 0.00, 0: 8; 1: 40; 2: 33; 3: 16; 
Differentiation_of_T_lymphocytes,  73,  6,  9,  154, 0, 3, 426059, 12113.99, 93, 0.00, 0: 8; 1: 45; 2: 23; 3: 21; 
Differentiation_of_T_lymphocytes, 247,  5, 10,  154, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 33; 3: 16; 
Differentiation_of_T_lymphocytes, 425,  5, 12,  154, 0, 3, 463869, 12113.99, 71, 0.00, 0: 8; 1: 43; 2: 27; 3: 19; 
Differentiation_of_T_lymphocytes, 242,  5, 11,  154, 0, 3, 431909, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 35; 3: 15; 
Differentiation_of_T_lymphocytes, 954,  6,  9,  154, 0, 3, 426107, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 29; 3: 18; 
Differentiation_of_T_lymphocytes, 767,  5, 11,  154, 0, 3, 432151, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 31; 3: 17; 
Differentiation_of_T_lymphocytes,  51,  5, 11,  154, 0, 3, 432187, 12113.99, 0, 0.00, 0: 8; 1: 43; 2: 27; 3: 19; 
Differentiation_of_T_lymphocytes, 230,  6,  9,  154, 0, 3, 426079, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 29; 3: 18; 
Differentiation_of_T_lymphocytes, 980,  5, 12,  154, 0, 3, 463916, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 35; 3: 15; 
Differentiation_of_T_lymphocytes, 420,  5, 10,  154, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 33; 3: 16; 
Differentiation_of_T_lymphocytes, 989,  5, 10,  154, 0, 3, 395675, 12113.99, 86, 0.00, 0: 8; 1: 42; 2: 29; 3: 18; 
Differentiation_of_T_lymphocytes, 148,  5, 10,  154, 0, 3, 395675, 12113.99, 14, 0.00, 0: 8; 1: 38; 2: 37; 3: 14; 
Differentiation_of_T_lymphocytes, 865,  8,  7,  154, 0, 3, 439207, 12113.99, 0, 0.00, 0: 8; 1: 44; 2: 25; 3: 20; 
Differentiation_of_T_lymphocytes, 499,  5, 12,  154, 0, 3, 463890, 12113.99, 0, 0.00, 0: 8; 1: 44; 2: 25; 3: 20; 
Differentiation_of_T_lymphocytes, 523,  5, 10,  154, 0, 3, 395675, 12113.99, 173, 0.00, 0: 8; 1: 43; 2: 27; 3: 19; 
Differentiation_of_T_lymphocytes,  68,  5, 12,  155, 0, 3, 463968, 12113.99, 14, 0.00, 0: 8; 1: 39; 2: 34; 3: 16; 
Differentiation_of_T_lymphocytes, 541,  5, 12,  155, 0, 3, 463943, 12113.99, 86, 0.00, 0: 8; 1: 41; 2: 30; 3: 18; 
Differentiation_of_T_lymphocytes, 307,  5, 11,  155, 0, 3, 432177, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 32; 3: 17; 
Differentiation_of_T_lymphocytes, 545,  6,  9,  155, 0, 3, 426063, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 34; 3: 16; 
Differentiation_of_T_lymphocytes, 993,  9,  6,  155, 0, 3, 426050, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 30; 3: 18; 
Differentiation_of_T_lymphocytes, 873,  5, 10,  155, 0, 3, 395675, 12113.99, 73, 0.00, 0: 8; 1: 39; 2: 34; 3: 16; 
Differentiation_of_T_lymphocytes, 711,  5, 10,  155, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 43; 2: 26; 3: 20; 
Differentiation_of_T_lymphocytes, 448,  5, 10,  155, 0, 3, 395675, 12113.99, 176, 0.00, 0: 8; 1: 41; 2: 30; 3: 18; 
Differentiation_of_T_lymphocytes, 856,  5, 11,  155, 0, 3, 432168, 12113.99, 88, 0.00, 0: 8; 1: 40; 2: 32; 3: 17; 
Differentiation_of_T_lymphocytes, 358,  5, 10,  155, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 28; 3: 19; 
Differentiation_of_T_lymphocytes, 398,  6,  9,  155, 0, 3, 426130, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 30; 3: 18; 
Differentiation_of_T_lymphocytes, 281,  6,  9,  155, 0, 3, 426079, 12113.99, 182, 0.00, 0: 8; 1: 45; 2: 22; 3: 22; 
Differentiation_of_T_lymphocytes, 510,  5, 11,  155, 0, 3, 432173, 12113.99, 0, 0.00, 0: 8; 1: 44; 2: 24; 3: 21; 
Differentiation_of_T_lymphocytes, 925,  9,  6,  155, 0, 3, 426045, 12113.99, 86, 0.00, 0: 8; 1: 45; 2: 22; 3: 22; 
Differentiation_of_T_lymphocytes, 615,  5, 12,  155, 0, 3, 463997, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 36; 3: 15; 
Differentiation_of_T_lymphocytes, 630,  5, 11,  155, 0, 3, 432292, 12113.99, 255, 0.00, 0: 8; 1: 44; 2: 24; 3: 21; 
Differentiation_of_T_lymphocytes, 966,  5, 10,  155, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 28; 3: 19; 
Differentiation_of_T_lymphocytes, 174,  8,  7,  155, 0, 3, 439165, 12113.99, 0, 0.00, 0: 8; 1: 44; 2: 24; 3: 21; 
Differentiation_of_T_lymphocytes, 933,  5, 12,  155, 0, 3, 463910, 12113.99, 0, 0.00, 0: 8; 1: 43; 2: 26; 3: 20; 
Differentiation_of_T_lymphocytes, 819,  9,  6,  155, 0, 3, 426063, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 30; 3: 18; 
Differentiation_of_T_lymphocytes,  77,  9,  6,  155, 0, 3, 426054, 12113.99, 86, 0.00, 0: 8; 1: 42; 2: 28; 3: 19; 
Differentiation_of_T_lymphocytes, 891,  9,  6,  155, 0, 3, 426093, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 32; 3: 17; 
Differentiation_of_T_lymphocytes, 475,  5, 10,  155, 0, 3, 395675, 12113.99, 173, 0.00, 0: 8; 1: 39; 2: 34; 3: 16; 
Differentiation_of_T_lymphocytes, 531,  5, 12,  155, 0, 3, 463969, 12113.99, 173, 0.00, 0: 8; 1: 39; 2: 34; 3: 16; 
Differentiation_of_T_lymphocytes, 245,  5, 11,  155, 0, 3, 432190, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 30; 3: 18; 
Differentiation_of_T_lymphocytes, 483,  5, 11,  155, 0, 3, 432214, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 32; 3: 17; 
Differentiation_of_T_lymphocytes,  26,  5, 10,  155, 0, 3, 395675, 12113.99, 124, 0.00, 0: 8; 1: 39; 2: 34; 3: 16; 
Differentiation_of_T_lymphocytes, 693,  5, 10,  155, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 28; 3: 19; 
Differentiation_of_T_lymphocytes, 885,  5, 12,  155, 0, 3, 463944, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 30; 3: 18; 
Differentiation_of_T_lymphocytes, 995,  5, 12,  155, 0, 3, 463928, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 28; 3: 19; 
Differentiation_of_T_lymphocytes, 945,  5, 10,  155, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 30; 3: 18; 
Differentiation_of_T_lymphocytes, 357,  5, 11,  156, 0, 3, 432154, 12113.99, 0, 0.00, 0: 8; 1: 43; 2: 25; 3: 21; 
Differentiation_of_T_lymphocytes, 250,  5, 12,  156, 0, 3, 464034, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 33; 3: 17; 
Differentiation_of_T_lymphocytes, 691,  9,  6,  156, 0, 3, 426102, 12113.99, 0, 0.00, 0: 8; 1: 45; 2: 21; 3: 23; 
Differentiation_of_T_lymphocytes, 708,  5, 10,  156, 0, 3, 395675, 12113.99, 14, 0.00, 0: 8; 1: 39; 2: 33; 3: 17; 
Differentiation_of_T_lymphocytes, 591,  9,  6,  156, 0, 3, 426050, 12113.99, 0, 0.00, 0: 8; 1: 36; 2: 39; 3: 14; 
Differentiation_of_T_lymphocytes, 455,  5, 11,  156, 0, 3, 432149, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 31; 3: 18; 
Differentiation_of_T_lymphocytes, 755,  7,  8,  156, 0, 3, 439159, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 29; 3: 19; 
Differentiation_of_T_lymphocytes, 331,  5, 12,  156, 0, 3, 463794, 12113.99, 173, 0.00, 0: 8; 1: 44; 2: 23; 3: 22; 
Differentiation_of_T_lymphocytes, 521,  8,  7,  156, 0, 3, 439168, 12113.99, 175, 0.00, 0: 8; 1: 44; 2: 23; 3: 22; 
Differentiation_of_T_lymphocytes, 668,  5, 12,  156, 0, 3, 464212, 12113.99, 14, 0.00, 0: 8; 1: 39; 2: 33; 3: 17; 
Differentiation_of_T_lymphocytes, 172,  5, 10,  156, 0, 3, 395675, 12113.99, 49, 0.00, 0: 8; 1: 39; 2: 33; 3: 17; 
Differentiation_of_T_lymphocytes, 628,  8,  7,  156, 0, 3, 439259, 12113.99, 255, 0.00, 0: 8; 1: 39; 2: 33; 3: 17; 
Differentiation_of_T_lymphocytes, 171,  5, 11,  156, 0, 3, 432195, 12113.99, 108, 0.00, 0: 8; 1: 41; 2: 29; 3: 19; 
Differentiation_of_T_lymphocytes, 170,  5, 11,  156, 0, 3, 432143, 12113.99, 108, 0.00, 0: 8; 1: 38; 2: 35; 3: 16; 
Differentiation_of_T_lymphocytes, 469,  5, 10,  156, 0, 3, 395675, 12113.99, 86, 0.00, 0: 8; 1: 46; 2: 19; 3: 24; 
Differentiation_of_T_lymphocytes, 726,  5, 10,  156, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 27; 3: 20; 
Differentiation_of_T_lymphocytes, 719,  6,  9,  156, 0, 3, 426087, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 29; 3: 19; 
Differentiation_of_T_lymphocytes, 459,  5, 11,  156, 0, 3, 432159, 12113.99, 173, 0.00, 0: 8; 1: 42; 2: 27; 3: 20; 
Differentiation_of_T_lymphocytes, 957,  5, 10,  156, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 31; 3: 18; 
Differentiation_of_T_lymphocytes, 613,  5, 10,  157, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 32; 3: 18; 
Differentiation_of_T_lymphocytes, 433,  6,  9,  157, 0, 3, 426085, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 30; 3: 19; 
Differentiation_of_T_lymphocytes, 592,  5, 12,  157, 0, 3, 463986, 12113.99, 64, 0.00, 0: 8; 1: 38; 2: 34; 3: 17; 
Differentiation_of_T_lymphocytes, 457,  5, 10,  157, 0, 3, 395675, 12113.99, 174, 0.00, 0: 8; 1: 41; 2: 28; 3: 20; 
Differentiation_of_T_lymphocytes, 640,  5, 11,  157, 0, 3, 432215, 12113.99, 112, 0.00, 0: 8; 1: 38; 2: 34; 3: 17; 
Differentiation_of_T_lymphocytes,  60,  6,  9,  157, 0, 3, 426099, 12113.99, 14, 0.00, 0: 8; 1: 41; 2: 28; 3: 20; 
Differentiation_of_T_lymphocytes, 267,  8,  7,  157, 0, 3, 439217, 12113.99, 172, 0.00, 0: 8; 1: 40; 2: 30; 3: 19; 
Differentiation_of_T_lymphocytes, 375,  5, 10,  157, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 28; 3: 20; 
Differentiation_of_T_lymphocytes, 975,  8,  7,  157, 0, 3, 439124, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 26; 3: 21; 
Differentiation_of_T_lymphocytes, 129,  9,  6,  157, 0, 3, 426061, 12113.99, 120, 0.00, 0: 8; 1: 42; 2: 26; 3: 21; 
Differentiation_of_T_lymphocytes, 444,  5, 12,  157, 0, 3, 463895, 12113.99, 2, 0.00, 0: 8; 1: 41; 2: 28; 3: 20; 
Differentiation_of_T_lymphocytes, 292,  5, 10,  157, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 26; 3: 21; 
Differentiation_of_T_lymphocytes, 841,  5, 12,  157, 0, 3, 464038, 12113.99, 176, 0.00, 0: 8; 1: 40; 2: 30; 3: 19; 
Differentiation_of_T_lymphocytes, 695,  5, 10,  158, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 31; 3: 19; 
Differentiation_of_T_lymphocytes, 633,  5, 11,  158, 0, 3, 432158, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 31; 3: 19; 
Differentiation_of_T_lymphocytes, 629,  5, 11,  158, 0, 3, 432183, 12113.99, 255, 0.00, 0: 8; 1: 41; 2: 27; 3: 21; 
Differentiation_of_T_lymphocytes, 600,  6,  9,  158, 0, 3, 426047, 12113.99, 88, 0.00, 0: 8; 1: 41; 2: 27; 3: 21; 
Differentiation_of_T_lymphocytes,   1,  5, 11,  158, 0, 3, 432173, 12113.99, 162, 0.00, 0: 8; 1: 42; 2: 25; 3: 22; 
Differentiation_of_T_lymphocytes, 924,  5, 12,  158, 0, 3, 463848, 12113.99, 14, 0.00, 0: 8; 1: 43; 2: 23; 3: 23; 
Differentiation_of_T_lymphocytes, 770,  5, 11,  158, 0, 3, 432196, 12113.99, 124, 0.00, 0: 8; 1: 40; 2: 29; 3: 20; 
Differentiation_of_T_lymphocytes,  17,  9,  6,  158, 0, 3, 426099, 12113.99, 180, 0.00, 0: 8; 1: 40; 2: 29; 3: 20; 
Differentiation_of_T_lymphocytes, 132,  5, 11,  158, 0, 3, 432204, 12113.99, 14, 0.00, 0: 8; 1: 37; 2: 35; 3: 17; 
Differentiation_of_T_lymphocytes,  86,  5, 12,  158, 0, 3, 463952, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 33; 3: 18; 
Differentiation_of_T_lymphocytes, 112,  6,  9,  158, 0, 3, 426074, 12113.99, 28, 0.00, 0: 8; 1: 41; 2: 27; 3: 21; 
Differentiation_of_T_lymphocytes, 493,  6,  9,  158, 0, 3, 426056, 12113.99, 32, 0.00, 0: 8; 1: 41; 2: 27; 3: 21; 
Differentiation_of_T_lymphocytes, 336,  5, 11,  158, 0, 3, 431996, 12113.99, 32, 0.00, 0: 8; 1: 41; 2: 27; 3: 21; 
Differentiation_of_T_lymphocytes, 417,  5, 10,  158, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 27; 3: 21; 
Differentiation_of_T_lymphocytes, 238,  5, 12,  158, 0, 3, 464073, 12113.99, 32, 0.00, 0: 8; 1: 39; 2: 31; 3: 19; 
Differentiation_of_T_lymphocytes, 293,  5, 12,  158, 0, 3, 464106, 12113.99, 0, 0.00, 0: 8; 1: 43; 2: 23; 3: 23; 
Differentiation_of_T_lymphocytes, 570,  5, 12,  158, 0, 3, 464199, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 27; 3: 21; 
Differentiation_of_T_lymphocytes, 741,  5, 10,  159, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 40; 2: 28; 3: 21; 
Differentiation_of_T_lymphocytes, 622,  8,  7,  159, 0, 3, 439182, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 30; 3: 20; 
Differentiation_of_T_lymphocytes, 567,  5, 11,  159, 0, 3, 432131, 12113.99, 0, 0.00, 0: 8; 1: 41; 2: 26; 3: 22; 
Differentiation_of_T_lymphocytes, 747,  6,  9,  159, 0, 3, 426099, 12113.99, 49, 0.00, 0: 8; 1: 38; 2: 32; 3: 19; 
Differentiation_of_T_lymphocytes, 872,  6,  9,  159, 0, 3, 426069, 12113.99, 32, 0.00, 0: 8; 1: 42; 2: 24; 3: 23; 
Differentiation_of_T_lymphocytes, 106,  5, 12,  159, 0, 3, 464036, 12113.99, 68, 0.00, 0: 8; 1: 39; 2: 30; 3: 20; 
Differentiation_of_T_lymphocytes, 581,  5, 10,  159, 0, 3, 395675, 12113.99, 86, 0.00, 0: 8; 1: 39; 2: 30; 3: 20; 
Differentiation_of_T_lymphocytes, 381,  5, 11,  159, 0, 3, 432142, 12113.99, 0, 0.00, 0: 8; 1: 37; 2: 34; 3: 18; 
Differentiation_of_T_lymphocytes, 698,  5, 10,  159, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 30; 3: 20; 
Differentiation_of_T_lymphocytes, 676,  9,  6,  159, 0, 3, 426016, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 32; 3: 19; 
Differentiation_of_T_lymphocytes, 466,  5, 11,  159, 0, 3, 432238, 12113.99, 124, 0.00, 0: 8; 1: 40; 2: 28; 3: 21; 
Differentiation_of_T_lymphocytes, 709,  9,  6,  160, 0, 3, 426077, 12113.99, 86, 0.00, 0: 8; 1: 40; 2: 27; 3: 22; 
Differentiation_of_T_lymphocytes, 631,  5, 10,  160, 0, 3, 395675, 12113.99, 255, 0.00, 0: 8; 1: 39; 2: 29; 3: 21; 
Differentiation_of_T_lymphocytes, 595,  5, 12,  160, 0, 3, 463971, 12113.99, 173, 0.00, 0: 8; 1: 37; 2: 33; 3: 19; 
Differentiation_of_T_lymphocytes, 443,  5, 12,  160, 0, 3, 463951, 12113.99, 0, 0.00, 0: 8; 1: 37; 2: 33; 3: 19; 
Differentiation_of_T_lymphocytes, 318,  5, 11,  160, 0, 3, 432151, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 31; 3: 20; 
Differentiation_of_T_lymphocytes, 681,  4, 14,  160, 0, 3, 439216, 12113.99, 73, 0.00, 0: 8; 1: 42; 2: 23; 3: 24; 
Differentiation_of_T_lymphocytes, 487,  5, 12,  160, 0, 3, 463989, 12113.99, 0, 0.00, 0: 8; 1: 42; 2: 23; 3: 24; 
Differentiation_of_T_lymphocytes, 204,  9,  6,  160, 0, 3, 426069, 12113.99, 14, 0.00, 0: 8; 1: 38; 2: 31; 3: 20; 
Differentiation_of_T_lymphocytes, 967,  9,  6,  160, 0, 3, 426061, 12113.99, 0, 0.00, 0: 8; 1: 37; 2: 33; 3: 19; 
Differentiation_of_T_lymphocytes, 482,  6,  9,  160, 0, 3, 426059, 12113.99, 0, 0.00, 0: 8; 1: 36; 2: 35; 3: 18; 
Differentiation_of_T_lymphocytes, 808,  5, 10,  160, 0, 3, 395675, 12113.99, 32, 0.00, 0: 8; 1: 40; 2: 27; 3: 22; 
Differentiation_of_T_lymphocytes, 736,  4, 13,  160, 0, 3, 410760, 12113.99, 6, 0.00, 0: 8; 1: 40; 2: 27; 3: 22; 
Differentiation_of_T_lymphocytes, 362,  4, 13,  161, 0, 3, 410738, 12113.99, 65, 0.00, 0: 8; 1: 36; 2: 34; 3: 19; 
Differentiation_of_T_lymphocytes, 496,  9,  6,  161, 0, 3, 426002, 12113.99, 4, 0.00, 0: 8; 1: 40; 2: 26; 3: 23; 
Differentiation_of_T_lymphocytes, 256,  5, 10,  161, 0, 3, 395675, 12113.99, 224, 0.00, 0: 8; 1: 37; 2: 32; 3: 20; 
Differentiation_of_T_lymphocytes, 429,  5, 12,  161, 0, 3, 463987, 12113.99, 32, 0.00, 0: 8; 1: 37; 2: 32; 3: 20; 
Differentiation_of_T_lymphocytes, 143,  5, 10,  161, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 39; 2: 28; 3: 22; 
Differentiation_of_T_lymphocytes, 157,  5, 10,  161, 0, 3, 395675, 12113.99, 86, 0.00, 0: 8; 1: 40; 2: 26; 3: 23; 
Differentiation_of_T_lymphocytes, 300,  5, 12,  161, 0, 3, 463994, 12113.99, 112, 0.00, 0: 8; 1: 39; 2: 28; 3: 22; 
Differentiation_of_T_lymphocytes, 423,  5, 10,  161, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 30; 3: 21; 
Differentiation_of_T_lymphocytes, 181,  5, 10,  161, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 30; 3: 21; 
Differentiation_of_T_lymphocytes, 762,  5, 10,  161, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 30; 3: 21; 
Differentiation_of_T_lymphocytes, 108,  9,  6,  161, 0, 3, 426013, 12113.99, 32, 0.00, 0: 8; 1: 40; 2: 26; 3: 23; 
Differentiation_of_T_lymphocytes, 982,  5, 10,  161, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 30; 3: 21; 
Differentiation_of_T_lymphocytes, 579,  5, 10,  161, 0, 3, 395675, 12113.99, 173, 0.00, 0: 8; 1: 39; 2: 28; 3: 22; 
Differentiation_of_T_lymphocytes, 416,  4, 14,  161, 0, 3, 439238, 12113.99, 6, 0.00, 0: 8; 1: 41; 2: 24; 3: 24; 
Differentiation_of_T_lymphocytes, 756,  5, 10,  161, 0, 3, 395675, 12113.99, 24, 0.00, 0: 8; 1: 40; 2: 26; 3: 23; 
Differentiation_of_T_lymphocytes, 422,  5, 12,  161, 0, 3, 463911, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 30; 3: 21; 
Differentiation_of_T_lymphocytes, 554,  5, 12,  162, 0, 3, 463973, 12113.99, 70, 0.00, 0: 8; 1: 40; 2: 25; 3: 24; 
Differentiation_of_T_lymphocytes, 999,  5, 10,  162, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 36; 2: 33; 3: 20; 
Differentiation_of_T_lymphocytes, 810,  9,  6,  162, 0, 3, 426055, 12113.99, 76, 0.00, 0: 8; 1: 41; 2: 23; 3: 25; 
Differentiation_of_T_lymphocytes, 971,  5, 10,  162, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 37; 2: 31; 3: 21; 
Differentiation_of_T_lymphocytes, 168,  5, 10,  162, 0, 3, 395675, 12113.99, 32, 0.00, 0: 8; 1: 41; 2: 23; 3: 25; 
Differentiation_of_T_lymphocytes, 926,  6,  9,  162, 0, 3, 426044, 12113.99, 0, 0.00, 0: 8; 1: 34; 2: 37; 3: 18; 
Differentiation_of_T_lymphocytes, 368,  5, 12,  162, 0, 3, 464165, 12113.99, 17, 0.00, 0: 8; 1: 39; 2: 27; 3: 23; 
Differentiation_of_T_lymphocytes, 144,  4, 14,  162, 0, 3, 439170, 12113.99, 192, 0.00, 0: 8; 1: 39; 2: 27; 3: 23; 
Differentiation_of_T_lymphocytes, 151,  5, 10,  162, 0, 3, 395675, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 29; 3: 22; 
Differentiation_of_T_lymphocytes, 913,  5, 10,  162, 0, 3, 395675, 12113.99, 176, 0.00, 0: 8; 1: 37; 2: 31; 3: 21; 
Differentiation_of_T_lymphocytes, 147,  4, 14,  162, 0, 3, 439232, 12113.99, 172, 0.00, 0: 8; 1: 36; 2: 33; 3: 20; 
Differentiation_of_T_lymphocytes, 125,  4, 14,  163, 0, 3, 439152, 12113.99, 0, 0.00, 0: 8; 1: 36; 2: 32; 3: 21; 
Differentiation_of_T_lymphocytes, 580,  4, 13,  163, 0, 3, 410750, 12113.99, 14, 0.00, 0: 8; 1: 38; 2: 28; 3: 23; 
Differentiation_of_T_lymphocytes, 220,  4, 14,  163, 0, 3, 439173, 12113.99, 14, 0.00, 0: 8; 1: 40; 2: 24; 3: 25; 
Differentiation_of_T_lymphocytes,  33,  4, 13,  163, 0, 3, 410739, 12113.99, 0, 0.00, 0: 8; 1: 36; 2: 32; 3: 21; 
Differentiation_of_T_lymphocytes, 294,  5, 11,  163, 0, 3, 432179, 12113.99, 0, 0.00, 0: 8; 1: 36; 2: 32; 3: 21; 
Differentiation_of_T_lymphocytes, 512,  4, 14,  163, 0, 3, 439148, 12113.99, 240, 0.00, 0: 8; 1: 34; 2: 36; 3: 19; 
Differentiation_of_T_lymphocytes, 528,  5, 11,  163, 0, 3, 432189, 12113.99, 0, 0.00, 0: 8; 1: 37; 2: 30; 3: 22; 
Differentiation_of_T_lymphocytes, 751,  8,  7,  164, 0, 3, 439142, 12113.99, 0, 0.00, 0: 8; 1: 36; 2: 31; 3: 22; 
Differentiation_of_T_lymphocytes, 449,  6,  9,  164, 0, 3, 426048, 12113.99, 174, 0.00, 0: 8; 1: 34; 2: 35; 3: 20; 
Differentiation_of_T_lymphocytes, 509,  4, 14,  164, 0, 3, 439183, 12113.99, 0, 0.00, 0: 8; 1: 38; 2: 27; 3: 24; 
Differentiation_of_T_lymphocytes,  20,  4, 14,  164, 0, 3, 439235, 12113.99, 14, 0.00, 0: 8; 1: 37; 2: 29; 3: 23; 
