Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
03(801)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 336,  7,  7,  125, 1, 3, 383569, 12185.27, 176, 0.00, 1: 43; 2: 23; 3: 12; 
Guard_Cell_Abscisic_Acid_Signaling, 290,  4, 12,  148, 1, 3, 377001, 12185.27, 0, 0.00, 1: 31; 2: 24; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 462,  5,  9,  148, 1, 3, 355410, 12185.27, 0, 0.00, 1: 29; 2: 28; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 622,  8,  6,  148, 1, 3, 377048, 12185.27, 84, 0.00, 1: 30; 2: 26; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 649,  5, 10,  148, 1, 3, 390877, 12185.27, 40, 0.00, 1: 29; 2: 28; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 412,  9,  5,  148, 1, 3, 355410, 12185.27, 53, 0.00, 1: 30; 2: 26; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 404,  9,  5,  148, 1, 3, 355410, 12185.27, 53, 0.00, 1: 32; 2: 22; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 672,  5, 10,  148, 1, 3, 390883, 12185.27, 7, 0.00, 1: 29; 2: 28; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 328,  9,  5,  148, 1, 3, 355410, 12185.27, 176, 0.00, 1: 28; 2: 30; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 725,  5, 10,  148, 1, 3, 390745, 12185.27, 86, 0.00, 1: 28; 2: 30; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 325,  5, 10,  148, 1, 3, 390895, 12185.27, 86, 0.00, 1: 29; 2: 28; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 759,  4, 11,  148, 1, 3, 347182, 12185.27, 0, 0.00, 1: 28; 2: 30; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 848,  8,  6,  148, 1, 3, 376992, 12185.27, 208, 0.00, 1: 29; 2: 28; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 777,  5, 10,  148, 1, 3, 390806, 12185.27, 0, 0.00, 1: 29; 2: 28; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 184,  5,  9,  148, 1, 3, 355410, 12185.27, 0, 0.00, 1: 31; 2: 24; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 782,  6,  8,  148, 1, 3, 376965, 12185.27, 0, 0.00, 1: 30; 2: 26; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 620,  5, 10,  148, 1, 3, 390861, 12185.27, 95, 0.00, 1: 31; 2: 24; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 912,  8,  6,  149, 1, 3, 377026, 12185.27, 112, 0.00, 1: 29; 2: 27; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 886,  7,  7,  149, 1, 3, 383738, 12185.27, 0, 0.00, 1: 31; 2: 23; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 625,  5, 10,  149, 1, 3, 390841, 12185.27, 115, 0.00, 1: 27; 2: 31; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 830,  9,  5,  149, 1, 3, 355410, 12185.27, 0, 0.00, 1: 32; 2: 21; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 581,  4, 12,  149, 1, 3, 376960, 12185.27, 86, 0.00, 1: 31; 2: 23; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 791,  4, 12,  149, 1, 3, 377017, 12185.27, 0, 0.00, 1: 29; 2: 27; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 611,  4, 12,  149, 1, 3, 376988, 12185.27, 0, 0.00, 1: 31; 2: 23; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 939,  5, 10,  149, 1, 3, 390818, 12185.27, 65, 0.00, 1: 30; 2: 25; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 566,  9,  5,  149, 1, 3, 355410, 12185.27, 255, 0.00, 1: 34; 2: 17; 3: 27; 
Guard_Cell_Abscisic_Acid_Signaling, 735,  9,  5,  149, 1, 3, 355410, 12185.27, 0, 0.00, 1: 32; 2: 21; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 876,  7,  7,  149, 1, 3, 383557, 12185.27, 111, 0.00, 1: 27; 2: 31; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 999,  4, 12,  149, 1, 3, 377017, 12185.27, 0, 0.00, 1: 29; 2: 27; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 497,  4, 12,  149, 1, 3, 377047, 12185.27, 0, 0.00, 1: 30; 2: 25; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 509,  5,  9,  149, 1, 3, 355410, 12185.27, 0, 0.00, 1: 28; 2: 29; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 240,  8,  6,  149, 1, 3, 377005, 12185.27, 0, 0.00, 1: 27; 2: 31; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling,  72,  9,  5,  149, 1, 3, 355410, 12185.27, 208, 0.00, 1: 29; 2: 27; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  33,  5, 10,  149, 1, 3, 390650, 12185.27, 0, 0.00, 1: 31; 2: 23; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  91,  9,  5,  149, 1, 3, 355410, 12185.27, 14, 0.00, 1: 30; 2: 25; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 417,  5, 10,  149, 1, 3, 390785, 12185.27, 0, 0.00, 1: 28; 2: 29; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 284,  9,  5,  149, 1, 3, 355410, 12185.27, 53, 0.00, 1: 25; 2: 35; 3: 18; 
Guard_Cell_Abscisic_Acid_Signaling, 269,  5, 10,  149, 1, 3, 390825, 12185.27, 86, 0.00, 1: 31; 2: 23; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 191,  4, 12,  149, 1, 3, 377225, 12185.27, 0, 0.00, 1: 29; 2: 27; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 296,  5, 10,  149, 1, 3, 390814, 12185.27, 32, 0.00, 1: 29; 2: 27; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 544,  5,  9,  149, 1, 3, 355410, 12185.27, 5, 0.00, 1: 28; 2: 29; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 261,  9,  5,  149, 1, 3, 355410, 12185.27, 86, 0.00, 1: 28; 2: 29; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 161,  6,  8,  149, 1, 3, 377018, 12185.27, 0, 0.00, 1: 31; 2: 23; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 324,  7,  7,  149, 1, 3, 383608, 12185.27, 53, 0.00, 1: 27; 2: 31; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 145,  5,  9,  149, 1, 3, 355410, 12185.27, 35, 0.00, 1: 32; 2: 21; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 406,  5,  9,  149, 1, 3, 355410, 12185.27, 0, 0.00, 1: 29; 2: 27; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 225,  4, 11,  150, 1, 3, 347182, 12185.27, 0, 0.00, 1: 29; 2: 26; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 241,  4, 12,  150, 1, 3, 377023, 12185.27, 0, 0.00, 1: 29; 2: 26; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 416,  5, 10,  150, 1, 3, 390843, 12185.27, 9, 0.00, 1: 35; 2: 14; 3: 29; 
Guard_Cell_Abscisic_Acid_Signaling, 107,  4, 11,  150, 1, 3, 347182, 12185.27, 72, 0.00, 1: 30; 2: 24; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 808,  6,  8,  150, 1, 3, 376968, 12185.27, 32, 0.00, 1: 28; 2: 28; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 120,  9,  5,  150, 1, 3, 355410, 12185.27, 0, 0.00, 1: 31; 2: 22; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 669,  5, 10,  150, 1, 3, 390862, 12185.27, 86, 0.00, 1: 29; 2: 26; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  41,  5, 10,  150, 1, 3, 390818, 12185.27, 65, 0.00, 1: 31; 2: 22; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 209,  9,  5,  150, 1, 3, 355410, 12185.27, 167, 0.00, 1: 28; 2: 28; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 860,  9,  5,  150, 1, 3, 355410, 12185.27, 53, 0.00, 1: 26; 2: 32; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 888,  5,  9,  150, 1, 3, 355410, 12185.27, 0, 0.00, 1: 29; 2: 26; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 487,  9,  5,  150, 1, 3, 355410, 12185.27, 0, 0.00, 1: 29; 2: 26; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 270,  7,  7,  150, 1, 3, 383607, 12185.27, 0, 0.00, 1: 29; 2: 26; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 966,  5, 10,  150, 1, 3, 390787, 12185.27, 0, 0.00, 1: 25; 2: 34; 3: 19; 
Guard_Cell_Abscisic_Acid_Signaling, 532,  9,  5,  150, 1, 3, 355410, 12185.27, 53, 0.00, 1: 30; 2: 24; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 776,  5, 10,  150, 1, 3, 390856, 12185.27, 0, 0.00, 1: 31; 2: 22; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 536,  4, 11,  150, 1, 3, 347182, 12185.27, 216, 0.00, 1: 30; 2: 24; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 272,  5, 10,  150, 1, 3, 390761, 12185.27, 112, 0.00, 1: 28; 2: 28; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 957,  7,  7,  150, 1, 3, 383601, 12185.27, 0, 0.00, 1: 30; 2: 24; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 766,  7,  7,  150, 1, 3, 383611, 12185.27, 0, 0.00, 1: 27; 2: 30; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 551,  9,  5,  150, 1, 3, 355410, 12185.27, 0, 0.00, 1: 27; 2: 30; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 178,  5, 10,  151, 1, 3, 390806, 12185.27, 0, 0.00, 1: 28; 2: 27; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 715,  5,  9,  151, 1, 3, 355410, 12185.27, 14, 0.00, 1: 29; 2: 25; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 478,  5,  9,  151, 1, 3, 355410, 12185.27, 0, 0.00, 1: 28; 2: 27; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 703,  4, 12,  151, 1, 3, 376926, 12185.27, 0, 0.00, 1: 33; 2: 17; 3: 28; 
Guard_Cell_Abscisic_Acid_Signaling, 884,  8,  6,  151, 1, 3, 377003, 12185.27, 31, 0.00, 1: 27; 2: 29; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 138,  5,  9,  151, 1, 3, 355410, 12185.27, 185, 0.00, 1: 28; 2: 27; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 714,  4, 12,  151, 1, 3, 377062, 12185.27, 185, 0.00, 1: 29; 2: 25; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 663,  9,  5,  151, 1, 3, 355410, 12185.27, 0, 0.00, 1: 32; 2: 19; 3: 27; 
Guard_Cell_Abscisic_Acid_Signaling, 627,  5, 10,  151, 1, 3, 390893, 12185.27, 32, 0.00, 1: 26; 2: 31; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 288,  5,  9,  151, 1, 3, 355410, 12185.27, 6, 0.00, 1: 28; 2: 27; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 753,  4, 11,  151, 1, 3, 347182, 12185.27, 123, 0.00, 1: 28; 2: 27; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 760,  8,  6,  151, 1, 3, 376984, 12185.27, 0, 0.00, 1: 26; 2: 31; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 386,  9,  5,  151, 1, 3, 355410, 12185.27, 185, 0.00, 1: 27; 2: 29; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 643,  9,  5,  151, 1, 3, 355410, 12185.27, 14, 0.00, 1: 26; 2: 31; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 650,  5,  9,  151, 1, 3, 355410, 12185.27, 185, 0.00, 1: 26; 2: 31; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 676,  5, 10,  151, 1, 3, 390839, 12185.27, 0, 0.00, 1: 28; 2: 27; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 969,  9,  5,  151, 1, 3, 355410, 12185.27, 171, 0.00, 1: 31; 2: 21; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling,  94,  5,  9,  151, 1, 3, 355410, 12185.27, 0, 0.00, 1: 30; 2: 23; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 948,  4, 12,  151, 1, 3, 377007, 12185.27, 36, 0.00, 1: 27; 2: 29; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 902,  4, 12,  151, 1, 3, 376964, 12185.27, 0, 0.00, 1: 30; 2: 23; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 943,  5, 10,  151, 1, 3, 390837, 12185.27, 0, 0.00, 1: 27; 2: 29; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 956,  5, 10,  151, 1, 3, 390821, 12185.27, 0, 0.00, 1: 29; 2: 25; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 130,  4, 11,  151, 1, 3, 347182, 12185.27, 185, 0.00, 1: 31; 2: 21; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 597,  5,  9,  151, 1, 3, 355410, 12185.27, 86, 0.00, 1: 27; 2: 29; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  44,  4, 11,  151, 1, 3, 347182, 12185.27, 32, 0.00, 1: 27; 2: 29; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  48,  8,  6,  152, 1, 3, 376947, 12185.27, 32, 0.00, 1: 26; 2: 30; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 892,  9,  5,  152, 1, 3, 355410, 12185.27, 0, 0.00, 1: 31; 2: 20; 3: 27; 
Guard_Cell_Abscisic_Acid_Signaling, 433,  5, 10,  152, 1, 3, 390813, 12185.27, 0, 0.00, 1: 30; 2: 22; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 114,  5, 10,  152, 1, 3, 390842, 12185.27, 0, 0.00, 1: 30; 2: 22; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 637,  5,  9,  152, 1, 3, 355410, 12185.27, 0, 0.00, 1: 27; 2: 28; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 428,  7,  7,  152, 1, 3, 383544, 12185.27, 111, 0.00, 1: 26; 2: 30; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 126,  7,  7,  152, 1, 3, 383639, 12185.27, 0, 0.00, 1: 32; 2: 18; 3: 28; 
Guard_Cell_Abscisic_Acid_Signaling, 691,  4, 12,  152, 1, 3, 376941, 12185.27, 0, 0.00, 1: 30; 2: 22; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 651,  5, 10,  152, 1, 3, 390740, 12185.27, 14, 0.00, 1: 26; 2: 30; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 825,  5, 10,  152, 1, 3, 391068, 12185.27, 0, 0.00, 1: 26; 2: 30; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 179,  6,  8,  152, 1, 3, 376991, 12185.27, 0, 0.00, 1: 26; 2: 30; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 924,  8,  6,  152, 1, 3, 376985, 12185.27, 53, 0.00, 1: 29; 2: 24; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 997,  4, 11,  152, 1, 3, 347182, 12185.27, 0, 0.00, 1: 29; 2: 24; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 512,  9,  5,  152, 1, 3, 355410, 12185.27, 208, 0.00, 1: 27; 2: 28; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 174,  9,  5,  152, 1, 3, 355410, 12185.27, 0, 0.00, 1: 30; 2: 22; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 817,  5, 10,  152, 1, 3, 390832, 12185.27, 0, 0.00, 1: 29; 2: 24; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 307,  9,  5,  152, 1, 3, 355410, 12185.27, 0, 0.00, 1: 24; 2: 34; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 588,  4, 12,  152, 1, 3, 376908, 12185.27, 53, 0.00, 1: 26; 2: 30; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 671,  5,  9,  152, 1, 3, 355410, 12185.27, 0, 0.00, 1: 27; 2: 28; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 418,  5,  9,  152, 1, 3, 355410, 12185.27, 0, 0.00, 1: 26; 2: 30; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 167,  5,  9,  152, 1, 3, 355410, 12185.27, 0, 0.00, 1: 27; 2: 28; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 596,  5, 10,  152, 1, 3, 390848, 12185.27, 53, 0.00, 1: 30; 2: 22; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 707,  5,  9,  152, 1, 3, 355410, 12185.27, 14, 0.00, 1: 27; 2: 28; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 481,  5,  9,  152, 1, 3, 355410, 12185.27, 0, 0.00, 1: 29; 2: 24; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 100,  4, 11,  152, 1, 3, 347182, 12185.27, 0, 0.00, 1: 28; 2: 26; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 599,  9,  5,  153, 1, 3, 355410, 12185.27, 0, 0.00, 1: 24; 2: 33; 3: 21; 
Guard_Cell_Abscisic_Acid_Signaling, 426,  5, 10,  153, 1, 3, 390783, 12185.27, 110, 0.00, 1: 29; 2: 23; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 507,  4, 12,  153, 1, 3, 377043, 12185.27, 0, 0.00, 1: 28; 2: 25; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 235,  4, 12,  153, 1, 3, 376946, 12185.27, 80, 0.00, 1: 28; 2: 25; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 573,  5, 10,  153, 1, 3, 390830, 12185.27, 0, 0.00, 1: 27; 2: 27; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 244,  8,  6,  153, 1, 3, 377021, 12185.27, 0, 0.00, 1: 26; 2: 29; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 421,  5,  9,  153, 1, 3, 355410, 12185.27, 0, 0.00, 1: 25; 2: 31; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 256,  4, 12,  153, 1, 3, 376977, 12185.27, 96, 0.00, 1: 27; 2: 27; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 829,  5,  9,  153, 1, 3, 355410, 12185.27, 0, 0.00, 1: 26; 2: 29; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 278,  5,  9,  153, 1, 3, 355410, 12185.27, 0, 0.00, 1: 32; 2: 17; 3: 29; 
Guard_Cell_Abscisic_Acid_Signaling, 993,  5,  9,  153, 1, 3, 355410, 12185.27, 0, 0.00, 1: 30; 2: 21; 3: 27; 
Guard_Cell_Abscisic_Acid_Signaling, 756,  5,  9,  153, 1, 3, 355410, 12185.27, 0, 0.00, 1: 28; 2: 25; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 197,  8,  6,  153, 1, 3, 376949, 12185.27, 86, 0.00, 1: 26; 2: 29; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 441,  5, 10,  153, 1, 3, 390802, 12185.27, 0, 0.00, 1: 30; 2: 21; 3: 27; 
Guard_Cell_Abscisic_Acid_Signaling, 557,  5,  9,  153, 1, 3, 355410, 12185.27, 0, 0.00, 1: 27; 2: 27; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 368,  5,  9,  153, 1, 3, 355410, 12185.27, 13, 0.00, 1: 26; 2: 29; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 342,  8,  6,  153, 1, 3, 376975, 12185.27, 0, 0.00, 1: 29; 2: 23; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 456,  9,  5,  153, 1, 3, 355410, 12185.27, 160, 0.00, 1: 27; 2: 27; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 302,  5, 10,  153, 1, 3, 390981, 12185.27, 0, 0.00, 1: 27; 2: 27; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 857,  5,  9,  153, 1, 3, 355410, 12185.27, 178, 0.00, 1: 29; 2: 23; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 165,  9,  5,  153, 1, 3, 355410, 12185.27, 0, 0.00, 1: 28; 2: 25; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 301,  4, 11,  154, 1, 3, 347182, 12185.27, 32, 0.00, 1: 22; 2: 36; 3: 20; 
Guard_Cell_Abscisic_Acid_Signaling, 246,  4, 12,  154, 1, 3, 377009, 12185.27, 0, 0.00, 1: 27; 2: 26; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 339,  6,  8,  154, 1, 3, 376861, 12185.27, 14, 0.00, 1: 28; 2: 24; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 728,  7,  7,  154, 1, 3, 383607, 12185.27, 152, 0.00, 1: 25; 2: 30; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 702,  4, 12,  154, 1, 3, 377004, 12185.27, 0, 0.00, 1: 28; 2: 24; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 390,  9,  5,  154, 1, 3, 355410, 12185.27, 0, 0.00, 1: 30; 2: 20; 3: 28; 
Guard_Cell_Abscisic_Acid_Signaling, 930,  9,  5,  154, 1, 3, 355410, 12185.27, 0, 0.00, 1: 26; 2: 28; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 279,  4, 12,  154, 1, 3, 377014, 12185.27, 0, 0.00, 1: 26; 2: 28; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 679,  5, 10,  154, 1, 3, 390791, 12185.27, 0, 0.00, 1: 27; 2: 26; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 251,  5,  9,  154, 1, 3, 355410, 12185.27, 0, 0.00, 1: 25; 2: 30; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 171,  9,  5,  154, 1, 3, 355410, 12185.27, 73, 0.00, 1: 26; 2: 28; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 850,  4, 12,  154, 1, 3, 376949, 12185.27, 185, 0.00, 1: 30; 2: 20; 3: 28; 
Guard_Cell_Abscisic_Acid_Signaling, 841,  4, 12,  154, 1, 3, 376972, 12185.27, 169, 0.00, 1: 27; 2: 26; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 131,  5, 10,  154, 1, 3, 390802, 12185.27, 14, 0.00, 1: 27; 2: 26; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 630,  5, 10,  154, 1, 3, 390813, 12185.27, 0, 0.00, 1: 29; 2: 22; 3: 27; 
Guard_Cell_Abscisic_Acid_Signaling, 835,  9,  5,  154, 1, 3, 355410, 12185.27, 14, 0.00, 1: 28; 2: 24; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 502,  5, 10,  154, 1, 3, 390739, 12185.27, 0, 0.00, 1: 25; 2: 30; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 868,  5, 10,  154, 1, 3, 390867, 12185.27, 0, 0.00, 1: 25; 2: 30; 3: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 247,  5, 10,  154, 1, 3, 390831, 12185.27, 0, 0.00, 1: 32; 2: 16; 3: 30; 
Guard_Cell_Abscisic_Acid_Signaling, 424,  9,  5,  154, 1, 3, 355410, 12185.27, 32, 0.00, 1: 26; 2: 28; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 804,  4, 11,  155, 1, 3, 347182, 12185.27, 0, 0.00, 1: 25; 2: 29; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 550,  7,  7,  155, 1, 3, 383612, 12185.27, 0, 0.00, 1: 25; 2: 29; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  43,  5, 10,  155, 1, 3, 390829, 12185.27, 65, 0.00, 1: 25; 2: 29; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 348,  9,  5,  155, 1, 3, 355410, 12185.27, 53, 0.00, 1: 25; 2: 29; 3: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 645,  4, 11,  155, 1, 3, 347182, 12185.27, 86, 0.00, 1: 26; 2: 27; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 647,  9,  5,  155, 1, 3, 355410, 12185.27, 0, 0.00, 1: 26; 2: 27; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 534,  5,  9,  155, 1, 3, 355410, 12185.27, 0, 0.00, 1: 27; 2: 25; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 330,  9,  5,  155, 1, 3, 355410, 12185.27, 185, 0.00, 1: 27; 2: 25; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 790,  6,  8,  156, 1, 3, 377002, 12185.27, 0, 0.00, 1: 29; 2: 20; 3: 29; 
Guard_Cell_Abscisic_Acid_Signaling, 854,  7,  7,  156, 1, 3, 383584, 12185.27, 0, 0.00, 1: 26; 2: 26; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 749,  4, 11,  156, 1, 3, 347182, 12185.27, 32, 0.00, 1: 22; 2: 34; 3: 22; 
Guard_Cell_Abscisic_Acid_Signaling,  47,  4, 11,  156, 1, 3, 347182, 12185.27, 0, 0.00, 1: 28; 2: 22; 3: 28; 
Guard_Cell_Abscisic_Acid_Signaling, 846,  4, 11,  156, 1, 3, 347182, 12185.27, 0, 0.00, 1: 26; 2: 26; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 317,  5,  9,  156, 1, 3, 355410, 12185.27, 0, 0.00, 1: 26; 2: 26; 3: 26; 
Guard_Cell_Abscisic_Acid_Signaling,  52,  4, 11,  156, 1, 3, 347182, 12185.27, 53, 0.00, 1: 25; 2: 28; 3: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 374,  9,  5,  156, 1, 3, 355410, 12185.27, 0, 0.00, 1: 27; 2: 24; 3: 27; 
Guard_Cell_Abscisic_Acid_Signaling, 260,  5, 10,  156, 1, 3, 390842, 12185.27, 53, 0.00, 1: 29; 2: 20; 3: 29; 
Guard_Cell_Abscisic_Acid_Signaling, 561,  9,  5,  156, 1, 3, 355410, 12185.27, 255, 0.00, 1: 30; 2: 18; 3: 30; 
