Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
03(276)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 102,  7,  7,  102, 1, 3, 382042, 9216.06, 0, 0.00, 1: 35; 2: 23; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 200,  5, 10,  110, 1, 4, 388810, 9216.06, 16, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 597,  5,  9,  110, 1, 4, 354998, 9216.06, 85, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 211,  9,  5,  110, 1, 4, 355063, 9216.06, 98, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 863,  8,  6,  110, 1, 4, 375626, 9216.06, 0, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 613,  6,  8,  110, 1, 4, 375649, 9216.06, 0, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 243,  7,  7,  110, 1, 4, 381893, 9216.06, 0, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 445,  6,  8,  110, 1, 4, 375745, 9216.06, 0, 0.00, 1: 26; 2: 34; 3: 4; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 665,  8,  6,  110, 1, 4, 375730, 9216.06, 228, 0.00, 1: 29; 2: 29; 3: 5; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 650,  5,  9,  110, 1, 4, 355051, 9216.06, 0, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 487,  9,  5,  110, 1, 4, 355087, 9216.06, 0, 0.00, 1: 31; 2: 25; 3: 7; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 126,  7,  7,  110, 1, 4, 381908, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 893,  5,  9,  110, 1, 4, 355031, 9216.06, 0, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 896,  8,  6,  110, 1, 4, 375649, 9216.06, 64, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 637,  5,  9,  110, 1, 4, 355064, 9216.06, 0, 0.00, 1: 31; 2: 24; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 115,  7,  7,  110, 1, 4, 381811, 9216.06, 0, 0.00, 1: 31; 2: 24; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 890,  8,  6,  110, 1, 4, 375729, 9216.06, 0, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 475,  5, 10,  110, 1, 4, 388880, 9216.06, 98, 0.00, 1: 30; 2: 27; 3: 6; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 620,  5, 10,  110, 1, 4, 388948, 9216.06, 49, 0.00, 1: 29; 2: 29; 3: 5; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 473,  7,  7,  110, 1, 4, 381984, 9216.06, 227, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 551,  9,  5,  110, 1, 4, 355037, 9216.06, 0, 0.00, 1: 27; 2: 32; 3: 5; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 900,  5,  9,  110, 1, 4, 355055, 9216.06, 92, 0.00, 1: 27; 2: 32; 3: 5; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 954,  5, 10,  110, 1, 4, 388743, 9216.06, 0, 0.00, 1: 29; 2: 29; 3: 5; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 459,  7,  7,  110, 1, 4, 381992, 9216.06, 98, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 458,  7,  7,  110, 1, 4, 381978, 9216.06, 36, 0.00, 1: 27; 2: 32; 3: 5; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 244,  8,  6,  110, 1, 4, 375597, 9216.06, 0, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 449,  8,  6,  110, 1, 4, 375644, 9216.06, 219, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 509,  5,  9,  110, 1, 4, 355014, 9216.06, 0, 0.00, 1: 28; 2: 31; 3: 4; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 404,  9,  5,  110, 1, 4, 355078, 9216.06, 92, 0.00, 1: 32; 2: 24; 3: 6; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 725,  5, 10,  110, 1, 4, 388568, 9216.06, 85, 0.00, 1: 31; 2: 25; 3: 7; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 366,  5,  9,  110, 1, 4, 355050, 9216.06, 52, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  16,  9,  5,  110, 1, 4, 355087, 9216.06, 192, 0.00, 1: 28; 2: 31; 3: 4; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 347,  8,  6,  110, 1, 4, 375668, 9216.06, 98, 0.00, 1: 30; 2: 27; 3: 6; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 383,  5, 10,  110, 1, 4, 389022, 9216.06, 0, 0.00, 1: 32; 2: 23; 3: 8; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 316,  9,  5,  110, 1, 4, 355068, 9216.06, 2, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  22,  7,  7,  110, 1, 4, 381900, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 384,  5, 10,  110, 1, 4, 388724, 9216.06, 192, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 352,  8,  6,  110, 1, 4, 375429, 9216.06, 9, 0.00, 1: 31; 2: 24; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 765,  5, 10,  110, 1, 4, 388971, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 273,  6,  8,  110, 1, 4, 375630, 9216.06, 218, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 362,  6,  8,  110, 1, 4, 375566, 9216.06, 90, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  24,  9,  5,  110, 1, 4, 355089, 9216.06, 192, 0.00, 1: 28; 2: 30; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 939,  5, 10,  110, 1, 4, 388895, 9216.06, 70, 0.00, 1: 31; 2: 24; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 747,  7,  7,  110, 1, 4, 381994, 9216.06, 120, 0.00, 1: 33; 2: 22; 3: 7; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 739,  5,  9,  110, 1, 4, 355069, 9216.06, 0, 0.00, 1: 33; 2: 22; 3: 7; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 308,  8,  6,  110, 1, 4, 375770, 9216.06, 25, 0.00, 1: 31; 2: 24; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 305,  5,  9,  110, 1, 4, 355056, 9216.06, 0, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 391,  6,  8,  110, 1, 4, 375636, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 361,  6,  8,  110, 1, 4, 375599, 9216.06, 65, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 393,  6,  8,  110, 1, 4, 375624, 9216.06, 218, 0.00, 1: 28; 2: 31; 3: 4; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 807,  5,  9,  110, 1, 4, 355023, 9216.06, 0, 0.00, 1: 31; 2: 26; 3: 5; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 255,  5, 10,  110, 1, 4, 388874, 9216.06, 0, 0.00, 1: 31; 2: 24; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 330,  9,  5,  110, 1, 4, 355064, 9216.06, 36, 0.00, 1: 27; 2: 32; 3: 5; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 331,  8,  6,  110, 1, 4, 375752, 9216.06, 98, 0.00, 1: 31; 2: 24; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 818,  5,  9,  110, 1, 4, 355040, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 288,  5,  9,  110, 1, 4, 355057, 9216.06, 9, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,   9,  9,  5,  110, 1, 4, 355039, 9216.06, 226, 0.00, 1: 33; 2: 22; 3: 7; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 780,  6,  8,  110, 1, 4, 375765, 9216.06, 92, 0.00, 1: 29; 2: 28; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 789,  5,  9,  110, 1, 4, 355070, 9216.06, 85, 0.00, 1: 30; 2: 27; 3: 6; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca,  58,  5, 10,  110, 1, 4, 388837, 9216.06, 0, 0.00, 1: 31; 2: 25; 3: 7; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 837,  8,  6,  110, 1, 4, 375679, 9216.06, 85, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 913,  7,  7,  110, 1, 4, 381939, 9216.06, 220, 0.00, 1: 31; 2: 25; 3: 7; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 380,  5,  9,  110, 1, 4, 355083, 9216.06, 2, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 368,  5,  9,  110, 1, 4, 355035, 9216.06, 32, 0.00, 1: 30; 2: 26; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  15,  9,  5,  110, 1, 4, 355034, 9216.06, 0, 0.00, 1: 29; 2: 29; 3: 5; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 342,  8,  6,  110, 1, 4, 375650, 9216.06, 0, 0.00, 1: 32; 2: 22; 3: 10; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 364,  8,  6,  111, 1, 4, 375713, 9216.06, 54, 0.00, 1: 27; 2: 31; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 934,  5, 10,  111, 1, 4, 388910, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 987,  8,  6,  111, 1, 4, 375644, 9216.06, 98, 0.00, 1: 31; 2: 23; 3: 10; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 623,  8,  6,  111, 1, 4, 375872, 9216.06, 32, 0.00, 1: 31; 2: 24; 3: 8; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 216,  5,  9,  111, 1, 4, 355044, 9216.06, 184, 0.00, 1: 31; 2: 23; 3: 10; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  30,  5,  9,  111, 1, 4, 355036, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 6; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 621,  6,  8,  111, 1, 4, 375646, 9216.06, 50, 0.00, 1: 29; 2: 27; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 373,  9,  5,  111, 1, 4, 355029, 9216.06, 0, 0.00, 1: 30; 2: 25; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 591,  5, 10,  111, 1, 4, 388974, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 562,  5,  9,  111, 1, 4, 355011, 9216.06, 0, 0.00, 1: 29; 2: 27; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 171,  9,  5,  111, 1, 4, 355008, 9216.06, 95, 0.00, 1: 28; 2: 30; 3: 5; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 324,  7,  7,  111, 1, 4, 381997, 9216.06, 92, 0.00, 1: 31; 2: 23; 3: 10; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 573,  5, 10,  111, 1, 4, 388849, 9216.06, 0, 0.00, 1: 29; 2: 27; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 924,  8,  6,  111, 1, 4, 375680, 9216.06, 92, 0.00, 1: 29; 2: 28; 3: 6; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 166,  9,  5,  111, 1, 4, 355053, 9216.06, 0, 0.00, 1: 27; 2: 31; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 196,  5,  9,  111, 1, 4, 355006, 9216.06, 92, 0.00, 1: 27; 2: 31; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  13,  8,  6,  111, 1, 4, 375713, 9216.06, 127, 0.00, 1: 27; 2: 31; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 198,  7,  7,  111, 1, 4, 381950, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 956,  5, 10,  111, 1, 4, 388733, 9216.06, 0, 0.00, 1: 30; 2: 25; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 155,  8,  6,  111, 1, 4, 375631, 9216.06, 98, 0.00, 1: 29; 2: 27; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 867,  5,  9,  111, 1, 4, 354968, 9216.06, 0, 0.00, 1: 30; 2: 25; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 529,  8,  6,  111, 1, 4, 375619, 9216.06, 0, 0.00, 1: 27; 2: 32; 3: 4; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 528,  5,  9,  111, 1, 4, 355061, 9216.06, 0, 0.00, 1: 27; 2: 31; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 527,  9,  5,  111, 1, 4, 355089, 9216.06, 0, 0.00, 1: 27; 2: 31; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 772,  5, 10,  111, 1, 4, 388988, 9216.06, 92, 0.00, 1: 29; 2: 27; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 929,  9,  5,  111, 1, 4, 355006, 9216.06, 0, 0.00, 1: 31; 2: 24; 3: 8; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 209,  9,  5,  111, 1, 4, 355065, 9216.06, 218, 0.00, 1: 29; 2: 28; 3: 6; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 145,  5,  9,  111, 1, 4, 355048, 9216.06, 52, 0.00, 1: 28; 2: 29; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 405,  9,  5,  111, 1, 4, 354990, 9216.06, 85, 0.00, 1: 28; 2: 29; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 396,  5, 10,  111, 1, 4, 388878, 9216.06, 92, 0.00, 1: 30; 2: 27; 3: 5; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 277,  5, 10,  111, 1, 4, 388753, 9216.06, 85, 0.00, 1: 26; 2: 33; 3: 5; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 400,  9,  5,  111, 1, 4, 355041, 9216.06, 208, 0.00, 1: 30; 2: 27; 3: 5; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 915,  7,  7,  111, 1, 4, 382044, 9216.06, 98, 0.00, 1: 28; 2: 29; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 666,  5, 10,  111, 1, 4, 389156, 9216.06, 36, 0.00, 1: 29; 2: 27; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 671,  5,  9,  111, 1, 4, 355037, 9216.06, 0, 0.00, 1: 30; 2: 25; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 672,  5, 10,  111, 1, 4, 388971, 9216.06, 15, 0.00, 1: 31; 2: 24; 3: 8; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 233,  9,  5,  111, 1, 4, 355090, 9216.06, 65, 0.00, 1: 28; 2: 30; 3: 5; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 674,  5,  9,  111, 1, 4, 355055, 9216.06, 0, 0.00, 1: 30; 2: 25; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 374,  9,  5,  111, 1, 4, 355047, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 410,  8,  6,  111, 1, 4, 375717, 9216.06, 36, 0.00, 1: 31; 2: 23; 3: 10; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 723,  9,  5,  111, 1, 4, 355064, 9216.06, 98, 0.00, 1: 29; 2: 28; 3: 6; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 843,  9,  5,  111, 1, 4, 355034, 9216.06, 97, 0.00, 1: 28; 2: 30; 3: 5; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca,  97,  6,  8,  111, 1, 4, 375672, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 426,  5, 10,  111, 1, 4, 388899, 9216.06, 110, 0.00, 1: 30; 2: 27; 3: 5; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 942,  5, 10,  111, 1, 4, 388849, 9216.06, 69, 0.00, 1: 29; 2: 28; 3: 6; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 444,  8,  6,  111, 1, 4, 375736, 9216.06, 2, 0.00, 1: 29; 2: 27; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  83,  9,  5,  111, 1, 4, 355006, 9216.06, 98, 0.00, 1: 31; 2: 23; 3: 10; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 697,  5,  9,  111, 1, 4, 355033, 9216.06, 0, 0.00, 1: 27; 2: 31; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 278,  5,  9,  111, 1, 4, 355022, 9216.06, 0, 0.00, 1: 26; 2: 33; 3: 5; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 131,  5, 10,  111, 1, 4, 388753, 9216.06, 97, 0.00, 1: 29; 2: 27; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 382,  6,  8,  111, 1, 4, 375651, 9216.06, 0, 0.00, 1: 26; 2: 33; 3: 5; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 133,  9,  5,  111, 1, 4, 355044, 9216.06, 85, 0.00, 1: 30; 2: 25; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 976,  5, 10,  111, 1, 4, 388804, 9216.06, 64, 0.00, 1: 30; 2: 26; 3: 7; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca,  33,  5, 10,  111, 1, 4, 388785, 9216.06, 0, 0.00, 1: 27; 2: 32; 3: 4; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 394,  8,  6,  111, 1, 4, 375666, 9216.06, 36, 0.00, 1: 30; 2: 26; 3: 7; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 478,  5,  9,  111, 1, 4, 355031, 9216.06, 0, 0.00, 1: 28; 2: 29; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 117,  5,  9,  111, 1, 4, 355077, 9216.06, 0, 0.00, 1: 32; 2: 22; 3: 9; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 761,  9,  5,  112, 1, 4, 355068, 9216.06, 0, 0.00, 1: 29; 2: 28; 3: 5; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca,  57,  5, 10,  112, 1, 4, 388836, 9216.06, 0, 0.00, 1: 30; 2: 24; 3: 10; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 872,  5, 10,  112, 1, 4, 388970, 9216.06, 32, 0.00, 1: 28; 2: 30; 3: 4; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca,  59,  5, 10,  112, 1, 4, 388700, 9216.06, 0, 0.00, 1: 27; 2: 30; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  91,  9,  5,  112, 1, 4, 354987, 9216.06, 98, 0.00, 1: 31; 2: 23; 3: 9; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 175,  8,  6,  112, 1, 4, 375621, 9216.06, 0, 0.00, 1: 27; 2: 30; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 819,  5,  9,  112, 1, 4, 355075, 9216.06, 0, 0.00, 1: 30; 2: 26; 3: 6; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 688,  9,  5,  112, 1, 4, 355039, 9216.06, 99, 0.00, 1: 29; 2: 26; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 565,  9,  5,  112, 1, 4, 355078, 9216.06, 0, 0.00, 1: 27; 2: 30; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 572,  8,  6,  112, 1, 4, 375699, 9216.06, 1, 0.00, 1: 28; 2: 28; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 624,  9,  5,  112, 1, 4, 355012, 9216.06, 0, 0.00, 1: 30; 2: 24; 3: 10; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 626,  9,  5,  112, 1, 4, 355088, 9216.06, 0, 0.00, 1: 29; 2: 27; 3: 7; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 172,  5,  9,  112, 1, 4, 354992, 9216.06, 65, 0.00, 1: 30; 2: 24; 3: 10; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 693,  5,  9,  112, 1, 4, 355043, 9216.06, 69, 0.00, 1: 25; 2: 34; 3: 5; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 801,  5, 10,  112, 1, 4, 388915, 9216.06, 0, 0.00, 1: 27; 2: 31; 3: 5; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 578,  5, 10,  112, 1, 4, 388750, 9216.06, 36, 0.00, 1: 26; 2: 32; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  94,  5,  9,  112, 1, 4, 355068, 9216.06, 0, 0.00, 1: 28; 2: 28; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 842,  9,  5,  112, 1, 4, 354950, 9216.06, 157, 0.00, 1: 28; 2: 28; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  96,  5, 10,  112, 1, 4, 388759, 9216.06, 5, 0.00, 1: 26; 2: 32; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 975,  9,  5,  112, 1, 4, 355086, 9216.06, 0, 0.00, 1: 27; 2: 30; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 816,  5, 10,  112, 1, 4, 388991, 9216.06, 28, 0.00, 1: 26; 2: 32; 3: 6; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 677,  9,  5,  112, 1, 4, 355044, 9216.06, 0, 0.00, 1: 27; 2: 30; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca,  51,  5, 10,  112, 1, 4, 388936, 9216.06, 98, 0.00, 1: 29; 2: 26; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 853,  6,  8,  112, 1, 4, 375682, 9216.06, 85, 0.00, 1: 27; 2: 30; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 120,  9,  5,  112, 1, 4, 355043, 9216.06, 0, 0.00, 1: 27; 2: 30; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 733,  5, 10,  112, 1, 4, 388980, 9216.06, 85, 0.00, 1: 28; 2: 29; 3: 6; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 668,  5, 10,  112, 1, 4, 388785, 9216.06, 92, 0.00, 1: 29; 2: 26; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 866,  8,  6,  112, 1, 4, 375558, 9216.06, 0, 0.00, 1: 25; 2: 34; 3: 5; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 147,  5,  9,  112, 1, 4, 355043, 9216.06, 97, 0.00, 1: 31; 2: 24; 3: 7; 4: 3; 
Treatment_of_Castration-Resistant_Prostate_Ca, 110,  6,  8,  112, 1, 4, 375529, 9216.06, 0, 0.00, 1: 29; 2: 27; 3: 7; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 656,  6,  8,  112, 1, 4, 375720, 9216.06, 0, 0.00, 1: 28; 2: 28; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 345,  5,  9,  112, 1, 4, 355083, 9216.06, 227, 0.00, 1: 29; 2: 27; 3: 7; 4: 2; 
Treatment_of_Castration-Resistant_Prostate_Ca, 284,  9,  5,  112, 1, 4, 354998, 9216.06, 92, 0.00, 1: 28; 2: 28; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 238,  8,  6,  112, 1, 4, 375668, 9216.06, 80, 0.00, 1: 29; 2: 26; 3: 9; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 885,  9,  5,  112, 1, 4, 355038, 9216.06, 0, 0.00, 1: 28; 2: 28; 3: 8; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 323,  9,  5,  112, 1, 4, 355068, 9216.06, 98, 0.00, 1: 27; 2: 30; 3: 7; 4: 1; 
Treatment_of_Castration-Resistant_Prostate_Ca, 231,  5, 10,  112, 1, 4, 388748, 9216.06, 0, 0.00, 1: 30; 2: 24; 3: 10; 4: 1; 
