Seed 1656949570
ARCH 2|F_ID 1|LIMIT 3
before: 
62(348)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 710,  7,  7,  100, 1, 2, 383575, 11290.84, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 741,  4, 11,  104, 1, 3, 347182, 11290.84, 0, 0.00, 1: 55; 2: 20; 3: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 742,  5, 10,  104, 1, 3, 390706, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 626,  9,  5,  104, 1, 3, 355410, 11290.84, 101, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 687,  5, 10,  104, 1, 3, 390915, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 727,  6,  8,  104, 1, 3, 376972, 11290.84, 0, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 637,  5,  9,  104, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 746,  5, 10,  104, 1, 3, 390804, 11290.84, 97, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 718,  8,  6,  104, 1, 3, 376990, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 649,  5, 10,  104, 1, 3, 390993, 11290.84, 136, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 549,  4, 11,  104, 1, 3, 347182, 11290.84, 0, 0.00, 1: 55; 2: 20; 3: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 548,  5,  9,  104, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 541,  4, 12,  104, 1, 3, 376760, 11290.84, 85, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 529,  8,  6,  104, 1, 3, 377144, 11290.84, 8, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 401,  9,  5,  104, 1, 3, 355410, 11290.84, 8, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 815,  4, 11,  104, 1, 3, 347182, 11290.84, 101, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 435,  9,  5,  104, 1, 3, 355410, 11290.84, 0, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 816,  5, 10,  104, 1, 3, 390972, 11290.84, 32, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 170,  4, 12,  104, 1, 3, 377072, 11290.84, 66, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 348,  9,  5,  104, 1, 3, 355410, 11290.84, 126, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 353,  5,  9,  104, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 123,  5, 10,  104, 1, 3, 390809, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 124,  4, 12,  104, 1, 3, 376941, 11290.84, 0, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 942,  5, 10,  104, 1, 3, 390959, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 417,  5, 10,  104, 1, 3, 390989, 11290.84, 0, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 217,  5,  9,  104, 1, 3, 355410, 11290.84, 15, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 413,  5,  9,  104, 1, 3, 355410, 11290.84, 85, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 214,  7,  7,  104, 1, 3, 383636, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 329,  4, 12,  104, 1, 3, 377059, 11290.84, 7, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 202,  4, 12,  104, 1, 3, 377037, 11290.84, 62, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 175,  8,  6,  104, 1, 3, 377053, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 324,  7,  7,  104, 1, 3, 383562, 11290.84, 126, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 827,  4, 12,  104, 1, 3, 377090, 11290.84, 0, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 144,  5, 10,  104, 1, 3, 390865, 11290.84, 144, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 847,  6,  8,  104, 1, 3, 376895, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 197,  8,  6,  104, 1, 3, 377043, 11290.84, 85, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 828,  9,  5,  104, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 196,  5,  9,  104, 1, 3, 355410, 11290.84, 126, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 153,  6,  8,  104, 1, 3, 377214, 11290.84, 15, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 378,  6,  8,  104, 1, 3, 376995, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 929,  9,  5,  104, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 833,  4, 12,  104, 1, 3, 377137, 11290.84, 9, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 363,  5, 10,  104, 1, 3, 390967, 11290.84, 116, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 162,  6,  8,  104, 1, 3, 376959, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 190,  8,  6,  104, 1, 3, 376980, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 290,  4, 12,  104, 1, 3, 377269, 11290.84, 0, 0.00, 1: 55; 2: 20; 3: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 181,  8,  6,  104, 1, 3, 377042, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  10,  9,  5,  104, 1, 3, 355410, 11290.84, 197, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 508,  4, 11,  104, 1, 3, 347182, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  13,  8,  6,  104, 1, 3, 377031, 11290.84, 127, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 506,  4, 12,  104, 1, 3, 377033, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 497,  4, 12,  104, 1, 3, 377012, 11290.84, 0, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 784,  8,  6,  104, 1, 3, 377077, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  15,  9,  5,  104, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  21,  4, 12,  104, 1, 3, 377002, 11290.84, 85, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 265,  7,  7,  104, 1, 3, 383542, 11290.84, 7, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 490,  7,  7,  104, 1, 3, 383744, 11290.84, 116, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 880,  8,  6,  104, 1, 3, 377096, 11290.84, 32, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 839,  8,  6,  104, 1, 3, 376906, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 256,  4, 12,  104, 1, 3, 377087, 11290.84, 96, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 979,  5,  9,  104, 1, 3, 355410, 11290.84, 167, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 293,  6,  8,  104, 1, 3, 376950, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  74,  5, 10,  104, 1, 3, 390669, 11290.84, 61, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 793,  5, 10,  104, 1, 3, 390694, 11290.84, 17, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  80,  7,  7,  104, 1, 3, 383703, 11290.84, 208, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  86,  4, 12,  104, 1, 3, 376959, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 959,  5,  9,  104, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  95,  5,  9,  104, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 954,  5, 10,  104, 1, 3, 390512, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 953,  5, 10,  104, 1, 3, 390820, 11290.84, 0, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 859,  9,  5,  104, 1, 3, 355410, 11290.84, 167, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 446,  5, 10,  104, 1, 3, 390843, 11290.84, 0, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 445,  6,  8,  104, 1, 3, 377164, 11290.84, 0, 0.00, 1: 53; 2: 24; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 341,  4, 11,  104, 1, 3, 347182, 11290.84, 85, 0.00, 1: 54; 2: 22; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 894,  5, 10,  105, 1, 3, 390767, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 183,  8,  6,  105, 1, 3, 376959, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 192,  7,  7,  105, 1, 3, 383717, 11290.84, 32, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 205,  4, 12,  105, 1, 3, 377062, 11290.84, 85, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 622,  8,  6,  105, 1, 3, 377040, 11290.84, 84, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 274,  4, 11,  105, 1, 3, 347182, 11290.84, 62, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 250,  6,  8,  105, 1, 3, 377065, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 618,  7,  7,  105, 1, 3, 383645, 11290.84, 97, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 253,  8,  6,  105, 1, 3, 377145, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 732,  8,  6,  105, 1, 3, 377098, 11290.84, 126, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 259,  4, 12,  105, 1, 3, 376707, 11290.84, 167, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 776,  5, 10,  105, 1, 3, 390853, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 120,  9,  5,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling,   1,  4, 12,  105, 1, 3, 377044, 11290.84, 2, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 692,  4, 12,  105, 1, 3, 377060, 11290.84, 0, 0.00, 1: 54; 2: 21; 3: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  24,  9,  5,  105, 1, 3, 355410, 11290.84, 160, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 992,  5, 10,  105, 1, 3, 390686, 11290.84, 4, 0.00, 1: 54; 2: 21; 3: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  31,  4, 11,  105, 1, 3, 347182, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling,  45,  4, 12,  105, 1, 3, 377009, 11290.84, 0, 0.00, 1: 54; 2: 21; 3: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 683,  4, 11,  105, 1, 3, 347182, 11290.84, 50, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 975,  9,  5,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 952,  4, 12,  105, 1, 3, 376895, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 105,  9,  5,  105, 1, 3, 355410, 11290.84, 65, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 669,  5, 10,  105, 1, 3, 391434, 11290.84, 85, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 668,  5, 10,  105, 1, 3, 390573, 11290.84, 126, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 119,  4, 12,  105, 1, 3, 377042, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 179,  6,  8,  105, 1, 3, 376880, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 941,  4, 12,  105, 1, 3, 377074, 11290.84, 32, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 134,  5,  9,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 940,  5,  9,  105, 1, 3, 355410, 11290.84, 49, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 716,  4, 11,  105, 1, 3, 347182, 11290.84, 126, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 137,  7,  7,  105, 1, 3, 383645, 11290.84, 131, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 651,  5, 10,  105, 1, 3, 390765, 11290.84, 167, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 650,  5,  9,  105, 1, 3, 355410, 11290.84, 61, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 932,  8,  6,  105, 1, 3, 377076, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 157,  9,  5,  105, 1, 3, 355410, 11290.84, 85, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 160,  5, 10,  105, 1, 3, 390785, 11290.84, 6, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 723,  9,  5,  105, 1, 3, 355410, 11290.84, 167, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 921,  5,  9,  105, 1, 3, 355410, 11290.84, 18, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 750,  9,  5,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 524,  8,  6,  105, 1, 3, 377091, 11290.84, 126, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 354,  4, 11,  105, 1, 3, 347182, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 573,  5, 10,  105, 1, 3, 390542, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 572,  8,  6,  105, 1, 3, 376928, 11290.84, 1, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 356,  8,  6,  105, 1, 3, 376906, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 372,  8,  6,  105, 1, 3, 377157, 11290.84, 12, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 525,  5,  9,  105, 1, 3, 355410, 11290.84, 85, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 383,  5, 10,  105, 1, 3, 390982, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 565,  9,  5,  105, 1, 3, 355410, 11290.84, 255, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 392,  4, 11,  105, 1, 3, 347182, 11290.84, 80, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 562,  5,  9,  105, 1, 3, 355410, 11290.84, 255, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 747,  7,  7,  105, 1, 3, 383526, 11290.84, 73, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 397,  5, 10,  105, 1, 3, 390966, 11290.84, 85, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 408,  7,  7,  105, 1, 3, 383654, 11290.84, 88, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 867,  5,  9,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 823,  4, 12,  105, 1, 3, 377013, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 414,  5,  9,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 754,  5,  9,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 528,  5,  9,  105, 1, 3, 355410, 11290.84, 224, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 820,  7,  7,  105, 1, 3, 383658, 11290.84, 42, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 426,  5, 10,  105, 1, 3, 390494, 11290.84, 110, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 484,  4, 12,  105, 1, 3, 376837, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 482,  4, 12,  105, 1, 3, 376799, 11290.84, 0, 0.00, 1: 54; 2: 21; 3: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 797,  6,  8,  105, 1, 3, 377004, 11290.84, 85, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 757,  4, 12,  105, 1, 3, 377018, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 811,  4, 12,  105, 1, 3, 377100, 11290.84, 111, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 810,  6,  8,  105, 1, 3, 376819, 11290.84, 108, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 808,  6,  8,  105, 1, 3, 377078, 11290.84, 32, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 607,  6,  8,  105, 1, 3, 377137, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 296,  5, 10,  105, 1, 3, 390981, 11290.84, 32, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 301,  4, 11,  105, 1, 3, 347182, 11290.84, 32, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 856,  9,  5,  105, 1, 3, 355410, 11290.84, 24, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 307,  9,  5,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 510,  4, 11,  105, 1, 3, 347182, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 855,  4, 12,  105, 1, 3, 376982, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 515,  4, 12,  105, 1, 3, 376849, 11290.84, 167, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 853,  6,  8,  105, 1, 3, 377057, 11290.84, 85, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 874,  9,  5,  105, 1, 3, 355410, 11290.84, 101, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 319,  5,  9,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 283,  5,  9,  105, 1, 3, 355410, 11290.84, 167, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 866,  8,  6,  105, 1, 3, 377014, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 848,  8,  6,  105, 1, 3, 376866, 11290.84, 208, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 327,  4, 12,  105, 1, 3, 377285, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 328,  9,  5,  105, 1, 3, 355410, 11290.84, 176, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 519,  6,  8,  105, 1, 3, 376822, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 586,  7,  7,  105, 1, 3, 383656, 11290.84, 62, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 494,  5, 10,  105, 1, 3, 390864, 11290.84, 104, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 785,  4, 12,  105, 1, 3, 376961, 11290.84, 0, 0.00, 1: 52; 2: 25; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 342,  8,  6,  105, 1, 3, 377023, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 523,  4, 11,  105, 1, 3, 347182, 11290.84, 167, 0.00, 1: 54; 2: 21; 3: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 838,  5,  9,  105, 1, 3, 355410, 11290.84, 0, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 578,  5, 10,  105, 1, 3, 390629, 11290.84, 62, 0.00, 1: 53; 2: 23; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 802,  4, 12,  106, 1, 3, 376864, 11290.84, 0, 0.00, 1: 51; 2: 26; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 962,  4, 12,  106, 1, 3, 377052, 11290.84, 62, 0.00, 1: 51; 2: 26; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 999,  4, 12,  106, 1, 3, 377022, 11290.84, 0, 0.00, 1: 52; 2: 24; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 974,  9,  5,  106, 1, 3, 355410, 11290.84, 0, 0.00, 1: 51; 2: 26; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 777,  5, 10,  106, 1, 3, 390680, 11290.84, 0, 0.00, 1: 51; 2: 26; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 996,  8,  6,  106, 1, 3, 377017, 11290.84, 0, 0.00, 1: 51; 2: 26; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 787,  5, 10,  106, 1, 3, 390659, 11290.84, 0, 0.00, 1: 51; 2: 26; 3: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 984,  5,  9,  106, 1, 3, 355410, 11290.84, 152, 0.00, 1: 52; 2: 24; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 767,  4, 12,  106, 1, 3, 377079, 11290.84, 0, 0.00, 1: 52; 2: 24; 3: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 704,  4, 12,  106, 1, 3, 376938, 11290.84, 192, 0.00, 1: 54; 2: 20; 3: 4; 
