Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(182)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 871,  7,  9,  137, 1, 2, 492709, 44429.70, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 632,  7,  8,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 216,  6, 10,  148, 1, 3, 473478, 44429.70, 168, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 192,  5, 13,  148, 1, 3, 504352, 44429.70, 112, 0.00, 1: 62; 2: 37; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 620,  8,  7,  148, 1, 3, 443520, 44429.70, 82, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 218,  5, 11,  148, 1, 3, 435105, 44429.70, 150, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 670,  5, 13,  148, 1, 3, 504412, 44429.70, 0, 0.00, 1: 62; 2: 37; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 624, 10,  6,  148, 1, 3, 473444, 44429.70, 255, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 214,  7,  8,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 194,  5, 12,  148, 1, 3, 473353, 44429.70, 195, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network,   9,  5, 13,  148, 1, 3, 504724, 44429.70, 210, 0.00, 1: 61; 2: 39; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 727, 10,  6,  148, 1, 3, 473442, 44429.70, 0, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 369,  7,  8,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 978,  5, 13,  148, 1, 3, 504521, 44429.70, 150, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 679,  7,  8,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 736,  5, 13,  148, 1, 3, 504278, 44429.70, 6, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 723, 10,  6,  148, 1, 3, 473561, 44429.70, 99, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 911,  5, 13,  148, 1, 3, 504582, 44429.70, 0, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 682,  5, 12,  148, 1, 3, 473394, 44429.70, 71, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 906,  7,  8,  148, 1, 3, 443520, 44429.70, 150, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 340,  7,  8,  148, 1, 3, 443520, 44429.70, 4, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 597,  8,  7,  148, 1, 3, 443520, 44429.70, 86, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 767,  5, 11,  148, 1, 3, 435105, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 102,  6, 10,  148, 1, 3, 473392, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 548,  5, 11,  148, 1, 3, 435105, 44429.70, 0, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 410,  5, 11,  148, 1, 3, 435105, 44429.70, 150, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 791,  5, 12,  148, 1, 3, 473589, 44429.70, 0, 0.00, 1: 61; 2: 39; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 432,  5, 11,  148, 1, 3, 435105, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 537,  6, 10,  148, 1, 3, 473401, 44429.70, 173, 0.00, 1: 61; 2: 39; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 472,  5, 13,  148, 1, 3, 504595, 44429.70, 168, 0.00, 1: 61; 2: 39; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 813,  7,  8,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 61; 2: 39; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 763,  5, 13,  148, 1, 3, 504482, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 474,  5, 13,  148, 1, 3, 504845, 44429.70, 150, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 476,  8,  7,  148, 1, 3, 443520, 44429.70, 4, 0.00, 1: 61; 2: 39; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 860,  6, 10,  148, 1, 3, 472940, 44429.70, 4, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 100,  5, 11,  148, 1, 3, 435105, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 415,  8,  7,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network,  11,  5, 12,  148, 1, 3, 473240, 44429.70, 10, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 783,  5, 12,  148, 1, 3, 473353, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 971,  6, 10,  148, 1, 3, 473255, 44429.70, 99, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 272,  8,  7,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 123,  5, 13,  148, 1, 3, 504948, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 854,  8,  7,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 273,  5, 13,  148, 1, 3, 504824, 44429.70, 0, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 970,  5, 12,  148, 1, 3, 473328, 44429.70, 150, 0.00, 1: 61; 2: 39; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 949,  6, 10,  148, 1, 3, 473507, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 334,  7,  8,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 105, 10,  6,  148, 1, 3, 473383, 44429.70, 65, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 565,  5, 11,  148, 1, 3, 435105, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 443,  5, 12,  148, 1, 3, 473350, 44429.70, 0, 0.00, 1: 59; 2: 43; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 402,  7,  8,  148, 1, 3, 443520, 44429.70, 195, 0.00, 1: 62; 2: 37; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 246,  8,  7,  148, 1, 3, 443520, 44429.70, 0, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 406,  5, 12,  148, 1, 3, 473425, 44429.70, 0, 0.00, 1: 62; 2: 37; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 459,  5, 11,  148, 1, 3, 435105, 44429.70, 99, 0.00, 1: 61; 2: 39; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 845,  5, 12,  148, 1, 3, 473233, 44429.70, 86, 0.00, 1: 60; 2: 41; 3: 2; 
MAPK_Cancer_Cell_Fate_Network,  58,  5, 11,  149, 1, 3, 435105, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 499,  5, 12,  149, 1, 3, 473463, 44429.70, 32, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 884,  8,  7,  149, 1, 3, 443520, 44429.70, 0, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 114,  7,  9,  149, 1, 3, 492937, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 800,  7,  9,  149, 1, 3, 492838, 44429.70, 5, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 330,  5, 12,  149, 1, 3, 473050, 44429.70, 194, 0.00, 1: 61; 2: 38; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 492,  5, 11,  149, 1, 3, 435105, 44429.70, 95, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 423,  6, 10,  149, 1, 3, 473162, 44429.70, 0, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network,  57,  5, 11,  149, 1, 3, 435105, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 577,  5, 12,  149, 1, 3, 473725, 44429.70, 208, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 495,  5, 12,  149, 1, 3, 473789, 44429.70, 109, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 173,  8,  7,  149, 1, 3, 443520, 44429.70, 32, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 788,  5, 12,  149, 1, 3, 473618, 44429.70, 4, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 888,  5, 13,  149, 1, 3, 504935, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 155,  5, 13,  149, 1, 3, 504899, 44429.70, 99, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 893,  5, 12,  149, 1, 3, 473488, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 496, 10,  6,  149, 1, 3, 473392, 44429.70, 97, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network,  74,  5, 12,  149, 1, 3, 473323, 44429.70, 194, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 295,  6, 10,  149, 1, 3, 473182, 44429.70, 0, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 992,  5, 12,  149, 1, 3, 473650, 44429.70, 5, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network,  51,  5, 11,  149, 1, 3, 435105, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 322,  5, 13,  149, 1, 3, 504459, 44429.70, 194, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 304,  8,  7,  149, 1, 3, 443520, 44429.70, 105, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 323,  5, 13,  149, 1, 3, 504699, 44429.70, 98, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 107,  8,  7,  149, 1, 3, 443520, 44429.70, 49, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 431,  5, 12,  149, 1, 3, 473422, 44429.70, 0, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 106,  5, 12,  149, 1, 3, 473740, 44429.70, 80, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 452, 10,  6,  149, 1, 3, 473495, 44429.70, 4, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 113,  5, 12,  149, 1, 3, 473577, 44429.70, 0, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 965,  5, 13,  149, 1, 3, 504577, 44429.70, 86, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 797,  5, 13,  149, 1, 3, 504291, 44429.70, 86, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 882,  5, 13,  149, 1, 3, 504677, 44429.70, 0, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 327,  5, 11,  149, 1, 3, 435105, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 191, 10,  6,  149, 1, 3, 473407, 44429.70, 255, 0.00, 1: 61; 2: 38; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,   3,  7,  8,  149, 1, 3, 443520, 44429.70, 10, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 695,  6, 10,  149, 1, 3, 473517, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 666,  5, 13,  149, 1, 3, 504866, 44429.70, 150, 0.00, 1: 61; 2: 38; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 869,  5, 13,  149, 1, 3, 504911, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network,  32,  5, 11,  149, 1, 3, 435105, 44429.70, 5, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 732,  5, 13,  149, 1, 3, 504636, 44429.70, 4, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network,  10,  5, 11,  149, 1, 3, 435105, 44429.70, 67, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 255,  5, 13,  149, 1, 3, 504706, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 254,  7,  8,  149, 1, 3, 443520, 44429.70, 0, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 253,  5, 13,  149, 1, 3, 504705, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 604,  6, 10,  149, 1, 3, 473207, 44429.70, 4, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 756,  6, 10,  149, 1, 3, 473465, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 912,  5, 13,  149, 1, 3, 504667, 44429.70, 128, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 408,  5, 12,  149, 1, 3, 473502, 44429.70, 104, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 738,  7,  9,  149, 1, 3, 492647, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 647,  5, 13,  149, 1, 3, 504643, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 554,  5, 12,  149, 1, 3, 473368, 44429.70, 85, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 245,  5, 11,  149, 1, 3, 435105, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 975,  8,  7,  149, 1, 3, 443520, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 815, 10,  6,  149, 1, 3, 473198, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 563,  7,  8,  149, 1, 3, 443520, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 234,  7,  8,  149, 1, 3, 443520, 44429.70, 84, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 399,  7,  9,  149, 1, 3, 492961, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 581,  6, 10,  149, 1, 3, 473502, 44429.70, 86, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 580,  5, 13,  149, 1, 3, 504290, 44429.70, 4, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 522,  5, 12,  149, 1, 3, 473507, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 510,  5, 11,  149, 1, 3, 435105, 44429.70, 0, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 151,  6, 10,  149, 1, 3, 473142, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 331,  5, 12,  149, 1, 3, 473320, 44429.70, 98, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 640,  5, 11,  149, 1, 3, 435105, 44429.70, 176, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 770,  5, 11,  149, 1, 3, 435105, 44429.70, 194, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 381,  5, 11,  149, 1, 3, 435105, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 641,  5, 13,  149, 1, 3, 504758, 44429.70, 163, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network,   8,  8,  7,  149, 1, 3, 443520, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 629,  5, 11,  149, 1, 3, 435105, 44429.70, 255, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 149,  7,  8,  149, 1, 3, 443520, 44429.70, 86, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 267,  8,  7,  149, 1, 3, 443520, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 265, 10,  6,  149, 1, 3, 473395, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 765,  5, 13,  149, 1, 3, 504769, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 502,  5, 13,  149, 1, 3, 504448, 44429.70, 0, 0.00, 1: 58; 2: 44; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 530,  5, 12,  149, 1, 3, 473456, 44429.70, 0, 0.00, 1: 60; 2: 40; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 729,  5, 12,  149, 1, 3, 473570, 44429.70, 174, 0.00, 1: 59; 2: 42; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 750,  5, 12,  150, 1, 3, 473584, 44429.70, 0, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 142,  5, 11,  150, 1, 3, 435105, 44429.70, 0, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 140,  8,  7,  150, 1, 3, 443520, 44429.70, 4, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 134,  5, 11,  150, 1, 3, 435105, 44429.70, 0, 0.00, 1: 62; 2: 35; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 122,  5, 12,  150, 1, 3, 473491, 44429.70, 0, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 828,  5, 13,  150, 1, 3, 504733, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 741,  6, 10,  150, 1, 3, 473396, 44429.70, 0, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network,  85,  5, 13,  150, 1, 3, 504655, 44429.70, 86, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 145,  5, 12,  150, 1, 3, 473602, 44429.70, 20, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 809,  5, 11,  150, 1, 3, 435105, 44429.70, 69, 0.00, 1: 62; 2: 35; 3: 6; 
MAPK_Cancer_Cell_Fate_Network, 108, 10,  6,  150, 1, 3, 473451, 44429.70, 32, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 790,  5, 13,  150, 1, 3, 504711, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 760,  7,  8,  150, 1, 3, 443520, 44429.70, 0, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 162,  5, 13,  150, 1, 3, 504358, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network,  70,  5, 13,  150, 1, 3, 504765, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 161,  7,  8,  150, 1, 3, 443520, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 822,  5, 12,  150, 1, 3, 473453, 44429.70, 0, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 934,  5, 12,  150, 1, 3, 473454, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 487,  5, 12,  150, 1, 3, 473459, 44429.70, 0, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 951,  5, 13,  150, 1, 3, 504587, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 280,  5, 13,  150, 1, 3, 504794, 44429.70, 232, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 506,  8,  7,  150, 1, 3, 443520, 44429.70, 0, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 508,  5, 11,  150, 1, 3, 435105, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 944,  5, 12,  150, 1, 3, 473325, 44429.70, 51, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 268,  5, 11,  150, 1, 3, 435105, 44429.70, 0, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network,  27,  5, 11,  150, 1, 3, 435105, 44429.70, 99, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 262, 10,  6,  150, 1, 3, 473199, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 483,  5, 11,  150, 1, 3, 435105, 44429.70, 0, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 534,  7,  9,  150, 1, 3, 492893, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 927,  5, 11,  150, 1, 3, 435105, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 249,  5, 12,  150, 1, 3, 473561, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 561,  5, 12,  150, 1, 3, 473396, 44429.70, 0, 0.00, 1: 60; 2: 39; 3: 4; 
MAPK_Cancer_Cell_Fate_Network, 568,  5, 13,  150, 1, 3, 504778, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 923,  5, 13,  150, 1, 3, 504950, 44429.70, 98, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 576,  8,  7,  150, 1, 3, 443520, 44429.70, 176, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 584, 10,  6,  150, 1, 3, 473247, 44429.70, 208, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 968,  5, 13,  150, 1, 3, 504633, 44429.70, 192, 0.00, 1: 61; 2: 37; 3: 5; 
MAPK_Cancer_Cell_Fate_Network,   2,  5, 13,  150, 1, 3, 504375, 44429.70, 67, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 354,  5, 13,  150, 1, 3, 504186, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 352,  7,  8,  150, 1, 3, 443520, 44429.70, 6, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 349,  5, 13,  150, 1, 3, 504442, 44429.70, 86, 0.00, 1: 60; 2: 39; 3: 4; 
MAPK_Cancer_Cell_Fate_Network,   7,  7,  8,  150, 1, 3, 443520, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 384,  5, 11,  150, 1, 3, 435105, 44429.70, 144, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 391,  5, 13,  150, 1, 3, 504450, 44429.70, 0, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 335,  5, 13,  150, 1, 3, 504382, 44429.70, 0, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 969,  7,  8,  150, 1, 3, 443520, 44429.70, 165, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 700,  5, 11,  150, 1, 3, 435105, 44429.70, 1, 0.00, 1: 58; 2: 43; 3: 2; 
MAPK_Cancer_Cell_Fate_Network, 966,  6, 10,  150, 1, 3, 473375, 44429.70, 0, 0.00, 1: 59; 2: 41; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 446,  5, 12,  150, 1, 3, 473459, 44429.70, 0, 0.00, 1: 57; 2: 45; 3: 1; 
MAPK_Cancer_Cell_Fate_Network, 306,  5, 13,  150, 1, 3, 504538, 44429.70, 32, 0.00, 1: 58; 2: 43; 3: 2; 
