Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
3(298)
Melhor resultado nxn: Differentiation_of_T_lymphocytes, 876,  7,  8,  130, 0, 3, 439272, 9033.49, 50, 0.00, 0: 8; 1: 53; 2: 31; 3: 5; 
Differentiation_of_T_lymphocytes, 663,  7,  8,  140, 0, 4, 439143, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 34; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes,  79,  7,  8,  140, 0, 4, 439175, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 40; 3: 4; 4: 1; 
Differentiation_of_T_lymphocytes, 785,  7,  8,  140, 0, 4, 439422, 9033.49, 80, 0.00, 0: 8; 1: 49; 2: 30; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 140,  8,  7,  140, 0, 4, 439236, 9033.49, 86, 0.00, 0: 8; 1: 46; 2: 36; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes, 622,  8,  7,  140, 0, 4, 439188, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 31; 3: 7; 4: 2; 
Differentiation_of_T_lymphocytes, 614,  7,  8,  140, 0, 4, 439270, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 40; 3: 4; 4: 1; 
Differentiation_of_T_lymphocytes, 338,  7,  8,  140, 0, 4, 438933, 9033.49, 15, 0.00, 0: 8; 1: 48; 2: 32; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 811,  9,  6,  140, 0, 4, 426108, 9033.49, 49, 0.00, 0: 8; 1: 46; 2: 36; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes, 607,  6,  9,  140, 0, 4, 426070, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 32; 3: 5; 4: 3; 
Differentiation_of_T_lymphocytes, 597,  8,  7,  140, 0, 4, 439104, 9033.49, 85, 0.00, 0: 8; 1: 48; 2: 32; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 753,  8,  7,  140, 0, 4, 439216, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 33; 3: 6; 4: 2; 
Differentiation_of_T_lymphocytes, 377,  9,  6,  140, 0, 4, 426042, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 40; 3: 4; 4: 1; 
Differentiation_of_T_lymphocytes, 109,  9,  6,  140, 0, 4, 426078, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 38; 3: 5; 4: 1; 
Differentiation_of_T_lymphocytes, 281,  6,  9,  140, 0, 4, 426145, 9033.49, 86, 0.00, 0: 8; 1: 45; 2: 38; 3: 5; 4: 1; 
Differentiation_of_T_lymphocytes, 278,  5, 12,  140, 0, 4, 464086, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes, 964,  9,  6,  140, 0, 4, 426038, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes, 576,  8,  7,  140, 0, 4, 438988, 9033.49, 48, 0.00, 0: 8; 1: 48; 2: 33; 3: 6; 4: 2; 
Differentiation_of_T_lymphocytes, 218,  5, 11,  140, 0, 4, 432270, 9033.49, 15, 0.00, 0: 8; 1: 46; 2: 36; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes, 435,  7,  8,  141, 0, 4, 439069, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 41; 3: 4; 4: 1; 
Differentiation_of_T_lymphocytes, 754,  7,  8,  141, 0, 4, 439320, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 39; 3: 5; 4: 1; 
Differentiation_of_T_lymphocytes, 680,  8,  7,  141, 0, 4, 439248, 9033.49, 32, 0.00, 0: 8; 1: 49; 2: 29; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 447,  5, 10,  141, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 36; 3: 5; 4: 2; 
Differentiation_of_T_lymphocytes, 202,  9,  6,  141, 0, 4, 426025, 9033.49, 71, 0.00, 0: 8; 1: 47; 2: 33; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 124,  6,  9,  141, 0, 4, 425950, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 775,  9,  6,  141, 0, 4, 426106, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 33; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes,  32,  5, 11,  141, 0, 4, 432153, 9033.49, 5, 0.00, 0: 8; 1: 46; 2: 35; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 594,  9,  6,  141, 0, 4, 426044, 9033.49, 15, 0.00, 0: 8; 1: 47; 2: 33; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 862,  8,  7,  141, 0, 4, 439236, 9033.49, 0, 0.00, 0: 8; 1: 42; 2: 43; 3: 3; 4: 1; 
Differentiation_of_T_lymphocytes, 556,  7,  8,  141, 0, 4, 439213, 9033.49, 66, 0.00, 0: 8; 1: 47; 2: 33; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 997,  6,  9,  141, 0, 4, 426135, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 344,  5, 11,  141, 0, 4, 432221, 9033.49, 88, 0.00, 0: 8; 1: 44; 2: 39; 3: 5; 4: 1; 
Differentiation_of_T_lymphocytes, 262,  9,  6,  141, 0, 4, 426090, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 35; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 415,  8,  7,  141, 0, 4, 439149, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 33; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 324,  8,  7,  141, 0, 4, 439219, 9033.49, 86, 0.00, 0: 8; 1: 46; 2: 36; 3: 5; 4: 2; 
Differentiation_of_T_lymphocytes, 406,  5, 12,  142, 0, 4, 464160, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 38; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes, 129,  9,  6,  142, 0, 4, 426255, 9033.49, 24, 0.00, 0: 8; 1: 47; 2: 32; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 470,  8,  7,  142, 0, 4, 439099, 9033.49, 0, 0.00, 0: 8; 1: 42; 2: 42; 3: 4; 4: 1; 
Differentiation_of_T_lymphocytes, 709,  9,  6,  142, 0, 4, 426078, 9033.49, 85, 0.00, 0: 8; 1: 44; 2: 38; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes, 108,  9,  6,  142, 0, 4, 426042, 9033.49, 32, 0.00, 0: 8; 1: 45; 2: 36; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 167,  5, 11,  142, 0, 4, 432194, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 32; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 750,  5, 12,  142, 0, 4, 463808, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 34; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 743,  9,  6,  142, 0, 4, 426126, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 34; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 246,  8,  7,  142, 0, 4, 439226, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 32; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 723,  9,  6,  142, 0, 4, 426024, 9033.49, 196, 0.00, 0: 8; 1: 46; 2: 34; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 840,  9,  6,  142, 0, 4, 426107, 9033.49, 64, 0.00, 0: 8; 1: 49; 2: 28; 3: 11; 4: 1; 
Differentiation_of_T_lymphocytes, 504,  7,  8,  142, 0, 4, 439031, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 36; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 898,  6,  9,  142, 0, 4, 426088, 9033.49, 15, 0.00, 0: 8; 1: 47; 2: 32; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 803,  6,  9,  142, 0, 4, 426077, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 38; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes, 319,  7,  8,  142, 0, 4, 439288, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 38; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes,  90,  8,  7,  142, 0, 4, 439227, 9033.49, 15, 0.00, 0: 8; 1: 45; 2: 36; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes,  30,  7,  8,  142, 0, 4, 439165, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 32; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 342,  9,  6,  142, 0, 4, 426020, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 34; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes,  34,  5, 11,  142, 0, 4, 432123, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 30; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 153,  8,  7,  142, 0, 4, 439187, 9033.49, 85, 0.00, 0: 8; 1: 48; 2: 31; 3: 8; 4: 2; 
Differentiation_of_T_lymphocytes, 887,  5, 12,  142, 0, 4, 463699, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 32; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 516,  8,  7,  143, 0, 4, 439276, 9033.49, 86, 0.00, 0: 8; 1: 45; 2: 35; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 184,  6,  9,  143, 0, 4, 426159, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 37; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 791,  5, 12,  143, 0, 4, 464087, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 30; 3: 9; 4: 2; 
Differentiation_of_T_lymphocytes, 651,  6,  9,  143, 0, 4, 426006, 9033.49, 196, 0.00, 0: 8; 1: 46; 2: 33; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 186,  7,  8,  143, 0, 4, 439183, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 37; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 550,  9,  6,  143, 0, 4, 425940, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 32; 3: 8; 4: 2; 
Differentiation_of_T_lymphocytes,   3,  7,  8,  143, 0, 4, 439241, 9033.49, 150, 0.00, 0: 8; 1: 45; 2: 35; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 314,  6,  9,  143, 0, 4, 426107, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 31; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes,  44,  5, 12,  143, 0, 4, 464202, 9033.49, 32, 0.00, 0: 8; 1: 45; 2: 36; 3: 6; 4: 2; 
Differentiation_of_T_lymphocytes,  43,  5, 11,  143, 0, 4, 432139, 9033.49, 52, 0.00, 0: 8; 1: 47; 2: 31; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 613,  5, 10,  143, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 35; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 407,  5, 12,  143, 0, 4, 464197, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 31; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 975,  8,  7,  143, 0, 4, 439119, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 39; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes,  99,  8,  7,  143, 0, 4, 439294, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 36; 3: 6; 4: 2; 
Differentiation_of_T_lymphocytes, 592,  5, 12,  143, 0, 4, 464201, 9033.49, 64, 0.00, 0: 8; 1: 45; 2: 35; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 422,  5, 12,  143, 0, 4, 464005, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 34; 3: 7; 4: 2; 
Differentiation_of_T_lymphocytes, 450,  7,  8,  143, 0, 4, 439184, 9033.49, 15, 0.00, 0: 8; 1: 46; 2: 33; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 820,  7,  8,  143, 0, 4, 439241, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 35; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 270,  7,  8,  143, 0, 4, 439127, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 35; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 159,  9,  6,  143, 0, 4, 426049, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 33; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 566,  9,  6,  143, 0, 4, 426088, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 35; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 271,  7,  8,  143, 0, 4, 438977, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 29; 3: 11; 4: 1; 
Differentiation_of_T_lymphocytes, 134,  5, 11,  143, 0, 4, 432222, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 36; 3: 6; 4: 2; 
Differentiation_of_T_lymphocytes, 738,  6,  9,  143, 0, 4, 426106, 9033.49, 0, 0.00, 0: 8; 1: 51; 2: 25; 3: 10; 4: 3; 
Differentiation_of_T_lymphocytes, 396,  5, 12,  143, 0, 4, 463747, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 28; 3: 10; 4: 2; 
Differentiation_of_T_lymphocytes, 877,  5, 12,  144, 0, 4, 464237, 9033.49, 32, 0.00, 0: 8; 1: 44; 2: 37; 3: 6; 4: 2; 
Differentiation_of_T_lymphocytes, 981,  7,  8,  144, 0, 4, 439375, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 36; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 410,  5, 11,  144, 0, 4, 432208, 9033.49, 15, 0.00, 0: 8; 1: 46; 2: 32; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 609,  6,  9,  144, 0, 4, 426075, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 33; 3: 8; 4: 2; 
Differentiation_of_T_lymphocytes, 182,  5, 10,  144, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 38; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 600,  6,  9,  144, 0, 4, 426118, 9033.49, 88, 0.00, 0: 8; 1: 46; 2: 32; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 807,  9,  6,  144, 0, 4, 426014, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 30; 3: 11; 4: 1; 
Differentiation_of_T_lymphocytes, 223,  5, 12,  144, 0, 4, 464025, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 30; 3: 11; 4: 1; 
Differentiation_of_T_lymphocytes,  68,  5, 12,  144, 0, 4, 464046, 9033.49, 86, 0.00, 0: 8; 1: 46; 2: 32; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 430,  6,  9,  144, 0, 4, 426006, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 36; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 829,  6,  9,  144, 0, 4, 426065, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 30; 3: 11; 4: 1; 
Differentiation_of_T_lymphocytes, 772,  7,  8,  144, 0, 4, 439129, 9033.49, 86, 0.00, 0: 8; 1: 44; 2: 37; 3: 6; 4: 2; 
Differentiation_of_T_lymphocytes, 142,  5, 11,  144, 0, 4, 432263, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 32; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 294,  5, 11,  144, 0, 4, 432188, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 38; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 579,  5, 10,  144, 0, 4, 395675, 9033.49, 196, 0.00, 0: 8; 1: 45; 2: 34; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 858,  6,  9,  144, 0, 4, 426115, 9033.49, 15, 0.00, 0: 8; 1: 47; 2: 30; 3: 11; 4: 1; 
Differentiation_of_T_lymphocytes, 243,  7,  8,  144, 0, 4, 439196, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 37; 3: 6; 4: 2; 
Differentiation_of_T_lymphocytes, 301,  5, 11,  144, 0, 4, 432083, 9033.49, 51, 0.00, 0: 8; 1: 47; 2: 31; 3: 9; 4: 2; 
Differentiation_of_T_lymphocytes, 960,  9,  6,  144, 0, 4, 426109, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 33; 3: 8; 4: 2; 
Differentiation_of_T_lymphocytes, 267,  8,  7,  144, 0, 4, 439165, 9033.49, 195, 0.00, 0: 8; 1: 43; 2: 39; 3: 5; 4: 2; 
Differentiation_of_T_lymphocytes, 357,  5, 11,  144, 0, 4, 432062, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 32; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 841,  5, 12,  144, 0, 4, 464040, 9033.49, 80, 0.00, 0: 8; 1: 45; 2: 36; 3: 5; 4: 3; 
Differentiation_of_T_lymphocytes, 562,  7,  8,  144, 0, 4, 439259, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 35; 3: 7; 4: 2; 
Differentiation_of_T_lymphocytes,  46,  6,  9,  144, 0, 4, 426057, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 36; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 642,  8,  7,  144, 0, 4, 439205, 9033.49, 15, 0.00, 0: 8; 1: 43; 2: 38; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 719,  6,  9,  144, 0, 4, 426067, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 34; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 198,  5, 11,  144, 0, 4, 432025, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 39; 3: 5; 4: 2; 
Differentiation_of_T_lymphocytes, 445,  9,  6,  144, 0, 4, 426193, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 38; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 326,  9,  6,  144, 0, 4, 426098, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 36; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 761,  6,  9,  144, 0, 4, 426133, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 38; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 919,  5, 12,  144, 0, 4, 464114, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 34; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 704,  9,  6,  144, 0, 4, 426078, 9033.49, 176, 0.00, 0: 8; 1: 47; 2: 30; 3: 11; 4: 1; 
Differentiation_of_T_lymphocytes, 453,  5, 12,  144, 0, 4, 464113, 9033.49, 85, 0.00, 0: 8; 1: 45; 2: 34; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 886,  5, 10,  144, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 34; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 726,  5, 10,  144, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 32; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 433,  6,  9,  144, 0, 4, 425943, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 38; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 467,  6,  9,  144, 0, 4, 426122, 9033.49, 196, 0.00, 0: 8; 1: 46; 2: 33; 3: 8; 4: 2; 
Differentiation_of_T_lymphocytes, 694,  7,  8,  145, 0, 4, 439341, 9033.49, 0, 0.00, 0: 8; 1: 41; 2: 41; 3: 6; 4: 1; 
Differentiation_of_T_lymphocytes, 808,  5, 10,  145, 0, 4, 395675, 9033.49, 32, 0.00, 0: 8; 1: 43; 2: 37; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 523,  5, 10,  145, 0, 4, 395675, 9033.49, 196, 0.00, 0: 8; 1: 44; 2: 36; 3: 7; 4: 2; 
Differentiation_of_T_lymphocytes, 972,  5, 10,  145, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 35; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 734,  5, 11,  145, 0, 4, 431992, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 33; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 305,  5, 12,  145, 0, 4, 463945, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 33; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 486,  9,  6,  145, 0, 4, 426110, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 37; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 746,  9,  6,  145, 0, 4, 426133, 9033.49, 76, 0.00, 0: 8; 1: 44; 2: 35; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes,  82,  5, 11,  145, 0, 4, 432161, 9033.49, 71, 0.00, 0: 8; 1: 44; 2: 37; 3: 5; 4: 3; 
Differentiation_of_T_lymphocytes, 987,  9,  6,  145, 0, 4, 426009, 9033.49, 196, 0.00, 0: 8; 1: 44; 2: 35; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 903,  6,  9,  145, 0, 4, 426069, 9033.49, 0, 0.00, 0: 8; 1: 48; 2: 27; 3: 13; 4: 1; 
Differentiation_of_T_lymphocytes, 239,  6,  9,  145, 0, 4, 425900, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 34; 3: 8; 4: 2; 
Differentiation_of_T_lymphocytes, 845,  5, 12,  145, 0, 4, 464307, 9033.49, 85, 0.00, 0: 8; 1: 47; 2: 30; 3: 10; 4: 2; 
Differentiation_of_T_lymphocytes, 522,  5, 12,  145, 0, 4, 464049, 9033.49, 15, 0.00, 0: 8; 1: 42; 2: 39; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 315,  5, 11,  145, 0, 4, 432069, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 37; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 943,  5, 10,  145, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 37; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 843,  7,  8,  145, 0, 4, 439317, 9033.49, 196, 0.00, 0: 8; 1: 45; 2: 33; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 122,  5, 12,  145, 0, 4, 464141, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 32; 3: 9; 4: 2; 
Differentiation_of_T_lymphocytes, 962,  6,  9,  145, 0, 4, 426108, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 33; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 400,  7,  8,  145, 0, 4, 439151, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 37; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 375,  5, 10,  146, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 30; 3: 12; 4: 1; 
Differentiation_of_T_lymphocytes, 648,  7,  8,  146, 0, 4, 439231, 9033.49, 128, 0.00, 0: 8; 1: 45; 2: 33; 3: 9; 4: 2; 
Differentiation_of_T_lymphocytes, 320,  6,  9,  146, 0, 4, 426118, 9033.49, 160, 0.00, 0: 8; 1: 46; 2: 31; 3: 10; 4: 2; 
Differentiation_of_T_lymphocytes, 431,  5, 12,  146, 0, 4, 464022, 9033.49, 0, 0.00, 0: 8; 1: 47; 2: 28; 3: 13; 4: 1; 
Differentiation_of_T_lymphocytes,  77,  9,  6,  146, 0, 4, 426102, 9033.49, 85, 0.00, 0: 8; 1: 41; 2: 40; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 950,  5, 11,  146, 0, 4, 432178, 9033.49, 0, 0.00, 0: 8; 1: 41; 2: 41; 3: 5; 4: 2; 
Differentiation_of_T_lymphocytes, 132,  5, 11,  146, 0, 4, 432167, 9033.49, 86, 0.00, 0: 8; 1: 46; 2: 33; 3: 6; 4: 4; 
Differentiation_of_T_lymphocytes, 279,  6,  9,  146, 0, 4, 426162, 9033.49, 0, 0.00, 0: 8; 1: 43; 2: 36; 3: 9; 4: 1; 
Differentiation_of_T_lymphocytes, 277,  6,  9,  146, 0, 4, 426150, 9033.49, 85, 0.00, 0: 8; 1: 44; 2: 34; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 361,  7,  8,  146, 0, 4, 439319, 9033.49, 71, 0.00, 0: 8; 1: 46; 2: 30; 3: 12; 4: 1; 
Differentiation_of_T_lymphocytes, 953,  8,  7,  146, 0, 4, 439155, 9033.49, 0, 0.00, 0: 8; 1: 46; 2: 32; 3: 8; 4: 3; 
Differentiation_of_T_lymphocytes, 980,  5, 12,  146, 0, 4, 464062, 9033.49, 0, 0.00, 0: 8; 1: 42; 2: 38; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 722,  5, 10,  146, 0, 4, 395675, 9033.49, 15, 0.00, 0: 8; 1: 43; 2: 37; 3: 7; 4: 2; 
Differentiation_of_T_lymphocytes, 800,  6,  9,  146, 0, 4, 426081, 9033.49, 7, 0.00, 0: 8; 1: 42; 2: 38; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 724,  8,  7,  146, 0, 4, 439187, 9033.49, 86, 0.00, 0: 8; 1: 45; 2: 34; 3: 7; 4: 3; 
Differentiation_of_T_lymphocytes, 437,  7,  8,  146, 0, 4, 439223, 9033.49, 0, 0.00, 0: 8; 1: 42; 2: 38; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 102,  5, 10,  146, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 45; 2: 32; 3: 11; 4: 1; 
Differentiation_of_T_lymphocytes, 615,  5, 12,  146, 0, 4, 464154, 9033.49, 0, 0.00, 0: 8; 1: 41; 2: 40; 3: 7; 4: 1; 
Differentiation_of_T_lymphocytes, 312,  5, 11,  146, 0, 4, 432187, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 34; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 770,  5, 11,  146, 0, 4, 432250, 9033.49, 15, 0.00, 0: 8; 1: 47; 2: 30; 3: 9; 4: 3; 
Differentiation_of_T_lymphocytes, 408,  5, 12,  146, 0, 4, 463976, 9033.49, 152, 0.00, 0: 8; 1: 47; 2: 29; 3: 11; 4: 2; 
Differentiation_of_T_lymphocytes, 237,  5, 11,  146, 0, 4, 432213, 9033.49, 115, 0.00, 0: 8; 1: 45; 2: 33; 3: 9; 4: 2; 
Differentiation_of_T_lymphocytes, 313,  5, 11,  146, 0, 4, 432212, 9033.49, 0, 0.00, 0: 8; 1: 42; 2: 38; 3: 8; 4: 1; 
Differentiation_of_T_lymphocytes, 226,  5, 12,  146, 0, 4, 463751, 9033.49, 0, 0.00, 0: 8; 1: 49; 2: 27; 3: 9; 4: 4; 
Differentiation_of_T_lymphocytes, 292,  5, 10,  146, 0, 4, 395675, 9033.49, 0, 0.00, 0: 8; 1: 44; 2: 34; 3: 10; 4: 1; 
Differentiation_of_T_lymphocytes, 817,  6,  9,  146, 0, 4, 426058, 9033.49, 0, 0.00, 0: 8; 1: 42; 2: 38; 3: 8; 4: 1; 
