Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
3(242)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 208,  9,  8,  174, 1, 3, 570556, 13022.43, 13, 0.00, 1: 95; 2: 26; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 792,  9,  8,  185, 1, 4, 569527, 13022.43, 57, 0.00, 1: 86; 2: 35; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 940, 10,  7,  185, 1, 4, 557276, 13022.43, 33, 0.00, 1: 87; 2: 32; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 476,  6, 13,  185, 1, 4, 609122, 13022.43, 66, 0.00, 1: 85; 2: 36; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  44,  8,  9,  185, 1, 4, 570477, 13022.43, 61, 0.00, 1: 82; 2: 42; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 554,  8,  9,  185, 1, 4, 570619, 13022.43, 0, 0.00, 1: 82; 2: 42; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  91, 10,  7,  185, 1, 4, 557147, 13022.43, 0, 0.00, 1: 85; 2: 38; 3: 4; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  38,  7, 10,  185, 1, 4, 557054, 13022.43, 0, 0.00, 1: 85; 2: 37; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 888,  6, 13,  185, 1, 4, 610572, 13022.43, 62, 0.00, 1: 87; 2: 34; 3: 6; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 419,  6, 13,  185, 1, 4, 610564, 13022.43, 0, 0.00, 1: 84; 2: 39; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 630,  7, 10,  185, 1, 4, 556974, 13022.43, 0, 0.00, 1: 86; 2: 35; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 695,  7, 10,  185, 1, 4, 557304, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 722,  7, 11,  185, 1, 4, 605255, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  90,  6, 12,  185, 1, 4, 570171, 13022.43, 0, 0.00, 1: 87; 2: 33; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 234,  6, 13,  185, 1, 4, 610000, 13022.43, 0, 0.00, 1: 81; 2: 44; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 247,  7, 10,  185, 1, 4, 557295, 13022.43, 0, 0.00, 1: 87; 2: 33; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 250,  5, 16,  185, 1, 4, 622604, 13022.43, 0, 0.00, 1: 88; 2: 32; 3: 7; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  94,  8,  9,  185, 1, 4, 569714, 13022.43, 0, 0.00, 1: 88; 2: 31; 3: 9; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 960,  6, 12,  185, 1, 4, 570584, 13022.43, 64, 0.00, 1: 83; 2: 40; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 738,  7, 11,  185, 1, 4, 604798, 13022.43, 0, 0.00, 1: 85; 2: 37; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 967,  6, 12,  185, 1, 4, 569795, 13022.43, 0, 0.00, 1: 82; 2: 42; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 983,  7, 10,  185, 1, 4, 557223, 13022.43, 0, 0.00, 1: 81; 2: 44; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 145,  6, 13,  185, 1, 4, 610166, 13022.43, 0, 0.00, 1: 81; 2: 45; 3: 2; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 116,  7, 10,  185, 1, 4, 557282, 13022.43, 6, 0.00, 1: 86; 2: 34; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 896,  9,  8,  185, 1, 4, 569876, 13022.43, 62, 0.00, 1: 84; 2: 38; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 707,  5, 15,  185, 1, 4, 590423, 13022.43, 0, 0.00, 1: 87; 2: 33; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 603,  9,  8,  185, 1, 4, 570528, 13022.43, 0, 0.00, 1: 86; 2: 36; 3: 5; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 604,  8,  9,  185, 1, 4, 570356, 13022.43, 27, 0.00, 1: 84; 2: 38; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 685,  6, 12,  185, 1, 4, 569888, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  35, 10,  7,  185, 1, 4, 557111, 13022.43, 0, 0.00, 1: 81; 2: 44; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 761,  6, 13,  185, 1, 4, 610112, 13022.43, 0, 0.00, 1: 85; 2: 37; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 712, 10,  7,  185, 1, 4, 557231, 13022.43, 50, 0.00, 1: 84; 2: 38; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 868,  7, 10,  185, 1, 4, 557097, 13022.43, 10, 0.00, 1: 86; 2: 35; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 955,  6, 13,  185, 1, 4, 609649, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 718,  7, 10,  185, 1, 4, 557142, 13022.43, 0, 0.00, 1: 87; 2: 32; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  43,  6, 12,  185, 1, 4, 570303, 13022.43, 0, 0.00, 1: 86; 2: 35; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 111,  6, 13,  186, 1, 4, 610665, 13022.43, 0, 0.00, 1: 86; 2: 34; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 110,  7, 10,  186, 1, 4, 557299, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 694,  6, 12,  186, 1, 4, 570598, 13022.43, 0, 0.00, 1: 86; 2: 35; 3: 6; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 853,  5, 16,  186, 1, 4, 622260, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 666,  6, 12,  186, 1, 4, 570264, 13022.43, 0, 0.00, 1: 83; 2: 39; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 808,  6, 12,  186, 1, 4, 570476, 13022.43, 58, 0.00, 1: 84; 2: 37; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 920,  6, 12,  186, 1, 4, 570123, 13022.43, 62, 0.00, 1: 82; 2: 41; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 923,  9,  8,  186, 1, 4, 570171, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 924,  9,  8,  186, 1, 4, 570443, 13022.43, 7, 0.00, 1: 81; 2: 43; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 809,  6, 13,  186, 1, 4, 610117, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 700, 10,  7,  186, 1, 4, 557214, 13022.43, 30, 0.00, 1: 87; 2: 32; 3: 9; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 107,  6, 13,  186, 1, 4, 610541, 13022.43, 0, 0.00, 1: 88; 2: 30; 3: 10; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 106, 10,  7,  186, 1, 4, 557028, 13022.43, 0, 0.00, 1: 82; 2: 41; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 819, 10,  7,  186, 1, 4, 557267, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 906,  8,  9,  186, 1, 4, 569813, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 889,  7, 10,  186, 1, 4, 557309, 13022.43, 0, 0.00, 1: 84; 2: 37; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 597,  6, 13,  186, 1, 4, 610570, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 590,  9,  8,  186, 1, 4, 570100, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 770,  6, 12,  186, 1, 4, 570253, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 586,  8,  9,  186, 1, 4, 570455, 13022.43, 0, 0.00, 1: 82; 2: 41; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 147,  8,  9,  186, 1, 4, 570559, 13022.43, 0, 0.00, 1: 82; 2: 41; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 618, 10,  7,  186, 1, 4, 557321, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 619,  6, 13,  186, 1, 4, 609252, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 578,  9,  8,  186, 1, 4, 570673, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 621,  7, 10,  186, 1, 4, 557239, 13022.43, 0, 0.00, 1: 86; 2: 34; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 575,  7, 11,  186, 1, 4, 604571, 13022.43, 0, 0.00, 1: 84; 2: 37; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 892,  7, 11,  186, 1, 4, 604785, 13022.43, 4, 0.00, 1: 83; 2: 40; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 536,  6, 13,  186, 1, 4, 610675, 13022.43, 36, 0.00, 1: 84; 2: 37; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 564,  6, 12,  186, 1, 4, 570370, 13022.43, 31, 0.00, 1: 84; 2: 38; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  54,  6, 12,  186, 1, 4, 570498, 13022.43, 0, 0.00, 1: 83; 2: 39; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 885,  6, 13,  186, 1, 4, 610178, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 548,  7, 11,  186, 1, 4, 605139, 13022.43, 19, 0.00, 1: 82; 2: 41; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 908,  8,  9,  186, 1, 4, 570233, 13022.43, 57, 0.00, 1: 82; 2: 42; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  48,  6, 12,  186, 1, 4, 570416, 13022.43, 0, 0.00, 1: 84; 2: 37; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 543,  9,  8,  186, 1, 4, 569984, 13022.43, 0, 0.00, 1: 83; 2: 39; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 731,  6, 13,  186, 1, 4, 610143, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 537,  5, 14,  186, 1, 4, 556867, 13022.43, 0, 0.00, 1: 86; 2: 34; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 798,  7, 11,  186, 1, 4, 604802, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 217,  7, 11,  186, 1, 4, 604354, 13022.43, 0, 0.00, 1: 81; 2: 45; 3: 1; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 328, 10,  7,  186, 1, 4, 556924, 13022.43, 21, 0.00, 1: 83; 2: 39; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 261,  7, 11,  186, 1, 4, 604768, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 346,  6, 13,  186, 1, 4, 610426, 13022.43, 0, 0.00, 1: 88; 2: 31; 3: 8; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 321,  9,  8,  186, 1, 4, 569935, 13022.43, 0, 0.00, 1: 84; 2: 37; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 461, 10,  7,  186, 1, 4, 557314, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 459,  8,  9,  186, 1, 4, 569545, 13022.43, 0, 0.00, 1: 87; 2: 32; 3: 9; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,   4,  9,  8,  186, 1, 4, 570702, 13022.43, 93, 0.00, 1: 82; 2: 41; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 360,  6, 13,  186, 1, 4, 610272, 13022.43, 24, 0.00, 1: 82; 2: 41; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 312,  9,  8,  186, 1, 4, 570234, 13022.43, 20, 0.00, 1: 86; 2: 33; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  17,  8,  9,  186, 1, 4, 570484, 13022.43, 88, 0.00, 1: 85; 2: 37; 3: 5; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 378,  6, 12,  186, 1, 4, 570201, 13022.43, 0, 0.00, 1: 87; 2: 31; 3: 11; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 242,  9,  8,  186, 1, 4, 570518, 13022.43, 0, 0.00, 1: 81; 2: 43; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 928,  6, 12,  186, 1, 4, 570300, 13022.43, 62, 0.00, 1: 85; 2: 35; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 953,  9,  8,  186, 1, 4, 570296, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 935,  5, 16,  186, 1, 4, 622444, 13022.43, 0, 0.00, 1: 86; 2: 33; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 235,  9,  8,  186, 1, 4, 570483, 13022.43, 0, 0.00, 1: 83; 2: 39; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 504,  6, 12,  186, 1, 4, 570625, 13022.43, 33, 0.00, 1: 85; 2: 36; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 431,  7, 11,  186, 1, 4, 604865, 13022.43, 0, 0.00, 1: 87; 2: 32; 3: 9; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 945,  7, 10,  187, 1, 4, 557201, 13022.43, 0, 0.00, 1: 82; 2: 41; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 135, 10,  7,  187, 1, 4, 557272, 13022.43, 0, 0.00, 1: 83; 2: 40; 3: 4; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  39, 10,  7,  187, 1, 4, 557226, 13022.43, 0, 0.00, 1: 81; 2: 42; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 703,  7, 10,  187, 1, 4, 556991, 13022.43, 0, 0.00, 1: 85; 2: 35; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 626,  7, 11,  187, 1, 4, 604476, 13022.43, 0, 0.00, 1: 85; 2: 35; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 348,  8,  9,  187, 1, 4, 570179, 13022.43, 39, 0.00, 1: 83; 2: 38; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 210,  6, 13,  187, 1, 4, 610673, 13022.43, 0, 0.00, 1: 80; 2: 44; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 131,  7, 10,  187, 1, 4, 557284, 13022.43, 0, 0.00, 1: 85; 2: 35; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 230,  6, 12,  187, 1, 4, 569853, 13022.43, 0, 0.00, 1: 81; 2: 42; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 638,  8,  9,  187, 1, 4, 570506, 13022.43, 0, 0.00, 1: 87; 2: 31; 3: 10; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 724, 10,  7,  187, 1, 4, 556697, 13022.43, 21, 0.00, 1: 79; 2: 46; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 340, 10,  7,  187, 1, 4, 557144, 13022.43, 13, 0.00, 1: 84; 2: 36; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 338,  5, 14,  187, 1, 4, 557224, 13022.43, 0, 0.00, 1: 81; 2: 42; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 233,  6, 13,  187, 1, 4, 610515, 13022.43, 0, 0.00, 1: 84; 2: 36; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 612,  6, 13,  187, 1, 4, 610106, 13022.43, 0, 0.00, 1: 85; 2: 34; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 584,  7, 10,  187, 1, 4, 557173, 13022.43, 39, 0.00, 1: 87; 2: 31; 3: 10; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 585,  5, 15,  187, 1, 4, 590831, 13022.43, 0, 0.00, 1: 86; 2: 33; 3: 9; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 620,  6, 12,  187, 1, 4, 570461, 13022.43, 42, 0.00, 1: 82; 2: 41; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 249,  5, 16,  187, 1, 4, 623600, 13022.43, 0, 0.00, 1: 87; 2: 32; 3: 8; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 598,  6, 12,  187, 1, 4, 570181, 13022.43, 0, 0.00, 1: 84; 2: 36; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 961,  6, 13,  187, 1, 4, 609324, 13022.43, 0, 0.00, 1: 82; 2: 40; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 244,  6, 12,  187, 1, 4, 570556, 13022.43, 21, 0.00, 1: 85; 2: 34; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 102, 10,  7,  187, 1, 4, 556749, 13022.43, 0, 0.00, 1: 83; 2: 38; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 952,  6, 12,  187, 1, 4, 570293, 13022.43, 64, 0.00, 1: 83; 2: 39; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 123,  7, 10,  187, 1, 4, 557303, 13022.43, 0, 0.00, 1: 82; 2: 40; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 435,  5, 15,  187, 1, 4, 591051, 13022.43, 0, 0.00, 1: 83; 2: 38; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 397,  6, 12,  187, 1, 4, 570345, 13022.43, 0, 0.00, 1: 84; 2: 36; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 390,  8,  9,  187, 1, 4, 569917, 13022.43, 0, 0.00, 1: 80; 2: 44; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 879,  9,  8,  187, 1, 4, 570601, 13022.43, 0, 0.00, 1: 84; 2: 38; 3: 5; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 766,  7, 11,  187, 1, 4, 604389, 13022.43, 0, 0.00, 1: 79; 2: 46; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 172,  7, 11,  187, 1, 4, 604352, 13022.43, 60, 0.00, 1: 82; 2: 40; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,   1,  5, 16,  187, 1, 4, 623208, 13022.43, 255, 0.00, 1: 85; 2: 34; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  81,  8,  9,  187, 1, 4, 570364, 13022.43, 0, 0.00, 1: 84; 2: 36; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 535,  5, 15,  187, 1, 4, 590716, 13022.43, 0, 0.00, 1: 84; 2: 37; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  79,  6, 12,  187, 1, 4, 570095, 13022.43, 0, 0.00, 1: 84; 2: 37; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 175,  7, 10,  187, 1, 4, 556888, 13022.43, 0, 0.00, 1: 86; 2: 35; 3: 5; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 191,  6, 12,  187, 1, 4, 570254, 13022.43, 0, 0.00, 1: 86; 2: 33; 3: 9; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  75,  5, 16,  187, 1, 4, 622608, 13022.43, 0, 0.00, 1: 87; 2: 32; 3: 8; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 552,  8,  9,  187, 1, 4, 570332, 13022.43, 37, 0.00, 1: 83; 2: 38; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 274,  6, 13,  187, 1, 4, 610282, 13022.43, 0, 0.00, 1: 89; 2: 27; 3: 12; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 904,  6, 12,  187, 1, 4, 570365, 13022.43, 62, 0.00, 1: 84; 2: 36; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 473,  6, 13,  187, 1, 4, 609529, 13022.43, 0, 0.00, 1: 82; 2: 40; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 826, 10,  7,  187, 1, 4, 557286, 13022.43, 0, 0.00, 1: 85; 2: 36; 3: 6; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 278,  6, 13,  187, 1, 4, 610460, 13022.43, 0, 0.00, 1: 81; 2: 42; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 514,  9,  8,  188, 1, 4, 569904, 13022.43, 0, 0.00, 1: 81; 2: 41; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 998, 10,  7,  188, 1, 4, 557226, 13022.43, 0, 0.00, 1: 85; 2: 33; 3: 11; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 634,  5, 15,  188, 1, 4, 590210, 13022.43, 0, 0.00, 1: 84; 2: 36; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 243,  5, 15,  188, 1, 4, 590899, 13022.43, 0, 0.00, 1: 85; 2: 34; 3: 9; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  80,  6, 13,  188, 1, 4, 609115, 13022.43, 3, 0.00, 1: 81; 2: 41; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 818, 10,  7,  188, 1, 4, 557340, 13022.43, 0, 0.00, 1: 85; 2: 33; 3: 11; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 493,  9,  8,  188, 1, 4, 570406, 13022.43, 0, 0.00, 1: 84; 2: 36; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 505,  9,  8,  188, 1, 4, 570258, 13022.43, 0, 0.00, 1: 84; 2: 35; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 793,  5, 14,  188, 1, 4, 557059, 13022.43, 0, 0.00, 1: 84; 2: 36; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  62,  7, 10,  188, 1, 4, 557199, 13022.43, 0, 0.00, 1: 81; 2: 42; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 300,  5, 15,  188, 1, 4, 590941, 13022.43, 2, 0.00, 1: 82; 2: 40; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 420,  6, 13,  188, 1, 4, 610646, 13022.43, 41, 0.00, 1: 80; 2: 43; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 124,  5, 16,  188, 1, 4, 621696, 13022.43, 4, 0.00, 1: 83; 2: 38; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 430,  5, 15,  188, 1, 4, 590723, 13022.43, 0, 0.00, 1: 86; 2: 34; 3: 6; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo, 336,  7, 11,  188, 1, 4, 605124, 13022.43, 22, 0.00, 1: 81; 2: 41; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  70,  5, 16,  188, 1, 4, 623162, 13022.43, 0, 0.00, 1: 83; 2: 39; 3: 5; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 236,  5, 15,  188, 1, 4, 590653, 13022.43, 59, 0.00, 1: 83; 2: 38; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 806,  6, 12,  188, 1, 4, 569861, 13022.43, 0, 0.00, 1: 88; 2: 29; 3: 10; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  16, 10,  7,  188, 1, 4, 557423, 13022.43, 160, 0.00, 1: 84; 2: 36; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 364,  5, 14,  188, 1, 4, 557248, 13022.43, 25, 0.00, 1: 83; 2: 37; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 855,  6, 12,  188, 1, 4, 569804, 13022.43, 0, 0.00, 1: 85; 2: 33; 3: 11; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 265,  8,  9,  188, 1, 4, 570248, 13022.43, 0, 0.00, 1: 80; 2: 44; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 551,  8,  9,  188, 1, 4, 570275, 13022.43, 0, 0.00, 1: 83; 2: 39; 3: 5; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 975,  6, 13,  188, 1, 4, 610173, 13022.43, 0, 0.00, 1: 82; 2: 40; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 767,  7, 10,  188, 1, 4, 557251, 13022.43, 0, 0.00, 1: 81; 2: 41; 3: 7; 4: 1; 
