Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(417)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 429,  7, 10,  165, 1, 3, 557233, 11999.60, 0, 0.00, 1: 98; 2: 29; 3: 3; 
Bortezomib_Responses_in_U266_Human_Myelo,  98,  5, 16,  181, 1, 3, 622802, 11999.60, 0, 0.00, 1: 86; 2: 37; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 788,  6, 13,  181, 1, 3, 611001, 11999.60, 64, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 669,  5, 14,  181, 1, 3, 557143, 11999.60, 0, 0.00, 1: 89; 2: 31; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 390,  8,  9,  181, 1, 3, 570680, 11999.60, 0, 0.00, 1: 91; 2: 27; 3: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 865,  5, 15,  181, 1, 3, 590427, 11999.60, 0, 0.00, 1: 88; 2: 33; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 912,  5, 16,  181, 1, 3, 622331, 11999.60, 62, 0.00, 1: 85; 2: 39; 3: 6; 
Bortezomib_Responses_in_U266_Human_Myelo, 693,  5, 15,  181, 1, 3, 590086, 11999.60, 0, 0.00, 1: 84; 2: 41; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo, 299,  5, 16,  182, 1, 3, 622414, 11999.60, 0, 0.00, 1: 88; 2: 32; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 228,  5, 16,  182, 1, 3, 622965, 11999.60, 9, 0.00, 1: 87; 2: 34; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 915,  5, 15,  183, 1, 3, 590691, 11999.60, 0, 0.00, 1: 86; 2: 35; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo, 252,  5, 15,  183, 1, 3, 590516, 11999.60, 50, 0.00, 1: 87; 2: 33; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 150,  6, 12,  183, 1, 3, 570374, 11999.60, 0, 0.00, 1: 84; 2: 39; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 839,  5, 16,  184, 1, 3, 622813, 11999.60, 0, 0.00, 1: 85; 2: 36; 3: 9; 
Bortezomib_Responses_in_U266_Human_Myelo,  76,  5, 16,  184, 1, 3, 622799, 11999.60, 5, 0.00, 1: 83; 2: 40; 3: 7; 
Bortezomib_Responses_in_U266_Human_Myelo,  79,  6, 12,  185, 1, 3, 570173, 11999.60, 0, 0.00, 1: 85; 2: 35; 3: 10; 
Bortezomib_Responses_in_U266_Human_Myelo, 916,  8,  9,  164, 1, 4, 570529, 11999.60, 43, 0.00, 1: 101; 2: 25; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 938, 10,  7,  167, 1, 4, 557170, 11999.60, 0, 0.00, 1: 97; 2: 31; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 135, 10,  7,  168, 1, 4, 557293, 11999.60, 0, 0.00, 1: 97; 2: 29; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 151,  8,  9,  168, 1, 4, 570588, 11999.60, 0, 0.00, 1: 97; 2: 29; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 347,  9,  8,  168, 1, 4, 570319, 11999.60, 0, 0.00, 1: 94; 2: 35; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 115,  6, 13,  169, 1, 4, 610034, 11999.60, 0, 0.00, 1: 99; 2: 24; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,   7, 10,  7,  169, 1, 4, 557106, 11999.60, 0, 0.00, 1: 94; 2: 34; 3: 1; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 798,  7, 11,  169, 1, 4, 604676, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 119,  7, 10,  169, 1, 4, 557241, 11999.60, 0, 0.00, 1: 97; 2: 28; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 103,  9,  8,  169, 1, 4, 570330, 11999.60, 0, 0.00, 1: 97; 2: 28; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 570,  8,  9,  169, 1, 4, 570141, 11999.60, 0, 0.00, 1: 97; 2: 28; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 569,  6, 13,  169, 1, 4, 609960, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 838,  8,  9,  170, 1, 4, 570580, 11999.60, 0, 0.00, 1: 93; 2: 35; 3: 1; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 663,  8,  9,  170, 1, 4, 570428, 11999.60, 0, 0.00, 1: 94; 2: 33; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 870,  6, 13,  170, 1, 4, 610247, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 2; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 873,  6, 13,  170, 1, 4, 610365, 11999.60, 0, 0.00, 1: 98; 2: 25; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 622,  7, 10,  170, 1, 4, 556915, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 2; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 813,  7, 11,  170, 1, 4, 604671, 11999.60, 0, 0.00, 1: 100; 2: 21; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 704,  7, 10,  170, 1, 4, 557205, 11999.60, 49, 0.00, 1: 96; 2: 29; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 573,  7, 10,  170, 1, 4, 557158, 11999.60, 0, 0.00, 1: 94; 2: 33; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 556,  7, 11,  170, 1, 4, 604661, 11999.60, 52, 0.00, 1: 97; 2: 27; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 999,  6, 12,  170, 1, 4, 570524, 11999.60, 0, 0.00, 1: 96; 2: 29; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 274,  6, 13,  170, 1, 4, 610725, 11999.60, 0, 0.00, 1: 97; 2: 27; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 346,  6, 13,  170, 1, 4, 610162, 11999.60, 0, 0.00, 1: 97; 2: 27; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 343,  8,  9,  170, 1, 4, 570249, 11999.60, 0, 0.00, 1: 94; 2: 33; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 312,  9,  8,  170, 1, 4, 570107, 11999.60, 20, 0.00, 1: 95; 2: 31; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 201,  9,  8,  170, 1, 4, 569177, 11999.60, 0, 0.00, 1: 98; 2: 25; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 983,  7, 10,  171, 1, 4, 557174, 11999.60, 0, 0.00, 1: 96; 2: 29; 3: 3; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 567,  7, 11,  171, 1, 4, 604050, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 684,  6, 13,  171, 1, 4, 609675, 11999.60, 46, 0.00, 1: 94; 2: 32; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 167,  7, 11,  171, 1, 4, 604571, 11999.60, 0, 0.00, 1: 96; 2: 28; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 705,  9,  8,  171, 1, 4, 570294, 11999.60, 0, 0.00, 1: 97; 2: 26; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 978,  8,  9,  171, 1, 4, 570255, 11999.60, 0, 0.00, 1: 98; 2: 24; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 861,  9,  8,  171, 1, 4, 570010, 11999.60, 0, 0.00, 1: 96; 2: 30; 3: 1; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 520,  6, 13,  171, 1, 4, 609723, 11999.60, 34, 0.00, 1: 95; 2: 30; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 305,  6, 13,  171, 1, 4, 610347, 11999.60, 0, 0.00, 1: 98; 2: 24; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 382,  7, 10,  171, 1, 4, 557042, 11999.60, 0, 0.00, 1: 93; 2: 34; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 858,  7, 11,  171, 1, 4, 604881, 11999.60, 0, 0.00, 1: 97; 2: 26; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 852,  7, 11,  171, 1, 4, 604519, 11999.60, 10, 0.00, 1: 93; 2: 34; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 189,  7, 10,  171, 1, 4, 556851, 11999.60, 0, 0.00, 1: 93; 2: 34; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 766,  7, 11,  171, 1, 4, 603964, 11999.60, 0, 0.00, 1: 93; 2: 34; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 855,  6, 12,  171, 1, 4, 569992, 11999.60, 0, 0.00, 1: 98; 2: 25; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 545,  8,  9,  171, 1, 4, 570525, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 681,  8,  9,  171, 1, 4, 570134, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 231,  9,  8,  171, 1, 4, 570485, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 878,  6, 13,  171, 1, 4, 610680, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 279,  9,  8,  171, 1, 4, 570284, 11999.60, 0, 0.00, 1: 97; 2: 26; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 709,  6, 13,  171, 1, 4, 610163, 11999.60, 0, 0.00, 1: 96; 2: 29; 3: 3; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 816,  9,  8,  171, 1, 4, 570375, 11999.60, 59, 0.00, 1: 93; 2: 34; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 706, 10,  7,  171, 1, 4, 556972, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  59,  9,  8,  171, 1, 4, 570429, 11999.60, 0, 0.00, 1: 93; 2: 34; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 610,  9,  8,  171, 1, 4, 570404, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 219,  6, 13,  171, 1, 4, 610548, 11999.60, 0, 0.00, 1: 99; 2: 23; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 453,  9,  8,  171, 1, 4, 570087, 11999.60, 0, 0.00, 1: 95; 2: 30; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 615,  9,  8,  171, 1, 4, 570138, 11999.60, 0, 0.00, 1: 94; 2: 33; 3: 1; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 456,  7, 11,  171, 1, 4, 604862, 11999.60, 30, 0.00, 1: 96; 2: 28; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 557, 10,  7,  172, 1, 4, 557239, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 640,  7, 11,  172, 1, 4, 604591, 11999.60, 44, 0.00, 1: 95; 2: 30; 3: 3; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 984,  8,  9,  172, 1, 4, 570488, 11999.60, 64, 0.00, 1: 94; 2: 31; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  28,  6, 12,  172, 1, 4, 570261, 11999.60, 212, 0.00, 1: 94; 2: 32; 3: 2; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 391,  7, 10,  172, 1, 4, 557168, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 563,  7, 11,  172, 1, 4, 605099, 11999.60, 0, 0.00, 1: 93; 2: 33; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  87,  7, 11,  172, 1, 4, 605075, 11999.60, 0, 0.00, 1: 92; 2: 35; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 498,  7, 10,  172, 1, 4, 557287, 11999.60, 0, 0.00, 1: 93; 2: 33; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 508, 10,  7,  172, 1, 4, 557190, 11999.60, 62, 0.00, 1: 92; 2: 35; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 998, 10,  7,  172, 1, 4, 557170, 11999.60, 0, 0.00, 1: 96; 2: 27; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 997,  8,  9,  172, 1, 4, 570024, 11999.60, 0, 0.00, 1: 96; 2: 28; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 927,  8,  9,  172, 1, 4, 570394, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 434,  9,  8,  172, 1, 4, 570399, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 818, 10,  7,  172, 1, 4, 557260, 11999.60, 0, 0.00, 1: 97; 2: 25; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 130, 10,  7,  172, 1, 4, 557181, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 538,  9,  8,  172, 1, 4, 570317, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 127,  7, 11,  172, 1, 4, 605232, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 799,  6, 12,  172, 1, 4, 570539, 11999.60, 0, 0.00, 1: 97; 2: 25; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 464, 10,  7,  172, 1, 4, 557286, 11999.60, 31, 0.00, 1: 96; 2: 28; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  93,  9,  8,  172, 1, 4, 570101, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  39, 10,  7,  172, 1, 4, 557246, 11999.60, 0, 0.00, 1: 94; 2: 32; 3: 2; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 375,  8,  9,  172, 1, 4, 570425, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 105,  6, 13,  172, 1, 4, 610582, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 695,  7, 10,  172, 1, 4, 557221, 11999.60, 0, 0.00, 1: 93; 2: 33; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 696,  6, 12,  172, 1, 4, 570071, 11999.60, 49, 0.00, 1: 97; 2: 26; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 919, 10,  7,  172, 1, 4, 557289, 11999.60, 0, 0.00, 1: 93; 2: 33; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 889,  7, 10,  173, 1, 4, 557131, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 560,  7, 11,  173, 1, 4, 605633, 11999.60, 38, 0.00, 1: 93; 2: 32; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 683,  6, 13,  173, 1, 4, 610030, 11999.60, 0, 0.00, 1: 97; 2: 25; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 100,  7, 11,  173, 1, 4, 604640, 11999.60, 7, 0.00, 1: 91; 2: 36; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 678,  6, 12,  173, 1, 4, 570365, 11999.60, 0, 0.00, 1: 96; 2: 26; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 106, 10,  7,  173, 1, 4, 557094, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 256,  7, 10,  173, 1, 4, 557120, 11999.60, 15, 0.00, 1: 92; 2: 34; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 549,  8,  9,  173, 1, 4, 570262, 11999.60, 0, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 233,  6, 13,  173, 1, 4, 609649, 11999.60, 0, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 881,  5, 15,  173, 1, 4, 591059, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 509,  6, 13,  173, 1, 4, 609985, 11999.60, 0, 0.00, 1: 95; 2: 29; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 468,  6, 12,  173, 1, 4, 570346, 11999.60, 62, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 583,  6, 13,  173, 1, 4, 610181, 11999.60, 0, 0.00, 1: 97; 2: 25; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 184,  7, 11,  173, 1, 4, 605269, 11999.60, 10, 0.00, 1: 92; 2: 34; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,   3,  6, 13,  173, 1, 4, 610158, 11999.60, 52, 0.00, 1: 92; 2: 34; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 625,  6, 12,  173, 1, 4, 570527, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 3; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 576,  6, 12,  173, 1, 4, 570212, 11999.60, 39, 0.00, 1: 96; 2: 27; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 425,  9,  8,  173, 1, 4, 570253, 11999.60, 0, 0.00, 1: 92; 2: 34; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 478, 10,  7,  173, 1, 4, 557017, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 479,  6, 13,  173, 1, 4, 610732, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 637,  6, 13,  173, 1, 4, 610074, 11999.60, 0, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 412,  6, 13,  173, 1, 4, 610406, 11999.60, 63, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 860,  6, 13,  173, 1, 4, 610428, 11999.60, 9, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 137,  7, 11,  173, 1, 4, 605230, 11999.60, 0, 0.00, 1: 91; 2: 36; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 748,  8,  9,  173, 1, 4, 570277, 11999.60, 57, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 745,  7, 11,  173, 1, 4, 605053, 11999.60, 0, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 644,  8,  9,  173, 1, 4, 570342, 11999.60, 64, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 111,  6, 13,  173, 1, 4, 610684, 11999.60, 0, 0.00, 1: 94; 2: 31; 3: 3; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 595,  9,  8,  173, 1, 4, 570488, 11999.60, 0, 0.00, 1: 94; 2: 30; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 724, 10,  7,  173, 1, 4, 557094, 11999.60, 21, 0.00, 1: 96; 2: 27; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 223,  7, 11,  173, 1, 4, 605039, 11999.60, 0, 0.00, 1: 96; 2: 26; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 110,  7, 10,  173, 1, 4, 557085, 11999.60, 0, 0.00, 1: 95; 2: 28; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 324,  5, 15,  174, 1, 4, 590990, 11999.60, 1, 0.00, 1: 95; 2: 27; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 608,  6, 12,  174, 1, 4, 569989, 11999.60, 42, 0.00, 1: 92; 2: 33; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 133, 10,  7,  174, 1, 4, 557326, 11999.60, 0, 0.00, 1: 98; 2: 22; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 621,  7, 10,  174, 1, 4, 557262, 11999.60, 0, 0.00, 1: 93; 2: 31; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  41,  6, 12,  174, 1, 4, 570184, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 920,  6, 12,  174, 1, 4, 570047, 11999.60, 62, 0.00, 1: 92; 2: 34; 3: 2; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 338,  5, 14,  174, 1, 4, 557263, 11999.60, 0, 0.00, 1: 91; 2: 35; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 262,  7, 11,  174, 1, 4, 605333, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 902,  9,  8,  174, 1, 4, 570387, 11999.60, 0, 0.00, 1: 93; 2: 31; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 291,  6, 13,  174, 1, 4, 609994, 11999.60, 0, 0.00, 1: 94; 2: 30; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  23,  8,  9,  174, 1, 4, 570584, 11999.60, 0, 0.00, 1: 95; 2: 27; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 954,  7, 10,  174, 1, 4, 557250, 11999.60, 0, 0.00, 1: 95; 2: 27; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 648,  8,  9,  174, 1, 4, 570477, 11999.60, 44, 0.00, 1: 91; 2: 35; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 451,  7, 11,  174, 1, 4, 606302, 11999.60, 0, 0.00, 1: 95; 2: 27; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 120,  7, 11,  174, 1, 4, 604396, 11999.60, 6, 0.00, 1: 96; 2: 26; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,   8, 10,  7,  174, 1, 4, 557188, 11999.60, 208, 0.00, 1: 95; 2: 28; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 471,  6, 13,  174, 1, 4, 610552, 11999.60, 0, 0.00, 1: 95; 2: 27; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 777,  7, 10,  174, 1, 4, 557331, 11999.60, 0, 0.00, 1: 91; 2: 35; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 420,  6, 13,  174, 1, 4, 610365, 11999.60, 41, 0.00, 1: 91; 2: 35; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 461, 10,  7,  174, 1, 4, 557296, 11999.60, 0, 0.00, 1: 93; 2: 31; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 856,  6, 13,  174, 1, 4, 610170, 11999.60, 60, 0.00, 1: 92; 2: 34; 3: 2; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 199,  6, 12,  174, 1, 4, 570266, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 868,  7, 10,  174, 1, 4, 557273, 11999.60, 10, 0.00, 1: 92; 2: 33; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 995,  6, 12,  174, 1, 4, 570328, 11999.60, 0, 0.00, 1: 96; 2: 26; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 874,  7, 11,  174, 1, 4, 605696, 11999.60, 0, 0.00, 1: 96; 2: 26; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 972,  6, 12,  174, 1, 4, 570362, 11999.60, 28, 0.00, 1: 95; 2: 27; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 227, 10,  7,  174, 1, 4, 557296, 11999.60, 0, 0.00, 1: 94; 2: 29; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 814,  6, 12,  174, 1, 4, 570715, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 962,  6, 12,  174, 1, 4, 570409, 11999.60, 0, 0.00, 1: 94; 2: 29; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 386,  7, 11,  174, 1, 4, 605014, 11999.60, 0, 0.00, 1: 91; 2: 35; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 535,  5, 15,  174, 1, 4, 590917, 11999.60, 0, 0.00, 1: 93; 2: 32; 3: 3; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  21,  9,  8,  174, 1, 4, 570057, 11999.60, 85, 0.00, 1: 93; 2: 31; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 534,  7, 11,  174, 1, 4, 605300, 11999.60, 0, 0.00, 1: 92; 2: 33; 3: 4; 4: 1; 
