Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(993)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 326,  9,  8,  225, 0, 4, 570202, 16660.03, 0, 0.00, 0: 1; 1: 67; 2: 35; 3: 20; 4: 7; 
Bortezomib_Responses_in_U266_Human_Myelo, 179,  6, 12,  248, 0, 4, 570291, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 28; 3: 26; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 436,  6, 12,  248, 0, 4, 570319, 16660.03, 30, 0.00, 0: 1; 1: 55; 2: 40; 3: 23; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 106, 10,  7,  248, 0, 4, 557167, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 44; 3: 15; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 627,  7, 10,  248, 0, 4, 557176, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 30; 3: 22; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 396,  6, 12,  248, 0, 4, 570304, 16660.03, 16, 0.00, 0: 1; 1: 58; 2: 37; 3: 20; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 102, 10,  7,  248, 0, 4, 557161, 16660.03, 0, 0.00, 0: 1; 1: 51; 2: 51; 3: 13; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 406, 10,  7,  248, 0, 4, 557100, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 32; 3: 21; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 407, 10,  7,  248, 0, 4, 557164, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 37; 3: 23; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 100,  7, 11,  249, 0, 4, 605045, 16660.03, 7, 0.00, 0: 1; 1: 60; 2: 31; 3: 25; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 873,  6, 13,  249, 0, 4, 610117, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 45; 3: 15; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 691,  7, 10,  249, 0, 4, 557153, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 33; 3: 24; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 359,  7, 11,  249, 0, 4, 604998, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 38; 3: 20; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 820,  7, 11,  249, 0, 4, 605041, 16660.03, 41, 0.00, 0: 1; 1: 58; 2: 38; 3: 17; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo,  79,  6, 12,  249, 0, 4, 570301, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 36; 3: 18; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 378,  6, 12,  249, 0, 4, 570198, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 40; 3: 22; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 126,  7, 11,  249, 0, 4, 604860, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 43; 3: 19; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 631,  6, 12,  249, 0, 4, 570295, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 36; 3: 24; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 582,  7, 11,  249, 0, 4, 604894, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 38; 3: 20; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 418, 10,  7,  249, 0, 4, 557193, 16660.03, 0, 0.00, 0: 1; 1: 66; 2: 26; 3: 17; 4: 20; 
Bortezomib_Responses_in_U266_Human_Myelo, 598,  6, 12,  249, 0, 4, 570259, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 31; 3: 22; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 291,  6, 13,  249, 0, 4, 610165, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 38; 3: 17; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 233,  6, 13,  249, 0, 4, 610217, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 38; 3: 20; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 664,  6, 13,  249, 0, 4, 610210, 16660.03, 45, 0.00, 0: 1; 1: 61; 2: 33; 3: 18; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo,  90,  6, 12,  249, 0, 4, 570347, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 32; 3: 26; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 429,  7, 10,  249, 0, 4, 557186, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 37; 3: 19; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 161,  7, 10,  249, 0, 4, 557161, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 34; 3: 16; 4: 18; 
Bortezomib_Responses_in_U266_Human_Myelo, 193, 10,  7,  249, 0, 4, 557199, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 27; 3: 27; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 420,  6, 13,  249, 0, 4, 610196, 16660.03, 41, 0.00, 0: 1; 1: 58; 2: 36; 3: 21; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 931,  9,  8,  249, 0, 4, 570195, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 33; 3: 21; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo,  61,  6, 12,  249, 0, 4, 570241, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 40; 3: 19; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 493,  9,  8,  249, 0, 4, 570292, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 35; 3: 26; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 882,  7, 11,  249, 0, 4, 604926, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 37; 3: 25; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo,  65,  7, 11,  249, 0, 4, 604987, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 32; 3: 26; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 803,  6, 12,  249, 0, 4, 570261, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 44; 3: 14; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 379,  7, 11,  250, 0, 4, 604944, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 38; 3: 22; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 675,  6, 12,  250, 0, 4, 570322, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 38; 3: 19; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 219,  6, 13,  250, 0, 4, 610270, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 38; 3: 19; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 806,  6, 12,  250, 0, 4, 570310, 16660.03, 0, 0.00, 0: 1; 1: 62; 2: 27; 3: 26; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 419,  6, 13,  250, 0, 4, 610158, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 35; 3: 22; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 175,  7, 10,  250, 0, 4, 557176, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 20; 3: 34; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo,  53,  7, 11,  250, 0, 4, 604926, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 38; 3: 25; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 180,  6, 12,  250, 0, 4, 570205, 16660.03, 65, 0.00, 0: 1; 1: 62; 2: 30; 3: 20; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 384,  6, 12,  250, 0, 4, 570296, 16660.03, 25, 0.00, 0: 1; 1: 56; 2: 40; 3: 18; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 348,  8,  9,  250, 0, 4, 570120, 16660.03, 39, 0.00, 0: 1; 1: 58; 2: 33; 3: 26; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo,  33,  7, 10,  250, 0, 4, 557146, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 31; 3: 24; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 389,  6, 12,  250, 0, 4, 570215, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 38; 3: 22; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 387,  6, 13,  250, 0, 4, 610281, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 35; 3: 22; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 967,  6, 12,  250, 0, 4, 570310, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 38; 3: 19; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 659,  8,  9,  250, 0, 4, 570303, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 34; 3: 24; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 922,  7, 11,  250, 0, 4, 604999, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 43; 3: 15; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 334,  6, 13,  250, 0, 4, 610159, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 32; 3: 25; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 722,  7, 11,  250, 0, 4, 605057, 16660.03, 0, 0.00, 0: 1; 1: 61; 2: 26; 3: 31; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 415,  9,  8,  250, 0, 4, 570323, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 40; 3: 21; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 344,  9,  8,  250, 0, 4, 570312, 16660.03, 22, 0.00, 0: 1; 1: 58; 2: 34; 3: 24; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 969, 10,  7,  250, 0, 4, 557161, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 42; 3: 20; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 405,  6, 13,  250, 0, 4, 610110, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 34; 3: 24; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 456,  7, 11,  250, 0, 4, 604976, 16660.03, 30, 0.00, 0: 1; 1: 60; 2: 35; 3: 16; 4: 18; 
Bortezomib_Responses_in_U266_Human_Myelo, 172,  7, 11,  250, 0, 4, 605028, 16660.03, 60, 0.00, 0: 1; 1: 54; 2: 41; 3: 22; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 515,  7, 10,  250, 0, 4, 557179, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 31; 3: 24; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 284, 10,  7,  251, 0, 4, 557170, 16660.03, 6, 0.00, 0: 1; 1: 58; 2: 36; 3: 19; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 716, 10,  7,  251, 0, 4, 557165, 16660.03, 66, 0.00, 0: 1; 1: 54; 2: 41; 3: 21; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 867,  7, 11,  251, 0, 4, 604918, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 38; 3: 24; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 188, 10,  7,  251, 0, 4, 557146, 16660.03, 61, 0.00, 0: 1; 1: 57; 2: 35; 3: 24; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 616,  6, 12,  251, 0, 4, 570307, 16660.03, 42, 0.00, 0: 1; 1: 62; 2: 29; 3: 21; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 394,  9,  8,  251, 0, 4, 570268, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 40; 3: 23; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 285,  6, 12,  251, 0, 4, 570296, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 37; 3: 20; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 536,  6, 13,  251, 0, 4, 610101, 16660.03, 36, 0.00, 0: 1; 1: 53; 2: 44; 3: 18; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo,  52,  7, 11,  251, 0, 4, 604995, 16660.03, 33, 0.00, 0: 1; 1: 55; 2: 39; 3: 22; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 533,  7, 10,  251, 0, 4, 557179, 16660.03, 0, 0.00, 0: 1; 1: 50; 2: 49; 3: 17; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 120,  7, 11,  251, 0, 4, 604984, 16660.03, 6, 0.00, 0: 1; 1: 55; 2: 37; 3: 26; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 321,  9,  8,  251, 0, 4, 570246, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 24; 3: 25; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 354,  7, 11,  251, 0, 4, 604763, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 28; 3: 29; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 289,  6, 12,  251, 0, 4, 570248, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 35; 3: 18; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 463, 10,  7,  251, 0, 4, 557171, 16660.03, 0, 0.00, 0: 1; 1: 52; 2: 45; 3: 19; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 756,  6, 13,  251, 0, 4, 610050, 16660.03, 48, 0.00, 0: 1; 1: 57; 2: 39; 3: 16; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 178,  6, 12,  251, 0, 4, 570281, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 37; 3: 17; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 346,  6, 13,  252, 0, 4, 610059, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 37; 3: 22; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 454,  6, 13,  252, 0, 4, 610179, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 42; 3: 18; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo,  22,  7, 11,  252, 0, 4, 605027, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 39; 3: 21; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 520,  6, 13,  252, 0, 4, 610184, 16660.03, 34, 0.00, 0: 1; 1: 51; 2: 44; 3: 23; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 115,  6, 13,  252, 0, 4, 610258, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 35; 3: 20; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 814,  6, 12,  252, 0, 4, 570299, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 34; 3: 25; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 216,  6, 13,  252, 0, 4, 610158, 16660.03, 13, 0.00, 0: 1; 1: 59; 2: 35; 3: 17; 4: 18; 
Bortezomib_Responses_in_U266_Human_Myelo, 316, 10,  7,  252, 0, 4, 557144, 16660.03, 62, 0.00, 0: 1; 1: 52; 2: 45; 3: 18; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 637,  6, 13,  252, 0, 4, 610183, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 29; 3: 26; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 492,  7, 11,  252, 0, 4, 605118, 16660.03, 22, 0.00, 0: 1; 1: 57; 2: 35; 3: 23; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 145,  6, 13,  252, 0, 4, 610107, 16660.03, 0, 0.00, 0: 1; 1: 63; 2: 27; 3: 21; 4: 18; 
Bortezomib_Responses_in_U266_Human_Myelo, 142,  6, 12,  252, 0, 4, 570271, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 36; 3: 21; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 230,  6, 12,  252, 0, 4, 570249, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 36; 3: 27; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 286,  6, 13,  253, 0, 4, 610211, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 35; 3: 16; 4: 19; 
Bortezomib_Responses_in_U266_Human_Myelo, 777,  7, 10,  253, 0, 4, 557176, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 35; 3: 22; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 591,  6, 12,  253, 0, 4, 570196, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 30; 3: 23; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 386,  7, 11,  253, 0, 4, 605037, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 38; 3: 19; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 146,  6, 12,  253, 0, 4, 570336, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 33; 3: 17; 4: 19; 
Bortezomib_Responses_in_U266_Human_Myelo, 870,  6, 13,  253, 0, 4, 610153, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 35; 3: 16; 4: 19; 
Bortezomib_Responses_in_U266_Human_Myelo, 495,  6, 13,  253, 0, 4, 609992, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 35; 3: 25; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 655,  6, 13,  253, 0, 4, 610162, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 43; 3: 15; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 409,  6, 12,  253, 0, 4, 570295, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 33; 3: 26; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 583,  6, 13,  253, 0, 4, 610185, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 31; 3: 24; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 278,  6, 13,  253, 0, 4, 610188, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 41; 3: 19; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 830,  7, 11,  253, 0, 4, 605033, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 36; 3: 23; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 924,  9,  8,  253, 0, 4, 570320, 16660.03, 7, 0.00, 0: 1; 1: 58; 2: 35; 3: 19; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 373,  7, 11,  253, 0, 4, 604919, 16660.03, 0, 0.00, 0: 1; 1: 53; 2: 47; 3: 10; 4: 19; 
Bortezomib_Responses_in_U266_Human_Myelo, 913,  6, 13,  253, 0, 4, 610211, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 35; 3: 19; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 880,  6, 12,  253, 0, 4, 570287, 16660.03, 62, 0.00, 0: 1; 1: 59; 2: 35; 3: 16; 4: 19; 
Bortezomib_Responses_in_U266_Human_Myelo, 955,  6, 13,  253, 0, 4, 610206, 16660.03, 0, 0.00, 0: 1; 1: 51; 2: 45; 3: 20; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 948,  6, 12,  253, 0, 4, 570259, 16660.03, 64, 0.00, 0: 1; 1: 56; 2: 35; 3: 25; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 645, 10,  7,  254, 0, 4, 557153, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 36; 3: 25; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 887,  6, 12,  254, 0, 4, 570302, 16660.03, 0, 0.00, 0: 1; 1: 50; 2: 43; 3: 26; 4: 10; 
Bortezomib_Responses_in_U266_Human_Myelo,   3,  6, 13,  254, 0, 4, 610154, 16660.03, 195, 0.00, 0: 1; 1: 58; 2: 32; 3: 24; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 819, 10,  7,  254, 0, 4, 557159, 16660.03, 0, 0.00, 0: 1; 1: 51; 2: 43; 3: 23; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 766,  7, 11,  254, 0, 4, 604926, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 42; 3: 16; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 244,  6, 12,  254, 0, 4, 570352, 16660.03, 21, 0.00, 0: 1; 1: 57; 2: 32; 3: 27; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 859,  6, 13,  254, 0, 4, 610211, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 33; 3: 28; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 363,  6, 12,  254, 0, 4, 570282, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 34; 3: 20; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 263,  7, 10,  254, 0, 4, 557122, 16660.03, 0, 0.00, 0: 1; 1: 53; 2: 38; 3: 27; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 273,  6, 12,  254, 0, 4, 570258, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 34; 3: 29; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo, 504,  6, 12,  254, 0, 4, 570318, 16660.03, 33, 0.00, 0: 1; 1: 53; 2: 42; 3: 19; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo,  94,  8,  9,  254, 0, 4, 570299, 16660.03, 0, 0.00, 0: 1; 1: 52; 2: 45; 3: 16; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 719, 10,  7,  254, 0, 4, 557180, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 36; 3: 22; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 776,  9,  8,  254, 0, 4, 570298, 16660.03, 55, 0.00, 0: 1; 1: 53; 2: 42; 3: 19; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo,  73,  6, 13,  254, 0, 4, 610179, 16660.03, 0, 0.00, 0: 1; 1: 53; 2: 41; 3: 21; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 762,  6, 13,  254, 0, 4, 610198, 16660.03, 0, 0.00, 0: 1; 1: 64; 2: 23; 3: 24; 4: 18; 
Bortezomib_Responses_in_U266_Human_Myelo,  48,  6, 12,  254, 0, 4, 570275, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 34; 3: 29; 4: 11; 
Bortezomib_Responses_in_U266_Human_Myelo,  78,  7, 10,  255, 0, 4, 557183, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 35; 3: 17; 4: 19; 
Bortezomib_Responses_in_U266_Human_Myelo, 478, 10,  7,  255, 0, 4, 557182, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 36; 3: 21; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 133, 10,  7,  255, 0, 4, 557199, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 39; 3: 21; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 204,  9,  8,  255, 0, 4, 570290, 16660.03, 55, 0.00, 0: 1; 1: 57; 2: 33; 3: 24; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo,  80,  6, 13,  255, 0, 4, 610061, 16660.03, 3, 0.00, 0: 1; 1: 59; 2: 30; 3: 24; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 888,  6, 13,  255, 0, 4, 610203, 16660.03, 62, 0.00, 0: 1; 1: 58; 2: 35; 3: 17; 4: 19; 
Bortezomib_Responses_in_U266_Human_Myelo, 945,  7, 10,  255, 0, 4, 557200, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 38; 3: 23; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 498,  7, 10,  255, 0, 4, 557178, 16660.03, 0, 0.00, 0: 1; 1: 53; 2: 40; 3: 22; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 764,  5, 15,  255, 0, 4, 590418, 16660.03, 48, 0.00, 0: 1; 1: 56; 2: 35; 3: 23; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 684,  6, 13,  255, 0, 4, 610263, 16660.03, 46, 0.00, 0: 1; 1: 57; 2: 33; 3: 24; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 527,  6, 13,  255, 0, 4, 610025, 16660.03, 0, 0.00, 0: 1; 1: 52; 2: 41; 3: 23; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 593,  6, 12,  255, 0, 4, 570298, 16660.03, 0, 0.00, 0: 1; 1: 60; 2: 28; 3: 25; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 545,  8,  9,  255, 0, 4, 570188, 16660.03, 0, 0.00, 0: 1; 1: 49; 2: 49; 3: 16; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 858,  7, 11,  255, 0, 4, 604999, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 37; 3: 22; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 862,  5, 16,  255, 0, 4, 622536, 16660.03, 0, 0.00, 0: 1; 1: 56; 2: 34; 3: 25; 4: 14; 
Bortezomib_Responses_in_U266_Human_Myelo, 237,  6, 12,  255, 0, 4, 570285, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 33; 3: 18; 4: 19; 
Bortezomib_Responses_in_U266_Human_Myelo, 999,  6, 12,  256, 0, 4, 570344, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 33; 3: 23; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 755, 10,  7,  256, 0, 4, 557154, 16660.03, 0, 0.00, 0: 1; 1: 58; 2: 31; 3: 24; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 791,  5, 14,  256, 0, 4, 557197, 16660.03, 0, 0.00, 0: 1; 1: 54; 2: 35; 3: 28; 4: 12; 
Bortezomib_Responses_in_U266_Human_Myelo, 960,  6, 12,  256, 0, 4, 570329, 16660.03, 64, 0.00, 0: 1; 1: 57; 2: 30; 3: 29; 4: 13; 
Bortezomib_Responses_in_U266_Human_Myelo, 802,  6, 12,  256, 0, 4, 570268, 16660.03, 0, 0.00, 0: 1; 1: 55; 2: 37; 3: 21; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 809,  6, 13,  256, 0, 4, 610275, 16660.03, 0, 0.00, 0: 1; 1: 59; 2: 29; 3: 25; 4: 16; 
Bortezomib_Responses_in_U266_Human_Myelo, 692,  6, 12,  256, 0, 4, 570214, 16660.03, 27, 0.00, 0: 1; 1: 56; 2: 37; 3: 18; 4: 18; 
Bortezomib_Responses_in_U266_Human_Myelo, 992,  5, 14,  256, 0, 4, 557161, 16660.03, 65, 0.00, 0: 1; 1: 56; 2: 34; 3: 24; 4: 15; 
Bortezomib_Responses_in_U266_Human_Myelo, 834,  5, 14,  256, 0, 4, 557175, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 34; 3: 21; 4: 17; 
Bortezomib_Responses_in_U266_Human_Myelo, 837,  6, 12,  256, 0, 4, 570297, 16660.03, 0, 0.00, 0: 1; 1: 57; 2: 35; 3: 19; 4: 18; 
