Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
3(324)
Melhor resultado nxn: Bortezomib_Responses_in_U266_Human_Myelo, 820,  7, 11,  175, 1, 3, 605299, 16942.19, 41, 0.00, 1: 90; 2: 35; 3: 5; 
Bortezomib_Responses_in_U266_Human_Myelo,  47,  7, 11,  182, 1, 4, 605160, 16942.19, 0, 0.00, 1: 87; 2: 36; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 813,  7, 11,  182, 1, 4, 605018, 16942.19, 0, 0.00, 1: 87; 2: 35; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  73,  6, 13,  182, 1, 4, 610237, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 230,  6, 12,  182, 1, 4, 570286, 16942.19, 0, 0.00, 1: 89; 2: 33; 3: 5; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 646,  7, 10,  182, 1, 4, 557192, 16942.19, 0, 0.00, 1: 88; 2: 33; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 308,  7, 10,  182, 1, 4, 557124, 16942.19, 17, 0.00, 1: 85; 2: 39; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  74,  7, 10,  182, 1, 4, 557240, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 297,  7, 10,  182, 1, 4, 557162, 16942.19, 0, 0.00, 1: 87; 2: 35; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 569,  6, 13,  182, 1, 4, 609902, 16942.19, 0, 0.00, 1: 87; 2: 37; 3: 3; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 786,  7, 11,  182, 1, 4, 605189, 16942.19, 0, 0.00, 1: 85; 2: 40; 3: 3; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 511,  8,  9,  182, 1, 4, 570278, 16942.19, 0, 0.00, 1: 84; 2: 41; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 313,  8,  9,  182, 1, 4, 570305, 16942.19, 0, 0.00, 1: 88; 2: 35; 3: 4; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 798,  7, 11,  182, 1, 4, 604840, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 590,  9,  8,  182, 1, 4, 570297, 16942.19, 0, 0.00, 1: 85; 2: 40; 3: 3; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 111,  6, 13,  183, 1, 4, 610014, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 790,  9,  8,  183, 1, 4, 570365, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 199,  6, 12,  183, 1, 4, 570064, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 253,  7, 10,  183, 1, 4, 557147, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 336,  7, 11,  183, 1, 4, 605192, 16942.19, 22, 0.00, 1: 89; 2: 30; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 663,  8,  9,  183, 1, 4, 570208, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 453,  9,  8,  183, 1, 4, 570258, 16942.19, 0, 0.00, 1: 88; 2: 32; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 510, 10,  7,  183, 1, 4, 557233, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 158,  9,  8,  183, 1, 4, 570267, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 486,  9,  8,  183, 1, 4, 570323, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 532, 10,  7,  183, 1, 4, 557303, 16942.19, 39, 0.00, 1: 85; 2: 38; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  26,  8,  9,  183, 1, 4, 570216, 16942.19, 219, 0.00, 1: 84; 2: 40; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 917, 10,  7,  183, 1, 4, 557185, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 345,  7, 11,  183, 1, 4, 605035, 16942.19, 0, 0.00, 1: 88; 2: 32; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 466, 10,  7,  183, 1, 4, 557196, 16942.19, 0, 0.00, 1: 87; 2: 35; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 725,  9,  8,  183, 1, 4, 570324, 16942.19, 0, 0.00, 1: 87; 2: 34; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 504,  6, 12,  183, 1, 4, 570247, 16942.19, 33, 0.00, 1: 88; 2: 33; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 195,  8,  9,  183, 1, 4, 570262, 16942.19, 0, 0.00, 1: 83; 2: 42; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 474,  7, 11,  183, 1, 4, 604832, 16942.19, 0, 0.00, 1: 86; 2: 37; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 621,  7, 10,  183, 1, 4, 557146, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 630,  7, 10,  183, 1, 4, 557174, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 719, 10,  7,  183, 1, 4, 557164, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  91, 10,  7,  183, 1, 4, 557167, 16942.19, 0, 0.00, 1: 82; 2: 44; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 181,  9,  8,  183, 1, 4, 570234, 16942.19, 0, 0.00, 1: 81; 2: 46; 3: 2; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 400,  6, 13,  183, 1, 4, 610237, 16942.19, 27, 0.00, 1: 87; 2: 35; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 987,  9,  8,  183, 1, 4, 570390, 16942.19, 0, 0.00, 1: 85; 2: 39; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 945,  7, 10,  183, 1, 4, 557135, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 867,  7, 11,  183, 1, 4, 604503, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 639,  8,  9,  183, 1, 4, 570105, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 573,  7, 10,  183, 1, 4, 557150, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 559,  8,  9,  183, 1, 4, 570337, 16942.19, 0, 0.00, 1: 83; 2: 43; 3: 2; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 648,  8,  9,  183, 1, 4, 570267, 16942.19, 44, 0.00, 1: 86; 2: 37; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 947,  7, 11,  183, 1, 4, 604827, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 978,  8,  9,  183, 1, 4, 570236, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 649,  7, 10,  183, 1, 4, 557127, 16942.19, 0, 0.00, 1: 83; 2: 42; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 804, 10,  7,  183, 1, 4, 557092, 16942.19, 17, 0.00, 1: 86; 2: 37; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 183,  7, 10,  183, 1, 4, 557199, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 764,  5, 15,  183, 1, 4, 590635, 16942.19, 48, 0.00, 1: 87; 2: 35; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 544,  7, 11,  183, 1, 4, 605029, 16942.19, 37, 0.00, 1: 88; 2: 33; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 644,  8,  9,  183, 1, 4, 570284, 16942.19, 64, 0.00, 1: 86; 2: 38; 3: 3; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 278,  6, 13,  183, 1, 4, 610240, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 805,  8,  9,  183, 1, 4, 570324, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 683,  6, 13,  183, 1, 4, 610178, 16942.19, 0, 0.00, 1: 82; 2: 44; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 625,  6, 12,  184, 1, 4, 570344, 16942.19, 0, 0.00, 1: 81; 2: 45; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 919, 10,  7,  184, 1, 4, 557182, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 498,  7, 10,  184, 1, 4, 557173, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 499, 10,  7,  184, 1, 4, 557164, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  20,  6, 13,  184, 1, 4, 610099, 16942.19, 71, 0.00, 1: 84; 2: 39; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  82, 10,  7,  184, 1, 4, 557158, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 645, 10,  7,  184, 1, 4, 557182, 16942.19, 0, 0.00, 1: 91; 2: 25; 3: 13; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  83,  8,  9,  184, 1, 4, 570331, 16942.19, 0, 0.00, 1: 87; 2: 35; 3: 5; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 247,  7, 10,  184, 1, 4, 557253, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 619,  6, 13,  184, 1, 4, 610298, 16942.19, 0, 0.00, 1: 88; 2: 32; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  63, 10,  7,  184, 1, 4, 557099, 16942.19, 0, 0.00, 1: 83; 2: 41; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo,  71,  6, 13,  184, 1, 4, 610209, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 104,  6, 13,  184, 1, 4, 610224, 16942.19, 5, 0.00, 1: 86; 2: 36; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 560,  7, 11,  184, 1, 4, 604694, 16942.19, 38, 0.00, 1: 84; 2: 40; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  78,  7, 10,  184, 1, 4, 557281, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 612,  6, 13,  184, 1, 4, 610058, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 597,  6, 13,  184, 1, 4, 610300, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 899,  7, 11,  184, 1, 4, 605129, 16942.19, 0, 0.00, 1: 87; 2: 34; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 526,  6, 13,  184, 1, 4, 610319, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 545,  8,  9,  184, 1, 4, 570297, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 175,  7, 10,  184, 1, 4, 557125, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 542, 10,  7,  184, 1, 4, 557173, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 655,  6, 13,  184, 1, 4, 610275, 16942.19, 0, 0.00, 1: 87; 2: 33; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 605,  7, 11,  184, 1, 4, 604876, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 829,  6, 13,  184, 1, 4, 609930, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 282,  9,  8,  184, 1, 4, 570294, 16942.19, 0, 0.00, 1: 82; 2: 43; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 196, 10,  7,  184, 1, 4, 557033, 16942.19, 65, 0.00, 1: 84; 2: 39; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 234,  6, 13,  184, 1, 4, 610071, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo,  49,  7, 10,  184, 1, 4, 557114, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 456,  7, 11,  184, 1, 4, 605116, 16942.19, 30, 0.00, 1: 87; 2: 33; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 854, 10,  7,  184, 1, 4, 557207, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 444,  7, 10,  184, 1, 4, 557136, 16942.19, 47, 0.00, 1: 84; 2: 39; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 929,  8,  9,  184, 1, 4, 570308, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 323,  6, 13,  184, 1, 4, 610313, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 739,  8,  9,  184, 1, 4, 570278, 16942.19, 0, 0.00, 1: 84; 2: 40; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 431,  7, 11,  184, 1, 4, 605062, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 983,  7, 10,  184, 1, 4, 557227, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 223,  7, 11,  184, 1, 4, 605029, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 248, 10,  7,  184, 1, 4, 557161, 16942.19, 15, 0.00, 1: 85; 2: 38; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 132,  7, 11,  184, 1, 4, 604784, 16942.19, 4, 0.00, 1: 87; 2: 33; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 955,  6, 13,  184, 1, 4, 610408, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 340, 10,  7,  184, 1, 4, 557144, 16942.19, 13, 0.00, 1: 84; 2: 39; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 342,  7, 10,  184, 1, 4, 557118, 16942.19, 0, 0.00, 1: 83; 2: 41; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 753,  8,  9,  184, 1, 4, 570349, 16942.19, 0, 0.00, 1: 87; 2: 34; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 831,  8,  9,  184, 1, 4, 570304, 16942.19, 0, 0.00, 1: 88; 2: 33; 3: 6; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 155,  6, 12,  184, 1, 4, 570301, 16942.19, 0, 0.00, 1: 82; 2: 43; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 948,  6, 12,  184, 1, 4, 570178, 16942.19, 64, 0.00, 1: 88; 2: 31; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 949,  6, 13,  184, 1, 4, 610321, 16942.19, 0, 0.00, 1: 83; 2: 42; 3: 3; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 953,  9,  8,  184, 1, 4, 570311, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 365,  6, 12,  184, 1, 4, 570249, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 770,  6, 12,  184, 1, 4, 570371, 16942.19, 0, 0.00, 1: 83; 2: 41; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 368,  8,  9,  184, 1, 4, 570409, 16942.19, 24, 0.00, 1: 81; 2: 45; 3: 3; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 730,  5, 15,  184, 1, 4, 590371, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 483,  5, 14,  184, 1, 4, 557186, 16942.19, 0, 0.00, 1: 83; 2: 41; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 475,  5, 14,  184, 1, 4, 557119, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 819, 10,  7,  184, 1, 4, 557131, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 271,  5, 15,  184, 1, 4, 590606, 16942.19, 0, 0.00, 1: 85; 2: 38; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 470,  7, 10,  184, 1, 4, 557228, 16942.19, 0, 0.00, 1: 83; 2: 41; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 266,  7, 11,  184, 1, 4, 604892, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 274,  6, 13,  185, 1, 4, 610206, 16942.19, 0, 0.00, 1: 85; 2: 36; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 938, 10,  7,  185, 1, 4, 557062, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 549,  8,  9,  185, 1, 4, 570289, 16942.19, 0, 0.00, 1: 83; 2: 40; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 895,  6, 13,  185, 1, 4, 610212, 16942.19, 0, 0.00, 1: 85; 2: 36; 3: 8; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 907,  5, 16,  185, 1, 4, 622014, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 379,  7, 11,  185, 1, 4, 605028, 16942.19, 0, 0.00, 1: 86; 2: 36; 3: 5; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 360,  6, 13,  185, 1, 4, 609915, 16942.19, 24, 0.00, 1: 89; 2: 30; 3: 8; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 626,  7, 11,  185, 1, 4, 605215, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 557, 10,  7,  185, 1, 4, 557182, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 780,  7, 10,  185, 1, 4, 557204, 16942.19, 40, 0.00, 1: 84; 2: 39; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 352,  5, 14,  185, 1, 4, 557123, 16942.19, 23, 0.00, 1: 83; 2: 40; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 672,  7, 10,  185, 1, 4, 557215, 16942.19, 46, 0.00, 1: 85; 2: 37; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 503,  7, 11,  185, 1, 4, 605213, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 344,  9,  8,  185, 1, 4, 570521, 16942.19, 22, 0.00, 1: 82; 2: 42; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 346,  6, 13,  185, 1, 4, 610273, 16942.19, 0, 0.00, 1: 81; 2: 44; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 689,  8,  9,  185, 1, 4, 570241, 16942.19, 0, 0.00, 1: 88; 2: 33; 3: 5; 4: 4; 
Bortezomib_Responses_in_U266_Human_Myelo,  75,  5, 16,  185, 1, 4, 622566, 16942.19, 0, 0.00, 1: 84; 2: 39; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 611,  5, 16,  185, 1, 4, 622767, 16942.19, 0, 0.00, 1: 86; 2: 34; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 348,  8,  9,  185, 1, 4, 570288, 16942.19, 39, 0.00, 1: 82; 2: 42; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 760,  5, 16,  185, 1, 4, 622325, 16942.19, 54, 0.00, 1: 86; 2: 34; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 275, 10,  7,  185, 1, 4, 557178, 16942.19, 0, 0.00, 1: 83; 2: 40; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 461, 10,  7,  185, 1, 4, 557199, 16942.19, 0, 0.00, 1: 87; 2: 33; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 143,  5, 14,  185, 1, 4, 557203, 16942.19, 0, 0.00, 1: 85; 2: 37; 3: 6; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 463, 10,  7,  185, 1, 4, 557205, 16942.19, 0, 0.00, 1: 81; 2: 44; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 518,  7, 10,  185, 1, 4, 557151, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 859,  6, 13,  185, 1, 4, 610222, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 496,  7, 10,  185, 1, 4, 557227, 16942.19, 33, 0.00, 1: 84; 2: 38; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 902,  9,  8,  185, 1, 4, 570323, 16942.19, 0, 0.00, 1: 87; 2: 33; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 465, 10,  7,  185, 1, 4, 557198, 16942.19, 0, 0.00, 1: 86; 2: 34; 3: 9; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 182, 10,  7,  185, 1, 4, 557182, 16942.19, 0, 0.00, 1: 83; 2: 40; 3: 6; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 923,  9,  8,  185, 1, 4, 570415, 16942.19, 0, 0.00, 1: 82; 2: 42; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 840,  9,  8,  185, 1, 4, 570186, 16942.19, 59, 0.00, 1: 84; 2: 38; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 637,  6, 13,  185, 1, 4, 609995, 16942.19, 0, 0.00, 1: 81; 2: 45; 3: 2; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 318, 10,  7,  185, 1, 4, 557217, 16942.19, 0, 0.00, 1: 82; 2: 42; 3: 5; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 540,  7, 10,  185, 1, 4, 557208, 16942.19, 38, 0.00, 1: 84; 2: 39; 3: 5; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 633,  7, 10,  185, 1, 4, 557053, 16942.19, 0, 0.00, 1: 84; 2: 38; 3: 7; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 437,  7, 10,  185, 1, 4, 557167, 16942.19, 0, 0.00, 1: 81; 2: 44; 3: 4; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 658,  5, 16,  185, 1, 4, 622409, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 7; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 932,  9,  8,  185, 1, 4, 570306, 16942.19, 61, 0.00, 1: 87; 2: 32; 3: 10; 4: 1; 
Bortezomib_Responses_in_U266_Human_Myelo, 261,  7, 11,  186, 1, 4, 605001, 16942.19, 0, 0.00, 1: 86; 2: 35; 3: 6; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 901,  5, 16,  186, 1, 4, 622439, 16942.19, 0, 0.00, 1: 88; 2: 31; 3: 8; 4: 3; 
Bortezomib_Responses_in_U266_Human_Myelo, 255,  5, 14,  186, 1, 4, 557253, 16942.19, 0, 0.00, 1: 86; 2: 34; 3: 8; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 350,  7, 10,  186, 1, 4, 557198, 16942.19, 0, 0.00, 1: 82; 2: 42; 3: 4; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 918,  6, 12,  186, 1, 4, 570360, 16942.19, 0, 0.00, 1: 87; 2: 32; 3: 9; 4: 2; 
Bortezomib_Responses_in_U266_Human_Myelo, 370, 10,  7,  186, 1, 4, 557207, 16942.19, 0, 0.00, 1: 84; 2: 37; 3: 8; 4: 1; 
