Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
103(216)
Melhor resultado nxn: CD4_T_cell_signaling, 432, 14, 14,  500, 1, 3, 1583856, 33154.60, 29, 0.00, 1: 210; 2: 118; 3: 18; 
CD4_T_cell_signaling, 886,  8, 25,  518, 1, 4, 1606570, 33154.60, 0, 0.00, 1: 200; 2: 121; 3: 24; 4: 1; 
CD4_T_cell_signaling, 112,  8, 24,  518, 1, 4, 1539702, 33154.60, 9, 0.00, 1: 196; 2: 132; 3: 14; 4: 4; 
CD4_T_cell_signaling, 911,  9, 22,  518, 1, 4, 1595538, 33154.60, 0, 0.00, 1: 197; 2: 129; 3: 17; 4: 3; 
CD4_T_cell_signaling,  37,  8, 25,  518, 1, 4, 1606639, 33154.60, 0, 0.00, 1: 194; 2: 133; 3: 18; 4: 1; 
CD4_T_cell_signaling, 138, 10, 20,  518, 1, 4, 1606290, 33154.60, 0, 0.00, 1: 203; 2: 117; 3: 23; 4: 3; 
CD4_T_cell_signaling,  80, 15, 13,  518, 1, 4, 1568090, 33154.60, 8, 0.00, 1: 195; 2: 131; 3: 19; 4: 1; 
CD4_T_cell_signaling,  79, 12, 17,  518, 1, 4, 1626067, 33154.60, 0, 0.00, 1: 195; 2: 132; 3: 17; 4: 2; 
CD4_T_cell_signaling, 320,  9, 21,  518, 1, 4, 1527876, 33154.60, 19, 0.00, 1: 195; 2: 131; 3: 19; 4: 1; 
CD4_T_cell_signaling, 216, 15, 13,  518, 1, 4, 1568155, 33154.60, 15, 0.00, 1: 197; 2: 127; 3: 21; 4: 1; 
CD4_T_cell_signaling, 820,  8, 26,  518, 1, 4, 1664447, 33154.60, 58, 0.00, 1: 204; 2: 113; 3: 28; 4: 1; 
CD4_T_cell_signaling, 651,  8, 24,  518, 1, 4, 1539623, 33154.60, 0, 0.00, 1: 195; 2: 131; 3: 19; 4: 1; 
CD4_T_cell_signaling, 601, 14, 14,  518, 1, 4, 1583755, 33154.60, 0, 0.00, 1: 202; 2: 117; 3: 26; 4: 1; 
CD4_T_cell_signaling, 558, 15, 13,  518, 1, 4, 1568180, 33154.60, 0, 0.00, 1: 197; 2: 130; 3: 15; 4: 4; 
CD4_T_cell_signaling, 953, 15, 13,  518, 1, 4, 1568154, 33154.60, 0, 0.00, 1: 191; 2: 140; 3: 13; 4: 2; 
CD4_T_cell_signaling, 547,  8, 24,  518, 1, 4, 1539785, 33154.60, 0, 0.00, 1: 201; 2: 119; 3: 25; 4: 1; 
CD4_T_cell_signaling, 423,  9, 22,  519, 1, 4, 1595572, 33154.60, 0, 0.00, 1: 194; 2: 133; 3: 17; 4: 2; 
CD4_T_cell_signaling, 431,  9, 21,  519, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 197; 2: 126; 3: 22; 4: 1; 
CD4_T_cell_signaling, 468, 12, 17,  519, 1, 4, 1626005, 33154.60, 21, 0.00, 1: 193; 2: 135; 3: 16; 4: 2; 
CD4_T_cell_signaling, 469,  8, 25,  519, 1, 4, 1606733, 33154.60, 0, 0.00, 1: 200; 2: 120; 3: 25; 4: 1; 
CD4_T_cell_signaling, 745, 12, 16,  519, 1, 4, 1539752, 33154.60, 0, 0.00, 1: 201; 2: 118; 3: 26; 4: 1; 
CD4_T_cell_signaling, 162,  8, 25,  519, 1, 4, 1606562, 33154.60, 0, 0.00, 1: 197; 2: 126; 3: 22; 4: 1; 
CD4_T_cell_signaling, 831, 14, 14,  519, 1, 4, 1583811, 33154.60, 0, 0.00, 1: 194; 2: 132; 3: 19; 4: 1; 
CD4_T_cell_signaling, 867,  8, 26,  519, 1, 4, 1664292, 33154.60, 0, 0.00, 1: 192; 2: 137; 3: 15; 4: 2; 
CD4_T_cell_signaling, 464, 16, 12,  519, 1, 4, 1539750, 33154.60, 31, 0.00, 1: 192; 2: 136; 3: 17; 4: 1; 
CD4_T_cell_signaling, 850,  9, 21,  519, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 194; 2: 132; 3: 19; 4: 1; 
CD4_T_cell_signaling, 779, 10, 20,  519, 1, 4, 1606495, 33154.60, 0, 0.00, 1: 194; 2: 134; 3: 15; 4: 3; 
CD4_T_cell_signaling, 857,  9, 22,  519, 1, 4, 1595593, 33154.60, 0, 0.00, 1: 201; 2: 120; 3: 22; 4: 3; 
CD4_T_cell_signaling, 882, 12, 16,  519, 1, 4, 1539777, 33154.60, 0, 0.00, 1: 195; 2: 131; 3: 18; 4: 2; 
CD4_T_cell_signaling, 389, 16, 12,  519, 1, 4, 1539723, 33154.60, 0, 0.00, 1: 197; 2: 126; 3: 22; 4: 1; 
CD4_T_cell_signaling, 311, 14, 14,  519, 1, 4, 1583893, 33154.60, 0, 0.00, 1: 203; 2: 117; 3: 22; 4: 4; 
CD4_T_cell_signaling, 716, 12, 17,  519, 1, 4, 1626418, 33154.60, 47, 0.00, 1: 202; 2: 117; 3: 25; 4: 2; 
CD4_T_cell_signaling, 719, 16, 12,  519, 1, 4, 1539730, 33154.60, 0, 0.00, 1: 200; 2: 122; 3: 21; 4: 3; 
CD4_T_cell_signaling, 302,  8, 24,  519, 1, 4, 1539777, 33154.60, 0, 0.00, 1: 202; 2: 117; 3: 25; 4: 2; 
CD4_T_cell_signaling, 954, 13, 15,  519, 1, 4, 1568212, 33154.60, 0, 0.00, 1: 203; 2: 114; 3: 28; 4: 1; 
CD4_T_cell_signaling,  44,  8, 24,  519, 1, 4, 1539717, 33154.60, 57, 0.00, 1: 199; 2: 122; 3: 24; 4: 1; 
CD4_T_cell_signaling, 910,  8, 24,  519, 1, 4, 1539637, 33154.60, 0, 0.00, 1: 194; 2: 132; 3: 19; 4: 1; 
CD4_T_cell_signaling, 411,  8, 24,  519, 1, 4, 1539728, 33154.60, 0, 0.00, 1: 202; 2: 118; 3: 23; 4: 3; 
CD4_T_cell_signaling, 583,  9, 23,  519, 1, 4, 1649781, 33154.60, 0, 0.00, 1: 196; 2: 128; 3: 21; 4: 1; 
CD4_T_cell_signaling, 569,  9, 23,  519, 1, 4, 1649622, 33154.60, 0, 0.00, 1: 194; 2: 134; 3: 15; 4: 3; 
CD4_T_cell_signaling, 901,  8, 26,  519, 1, 4, 1664525, 33154.60, 0, 0.00, 1: 201; 2: 120; 3: 22; 4: 3; 
CD4_T_cell_signaling, 256,  8, 25,  519, 1, 4, 1606538, 33154.60, 16, 0.00, 1: 196; 2: 129; 3: 19; 4: 2; 
CD4_T_cell_signaling, 105, 11, 18,  519, 1, 4, 1595516, 33154.60, 0, 0.00, 1: 196; 2: 129; 3: 19; 4: 2; 
CD4_T_cell_signaling, 682, 16, 12,  520, 1, 4, 1539731, 33154.60, 0, 0.00, 1: 192; 2: 135; 3: 18; 4: 1; 
CD4_T_cell_signaling, 359,  9, 21,  520, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 200; 2: 120; 3: 24; 4: 2; 
CD4_T_cell_signaling, 701,  9, 21,  520, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 193; 2: 134; 3: 17; 4: 2; 
CD4_T_cell_signaling, 673, 10, 20,  520, 1, 4, 1606709, 33154.60, 0, 0.00, 1: 193; 2: 133; 3: 19; 4: 1; 
CD4_T_cell_signaling, 393, 12, 16,  520, 1, 4, 1539732, 33154.60, 0, 0.00, 1: 202; 2: 116; 3: 26; 4: 2; 
CD4_T_cell_signaling, 727, 16, 12,  520, 1, 4, 1539680, 33154.60, 0, 0.00, 1: 200; 2: 122; 3: 20; 4: 4; 
CD4_T_cell_signaling, 784,  8, 25,  520, 1, 4, 1606374, 33154.60, 55, 0.00, 1: 197; 2: 127; 3: 19; 4: 3; 
CD4_T_cell_signaling, 294,  8, 26,  520, 1, 4, 1664215, 33154.60, 0, 0.00, 1: 200; 2: 120; 3: 24; 4: 2; 
CD4_T_cell_signaling, 735,  8, 26,  520, 1, 4, 1664090, 33154.60, 0, 0.00, 1: 200; 2: 120; 3: 24; 4: 2; 
CD4_T_cell_signaling,   0, 10, 19,  520, 1, 4, 1526088, 33154.60, 128, 0.00, 1: 198; 2: 123; 3: 24; 4: 1; 
CD4_T_cell_signaling, 833,  8, 26,  520, 1, 4, 1664423, 33154.60, 0, 0.00, 1: 199; 2: 123; 3: 21; 4: 3; 
CD4_T_cell_signaling, 821, 15, 13,  520, 1, 4, 1568198, 33154.60, 0, 0.00, 1: 195; 2: 129; 3: 21; 4: 1; 
CD4_T_cell_signaling, 493, 11, 18,  520, 1, 4, 1595680, 33154.60, 0, 0.00, 1: 198; 2: 124; 3: 22; 4: 2; 
CD4_T_cell_signaling, 909,  8, 26,  520, 1, 4, 1664464, 33154.60, 0, 0.00, 1: 201; 2: 118; 3: 25; 4: 2; 
CD4_T_cell_signaling, 492,  8, 26,  520, 1, 4, 1664387, 33154.60, 130, 0.00, 1: 202; 2: 117; 3: 24; 4: 3; 
CD4_T_cell_signaling, 559, 10, 19,  520, 1, 4, 1526053, 33154.60, 0, 0.00, 1: 193; 2: 134; 3: 17; 4: 2; 
CD4_T_cell_signaling, 500,  9, 22,  520, 1, 4, 1595507, 33154.60, 33, 0.00, 1: 199; 2: 122; 3: 23; 4: 2; 
CD4_T_cell_signaling, 893,  8, 24,  520, 1, 4, 1539673, 33154.60, 0, 0.00, 1: 200; 2: 121; 3: 22; 4: 3; 
CD4_T_cell_signaling, 477, 14, 14,  520, 1, 4, 1583772, 33154.60, 0, 0.00, 1: 194; 2: 132; 3: 18; 4: 2; 
CD4_T_cell_signaling, 888, 15, 13,  520, 1, 4, 1568183, 33154.60, 68, 0.00, 1: 200; 2: 120; 3: 24; 4: 2; 
CD4_T_cell_signaling, 116, 10, 20,  520, 1, 4, 1606359, 33154.60, 21, 0.00, 1: 193; 2: 134; 3: 17; 4: 2; 
CD4_T_cell_signaling, 961, 15, 13,  520, 1, 4, 1568327, 33154.60, 0, 0.00, 1: 193; 2: 133; 3: 19; 4: 1; 
CD4_T_cell_signaling,  31,  8, 24,  520, 1, 4, 1539757, 33154.60, 0, 0.00, 1: 195; 2: 130; 3: 19; 4: 2; 
CD4_T_cell_signaling, 861, 11, 18,  520, 1, 4, 1595597, 33154.60, 0, 0.00, 1: 200; 2: 121; 3: 22; 4: 3; 
CD4_T_cell_signaling, 134,  8, 26,  520, 1, 4, 1664200, 33154.60, 0, 0.00, 1: 198; 2: 125; 3: 20; 4: 3; 
CD4_T_cell_signaling, 448,  8, 25,  520, 1, 4, 1606611, 33154.60, 31, 0.00, 1: 201; 2: 117; 3: 27; 4: 1; 
CD4_T_cell_signaling, 533,  8, 25,  520, 1, 4, 1606600, 33154.60, 0, 0.00, 1: 203; 2: 115; 3: 25; 4: 3; 
CD4_T_cell_signaling, 122, 16, 12,  520, 1, 4, 1539684, 33154.60, 0, 0.00, 1: 200; 2: 121; 3: 22; 4: 3; 
CD4_T_cell_signaling, 988, 14, 14,  520, 1, 4, 1583818, 33154.60, 72, 0.00, 1: 198; 2: 123; 3: 24; 4: 1; 
CD4_T_cell_signaling,  14,  8, 26,  521, 1, 4, 1664231, 33154.60, 0, 0.00, 1: 198; 2: 124; 3: 21; 4: 3; 
CD4_T_cell_signaling, 732, 12, 16,  521, 1, 4, 1539664, 33154.60, 142, 0.00, 1: 192; 2: 134; 3: 19; 4: 1; 
CD4_T_cell_signaling, 639,  8, 24,  521, 1, 4, 1539786, 33154.60, 0, 0.00, 1: 191; 2: 136; 3: 18; 4: 1; 
CD4_T_cell_signaling,  84,  8, 25,  521, 1, 4, 1606494, 33154.60, 63, 0.00, 1: 199; 2: 120; 3: 26; 4: 1; 
CD4_T_cell_signaling, 992,  8, 24,  521, 1, 4, 1539687, 33154.60, 76, 0.00, 1: 202; 2: 117; 3: 23; 4: 4; 
CD4_T_cell_signaling, 358,  8, 25,  521, 1, 4, 1606562, 33154.60, 0, 0.00, 1: 197; 2: 125; 3: 22; 4: 2; 
CD4_T_cell_signaling,  83,  8, 24,  521, 1, 4, 1539772, 33154.60, 0, 0.00, 1: 196; 2: 126; 3: 23; 4: 1; 
CD4_T_cell_signaling, 648, 14, 14,  521, 1, 4, 1583834, 33154.60, 41, 0.00, 1: 199; 2: 120; 3: 26; 4: 1; 
CD4_T_cell_signaling, 353,  9, 21,  521, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 199; 2: 121; 3: 24; 4: 2; 
CD4_T_cell_signaling, 926,  8, 24,  521, 1, 4, 1539719, 33154.60, 0, 0.00, 1: 201; 2: 116; 3: 28; 4: 1; 
CD4_T_cell_signaling, 327,  8, 26,  521, 1, 4, 1664279, 33154.60, 0, 0.00, 1: 201; 2: 117; 3: 26; 4: 2; 
CD4_T_cell_signaling, 946,  9, 21,  521, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 198; 2: 123; 3: 23; 4: 2; 
CD4_T_cell_signaling,  46,  9, 21,  521, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 198; 2: 123; 3: 23; 4: 2; 
CD4_T_cell_signaling, 976,  8, 25,  521, 1, 4, 1606266, 33154.60, 73, 0.00, 1: 195; 2: 129; 3: 20; 4: 2; 
CD4_T_cell_signaling, 132,  8, 26,  521, 1, 4, 1664049, 33154.60, 22, 0.00, 1: 199; 2: 123; 3: 20; 4: 4; 
CD4_T_cell_signaling, 834, 14, 14,  521, 1, 4, 1583956, 33154.60, 0, 0.00, 1: 197; 2: 124; 3: 24; 4: 1; 
CD4_T_cell_signaling, 491, 14, 14,  521, 1, 4, 1583916, 33154.60, 0, 0.00, 1: 196; 2: 126; 3: 23; 4: 1; 
CD4_T_cell_signaling, 237, 12, 17,  521, 1, 4, 1626140, 33154.60, 0, 0.00, 1: 196; 2: 127; 3: 21; 4: 2; 
CD4_T_cell_signaling,  87,  9, 21,  521, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 194; 2: 131; 3: 19; 4: 2; 
CD4_T_cell_signaling,  99, 12, 16,  521, 1, 4, 1539742, 33154.60, 0, 0.00, 1: 188; 2: 142; 3: 15; 4: 1; 
CD4_T_cell_signaling, 452,  8, 24,  521, 1, 4, 1539770, 33154.60, 144, 0.00, 1: 198; 2: 122; 3: 25; 4: 1; 
CD4_T_cell_signaling, 103, 15, 13,  521, 1, 4, 1568257, 33154.60, 0, 0.00, 1: 188; 2: 142; 3: 15; 4: 1; 
CD4_T_cell_signaling, 255, 10, 19,  521, 1, 4, 1526078, 33154.60, 0, 0.00, 1: 198; 2: 122; 3: 25; 4: 1; 
CD4_T_cell_signaling, 626,  9, 21,  521, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 199; 2: 121; 3: 24; 4: 2; 
CD4_T_cell_signaling, 142, 12, 17,  522, 1, 4, 1626413, 33154.60, 0, 0.00, 1: 197; 2: 123; 3: 25; 4: 1; 
CD4_T_cell_signaling,  18, 14, 14,  522, 1, 4, 1583911, 33154.60, 150, 0.00, 1: 199; 2: 119; 3: 27; 4: 1; 
CD4_T_cell_signaling, 140,  9, 22,  522, 1, 4, 1595538, 33154.60, 6, 0.00, 1: 191; 2: 135; 3: 19; 4: 1; 
CD4_T_cell_signaling, 799, 16, 12,  522, 1, 4, 1539714, 33154.60, 0, 0.00, 1: 189; 2: 139; 3: 17; 4: 1; 
CD4_T_cell_signaling, 318, 12, 17,  522, 1, 4, 1626378, 33154.60, 0, 0.00, 1: 194; 2: 130; 3: 20; 4: 2; 
CD4_T_cell_signaling, 800,  8, 24,  522, 1, 4, 1539754, 33154.60, 57, 0.00, 1: 203; 2: 113; 3: 27; 4: 3; 
CD4_T_cell_signaling, 197,  9, 21,  522, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 195; 2: 130; 3: 17; 4: 4; 
CD4_T_cell_signaling, 678, 12, 17,  522, 1, 4, 1626392, 33154.60, 0, 0.00, 1: 194; 2: 130; 3: 20; 4: 2; 
CD4_T_cell_signaling, 529,  9, 23,  522, 1, 4, 1649557, 33154.60, 0, 0.00, 1: 193; 2: 132; 3: 19; 4: 2; 
CD4_T_cell_signaling, 325,  8, 24,  522, 1, 4, 1539783, 33154.60, 0, 0.00, 1: 199; 2: 119; 3: 27; 4: 1; 
CD4_T_cell_signaling, 233, 15, 13,  522, 1, 4, 1568221, 33154.60, 0, 0.00, 1: 197; 2: 124; 3: 23; 4: 2; 
CD4_T_cell_signaling,  85,  8, 25,  522, 1, 4, 1606526, 33154.60, 0, 0.00, 1: 194; 2: 130; 3: 20; 4: 2; 
CD4_T_cell_signaling, 708, 10, 19,  522, 1, 4, 1526101, 33154.60, 155, 0.00, 1: 191; 2: 135; 3: 19; 4: 1; 
CD4_T_cell_signaling, 936,  8, 24,  522, 1, 4, 1539736, 33154.60, 71, 0.00, 1: 201; 2: 117; 3: 25; 4: 3; 
CD4_T_cell_signaling, 267, 15, 13,  522, 1, 4, 1568214, 33154.60, 0, 0.00, 1: 193; 2: 132; 3: 19; 4: 2; 
CD4_T_cell_signaling, 924, 11, 18,  522, 1, 4, 1595793, 33154.60, 178, 0.00, 1: 196; 2: 128; 3: 18; 4: 4; 
CD4_T_cell_signaling, 723, 11, 18,  522, 1, 4, 1595631, 33154.60, 0, 0.00, 1: 192; 2: 135; 3: 16; 4: 3; 
CD4_T_cell_signaling, 280,  8, 25,  522, 1, 4, 1606531, 33154.60, 18, 0.00, 1: 202; 2: 114; 3: 28; 4: 2; 
CD4_T_cell_signaling, 906, 14, 14,  522, 1, 4, 1583866, 33154.60, 0, 0.00, 1: 197; 2: 124; 3: 23; 4: 2; 
CD4_T_cell_signaling, 289,  9, 22,  522, 1, 4, 1595399, 33154.60, 0, 0.00, 1: 202; 2: 113; 3: 30; 4: 1; 
CD4_T_cell_signaling, 388, 10, 19,  522, 1, 4, 1526102, 33154.60, 10, 0.00, 1: 192; 2: 133; 3: 20; 4: 1; 
CD4_T_cell_signaling, 416, 14, 14,  522, 1, 4, 1583846, 33154.60, 27, 0.00, 1: 192; 2: 133; 3: 20; 4: 1; 
CD4_T_cell_signaling, 476, 15, 13,  522, 1, 4, 1568202, 33154.60, 31, 0.00, 1: 195; 2: 127; 3: 23; 4: 1; 
CD4_T_cell_signaling, 377, 16, 12,  522, 1, 4, 1539720, 33154.60, 0, 0.00, 1: 190; 2: 138; 3: 16; 4: 2; 
CD4_T_cell_signaling, 430, 13, 15,  523, 1, 4, 1568200, 33154.60, 0, 0.00, 1: 190; 2: 136; 3: 19; 4: 1; 
CD4_T_cell_signaling,   5,  9, 21,  523, 1, 4, 1527876, 33154.60, 127, 0.00, 1: 198; 2: 123; 3: 21; 4: 4; 
CD4_T_cell_signaling, 562, 14, 14,  523, 1, 4, 1583781, 33154.60, 0, 0.00, 1: 190; 2: 136; 3: 19; 4: 1; 
CD4_T_cell_signaling, 199,  9, 22,  523, 1, 4, 1595693, 33154.60, 0, 0.00, 1: 199; 2: 119; 3: 26; 4: 2; 
CD4_T_cell_signaling, 641,  8, 25,  523, 1, 4, 1606483, 33154.60, 0, 0.00, 1: 195; 2: 129; 3: 18; 4: 4; 
CD4_T_cell_signaling, 548,  8, 26,  523, 1, 4, 1664235, 33154.60, 57, 0.00, 1: 199; 2: 120; 3: 24; 4: 3; 
CD4_T_cell_signaling, 786,  8, 26,  523, 1, 4, 1664477, 33154.60, 0, 0.00, 1: 193; 2: 132; 3: 18; 4: 3; 
CD4_T_cell_signaling, 699, 15, 13,  523, 1, 4, 1568285, 33154.60, 0, 0.00, 1: 192; 2: 132; 3: 21; 4: 1; 
CD4_T_cell_signaling, 471, 11, 18,  523, 1, 4, 1595248, 33154.60, 0, 0.00, 1: 193; 2: 130; 3: 22; 4: 1; 
CD4_T_cell_signaling, 120,  9, 21,  523, 1, 4, 1527876, 33154.60, 10, 0.00, 1: 192; 2: 133; 3: 19; 4: 2; 
CD4_T_cell_signaling, 791,  8, 24,  523, 1, 4, 1539785, 33154.60, 0, 0.00, 1: 192; 2: 134; 3: 17; 4: 3; 
CD4_T_cell_signaling, 467,  8, 24,  523, 1, 4, 1539663, 33154.60, 0, 0.00, 1: 194; 2: 132; 3: 15; 4: 5; 
CD4_T_cell_signaling, 275, 16, 12,  523, 1, 4, 1539643, 33154.60, 0, 0.00, 1: 193; 2: 131; 3: 20; 4: 2; 
CD4_T_cell_signaling, 917,  9, 22,  523, 1, 4, 1595495, 33154.60, 0, 0.00, 1: 192; 2: 132; 3: 21; 4: 1; 
CD4_T_cell_signaling, 743,  8, 24,  523, 1, 4, 1539691, 33154.60, 0, 0.00, 1: 196; 2: 127; 3: 19; 4: 4; 
CD4_T_cell_signaling, 102,  9, 22,  523, 1, 4, 1595366, 33154.60, 0, 0.00, 1: 189; 2: 139; 3: 16; 4: 2; 
CD4_T_cell_signaling, 729,  9, 21,  523, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 204; 2: 112; 3: 25; 4: 5; 
CD4_T_cell_signaling,  17,  8, 24,  523, 1, 4, 1539747, 33154.60, 26, 0.00, 1: 196; 2: 126; 3: 21; 4: 3; 
CD4_T_cell_signaling, 679, 14, 14,  523, 1, 4, 1583926, 33154.60, 0, 0.00, 1: 195; 2: 126; 3: 24; 4: 1; 
CD4_T_cell_signaling, 883, 15, 13,  523, 1, 4, 1568225, 33154.60, 0, 0.00, 1: 197; 2: 123; 3: 24; 4: 2; 
CD4_T_cell_signaling, 178, 16, 12,  523, 1, 4, 1539741, 33154.60, 0, 0.00, 1: 194; 2: 128; 3: 23; 4: 1; 
CD4_T_cell_signaling, 507,  8, 25,  523, 1, 4, 1606354, 33154.60, 0, 0.00, 1: 194; 2: 128; 3: 23; 4: 1; 
CD4_T_cell_signaling, 611,  8, 26,  523, 1, 4, 1664115, 33154.60, 0, 0.00, 1: 201; 2: 117; 3: 24; 4: 4; 
CD4_T_cell_signaling, 291,  9, 23,  523, 1, 4, 1649769, 33154.60, 0, 0.00, 1: 199; 2: 119; 3: 26; 4: 2; 
CD4_T_cell_signaling, 993,  9, 21,  523, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 197; 2: 122; 3: 26; 4: 1; 
CD4_T_cell_signaling, 650,  9, 23,  523, 1, 4, 1649822, 33154.60, 0, 0.00, 1: 198; 2: 120; 3: 27; 4: 1; 
CD4_T_cell_signaling, 653, 14, 14,  524, 1, 4, 1583927, 33154.60, 0, 0.00, 1: 194; 2: 127; 3: 24; 4: 1; 
CD4_T_cell_signaling, 136,  8, 25,  524, 1, 4, 1606697, 33154.60, 11, 0.00, 1: 198; 2: 120; 3: 26; 4: 2; 
CD4_T_cell_signaling, 561, 16, 12,  524, 1, 4, 1539727, 33154.60, 0, 0.00, 1: 193; 2: 129; 3: 23; 4: 1; 
CD4_T_cell_signaling,  94, 10, 19,  524, 1, 4, 1526034, 33154.60, 0, 0.00, 1: 201; 2: 116; 3: 25; 4: 4; 
CD4_T_cell_signaling, 854,  9, 22,  524, 1, 4, 1595516, 33154.60, 0, 0.00, 1: 193; 2: 129; 3: 23; 4: 1; 
CD4_T_cell_signaling, 246, 12, 16,  524, 1, 4, 1539685, 33154.60, 0, 0.00, 1: 198; 2: 121; 3: 24; 4: 3; 
CD4_T_cell_signaling, 718,  8, 25,  524, 1, 4, 1606566, 33154.60, 0, 0.00, 1: 195; 2: 128; 3: 19; 4: 4; 
CD4_T_cell_signaling, 169, 12, 17,  524, 1, 4, 1626386, 33154.60, 0, 0.00, 1: 198; 2: 120; 3: 26; 4: 2; 
CD4_T_cell_signaling,  65,  8, 26,  524, 1, 4, 1664211, 33154.60, 0, 0.00, 1: 198; 2: 121; 3: 24; 4: 3; 
CD4_T_cell_signaling, 808,  9, 22,  524, 1, 4, 1595628, 33154.60, 58, 0.00, 1: 194; 2: 130; 3: 18; 4: 4; 
CD4_T_cell_signaling,  30,  8, 26,  524, 1, 4, 1664120, 33154.60, 0, 0.00, 1: 200; 2: 117; 3: 26; 4: 3; 
CD4_T_cell_signaling, 967, 16, 12,  524, 1, 4, 1539675, 33154.60, 0, 0.00, 1: 192; 2: 132; 3: 20; 4: 2; 
CD4_T_cell_signaling, 965, 12, 16,  524, 1, 4, 1539696, 33154.60, 0, 0.00, 1: 191; 2: 133; 3: 21; 4: 1; 
CD4_T_cell_signaling, 192, 15, 13,  524, 1, 4, 1568087, 33154.60, 14, 0.00, 1: 186; 2: 143; 3: 16; 4: 1; 
CD4_T_cell_signaling, 193, 16, 12,  524, 1, 4, 1539663, 33154.60, 0, 0.00, 1: 194; 2: 127; 3: 24; 4: 1; 
CD4_T_cell_signaling, 956,  8, 26,  524, 1, 4, 1664692, 33154.60, 38, 0.00, 1: 199; 2: 118; 3: 27; 4: 2; 
CD4_T_cell_signaling, 623,  9, 23,  524, 1, 4, 1649984, 33154.60, 0, 0.00, 1: 197; 2: 124; 3: 21; 4: 4; 
CD4_T_cell_signaling,  45, 15, 13,  524, 1, 4, 1568100, 33154.60, 0, 0.00, 1: 190; 2: 135; 3: 20; 4: 1; 
CD4_T_cell_signaling, 531, 13, 15,  524, 1, 4, 1568234, 33154.60, 0, 0.00, 1: 197; 2: 121; 3: 27; 4: 1; 
CD4_T_cell_signaling, 596,  8, 25,  524, 1, 4, 1606452, 33154.60, 110, 0.00, 1: 199; 2: 118; 3: 27; 4: 2; 
CD4_T_cell_signaling,  54, 16, 12,  524, 1, 4, 1539755, 33154.60, 0, 0.00, 1: 189; 2: 138; 3: 17; 4: 2; 
CD4_T_cell_signaling, 203,  9, 22,  524, 1, 4, 1595693, 33154.60, 0, 0.00, 1: 199; 2: 119; 3: 25; 4: 3; 
CD4_T_cell_signaling, 937,  8, 26,  524, 1, 4, 1664284, 33154.60, 0, 0.00, 1: 195; 2: 129; 3: 17; 4: 5; 
CD4_T_cell_signaling, 123,  8, 25,  524, 1, 4, 1606376, 33154.60, 0, 0.00, 1: 197; 2: 121; 3: 27; 4: 1; 
CD4_T_cell_signaling, 209,  9, 21,  524, 1, 4, 1527876, 33154.60, 0, 0.00, 1: 203; 2: 111; 3: 29; 4: 3; 
CD4_T_cell_signaling, 247,  8, 25,  524, 1, 4, 1606405, 33154.60, 0, 0.00, 1: 193; 2: 130; 3: 21; 4: 2; 
CD4_T_cell_signaling, 736,  8, 25,  525, 1, 4, 1606371, 33154.60, 49, 0.00, 1: 193; 2: 129; 3: 22; 4: 2; 
CD4_T_cell_signaling, 807,  8, 24,  525, 1, 4, 1539708, 33154.60, 0, 0.00, 1: 195; 2: 124; 3: 26; 4: 1; 
CD4_T_cell_signaling, 853,  8, 26,  525, 1, 4, 1664443, 33154.60, 0, 0.00, 1: 192; 2: 130; 3: 23; 4: 1; 
CD4_T_cell_signaling, 580, 12, 16,  525, 1, 4, 1539764, 33154.60, 125, 0.00, 1: 189; 2: 136; 3: 20; 4: 1; 
CD4_T_cell_signaling, 276, 15, 13,  525, 1, 4, 1568253, 33154.60, 97, 0.00, 1: 197; 2: 121; 3: 26; 4: 2; 
CD4_T_cell_signaling, 872,  9, 21,  525, 1, 4, 1527876, 33154.60, 66, 0.00, 1: 198; 2: 120; 3: 25; 4: 3; 
CD4_T_cell_signaling, 465, 12, 17,  525, 1, 4, 1626240, 33154.60, 0, 0.00, 1: 192; 2: 132; 3: 19; 4: 3; 
CD4_T_cell_signaling, 591, 16, 12,  525, 1, 4, 1539743, 33154.60, 0, 0.00, 1: 193; 2: 129; 3: 22; 4: 2; 
CD4_T_cell_signaling, 455,  9, 23,  525, 1, 4, 1649418, 33154.60, 0, 0.00, 1: 192; 2: 130; 3: 23; 4: 1; 
CD4_T_cell_signaling, 288,  8, 24,  525, 1, 4, 1539730, 33154.60, 18, 0.00, 1: 200; 2: 117; 3: 25; 4: 4; 
CD4_T_cell_signaling,  28, 12, 17,  525, 1, 4, 1626372, 33154.60, 13, 0.00, 1: 195; 2: 125; 3: 24; 4: 2; 
