Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(499)
Melhor resultado nxn: HGF_Signaling_in_Keratinocytes, 745,  7, 11,  127, 1, 2, 607250, 42480.03, 67, 0.00, 1: 79; 2: 24; 
HGF_Signaling_in_Keratinocytes, 883,  9,  8,  141, 1, 2, 571276, 42480.03, 32, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes, 983,  7, 10,  141, 1, 2, 557574, 42480.03, 0, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes,  21,  9,  8,  141, 1, 2, 571244, 42480.03, 85, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes, 277,  5, 14,  141, 1, 2, 557680, 42480.03, 85, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes, 444,  7, 10,  141, 1, 2, 557651, 42480.03, 2, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes,  45,  9,  8,  141, 1, 2, 571213, 42480.03, 49, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes, 769,  5, 15,  141, 1, 2, 592194, 42480.03, 172, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes, 167,  7, 11,  141, 1, 2, 606906, 42480.03, 0, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes, 990,  5, 14,  141, 1, 2, 557623, 42480.03, 0, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes, 857, 10,  7,  141, 1, 2, 557641, 42480.03, 199, 0.00, 1: 65; 2: 38; 
HGF_Signaling_in_Keratinocytes, 321,  9,  8,  142, 1, 2, 571114, 42480.03, 176, 0.00, 1: 64; 2: 39; 
HGF_Signaling_in_Keratinocytes, 586,  8,  9,  142, 1, 2, 571221, 42480.03, 0, 0.00, 1: 64; 2: 39; 
HGF_Signaling_in_Keratinocytes, 518,  7, 10,  142, 1, 2, 557635, 42480.03, 0, 0.00, 1: 64; 2: 39; 
HGF_Signaling_in_Keratinocytes, 905,  5, 14,  142, 1, 2, 557624, 42480.03, 0, 0.00, 1: 64; 2: 39; 
HGF_Signaling_in_Keratinocytes,  50,  5, 15,  142, 1, 2, 592007, 42480.03, 0, 0.00, 1: 64; 2: 39; 
HGF_Signaling_in_Keratinocytes, 869,  5, 14,  142, 1, 2, 557614, 42480.03, 0, 0.00, 1: 64; 2: 39; 
HGF_Signaling_in_Keratinocytes, 221,  5, 14,  142, 1, 2, 557552, 42480.03, 85, 0.00, 1: 64; 2: 39; 
HGF_Signaling_in_Keratinocytes, 818, 10,  7,  142, 1, 2, 557617, 42480.03, 255, 0.00, 1: 64; 2: 39; 
HGF_Signaling_in_Keratinocytes, 542, 10,  7,  143, 1, 2, 557643, 42480.03, 0, 0.00, 1: 63; 2: 40; 
HGF_Signaling_in_Keratinocytes, 112,  5, 14,  143, 1, 2, 557637, 42480.03, 28, 0.00, 1: 63; 2: 40; 
HGF_Signaling_in_Keratinocytes, 565,  6, 13,  145, 1, 2, 612317, 42480.03, 0, 0.00, 1: 61; 2: 42; 
HGF_Signaling_in_Keratinocytes, 897,  5, 14,  146, 1, 2, 557604, 42480.03, 0, 0.00, 1: 60; 2: 43; 
HGF_Signaling_in_Keratinocytes,  83,  8,  9,  146, 1, 2, 571261, 42480.03, 102, 0.00, 1: 60; 2: 43; 
HGF_Signaling_in_Keratinocytes, 286,  6, 13,  129, 1, 3, 611848, 42480.03, 0, 0.00, 1: 78; 2: 24; 3: 1; 
HGF_Signaling_in_Keratinocytes, 895,  6, 13,  129, 1, 3, 612179, 42480.03, 0, 0.00, 1: 78; 2: 24; 3: 1; 
HGF_Signaling_in_Keratinocytes, 985,  6, 12,  129, 1, 3, 571270, 42480.03, 199, 0.00, 1: 78; 2: 24; 3: 1; 
HGF_Signaling_in_Keratinocytes, 520,  6, 13,  130, 1, 3, 612151, 42480.03, 0, 0.00, 1: 77; 2: 25; 3: 1; 
HGF_Signaling_in_Keratinocytes, 155,  6, 12,  130, 1, 3, 571201, 42480.03, 103, 0.00, 1: 77; 2: 25; 3: 1; 
HGF_Signaling_in_Keratinocytes, 107,  6, 13,  130, 1, 3, 612317, 42480.03, 49, 0.00, 1: 77; 2: 25; 3: 1; 
HGF_Signaling_in_Keratinocytes, 525,  5, 15,  130, 1, 3, 592190, 42480.03, 85, 0.00, 1: 77; 2: 25; 3: 1; 
HGF_Signaling_in_Keratinocytes, 270,  7, 11,  130, 1, 3, 606884, 42480.03, 0, 0.00, 1: 77; 2: 25; 3: 1; 
HGF_Signaling_in_Keratinocytes,  56,  6, 13,  130, 1, 3, 612105, 42480.03, 0, 0.00, 1: 77; 2: 25; 3: 1; 
HGF_Signaling_in_Keratinocytes, 996,  5, 16,  130, 1, 3, 624995, 42480.03, 0, 0.00, 1: 77; 2: 25; 3: 1; 
HGF_Signaling_in_Keratinocytes, 145,  6, 13,  130, 1, 3, 612480, 42480.03, 176, 0.00, 1: 77; 2: 25; 3: 1; 
HGF_Signaling_in_Keratinocytes, 683,  6, 13,  130, 1, 3, 612629, 42480.03, 75, 0.00, 1: 78; 2: 23; 3: 2; 
HGF_Signaling_in_Keratinocytes, 620,  6, 12,  130, 1, 3, 571255, 42480.03, 66, 0.00, 1: 77; 2: 25; 3: 1; 
HGF_Signaling_in_Keratinocytes, 536,  6, 13,  131, 1, 3, 612169, 42480.03, 248, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 534,  7, 11,  131, 1, 3, 606696, 42480.03, 0, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 841,  5, 16,  131, 1, 3, 624915, 42480.03, 216, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 731,  6, 13,  131, 1, 3, 612307, 42480.03, 103, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 790,  9,  8,  131, 1, 3, 571170, 42480.03, 0, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 230,  6, 12,  131, 1, 3, 571119, 42480.03, 0, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 576,  6, 12,  131, 1, 3, 571176, 42480.03, 0, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 110,  7, 10,  131, 1, 3, 557668, 42480.03, 0, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes,   3,  6, 13,  131, 1, 3, 612278, 42480.03, 169, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 805,  8,  9,  131, 1, 3, 571272, 42480.03, 0, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 980,  6, 13,  131, 1, 3, 612303, 42480.03, 252, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes,  57,  5, 16,  131, 1, 3, 624720, 42480.03, 0, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 210,  6, 13,  131, 1, 3, 612249, 42480.03, 134, 0.00, 1: 76; 2: 26; 3: 1; 
HGF_Signaling_in_Keratinocytes, 257,  6, 12,  132, 1, 3, 571200, 42480.03, 30, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes,  77,  8,  9,  132, 1, 3, 571201, 42480.03, 85, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes,   9,  7, 11,  132, 1, 3, 606786, 42480.03, 146, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 241,  5, 14,  132, 1, 3, 557603, 42480.03, 0, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 556,  7, 11,  132, 1, 3, 606680, 42480.03, 78, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 103,  9,  8,  132, 1, 3, 571140, 42480.03, 0, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 274,  6, 13,  132, 1, 3, 612658, 42480.03, 134, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 262,  7, 11,  132, 1, 3, 607171, 42480.03, 0, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 236,  5, 15,  132, 1, 3, 592134, 42480.03, 32, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes,  72,  7, 11,  132, 1, 3, 607090, 42480.03, 48, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 682,  6, 12,  132, 1, 3, 571089, 42480.03, 82, 0.00, 1: 76; 2: 25; 3: 2; 
HGF_Signaling_in_Keratinocytes, 820,  7, 11,  132, 1, 3, 606793, 42480.03, 10, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 498,  7, 10,  132, 1, 3, 557674, 42480.03, 0, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 687,  6, 12,  132, 1, 3, 571167, 42480.03, 0, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 930,  6, 13,  132, 1, 3, 612208, 42480.03, 0, 0.00, 1: 76; 2: 25; 3: 2; 
HGF_Signaling_in_Keratinocytes, 295,  7, 10,  132, 1, 3, 557670, 42480.03, 0, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 397,  6, 12,  132, 1, 3, 571286, 42480.03, 85, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 293,  5, 14,  132, 1, 3, 557588, 42480.03, 0, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 709,  6, 13,  132, 1, 3, 612571, 42480.03, 85, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 389,  6, 12,  132, 1, 3, 571043, 42480.03, 85, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 382,  7, 10,  132, 1, 3, 557579, 42480.03, 0, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 528,  5, 15,  132, 1, 3, 592016, 42480.03, 0, 0.00, 1: 75; 2: 27; 3: 1; 
HGF_Signaling_in_Keratinocytes, 830,  7, 11,  133, 1, 3, 606871, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes,  67,  5, 16,  133, 1, 3, 625095, 42480.03, 102, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes, 459,  8,  9,  133, 1, 3, 571196, 42480.03, 103, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes, 918,  6, 12,  133, 1, 3, 571347, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 361,  5, 14,  133, 1, 3, 557598, 42480.03, 67, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 838,  8,  9,  133, 1, 3, 571219, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 716, 10,  7,  133, 1, 3, 557639, 42480.03, 252, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 327,  5, 16,  133, 1, 3, 624557, 42480.03, 0, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes, 958,  5, 15,  133, 1, 3, 592058, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes,  22,  7, 11,  133, 1, 3, 607042, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 998, 10,  7,  133, 1, 3, 557672, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 420,  6, 13,  133, 1, 3, 612087, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 736,  7, 10,  133, 1, 3, 557591, 42480.03, 6, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 788,  6, 13,  133, 1, 3, 612497, 42480.03, 252, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 742,  5, 16,  133, 1, 3, 625325, 42480.03, 0, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes,  25,  5, 16,  133, 1, 3, 625114, 42480.03, 195, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes, 165,  5, 15,  133, 1, 3, 592124, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 982,  8,  9,  133, 1, 3, 571180, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 343,  8,  9,  133, 1, 3, 571173, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes,   2,  5, 14,  133, 1, 3, 557616, 42480.03, 182, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 904,  6, 12,  133, 1, 3, 571387, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 758,  5, 15,  133, 1, 3, 592145, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 191,  6, 12,  133, 1, 3, 571271, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 778,  5, 15,  133, 1, 3, 591777, 42480.03, 91, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 120,  7, 11,  133, 1, 3, 606466, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 300,  5, 15,  133, 1, 3, 592187, 42480.03, 32, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes, 951, 10,  7,  133, 1, 3, 557654, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 263,  7, 10,  133, 1, 3, 557674, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 676,  6, 12,  133, 1, 3, 571229, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 312,  9,  8,  133, 1, 3, 571226, 42480.03, 0, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes, 666,  6, 12,  133, 1, 3, 570997, 42480.03, 91, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes, 829,  6, 13,  133, 1, 3, 612445, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 121,  5, 15,  133, 1, 3, 591939, 42480.03, 0, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes, 211,  5, 15,  133, 1, 3, 591922, 42480.03, 102, 0.00, 1: 75; 2: 26; 3: 2; 
HGF_Signaling_in_Keratinocytes, 258,  5, 16,  133, 1, 3, 625122, 42480.03, 134, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 477,  5, 14,  133, 1, 3, 557568, 42480.03, 85, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes,  47,  7, 11,  133, 1, 3, 606850, 42480.03, 32, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 875,  5, 14,  133, 1, 3, 557646, 42480.03, 99, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 229,  6, 13,  133, 1, 3, 612338, 42480.03, 0, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 925,  6, 13,  133, 1, 3, 612258, 42480.03, 85, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes,  11,  6, 12,  133, 1, 3, 571276, 42480.03, 169, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 116,  7, 10,  133, 1, 3, 557680, 42480.03, 29, 0.00, 1: 74; 2: 28; 3: 1; 
HGF_Signaling_in_Keratinocytes, 759, 10,  7,  134, 1, 3, 557620, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 848,  5, 14,  134, 1, 3, 557563, 42480.03, 208, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 810,  5, 14,  134, 1, 3, 557618, 42480.03, 97, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 906,  8,  9,  134, 1, 3, 571031, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 809,  6, 13,  134, 1, 3, 612202, 42480.03, 67, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 658,  5, 16,  134, 1, 3, 624812, 42480.03, 134, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 892,  7, 11,  134, 1, 3, 606989, 42480.03, 0, 0.00, 1: 75; 2: 25; 3: 3; 
HGF_Signaling_in_Keratinocytes, 650,  6, 13,  134, 1, 3, 611889, 42480.03, 134, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 986,  5, 16,  134, 1, 3, 624906, 42480.03, 91, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 681,  8,  9,  134, 1, 3, 571087, 42480.03, 67, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes, 970,  6, 13,  134, 1, 3, 612329, 42480.03, 134, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 734,  5, 16,  134, 1, 3, 625166, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 889,  7, 10,  134, 1, 3, 557656, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 911, 10,  7,  134, 1, 3, 557672, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 720,  5, 16,  134, 1, 3, 624954, 42480.03, 128, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes, 807,  8,  9,  134, 1, 3, 571180, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes,   1,  5, 16,  134, 1, 3, 625365, 42480.03, 146, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes, 803,  6, 12,  134, 1, 3, 571324, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 921,  5, 15,  134, 1, 3, 592179, 42480.03, 199, 0.00, 1: 75; 2: 25; 3: 3; 
HGF_Signaling_in_Keratinocytes, 882,  7, 11,  134, 1, 3, 606967, 42480.03, 49, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 704,  7, 10,  134, 1, 3, 557652, 42480.03, 112, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 636,  5, 14,  134, 1, 3, 557634, 42480.03, 1, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 115,  6, 13,  134, 1, 3, 612311, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 247,  7, 10,  134, 1, 3, 557678, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 246,  5, 16,  134, 1, 3, 624728, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes,  95,  5, 15,  134, 1, 3, 592034, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 532, 10,  7,  134, 1, 3, 557663, 42480.03, 252, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 526,  6, 13,  134, 1, 3, 612084, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 438,  5, 15,  134, 1, 3, 592143, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 196, 10,  7,  134, 1, 3, 557683, 42480.03, 252, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes, 181,  9,  8,  134, 1, 3, 571242, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 512,  5, 15,  134, 1, 3, 592324, 42480.03, 240, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 509,  6, 13,  134, 1, 3, 612324, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 454,  6, 13,  134, 1, 3, 612036, 42480.03, 0, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes, 610,  9,  8,  134, 1, 3, 571363, 42480.03, 0, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes, 177,  5, 14,  134, 1, 3, 557669, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 176,  5, 14,  134, 1, 3, 557647, 42480.03, 44, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 496,  7, 10,  134, 1, 3, 557716, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 495,  6, 13,  134, 1, 3, 612501, 42480.03, 32, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 461, 10,  7,  134, 1, 3, 557655, 42480.03, 85, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 118, 10,  7,  134, 1, 3, 557658, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 170,  7, 10,  134, 1, 3, 557572, 42480.03, 84, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 463, 10,  7,  134, 1, 3, 557625, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 169, 10,  7,  134, 1, 3, 557608, 42480.03, 65, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 475,  5, 14,  134, 1, 3, 557659, 42480.03, 103, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes, 482,  9,  8,  134, 1, 3, 571145, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 251,  5, 15,  134, 1, 3, 592284, 42480.03, 0, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes,  27,  8,  9,  134, 1, 3, 571257, 42480.03, 103, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes,  23,  8,  9,  134, 1, 3, 571378, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 269,  6, 12,  134, 1, 3, 571251, 42480.03, 85, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes,  32,  5, 16,  134, 1, 3, 624888, 42480.03, 8, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes,  34,  5, 15,  134, 1, 3, 592044, 42480.03, 0, 0.00, 1: 74; 2: 27; 3: 2; 
HGF_Signaling_in_Keratinocytes,  35, 10,  7,  134, 1, 3, 557663, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 355,  5, 14,  134, 1, 3, 557639, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 341,  5, 15,  134, 1, 3, 591746, 42480.03, 85, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 299,  5, 16,  134, 1, 3, 625249, 42480.03, 71, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes,   6,  8,  9,  134, 1, 3, 571053, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 306,  5, 15,  134, 1, 3, 592055, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes,  48,  6, 12,  134, 1, 3, 571093, 42480.03, 0, 0.00, 1: 73; 2: 29; 3: 1; 
HGF_Signaling_in_Keratinocytes, 292,  8,  9,  135, 1, 3, 571123, 42480.03, 0, 0.00, 1: 73; 2: 28; 3: 2; 
HGF_Signaling_in_Keratinocytes, 837,  6, 12,  135, 1, 3, 571098, 42480.03, 85, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 685,  6, 12,  135, 1, 3, 571279, 42480.03, 32, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 174,  8,  9,  135, 1, 3, 571133, 42480.03, 0, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 318, 10,  7,  135, 1, 3, 557537, 42480.03, 0, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 689,  8,  9,  135, 1, 3, 571146, 42480.03, 0, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 479,  6, 13,  135, 1, 3, 612402, 42480.03, 0, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 476,  6, 13,  135, 1, 3, 611963, 42480.03, 252, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 303,  6, 12,  135, 1, 3, 571240, 42480.03, 0, 0.00, 1: 73; 2: 28; 3: 2; 
HGF_Signaling_in_Keratinocytes, 346,  6, 13,  135, 1, 3, 612131, 42480.03, 91, 0.00, 1: 73; 2: 28; 3: 2; 
HGF_Signaling_in_Keratinocytes, 707,  5, 15,  135, 1, 3, 592211, 42480.03, 103, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 467,  5, 14,  135, 1, 3, 557671, 42480.03, 103, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 684,  6, 13,  135, 1, 3, 612268, 42480.03, 76, 0.00, 1: 72; 2: 30; 3: 1; 
HGF_Signaling_in_Keratinocytes, 804, 10,  7,  135, 1, 3, 557595, 42480.03, 0, 0.00, 1: 72; 2: 30; 3: 1; 
