Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
04(519)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 974, 10, 10,  236, 0, 4, 795976, 55407.78, 0, 0.00, 0: 25; 1: 48; 2: 48; 3: 24; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 460,  8, 12,  259, 0, 4, 764397, 55407.78, 45, 0.00, 0: 25; 1: 36; 2: 54; 3: 25; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  48, 10, 10,  259, 0, 4, 795849, 55407.78, 7, 0.00, 0: 25; 1: 34; 2: 51; 3: 37; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 835,  9, 11,  259, 0, 4, 786093, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 50; 3: 30; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 830,  7, 13,  259, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 44; 3: 36; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 536,  8, 12,  259, 0, 4, 764417, 55407.78, 48, 0.00, 0: 25; 1: 37; 2: 50; 3: 30; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 535,  9, 11,  259, 0, 4, 786017, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 52; 3: 32; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 256, 10, 10,  259, 0, 4, 796065, 55407.78, 28, 0.00, 0: 25; 1: 37; 2: 48; 3: 34; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 123, 10, 10,  259, 0, 4, 795959, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 50; 3: 30; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  96, 12,  8,  259, 0, 4, 764333, 55407.78, 14, 0.00, 0: 25; 1: 39; 2: 47; 3: 30; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 326, 12,  8,  259, 0, 4, 764427, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 49; 3: 32; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 144, 12,  8,  259, 0, 4, 764369, 55407.78, 21, 0.00, 0: 25; 1: 37; 2: 48; 3: 34; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 167,  7, 15,  259, 0, 4, 826948, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 43; 3: 35; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 318,  7, 14,  259, 0, 4, 780695, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 50; 3: 30; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 423,  8, 12,  259, 0, 4, 764391, 55407.78, 0, 0.00, 0: 25; 1: 31; 2: 57; 3: 34; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 146,  9, 11,  259, 0, 4, 786109, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 55; 3: 26; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  30,  8, 12,  259, 0, 4, 764463, 55407.78, 0, 0.00, 0: 25; 1: 34; 2: 54; 3: 31; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 719,  7, 14,  260, 0, 4, 780788, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 51; 3: 30; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 176, 10, 10,  260, 0, 4, 796040, 55407.78, 23, 0.00, 0: 25; 1: 36; 2: 51; 3: 30; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 469,  7, 13,  260, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 42; 3: 36; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  14,  7, 13,  260, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 52; 3: 28; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 960,  7, 15,  260, 0, 4, 826854, 55407.78, 87, 0.00, 0: 25; 1: 41; 2: 45; 3: 27; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 468,  7, 14,  260, 0, 4, 780606, 55407.78, 54, 0.00, 0: 25; 1: 38; 2: 48; 3: 30; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 197,  7, 13,  260, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 53; 3: 29; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 893, 12,  8,  260, 0, 4, 764402, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 50; 3: 29; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 576,  7, 15,  260, 0, 4, 826626, 55407.78, 48, 0.00, 0: 25; 1: 38; 2: 45; 3: 36; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 574, 12,  8,  260, 0, 4, 764345, 55407.78, 0, 0.00, 0: 25; 1: 33; 2: 55; 3: 31; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  79, 12,  8,  260, 0, 4, 764400, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 48; 3: 33; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 330, 12,  8,  260, 0, 4, 764383, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 48; 3: 33; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 763, 11,  9,  260, 0, 4, 785992, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 49; 3: 31; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 481,  7, 13,  260, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 46; 3: 31; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 667, 12,  8,  260, 0, 4, 764335, 55407.78, 0, 0.00, 0: 25; 1: 32; 2: 56; 3: 32; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  18,  9, 11,  260, 0, 4, 786034, 55407.78, 73, 0.00, 0: 25; 1: 34; 2: 52; 3: 34; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 816,  9, 11,  260, 0, 4, 786111, 55407.78, 76, 0.00, 0: 25; 1: 33; 2: 54; 3: 33; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  97,  8, 12,  260, 0, 4, 764271, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 52; 3: 28; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  45, 12,  8,  260, 0, 4, 764353, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 54; 3: 27; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 255,  8, 12,  260, 0, 4, 764388, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 50; 3: 29; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 831,  7, 15,  260, 0, 4, 826723, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 47; 3: 29; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 243,  7, 13,  260, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 43; 3: 31; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 240, 12,  8,  260, 0, 4, 764377, 55407.78, 27, 0.00, 0: 25; 1: 37; 2: 46; 3: 37; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 928,  7, 15,  260, 0, 4, 826623, 55407.78, 86, 0.00, 0: 25; 1: 38; 2: 47; 3: 32; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 994,  7, 14,  261, 0, 4, 780836, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 46; 3: 36; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 128,  7, 14,  261, 0, 4, 780751, 55407.78, 21, 0.00, 0: 25; 1: 38; 2: 46; 3: 33; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 916,  8, 12,  261, 0, 4, 764430, 55407.78, 43, 0.00, 0: 25; 1: 35; 2: 52; 3: 30; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 395,  9, 11,  261, 0, 4, 786179, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 52; 3: 30; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 109,  7, 15,  261, 0, 4, 826875, 55407.78, 0, 0.00, 0: 25; 1: 38; 2: 48; 3: 29; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 118, 12,  8,  261, 0, 4, 764473, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 48; 3: 35; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 595,  7, 15,  261, 0, 4, 826819, 55407.78, 0, 0.00, 0: 25; 1: 38; 2: 47; 3: 31; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 621,  7, 13,  261, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 42; 3: 32; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 789,  7, 14,  261, 0, 4, 780750, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 42; 3: 38; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 264,  8, 12,  261, 0, 4, 764367, 55407.78, 29, 0.00, 0: 25; 1: 35; 2: 48; 3: 38; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 436,  8, 12,  261, 0, 4, 764355, 55407.78, 68, 0.00, 0: 25; 1: 37; 2: 47; 3: 34; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 859,  7, 14,  261, 0, 4, 780716, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 44; 3: 34; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 183, 10, 10,  261, 0, 4, 795928, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 53; 3: 28; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 671,  8, 12,  261, 0, 4, 764409, 55407.78, 0, 0.00, 0: 25; 1: 34; 2: 52; 3: 33; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 993,  7, 15,  261, 0, 4, 826951, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 46; 3: 30; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 411,  7, 14,  261, 0, 4, 780791, 55407.78, 0, 0.00, 0: 25; 1: 38; 2: 45; 3: 35; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 150,  6, 17,  261, 0, 4, 805230, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 42; 3: 32; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 951,  7, 14,  262, 0, 4, 780626, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 53; 3: 27; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 170,  7, 15,  262, 0, 4, 827107, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 44; 3: 33; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  67, 12,  8,  262, 0, 4, 764428, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 48; 3: 31; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 874,  7, 13,  262, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 51; 3: 31; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 715,  7, 14,  262, 0, 4, 780745, 55407.78, 0, 0.00, 0: 25; 1: 33; 2: 56; 3: 27; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 223,  7, 14,  262, 0, 4, 780706, 55407.78, 0, 0.00, 0: 25; 1: 38; 2: 47; 3: 30; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 733, 12,  8,  262, 0, 4, 764409, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 53; 3: 27; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 846, 10, 10,  262, 0, 4, 795986, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 48; 3: 31; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 533, 10, 10,  262, 0, 4, 796041, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 42; 3: 37; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 403,  6, 17,  262, 0, 4, 805191, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 46; 3: 35; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 787,  7, 15,  262, 0, 4, 826722, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 46; 3: 26; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 489,  7, 15,  263, 0, 4, 826692, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 48; 3: 33; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 999,  7, 15,  263, 0, 4, 826523, 55407.78, 0, 0.00, 0: 25; 1: 30; 2: 58; 3: 31; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 235,  7, 13,  263, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 33; 2: 52; 3: 34; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 229,  9, 11,  263, 0, 4, 786202, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 47; 3: 35; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 165,  7, 14,  263, 0, 4, 780785, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 43; 3: 34; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 923, 12,  8,  263, 0, 4, 764497, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 51; 3: 27; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  64,  7, 13,  263, 0, 4, 728910, 55407.78, 10, 0.00, 0: 25; 1: 40; 2: 45; 3: 27; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 746,  7, 14,  263, 0, 4, 780807, 55407.78, 0, 0.00, 0: 25; 1: 34; 2: 49; 3: 37; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 323,  7, 15,  263, 0, 4, 826644, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 51; 3: 27; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 306,  7, 14,  263, 0, 4, 780691, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 49; 3: 31; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 525,  7, 15,  263, 0, 4, 826940, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 47; 3: 35; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 881,  7, 13,  264, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 41; 2: 42; 3: 29; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  68,  7, 13,  264, 0, 4, 728910, 55407.78, 8, 0.00, 0: 25; 1: 37; 2: 45; 3: 35; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 856,  8, 12,  264, 0, 4, 764411, 55407.78, 80, 0.00, 0: 25; 1: 40; 2: 40; 3: 36; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 967,  6, 18,  264, 0, 4, 846278, 55407.78, 0, 0.00, 0: 25; 1: 42; 2: 39; 3: 32; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 207,  7, 15,  264, 0, 4, 826830, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 41; 3: 34; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 864,  8, 12,  264, 0, 4, 764437, 55407.78, 80, 0.00, 0: 25; 1: 37; 2: 49; 3: 27; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 961,  7, 15,  264, 0, 4, 826711, 55407.78, 0, 0.00, 0: 25; 1: 38; 2: 44; 3: 34; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 520,  7, 15,  264, 0, 4, 826955, 55407.78, 48, 0.00, 0: 25; 1: 40; 2: 39; 3: 38; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 608,  8, 12,  264, 0, 4, 764394, 55407.78, 49, 0.00, 0: 25; 1: 35; 2: 46; 3: 39; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 378,  7, 13,  264, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 47; 3: 34; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 718,  7, 14,  264, 0, 4, 780764, 55407.78, 0, 0.00, 0: 25; 1: 34; 2: 52; 3: 30; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 588,  7, 13,  264, 0, 4, 728910, 55407.78, 54, 0.00, 0: 25; 1: 34; 2: 50; 3: 34; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 913,  7, 13,  265, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 33; 2: 52; 3: 32; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 552,  7, 15,  265, 0, 4, 826958, 55407.78, 48, 0.00, 0: 25; 1: 38; 2: 42; 3: 37; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 532, 12,  8,  265, 0, 4, 764427, 55407.78, 82, 0.00, 0: 25; 1: 37; 2: 46; 3: 32; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 214,  7, 13,  265, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 49; 3: 29; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 681,  8, 12,  265, 0, 4, 764387, 55407.78, 0, 0.00, 0: 25; 1: 28; 2: 58; 3: 35; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 679,  7, 14,  265, 0, 4, 780836, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 48; 3: 34; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  55,  7, 13,  265, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 33; 2: 53; 3: 30; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 837, 12,  8,  265, 0, 4, 764399, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 41; 3: 33; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 431, 12,  8,  265, 0, 4, 764372, 55407.78, 0, 0.00, 0: 25; 1: 33; 2: 50; 3: 36; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 824,  7, 13,  265, 0, 4, 728910, 55407.78, 77, 0.00, 0: 25; 1: 35; 2: 47; 3: 36; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  86,  7, 14,  265, 0, 4, 780776, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 49; 3: 32; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 528,  7, 13,  265, 0, 4, 728910, 55407.78, 48, 0.00, 0: 25; 1: 33; 2: 50; 3: 36; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  91,  7, 13,  265, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 49; 3: 29; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 646, 12,  8,  265, 0, 4, 764515, 55407.78, 0, 0.00, 0: 25; 1: 38; 2: 41; 3: 39; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 734,  6, 17,  265, 0, 4, 805374, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 46; 3: 32; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 720,  7, 14,  265, 0, 4, 780715, 55407.78, 65, 0.00, 0: 25; 1: 34; 2: 52; 3: 29; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 565,  6, 18,  266, 0, 4, 846045, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 46; 3: 22; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 145,  7, 13,  266, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 33; 2: 51; 3: 33; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  70,  8, 12,  266, 0, 4, 764365, 55407.78, 0, 0.00, 0: 25; 1: 31; 2: 56; 3: 29; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 610,  7, 13,  266, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 40; 3: 37; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 924,  8, 12,  266, 0, 4, 764421, 55407.78, 86, 0.00, 0: 25; 1: 32; 2: 53; 3: 32; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 447,  6, 18,  266, 0, 4, 846439, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 41; 3: 35; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 691,  7, 14,  266, 0, 4, 780796, 55407.78, 0, 0.00, 0: 25; 1: 33; 2: 49; 3: 37; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 275,  8, 12,  266, 0, 4, 764337, 55407.78, 0, 0.00, 0: 25; 1: 32; 2: 51; 3: 36; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 804,  7, 13,  266, 0, 4, 728910, 55407.78, 90, 0.00, 0: 25; 1: 33; 2: 53; 3: 29; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 582,  7, 13,  266, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 34; 2: 47; 3: 38; 4: 6; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 780,  7, 13,  266, 0, 4, 728910, 55407.78, 17, 0.00, 0: 25; 1: 37; 2: 44; 3: 35; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 513,  7, 13,  266, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 34; 2: 49; 3: 34; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 728,  8, 12,  266, 0, 4, 764352, 55407.78, 66, 0.00, 0: 25; 1: 36; 2: 46; 3: 34; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 662,  7, 14,  266, 0, 4, 780757, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 48; 3: 27; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 578,  7, 14,  267, 0, 4, 780745, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 47; 3: 34; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  36,  7, 14,  267, 0, 4, 780757, 55407.78, 75, 0.00, 0: 25; 1: 37; 2: 41; 3: 40; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 486,  7, 14,  267, 0, 4, 780733, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 47; 3: 31; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 114,  7, 13,  267, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 41; 3: 34; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 125,  8, 12,  267, 0, 4, 764430, 55407.78, 0, 0.00, 0: 25; 1: 29; 2: 57; 3: 32; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 135,  9, 11,  267, 0, 4, 786129, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 41; 3: 34; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 676,  7, 15,  267, 0, 4, 826856, 55407.78, 62, 0.00, 0: 25; 1: 31; 2: 54; 3: 32; 4: 8; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 867,  7, 13,  267, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 36; 2: 47; 3: 31; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 839,  7, 13,  267, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 40; 3: 36; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 422,  7, 13,  267, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 39; 2: 39; 3: 38; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 798,  7, 15,  267, 0, 4, 826727, 55407.78, 0, 0.00, 0: 25; 1: 40; 2: 39; 3: 35; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 921,  9, 11,  268, 0, 4, 786100, 55407.78, 0, 0.00, 0: 25; 1: 34; 2: 46; 3: 38; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   4,  6, 16,  268, 0, 4, 764418, 55407.78, 64, 0.00, 0: 25; 1: 38; 2: 44; 3: 30; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 476,  7, 15,  268, 0, 4, 826716, 55407.78, 35, 0.00, 0: 25; 1: 31; 2: 50; 3: 39; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 390,  7, 13,  268, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 44; 3: 33; 4: 11; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 600,  7, 14,  268, 0, 4, 780756, 55407.78, 49, 0.00, 0: 25; 1: 31; 2: 55; 3: 29; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 664,  6, 17,  268, 0, 4, 805271, 55407.78, 54, 0.00, 0: 25; 1: 37; 2: 46; 3: 29; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 405, 12,  8,  268, 0, 4, 764361, 55407.78, 0, 0.00, 0: 25; 1: 32; 2: 53; 3: 30; 4: 10; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 171,  8, 12,  268, 0, 4, 764380, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 45; 3: 31; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  66,  7, 13,  268, 0, 4, 728910, 55407.78, 0, 0.00, 0: 25; 1: 30; 2: 54; 3: 34; 4: 7; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 295,  7, 14,  269, 0, 4, 780753, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 41; 3: 38; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 230,  7, 15,  269, 0, 4, 826635, 55407.78, 0, 0.00, 0: 25; 1: 37; 2: 41; 3: 38; 4: 9; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 932,  7, 14,  269, 0, 4, 780708, 55407.78, 22, 0.00, 0: 25; 1: 35; 2: 49; 3: 28; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 217,  6, 16,  270, 0, 4, 764478, 55407.78, 0, 0.00, 0: 25; 1: 35; 2: 46; 3: 33; 4: 11; 
