Seed 1656949570
ARCH 2|F_ID 2|LIMIT 3
before: 
3(1000)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 726,  6, 10,  188, 1, 3, 470520, 16882.14, 0, 0.00, 1: 86; 2: 45; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 800,  6,  9,  196, 1, 3, 427869, 16882.14, 36, 0.00, 1: 82; 2: 45; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 202,  9,  6,  196, 1, 3, 427869, 16882.14, 0, 0.00, 1: 84; 2: 41; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 803,  6,  9,  196, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 49; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 805,  7,  8,  196, 1, 3, 442663, 16882.14, 0, 0.00, 1: 85; 2: 39; 3: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 757,  6, 10,  196, 1, 3, 470479, 16882.14, 0, 0.00, 1: 82; 2: 45; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 695,  6, 10,  196, 1, 3, 470506, 16882.14, 0, 0.00, 1: 83; 2: 43; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 328,  8,  7,  196, 1, 3, 442687, 16882.14, 10, 0.00, 1: 83; 2: 43; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 351,  9,  6,  196, 1, 3, 427869, 16882.14, 0, 0.00, 1: 78; 2: 53; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 783,  5, 12,  196, 1, 3, 470563, 16882.14, 0, 0.00, 1: 81; 2: 47; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 353,  9,  6,  196, 1, 3, 427869, 16882.14, 0, 0.00, 1: 82; 2: 45; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 677,  5, 11,  196, 1, 3, 434821, 16882.14, 0, 0.00, 1: 82; 2: 45; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 355,  8,  7,  196, 1, 3, 442620, 16882.14, 0, 0.00, 1: 81; 2: 47; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 280,  5, 13,  196, 1, 3, 499387, 16882.14, 8, 0.00, 1: 79; 2: 51; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 386,  5, 12,  196, 1, 3, 470551, 16882.14, 0, 0.00, 1: 81; 2: 47; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 169,  7,  8,  196, 1, 3, 442630, 16882.14, 0, 0.00, 1: 82; 2: 45; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 393,  5, 13,  196, 1, 3, 499561, 16882.14, 0, 0.00, 1: 80; 2: 49; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 385,  6, 10,  196, 1, 3, 470468, 16882.14, 0, 0.00, 1: 79; 2: 51; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 728,  6,  9,  196, 1, 3, 427869, 16882.14, 32, 0.00, 1: 84; 2: 41; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 395,  8,  7,  196, 1, 3, 442689, 16882.14, 0, 0.00, 1: 83; 2: 43; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 639,  9,  6,  196, 1, 3, 427869, 16882.14, 0, 0.00, 1: 79; 2: 51; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 161,  7,  8,  196, 1, 3, 442660, 16882.14, 0, 0.00, 1: 81; 2: 47; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 739,  9,  6,  196, 1, 3, 427869, 16882.14, 0, 0.00, 1: 79; 2: 51; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 856,  5, 11,  196, 1, 3, 434786, 16882.14, 38, 0.00, 1: 81; 2: 47; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 301,  5, 11,  196, 1, 3, 434791, 16882.14, 0, 0.00, 1: 84; 2: 41; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 380,  5, 11,  196, 1, 3, 434799, 16882.14, 22, 0.00, 1: 79; 2: 51; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 276,  6, 10,  196, 1, 3, 470512, 16882.14, 24, 0.00, 1: 83; 2: 43; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 278,  5, 12,  196, 1, 3, 470432, 16882.14, 0, 0.00, 1: 81; 2: 47; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 164,  6,  9,  196, 1, 3, 427869, 16882.14, 6, 0.00, 1: 79; 2: 51; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 303,  5, 11,  196, 1, 3, 434813, 16882.14, 0, 0.00, 1: 82; 2: 45; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 165,  6, 10,  196, 1, 3, 470714, 16882.14, 0, 0.00, 1: 83; 2: 43; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 160,  7,  8,  196, 1, 3, 442612, 16882.14, 5, 0.00, 1: 81; 2: 47; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 304,  8,  7,  196, 1, 3, 442662, 16882.14, 9, 0.00, 1: 81; 2: 47; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 399,  6,  9,  196, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 47; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 286,  6,  9,  196, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 43; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 652,  5, 13,  196, 1, 3, 499346, 16882.14, 41, 0.00, 1: 82; 2: 45; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 847,  9,  6,  196, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 49; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 789,  9,  6,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 993,  9,  6,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 536,  5, 13,  197, 1, 3, 499481, 16882.14, 22, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 730,  7,  8,  197, 1, 3, 442623, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 694,  7,  8,  197, 1, 3, 442644, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 951,  5, 13,  197, 1, 3, 499453, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 526,  8,  7,  197, 1, 3, 442707, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 500,  8,  7,  197, 1, 3, 442656, 16882.14, 48, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 953,  8,  7,  197, 1, 3, 442656, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 722,  6, 10,  197, 1, 3, 470628, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 539,  8,  7,  197, 1, 3, 442648, 16882.14, 0, 0.00, 1: 83; 2: 42; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 966,  6, 10,  197, 1, 3, 470528, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 968,  5, 13,  197, 1, 3, 499334, 16882.14, 45, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 702,  5, 11,  197, 1, 3, 434839, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 720,  7,  8,  197, 1, 3, 442650, 16882.14, 31, 0.00, 1: 83; 2: 42; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 719,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 972,  6, 10,  197, 1, 3, 470525, 16882.14, 1, 0.00, 1: 83; 2: 42; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 750,  5, 12,  197, 1, 3, 470496, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 978,  5, 13,  197, 1, 3, 499567, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 818,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 547,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 709,  9,  6,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 715,  7,  8,  197, 1, 3, 442675, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 873,  6, 10,  197, 1, 3, 470522, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 654,  7,  8,  197, 1, 3, 442666, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 887,  5, 12,  197, 1, 3, 470497, 16882.14, 0, 0.00, 1: 83; 2: 42; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 885,  5, 12,  197, 1, 3, 470387, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 882,  5, 13,  197, 1, 3, 499420, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 845,  5, 12,  197, 1, 3, 470512, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 607,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 86; 2: 36; 3: 13; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 645,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 609,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 874,  5, 11,  197, 1, 3, 434790, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 613,  6, 10,  197, 1, 3, 470504, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 598,  7,  8,  197, 1, 3, 442659, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 872,  6,  9,  197, 1, 3, 427869, 16882.14, 38, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 871,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 78; 2: 52; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 849,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 850,  9,  6,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 83; 2: 42; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 865,  8,  7,  197, 1, 3, 442640, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 632,  7,  8,  197, 1, 3, 442669, 16882.14, 26, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 732,  5, 13,  197, 1, 3, 499423, 16882.14, 20, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 857,  8,  7,  197, 1, 3, 442661, 16882.14, 0, 0.00, 1: 78; 2: 52; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 630,  5, 11,  197, 1, 3, 434823, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 925,  9,  6,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 684,  5, 11,  197, 1, 3, 434758, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 567,  5, 11,  197, 1, 3, 434858, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 806,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 942,  6, 10,  197, 1, 3, 470432, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 814,  6, 10,  197, 1, 3, 470517, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 631,  6, 10,  197, 1, 3, 470424, 16882.14, 0, 0.00, 1: 84; 2: 40; 3: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 928,  7,  8,  197, 1, 3, 442659, 16882.14, 41, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 579,  6, 10,  197, 1, 3, 470317, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 834,  7,  8,  197, 1, 3, 442678, 16882.14, 0, 0.00, 1: 84; 2: 40; 3: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 580,  5, 13,  197, 1, 3, 499419, 16882.14, 29, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 799,  9,  6,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 584,  9,  6,  197, 1, 3, 427869, 16882.14, 24, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 589,  7,  8,  197, 1, 3, 442669, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 838,  5, 12,  197, 1, 3, 470459, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 920,  8,  7,  197, 1, 3, 442684, 16882.14, 41, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 919,  5, 12,  197, 1, 3, 470565, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 918,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 912,  5, 13,  197, 1, 3, 499511, 16882.14, 38, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 909,  7,  8,  197, 1, 3, 442628, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 842,  7,  8,  197, 1, 3, 442854, 16882.14, 0, 0.00, 1: 78; 2: 52; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 112,  6,  9,  197, 1, 3, 427869, 16882.14, 4, 0.00, 1: 78; 2: 52; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 257,  5, 13,  197, 1, 3, 499268, 16882.14, 0, 0.00, 1: 84; 2: 40; 3: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 440,  6,  9,  197, 1, 3, 427869, 16882.14, 18, 0.00, 1: 77; 2: 54; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  55,  8,  7,  197, 1, 3, 442845, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 445,  9,  6,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 287,  7,  8,  197, 1, 3, 442661, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 449,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 192,  5, 13,  197, 1, 3, 499460, 16882.14, 5, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 289,  5, 13,  197, 1, 3, 499565, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 106,  5, 12,  197, 1, 3, 470400, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 434,  5, 13,  197, 1, 3, 499509, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 358,  6, 10,  197, 1, 3, 470388, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 118,  7,  8,  197, 1, 3, 442631, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 470,  8,  7,  197, 1, 3, 442666, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 197,  5, 12,  197, 1, 3, 470513, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 476,  8,  7,  197, 1, 3, 442670, 16882.14, 37, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 179,  8,  7,  197, 1, 3, 442674, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  27,  5, 11,  197, 1, 3, 434800, 16882.14, 156, 0.00, 1: 84; 2: 40; 3: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 133,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 188,  5, 13,  197, 1, 3, 499291, 16882.14, 35, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 403,  8,  7,  197, 1, 3, 442646, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  82,  5, 11,  197, 1, 3, 434780, 16882.14, 0, 0.00, 1: 84; 2: 40; 3: 11; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  83,  5, 12,  197, 1, 3, 470457, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  86,  5, 12,  197, 1, 3, 470430, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 398,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 77; 2: 54; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  78,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 268,  5, 11,  197, 1, 3, 434822, 16882.14, 48, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 185,  5, 11,  197, 1, 3, 434829, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 462,  9,  6,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 391,  5, 13,  197, 1, 3, 499268, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  68,  5, 12,  197, 1, 3, 470620, 16882.14, 3, 0.00, 1: 85; 2: 38; 3: 12; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  61,  5, 13,  197, 1, 3, 499507, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 272,  8,  7,  197, 1, 3, 442666, 16882.14, 8, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 422,  5, 12,  197, 1, 3, 470414, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 426,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 279,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 432,  5, 11,  197, 1, 3, 434799, 16882.14, 18, 0.00, 1: 78; 2: 52; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 212,  5, 11,  197, 1, 3, 434847, 16882.14, 1, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 502,  5, 13,  197, 1, 3, 499474, 16882.14, 0, 0.00, 1: 83; 2: 42; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  18,  5, 11,  197, 1, 3, 434810, 16882.14, 8, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 330,  5, 12,  197, 1, 3, 470481, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 319,  7,  8,  197, 1, 3, 442644, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   0,  6, 10,  197, 1, 3, 470694, 16882.14, 224, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 302,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   6,  5, 12,  197, 1, 3, 470383, 16882.14, 0, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 336,  5, 11,  197, 1, 3, 434815, 16882.14, 12, 0.00, 1: 81; 2: 46; 3: 8; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 229,  7,  8,  197, 1, 3, 442636, 16882.14, 0, 0.00, 1: 83; 2: 42; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 207,  5, 12,  197, 1, 3, 470369, 16882.14, 0, 0.00, 1: 77; 2: 54; 3: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 499,  5, 12,  197, 1, 3, 470332, 16882.14, 0, 0.00, 1: 79; 2: 50; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 327,  5, 11,  197, 1, 3, 434778, 16882.14, 0, 0.00, 1: 83; 2: 42; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 298,  6,  9,  197, 1, 3, 427869, 16882.14, 0, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 146,  8,  7,  197, 1, 3, 442666, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  14,  5, 11,  197, 1, 3, 434811, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 506,  8,  7,  197, 1, 3, 442618, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 308,  9,  6,  197, 1, 3, 427869, 16882.14, 7, 0.00, 1: 80; 2: 48; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 484,  5, 12,  197, 1, 3, 470422, 16882.14, 19, 0.00, 1: 83; 2: 42; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 483,  5, 11,  197, 1, 3, 434807, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 321,  6, 10,  197, 1, 3, 470394, 16882.14, 0, 0.00, 1: 82; 2: 44; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 384,  5, 11,  198, 1, 3, 434794, 16882.14, 15, 0.00, 1: 82; 2: 43; 3: 10; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 396,  5, 12,  198, 1, 3, 470380, 16882.14, 39, 0.00, 1: 78; 2: 51; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 716,  7,  8,  198, 1, 3, 442673, 16882.14, 41, 0.00, 1: 79; 2: 49; 3: 7; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 273,  5, 13,  198, 1, 3, 499465, 16882.14, 0, 0.00, 1: 81; 2: 45; 3: 9; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 159,  9,  6,  198, 1, 3, 427869, 16882.14, 0, 0.00, 1: 78; 2: 51; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 904,  9,  6,  198, 1, 3, 427869, 16882.14, 38, 0.00, 1: 78; 2: 51; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  93,  8,  7,  198, 1, 3, 442638, 16882.14, 0, 0.00, 1: 78; 2: 51; 3: 6; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 163,  5, 13,  198, 1, 3, 499617, 16882.14, 0, 0.00, 1: 81; 2: 45; 3: 9; 
