Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
3(148)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 775, 12,  9,  336, 1, 3, 865794, 26664.03, 0, 0.00, 1: 133; 2: 79; 3: 15; 
EGFR_&_ErbB_Signaling, 375,  6, 19,  347, 1, 4, 908158, 26664.03, 0, 0.00, 1: 131; 2: 74; 3: 20; 4: 2; 
EGFR_&_ErbB_Signaling, 515,  9, 12,  347, 1, 4, 865844, 26664.03, 0, 0.00, 1: 132; 2: 73; 3: 19; 4: 3; 
EGFR_&_ErbB_Signaling, 359,  7, 15,  347, 1, 4, 840840, 26664.03, 0, 0.00, 1: 131; 2: 74; 3: 20; 4: 2; 
EGFR_&_ErbB_Signaling, 214, 10, 11,  347, 1, 4, 879077, 26664.03, 0, 0.00, 1: 125; 2: 86; 3: 14; 4: 2; 
EGFR_&_ErbB_Signaling, 893, 12,  9,  347, 1, 4, 865806, 26664.03, 0, 0.00, 1: 130; 2: 77; 3: 17; 4: 3; 
EGFR_&_ErbB_Signaling, 225, 10, 11,  347, 1, 4, 879019, 26664.03, 0, 0.00, 1: 132; 2: 74; 3: 17; 4: 4; 
EGFR_&_ErbB_Signaling, 331,  6, 18,  347, 1, 4, 865809, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 330, 12,  9,  347, 1, 4, 865721, 26664.03, 0, 0.00, 1: 127; 2: 82; 3: 16; 4: 2; 
EGFR_&_ErbB_Signaling, 323,  8, 13,  347, 1, 4, 830180, 26664.03, 0, 0.00, 1: 125; 2: 85; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 835,  7, 17,  347, 1, 4, 940382, 26664.03, 0, 0.00, 1: 126; 2: 86; 3: 11; 4: 4; 
EGFR_&_ErbB_Signaling, 312,  6, 20,  347, 1, 4, 947667, 26664.03, 19, 0.00, 1: 130; 2: 77; 3: 17; 4: 3; 
EGFR_&_ErbB_Signaling, 851,  6, 20,  347, 1, 4, 947622, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 286,  7, 15,  347, 1, 4, 840840, 26664.03, 0, 0.00, 1: 125; 2: 86; 3: 14; 4: 2; 
EGFR_&_ErbB_Signaling, 876, 10, 11,  347, 1, 4, 879148, 26664.03, 10, 0.00, 1: 120; 2: 95; 3: 11; 4: 1; 
EGFR_&_ErbB_Signaling,  16, 12,  9,  347, 1, 4, 865709, 26664.03, 64, 0.00, 1: 129; 2: 78; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 481, 12,  9,  347, 1, 4, 865790, 26664.03, 0, 0.00, 1: 128; 2: 81; 3: 15; 4: 3; 
EGFR_&_ErbB_Signaling, 741,  6, 19,  347, 1, 4, 908069, 26664.03, 0, 0.00, 1: 133; 2: 71; 3: 20; 4: 3; 
EGFR_&_ErbB_Signaling, 489,  8, 14,  347, 1, 4, 891107, 26664.03, 0, 0.00, 1: 127; 2: 81; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 508, 10, 11,  347, 1, 4, 879032, 26664.03, 89, 0.00, 1: 128; 2: 82; 3: 13; 4: 4; 
EGFR_&_ErbB_Signaling, 116,  6, 20,  347, 1, 4, 947773, 26664.03, 27, 0.00, 1: 127; 2: 82; 3: 16; 4: 2; 
EGFR_&_ErbB_Signaling, 131, 11, 10,  347, 1, 4, 878968, 26664.03, 0, 0.00, 1: 125; 2: 86; 3: 14; 4: 2; 
EGFR_&_ErbB_Signaling, 145, 12,  9,  347, 1, 4, 865797, 26664.03, 0, 0.00, 1: 128; 2: 81; 3: 15; 4: 3; 
EGFR_&_ErbB_Signaling, 475, 11, 10,  347, 1, 4, 879063, 26664.03, 0, 0.00, 1: 125; 2: 85; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 498,  9, 12,  347, 1, 4, 865845, 26664.03, 0, 0.00, 1: 124; 2: 87; 3: 15; 4: 1; 
EGFR_&_ErbB_Signaling, 379,  8, 13,  348, 1, 4, 830180, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 346, 10, 11,  348, 1, 4, 879159, 26664.03, 0, 0.00, 1: 126; 2: 83; 3: 16; 4: 2; 
EGFR_&_ErbB_Signaling, 222,  8, 14,  348, 1, 4, 891194, 26664.03, 0, 0.00, 1: 125; 2: 85; 3: 15; 4: 2; 
EGFR_&_ErbB_Signaling,  66,  6, 19,  348, 1, 4, 908184, 26664.03, 0, 0.00, 1: 129; 2: 80; 3: 13; 4: 5; 
EGFR_&_ErbB_Signaling, 257,  7, 16,  348, 1, 4, 891066, 26664.03, 0, 0.00, 1: 131; 2: 73; 3: 21; 4: 2; 
EGFR_&_ErbB_Signaling, 743,  6, 18,  348, 1, 4, 865797, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 19; 4: 2; 
EGFR_&_ErbB_Signaling, 808,  7, 16,  348, 1, 4, 891038, 26664.03, 35, 0.00, 1: 129; 2: 77; 3: 19; 4: 2; 
EGFR_&_ErbB_Signaling, 636,  6, 20,  348, 1, 4, 947609, 26664.03, 26, 0.00, 1: 126; 2: 84; 3: 14; 4: 3; 
EGFR_&_ErbB_Signaling,  74,  6, 18,  348, 1, 4, 865859, 26664.03, 0, 0.00, 1: 133; 2: 69; 3: 23; 4: 2; 
EGFR_&_ErbB_Signaling, 903,  6, 18,  348, 1, 4, 865648, 26664.03, 0, 0.00, 1: 126; 2: 84; 3: 14; 4: 3; 
EGFR_&_ErbB_Signaling, 387, 10, 11,  348, 1, 4, 879124, 26664.03, 0, 0.00, 1: 133; 2: 70; 3: 21; 4: 3; 
EGFR_&_ErbB_Signaling, 682,  9, 12,  348, 1, 4, 865797, 26664.03, 0, 0.00, 1: 132; 2: 73; 3: 18; 4: 4; 
EGFR_&_ErbB_Signaling, 798, 10, 11,  348, 1, 4, 878921, 26664.03, 0, 0.00, 1: 122; 2: 90; 3: 14; 4: 1; 
EGFR_&_ErbB_Signaling, 284,  7, 17,  348, 1, 4, 940507, 26664.03, 24, 0.00, 1: 126; 2: 82; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 617,  6, 19,  348, 1, 4, 908048, 26664.03, 0, 0.00, 1: 130; 2: 77; 3: 16; 4: 4; 
EGFR_&_ErbB_Signaling, 628, 11, 10,  348, 1, 4, 879065, 26664.03, 23, 0.00, 1: 130; 2: 75; 3: 20; 4: 2; 
EGFR_&_ErbB_Signaling, 318,  7, 17,  348, 1, 4, 940495, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 19; 4: 1; 
EGFR_&_ErbB_Signaling, 126,  6, 19,  348, 1, 4, 908164, 26664.03, 0, 0.00, 1: 130; 2: 75; 3: 20; 4: 2; 
EGFR_&_ErbB_Signaling,  55,  6, 19,  348, 1, 4, 908256, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 19; 4: 2; 
EGFR_&_ErbB_Signaling, 733, 11, 10,  348, 1, 4, 878943, 26664.03, 0, 0.00, 1: 134; 2: 68; 3: 22; 4: 3; 
EGFR_&_ErbB_Signaling, 620, 11, 10,  348, 1, 4, 879033, 26664.03, 29, 0.00, 1: 128; 2: 78; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 525, 12,  9,  348, 1, 4, 865804, 26664.03, 0, 0.00, 1: 133; 2: 70; 3: 21; 4: 3; 
EGFR_&_ErbB_Signaling, 884, 11, 10,  348, 1, 4, 879159, 26664.03, 11, 0.00, 1: 126; 2: 82; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 219, 10, 11,  348, 1, 4, 879058, 26664.03, 0, 0.00, 1: 128; 2: 78; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 849,  7, 15,  348, 1, 4, 840840, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 968,  6, 19,  348, 1, 4, 908263, 26664.03, 47, 0.00, 1: 128; 2: 80; 3: 16; 4: 3; 
EGFR_&_ErbB_Signaling, 738, 12,  9,  348, 1, 4, 865796, 26664.03, 0, 0.00, 1: 128; 2: 79; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 966, 11, 10,  348, 1, 4, 879024, 26664.03, 0, 0.00, 1: 124; 2: 86; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling,  62,  7, 16,  348, 1, 4, 891096, 26664.03, 0, 0.00, 1: 128; 2: 79; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 283, 12,  9,  348, 1, 4, 865777, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 492, 10, 11,  348, 1, 4, 879015, 26664.03, 35, 0.00, 1: 126; 2: 82; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 341, 10, 11,  348, 1, 4, 878987, 26664.03, 0, 0.00, 1: 132; 2: 70; 3: 24; 4: 1; 
EGFR_&_ErbB_Signaling,  32,  6, 20,  348, 1, 4, 947904, 26664.03, 2, 0.00, 1: 130; 2: 76; 3: 18; 4: 3; 
EGFR_&_ErbB_Signaling, 539,  8, 13,  348, 1, 4, 830180, 26664.03, 0, 0.00, 1: 128; 2: 78; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 910, 12,  9,  348, 1, 4, 865779, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 19; 4: 1; 
EGFR_&_ErbB_Signaling, 567, 10, 11,  348, 1, 4, 879038, 26664.03, 0, 0.00, 1: 125; 2: 86; 3: 13; 4: 3; 
EGFR_&_ErbB_Signaling, 780,  7, 16,  348, 1, 4, 890949, 26664.03, 94, 0.00, 1: 128; 2: 79; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 433,  6, 18,  348, 1, 4, 865797, 26664.03, 0, 0.00, 1: 123; 2: 89; 3: 13; 4: 2; 
EGFR_&_ErbB_Signaling, 656,  6, 20,  348, 1, 4, 947812, 26664.03, 29, 0.00, 1: 128; 2: 82; 3: 12; 4: 5; 
EGFR_&_ErbB_Signaling, 562,  7, 17,  348, 1, 4, 940897, 26664.03, 0, 0.00, 1: 131; 2: 74; 3: 19; 4: 3; 
EGFR_&_ErbB_Signaling, 167,  7, 17,  348, 1, 4, 940582, 26664.03, 0, 0.00, 1: 128; 2: 78; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 163, 11, 10,  348, 1, 4, 879069, 26664.03, 0, 0.00, 1: 130; 2: 74; 3: 22; 4: 1; 
EGFR_&_ErbB_Signaling, 274,  6, 19,  348, 1, 4, 908135, 26664.03, 0, 0.00, 1: 130; 2: 78; 3: 14; 4: 5; 
EGFR_&_ErbB_Signaling, 704,  9, 12,  348, 1, 4, 865826, 26664.03, 31, 0.00, 1: 124; 2: 86; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 157,  8, 13,  348, 1, 4, 830180, 26664.03, 0, 0.00, 1: 124; 2: 87; 3: 14; 4: 2; 
EGFR_&_ErbB_Signaling,  23,  6, 19,  348, 1, 4, 908297, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 990,  8, 14,  348, 1, 4, 891025, 26664.03, 0, 0.00, 1: 125; 2: 85; 3: 15; 4: 2; 
EGFR_&_ErbB_Signaling, 455,  8, 14,  348, 1, 4, 891163, 26664.03, 0, 0.00, 1: 129; 2: 78; 3: 17; 4: 3; 
EGFR_&_ErbB_Signaling, 456,  8, 13,  348, 1, 4, 830180, 26664.03, 22, 0.00, 1: 127; 2: 82; 3: 15; 4: 3; 
EGFR_&_ErbB_Signaling, 759,  6, 19,  348, 1, 4, 908323, 26664.03, 0, 0.00, 1: 127; 2: 83; 3: 13; 4: 4; 
EGFR_&_ErbB_Signaling, 466, 10, 11,  348, 1, 4, 879115, 26664.03, 0, 0.00, 1: 131; 2: 76; 3: 15; 4: 5; 
EGFR_&_ErbB_Signaling, 147,  7, 17,  348, 1, 4, 940546, 26664.03, 0, 0.00, 1: 124; 2: 86; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 423,  6, 19,  348, 1, 4, 908252, 26664.03, 0, 0.00, 1: 131; 2: 75; 3: 17; 4: 4; 
EGFR_&_ErbB_Signaling, 401,  7, 17,  348, 1, 4, 940739, 26664.03, 0, 0.00, 1: 125; 2: 85; 3: 15; 4: 2; 
EGFR_&_ErbB_Signaling, 142,  6, 20,  348, 1, 4, 947624, 26664.03, 0, 0.00, 1: 126; 2: 84; 3: 14; 4: 3; 
EGFR_&_ErbB_Signaling,  41, 11, 10,  348, 1, 4, 878951, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 690, 11, 10,  348, 1, 4, 879093, 26664.03, 0, 0.00, 1: 126; 2: 83; 3: 16; 4: 2; 
EGFR_&_ErbB_Signaling, 406, 12,  9,  348, 1, 4, 865772, 26664.03, 0, 0.00, 1: 132; 2: 72; 3: 20; 4: 3; 
EGFR_&_ErbB_Signaling, 785,  6, 20,  348, 1, 4, 947728, 26664.03, 0, 0.00, 1: 129; 2: 79; 3: 15; 4: 4; 
EGFR_&_ErbB_Signaling, 858,  7, 15,  348, 1, 4, 840840, 26664.03, 0, 0.00, 1: 128; 2: 78; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 413,  8, 13,  348, 1, 4, 830180, 26664.03, 0, 0.00, 1: 128; 2: 78; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 117, 12,  9,  348, 1, 4, 865711, 26664.03, 0, 0.00, 1: 125; 2: 84; 3: 17; 4: 1; 
EGFR_&_ErbB_Signaling, 862,  7, 16,  348, 1, 4, 890816, 26664.03, 0, 0.00, 1: 125; 2: 85; 3: 15; 4: 2; 
EGFR_&_ErbB_Signaling, 784, 11, 10,  348, 1, 4, 878974, 26664.03, 34, 0.00, 1: 126; 2: 82; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 174,  8, 13,  348, 1, 4, 830180, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 19; 4: 2; 
EGFR_&_ErbB_Signaling, 572,  8, 14,  348, 1, 4, 891082, 26664.03, 71, 0.00, 1: 124; 2: 86; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 425,  6, 18,  348, 1, 4, 865875, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 19; 4: 2; 
EGFR_&_ErbB_Signaling, 881,  6, 19,  349, 1, 4, 908180, 26664.03, 0, 0.00, 1: 128; 2: 80; 3: 15; 4: 4; 
EGFR_&_ErbB_Signaling, 988,  8, 14,  349, 1, 4, 891095, 26664.03, 40, 0.00, 1: 126; 2: 81; 3: 19; 4: 1; 
EGFR_&_ErbB_Signaling, 731, 12,  9,  349, 1, 4, 865867, 26664.03, 0, 0.00, 1: 129; 2: 78; 3: 16; 4: 4; 
EGFR_&_ErbB_Signaling, 873,  6, 19,  349, 1, 4, 908112, 26664.03, 0, 0.00, 1: 133; 2: 68; 3: 24; 4: 2; 
EGFR_&_ErbB_Signaling, 653, 10, 11,  349, 1, 4, 879062, 26664.03, 0, 0.00, 1: 127; 2: 79; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 865,  8, 13,  349, 1, 4, 830180, 26664.03, 0, 0.00, 1: 127; 2: 81; 3: 16; 4: 3; 
EGFR_&_ErbB_Signaling, 836, 10, 11,  349, 1, 4, 879140, 26664.03, 27, 0.00, 1: 129; 2: 75; 3: 22; 4: 1; 
EGFR_&_ErbB_Signaling,   1,  6, 20,  349, 1, 4, 947709, 26664.03, 160, 0.00, 1: 127; 2: 82; 3: 14; 4: 4; 
EGFR_&_ErbB_Signaling, 943, 11, 10,  349, 1, 4, 879096, 26664.03, 0, 0.00, 1: 128; 2: 77; 3: 21; 4: 1; 
EGFR_&_ErbB_Signaling, 946,  9, 12,  349, 1, 4, 865787, 26664.03, 0, 0.00, 1: 126; 2: 81; 3: 19; 4: 1; 
EGFR_&_ErbB_Signaling, 713, 11, 10,  349, 1, 4, 879063, 26664.03, 0, 0.00, 1: 132; 2: 70; 3: 23; 4: 2; 
EGFR_&_ErbB_Signaling, 772,  8, 14,  349, 1, 4, 891037, 26664.03, 88, 0.00, 1: 121; 2: 91; 3: 14; 4: 1; 
EGFR_&_ErbB_Signaling, 718, 11, 10,  349, 1, 4, 878983, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 17; 4: 2; 
EGFR_&_ErbB_Signaling, 954,  6, 18,  349, 1, 4, 865717, 26664.03, 0, 0.00, 1: 125; 2: 83; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 919,  7, 15,  349, 1, 4, 840840, 26664.03, 0, 0.00, 1: 123; 2: 87; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 782,  6, 20,  349, 1, 4, 947292, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 719,  7, 15,  349, 1, 4, 840840, 26664.03, 0, 0.00, 1: 125; 2: 83; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 997,  7, 15,  349, 1, 4, 840840, 26664.03, 0, 0.00, 1: 132; 2: 71; 3: 21; 4: 3; 
EGFR_&_ErbB_Signaling, 745,  8, 13,  349, 1, 4, 830180, 26664.03, 0, 0.00, 1: 123; 2: 87; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 693,  8, 13,  349, 1, 4, 830180, 26664.03, 0, 0.00, 1: 133; 2: 67; 3: 26; 4: 1; 
EGFR_&_ErbB_Signaling, 891, 12,  9,  349, 1, 4, 865774, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 18; 4: 3; 
EGFR_&_ErbB_Signaling, 934,  6, 18,  349, 1, 4, 865836, 26664.03, 0, 0.00, 1: 131; 2: 72; 3: 22; 4: 2; 
EGFR_&_ErbB_Signaling, 683,  6, 19,  349, 1, 4, 908127, 26664.03, 0, 0.00, 1: 126; 2: 81; 3: 19; 4: 1; 
EGFR_&_ErbB_Signaling, 902,  6, 20,  349, 1, 4, 947687, 26664.03, 0, 0.00, 1: 130; 2: 75; 3: 19; 4: 3; 
EGFR_&_ErbB_Signaling, 803,  9, 12,  349, 1, 4, 865806, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 724,  6, 19,  349, 1, 4, 908134, 26664.03, 62, 0.00, 1: 127; 2: 79; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 742, 11, 10,  349, 1, 4, 879045, 26664.03, 0, 0.00, 1: 130; 2: 73; 3: 23; 4: 1; 
EGFR_&_ErbB_Signaling, 896,  8, 14,  349, 1, 4, 891192, 26664.03, 42, 0.00, 1: 126; 2: 81; 3: 19; 4: 1; 
EGFR_&_ErbB_Signaling, 826,  7, 15,  349, 1, 4, 840840, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 671, 12,  9,  349, 1, 4, 865825, 26664.03, 0, 0.00, 1: 126; 2: 81; 3: 19; 4: 1; 
EGFR_&_ErbB_Signaling, 669,  6, 18,  349, 1, 4, 865821, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 17; 4: 2; 
EGFR_&_ErbB_Signaling, 830,  8, 13,  349, 1, 4, 830180, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 108,  7, 15,  349, 1, 4, 840840, 26664.03, 31, 0.00, 1: 123; 2: 87; 3: 16; 4: 1; 
EGFR_&_ErbB_Signaling, 294,  6, 20,  349, 1, 4, 947623, 26664.03, 0, 0.00, 1: 132; 2: 74; 3: 15; 4: 6; 
EGFR_&_ErbB_Signaling, 555,  6, 18,  349, 1, 4, 865753, 26664.03, 0, 0.00, 1: 129; 2: 76; 3: 20; 4: 2; 
EGFR_&_ErbB_Signaling, 295,  7, 16,  349, 1, 4, 891019, 26664.03, 0, 0.00, 1: 123; 2: 88; 3: 14; 4: 2; 
EGFR_&_ErbB_Signaling, 141,  9, 12,  349, 1, 4, 865704, 26664.03, 0, 0.00, 1: 127; 2: 79; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 140,  6, 19,  349, 1, 4, 908176, 26664.03, 21, 0.00, 1: 130; 2: 76; 3: 17; 4: 4; 
EGFR_&_ErbB_Signaling, 300, 12,  9,  349, 1, 4, 865808, 26664.03, 22, 0.00, 1: 132; 2: 71; 3: 21; 4: 3; 
EGFR_&_ErbB_Signaling, 301, 10, 11,  349, 1, 4, 879079, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 17; 4: 2; 
EGFR_&_ErbB_Signaling, 432,  6, 20,  349, 1, 4, 947758, 26664.03, 21, 0.00, 1: 130; 2: 73; 3: 23; 4: 1; 
EGFR_&_ErbB_Signaling, 293,  9, 12,  349, 1, 4, 865783, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 431,  7, 15,  349, 1, 4, 840840, 26664.03, 0, 0.00, 1: 129; 2: 75; 3: 22; 4: 1; 
EGFR_&_ErbB_Signaling, 428,  6, 19,  349, 1, 4, 908199, 26664.03, 34, 0.00, 1: 127; 2: 79; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 409,  9, 12,  349, 1, 4, 865809, 26664.03, 0, 0.00, 1: 128; 2: 78; 3: 19; 4: 2; 
EGFR_&_ErbB_Signaling, 402,  6, 20,  349, 1, 4, 947857, 26664.03, 0, 0.00, 1: 127; 2: 81; 3: 16; 4: 3; 
EGFR_&_ErbB_Signaling, 320,  7, 15,  349, 1, 4, 840840, 26664.03, 20, 0.00, 1: 126; 2: 81; 3: 19; 4: 1; 
EGFR_&_ErbB_Signaling, 321,  7, 16,  349, 1, 4, 891100, 26664.03, 0, 0.00, 1: 125; 2: 83; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 328,  8, 13,  349, 1, 4, 830180, 26664.03, 20, 0.00, 1: 124; 2: 85; 3: 17; 4: 1; 
EGFR_&_ErbB_Signaling, 196,  7, 17,  349, 1, 4, 940550, 26664.03, 100, 0.00, 1: 124; 2: 86; 3: 15; 4: 2; 
EGFR_&_ErbB_Signaling, 484,  9, 12,  349, 1, 4, 865783, 26664.03, 89, 0.00, 1: 130; 2: 77; 3: 15; 4: 5; 
EGFR_&_ErbB_Signaling, 226, 12,  9,  349, 1, 4, 865805, 26664.03, 0, 0.00, 1: 125; 2: 85; 3: 14; 4: 3; 
EGFR_&_ErbB_Signaling, 501,  6, 20,  349, 1, 4, 947750, 26664.03, 0, 0.00, 1: 133; 2: 72; 3: 16; 4: 6; 
EGFR_&_ErbB_Signaling, 503, 10, 11,  349, 1, 4, 878968, 26664.03, 0, 0.00, 1: 131; 2: 72; 3: 22; 4: 2; 
EGFR_&_ErbB_Signaling, 243, 10, 11,  349, 1, 4, 879030, 26664.03, 0, 0.00, 1: 125; 2: 83; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 209, 12,  9,  349, 1, 4, 865789, 26664.03, 0, 0.00, 1: 127; 2: 81; 3: 16; 4: 3; 
EGFR_&_ErbB_Signaling, 197,  6, 18,  349, 1, 4, 865763, 26664.03, 0, 0.00, 1: 128; 2: 80; 3: 15; 4: 4; 
EGFR_&_ErbB_Signaling, 522,  9, 12,  349, 1, 4, 865796, 26664.03, 0, 0.00, 1: 129; 2: 79; 3: 14; 4: 5; 
EGFR_&_ErbB_Signaling,   6, 12,  9,  349, 1, 4, 865755, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling, 468,  6, 20,  349, 1, 4, 947768, 26664.03, 35, 0.00, 1: 127; 2: 79; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling, 195, 10, 11,  349, 1, 4, 878933, 26664.03, 0, 0.00, 1: 128; 2: 77; 3: 21; 4: 1; 
EGFR_&_ErbB_Signaling, 537,  7, 16,  349, 1, 4, 891161, 26664.03, 0, 0.00, 1: 130; 2: 74; 3: 21; 4: 2; 
EGFR_&_ErbB_Signaling, 263,  6, 18,  349, 1, 4, 865821, 26664.03, 0, 0.00, 1: 128; 2: 78; 3: 19; 4: 2; 
EGFR_&_ErbB_Signaling, 269,  8, 14,  349, 1, 4, 890917, 26664.03, 0, 0.00, 1: 129; 2: 77; 3: 18; 4: 3; 
EGFR_&_ErbB_Signaling, 276,  7, 16,  349, 1, 4, 891164, 26664.03, 27, 0.00, 1: 126; 2: 82; 3: 17; 4: 2; 
EGFR_&_ErbB_Signaling, 289, 11, 10,  349, 1, 4, 879056, 26664.03, 0, 0.00, 1: 128; 2: 79; 3: 17; 4: 3; 
EGFR_&_ErbB_Signaling, 395,  7, 16,  349, 1, 4, 890842, 26664.03, 0, 0.00, 1: 127; 2: 80; 3: 18; 4: 2; 
EGFR_&_ErbB_Signaling,  39,  8, 13,  349, 1, 4, 830180, 26664.03, 0, 0.00, 1: 129; 2: 75; 3: 22; 4: 1; 
EGFR_&_ErbB_Signaling,  40,  6, 20,  349, 1, 4, 947829, 26664.03, 4, 0.00, 1: 130; 2: 75; 3: 19; 4: 3; 
EGFR_&_ErbB_Signaling, 345,  8, 13,  349, 1, 4, 830180, 26664.03, 0, 0.00, 1: 131; 2: 72; 3: 22; 4: 2; 
EGFR_&_ErbB_Signaling, 365, 11, 10,  349, 1, 4, 878982, 26664.03, 0, 0.00, 1: 125; 2: 85; 3: 14; 4: 3; 
EGFR_&_ErbB_Signaling, 350,  6, 18,  349, 1, 4, 865791, 26664.03, 0, 0.00, 1: 132; 2: 69; 3: 25; 4: 1; 
EGFR_&_ErbB_Signaling, 618,  7, 15,  349, 1, 4, 840840, 26664.03, 0, 0.00, 1: 127; 2: 79; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling,  31,  7, 15,  349, 1, 4, 840840, 26664.03, 0, 0.00, 1: 128; 2: 80; 3: 15; 4: 4; 
EGFR_&_ErbB_Signaling,  30,  7, 17,  349, 1, 4, 940157, 26664.03, 0, 0.00, 1: 126; 2: 82; 3: 17; 4: 2; 
EGFR_&_ErbB_Signaling, 343, 10, 11,  349, 1, 4, 878922, 26664.03, 0, 0.00, 1: 124; 2: 85; 3: 17; 4: 1; 
EGFR_&_ErbB_Signaling,  28,  6, 20,  349, 1, 4, 947709, 26664.03, 116, 0.00, 1: 129; 2: 77; 3: 18; 4: 3; 
EGFR_&_ErbB_Signaling, 613,  7, 16,  349, 1, 4, 891190, 26664.03, 0, 0.00, 1: 124; 2: 85; 3: 17; 4: 1; 
EGFR_&_ErbB_Signaling,  52,  6, 19,  349, 1, 4, 908196, 26664.03, 21, 0.00, 1: 125; 2: 83; 3: 18; 4: 1; 
EGFR_&_ErbB_Signaling, 351,  7, 15,  349, 1, 4, 840840, 26664.03, 0, 0.00, 1: 127; 2: 79; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling,  86,  9, 12,  349, 1, 4, 865809, 26664.03, 0, 0.00, 1: 129; 2: 76; 3: 20; 4: 2; 
EGFR_&_ErbB_Signaling,  14, 10, 11,  349, 1, 4, 879097, 26664.03, 0, 0.00, 1: 127; 2: 81; 3: 16; 4: 3; 
EGFR_&_ErbB_Signaling, 354,  6, 19,  349, 1, 4, 908063, 26664.03, 0, 0.00, 1: 127; 2: 79; 3: 20; 4: 1; 
EGFR_&_ErbB_Signaling,  80,  6, 19,  349, 1, 4, 908058, 26664.03, 6, 0.00, 1: 127; 2: 81; 3: 16; 4: 3; 
