Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(300)
Melhor resultado nxn: EGFR_&_ErbB_Signaling,  12,  8, 14,  495, 1, 4, 891073, 27200.04, 161, 0.00, 1: 77; 2: 66; 3: 50; 4: 34; 
EGFR_&_ErbB_Signaling, 431,  7, 15,  585, 1, 7, 840840, 27200.04, 0, 0.00, 1: 58; 2: 51; 3: 55; 4: 58; 5: 3; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 374,  8, 13,  585, 1, 7, 830180, 27200.04, 0, 0.00, 1: 49; 2: 65; 3: 54; 4: 56; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 573, 11, 10,  586, 1, 7, 879005, 27200.04, 0, 0.00, 1: 64; 2: 45; 3: 51; 4: 61; 5: 3; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 629,  8, 14,  587, 1, 7, 890993, 27200.04, 0, 0.00, 1: 49; 2: 69; 3: 47; 4: 56; 5: 2; 6: 3; 7: 1; 
EGFR_&_ErbB_Signaling,  74,  6, 18,  590, 1, 7, 865805, 27200.04, 0, 0.00, 1: 52; 2: 58; 3: 54; 4: 59; 5: 2; 7: 2; 
EGFR_&_ErbB_Signaling, 773,  8, 14,  592, 1, 7, 891050, 27200.04, 0, 0.00, 1: 54; 2: 53; 3: 53; 4: 64; 5: 2; 7: 1; 
EGFR_&_ErbB_Signaling, 946,  9, 12,  593, 1, 7, 865783, 27200.04, 0, 0.00, 1: 51; 2: 52; 3: 63; 4: 58; 5: 2; 7: 1; 
EGFR_&_ErbB_Signaling, 163, 11, 10,  594, 1, 7, 879071, 27200.04, 0, 0.00, 1: 51; 2: 53; 3: 63; 4: 55; 5: 3; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 984,  8, 13,  594, 1, 7, 830180, 27200.04, 49, 0.00, 1: 45; 2: 62; 3: 61; 4: 56; 5: 1; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 911,  8, 13,  597, 1, 7, 830180, 27200.04, 0, 0.00, 1: 47; 2: 58; 3: 62; 4: 56; 5: 2; 7: 2; 
EGFR_&_ErbB_Signaling,  73, 12,  9,  599, 1, 7, 865801, 27200.04, 0, 0.00, 1: 47; 2: 57; 3: 58; 4: 63; 5: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 297,  7, 16,  599, 1, 7, 891073, 27200.04, 0, 0.00, 1: 48; 2: 59; 3: 52; 4: 66; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 494,  8, 14,  600, 1, 7, 891036, 27200.04, 0, 0.00, 1: 42; 2: 61; 3: 66; 4: 55; 5: 1; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 492, 10, 11,  602, 1, 7, 878988, 27200.04, 35, 0.00, 1: 58; 2: 44; 3: 53; 4: 68; 5: 1; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 271,  7, 17,  602, 1, 7, 940412, 27200.04, 0, 0.00, 1: 45; 2: 63; 3: 53; 4: 62; 5: 2; 7: 2; 
EGFR_&_ErbB_Signaling, 516,  6, 19,  602, 1, 7, 908218, 27200.04, 35, 0.00, 1: 54; 2: 45; 3: 65; 4: 57; 5: 3; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 815,  7, 15,  603, 1, 7, 840840, 27200.04, 0, 0.00, 1: 43; 2: 60; 3: 61; 4: 61; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 865,  8, 13,  604, 1, 7, 830180, 27200.04, 0, 0.00, 1: 48; 2: 51; 3: 63; 4: 62; 5: 2; 7: 1; 
EGFR_&_ErbB_Signaling, 915, 10, 11,  605, 1, 7, 878985, 27200.04, 0, 0.00, 1: 47; 2: 51; 3: 69; 4: 56; 5: 1; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 290,  6, 20,  605, 1, 7, 947740, 27200.04, 0, 0.00, 1: 45; 2: 57; 3: 59; 4: 63; 5: 2; 7: 1; 
EGFR_&_ErbB_Signaling, 370,  6, 19,  606, 1, 7, 908142, 27200.04, 0, 0.00, 1: 46; 2: 50; 3: 70; 4: 57; 5: 3; 7: 1; 
EGFR_&_ErbB_Signaling, 869, 11, 10,  607, 1, 7, 879037, 27200.04, 0, 0.00, 1: 46; 2: 58; 3: 53; 4: 67; 5: 1; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 537,  7, 16,  608, 1, 7, 891033, 27200.04, 0, 0.00, 1: 46; 2: 54; 3: 64; 4: 58; 5: 1; 6: 3; 7: 1; 
EGFR_&_ErbB_Signaling, 689,  7, 17,  610, 1, 7, 940603, 27200.04, 0, 0.00, 1: 52; 2: 52; 3: 55; 4: 59; 5: 3; 6: 4; 7: 2; 
EGFR_&_ErbB_Signaling, 803,  9, 12,  611, 1, 7, 865792, 27200.04, 0, 0.00, 1: 46; 2: 50; 3: 64; 4: 65; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 619, 12,  9,  612, 1, 7, 865793, 27200.04, 0, 0.00, 1: 46; 2: 51; 3: 62; 4: 66; 7: 2; 
EGFR_&_ErbB_Signaling, 900,  7, 17,  614, 1, 7, 940363, 27200.04, 32, 0.00, 1: 52; 2: 44; 3: 60; 4: 66; 5: 2; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 330, 12,  9,  614, 1, 7, 865766, 27200.04, 0, 0.00, 1: 41; 2: 60; 3: 59; 4: 62; 5: 3; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 650,  7, 17,  615, 1, 7, 940491, 27200.04, 0, 0.00, 1: 40; 2: 58; 3: 65; 4: 59; 5: 3; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 778,  7, 15,  615, 1, 7, 840840, 27200.04, 0, 0.00, 1: 45; 2: 55; 3: 60; 4: 61; 5: 1; 6: 4; 7: 1; 
EGFR_&_ErbB_Signaling, 454,  6, 19,  615, 1, 7, 908146, 27200.04, 0, 0.00, 1: 40; 2: 61; 3: 64; 4: 55; 5: 3; 6: 2; 7: 2; 
EGFR_&_ErbB_Signaling, 397,  6, 18,  615, 1, 7, 865841, 27200.04, 0, 0.00, 1: 44; 2: 55; 3: 56; 4: 69; 5: 2; 7: 1; 
EGFR_&_ErbB_Signaling,  84,  8, 13,  619, 1, 7, 830180, 27200.04, 22, 0.00, 1: 44; 2: 50; 3: 60; 4: 72; 7: 1; 
EGFR_&_ErbB_Signaling, 278, 12,  9,  620, 1, 7, 865764, 27200.04, 0, 0.00, 1: 40; 2: 55; 3: 67; 4: 60; 5: 2; 6: 2; 7: 1; 
EGFR_&_ErbB_Signaling,  70,  7, 16,  621, 1, 7, 891001, 27200.04, 0, 0.00, 1: 53; 2: 43; 3: 50; 4: 78; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 595,  9, 12,  622, 1, 7, 865795, 27200.04, 0, 0.00, 1: 53; 2: 47; 3: 51; 4: 68; 5: 2; 6: 2; 7: 4; 
EGFR_&_ErbB_Signaling, 233,  8, 13,  624, 1, 7, 830180, 27200.04, 0, 0.00, 1: 50; 2: 49; 3: 48; 4: 75; 5: 1; 6: 1; 7: 3; 
EGFR_&_ErbB_Signaling, 941,  7, 16,  625, 1, 7, 891115, 27200.04, 0, 0.00, 1: 41; 2: 52; 3: 63; 4: 67; 5: 2; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 993, 12,  9,  626, 1, 7, 865781, 27200.04, 0, 0.00, 1: 44; 2: 52; 3: 53; 4: 74; 5: 2; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 166, 12,  9,  630, 1, 7, 865787, 27200.04, 0, 0.00, 1: 49; 2: 41; 3: 55; 4: 78; 5: 3; 7: 1; 
EGFR_&_ErbB_Signaling, 772,  8, 14,  632, 1, 7, 891066, 27200.04, 88, 0.00, 1: 47; 2: 46; 3: 55; 4: 73; 5: 2; 6: 2; 7: 2; 
EGFR_&_ErbB_Signaling, 552,  8, 13,  632, 1, 7, 830180, 27200.04, 25, 0.00, 1: 40; 2: 53; 3: 57; 4: 74; 5: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 135,  7, 15,  633, 1, 7, 840840, 27200.04, 0, 0.00, 1: 41; 2: 51; 3: 58; 4: 74; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 995,  9, 12,  633, 1, 7, 865787, 27200.04, 0, 0.00, 1: 40; 2: 53; 3: 56; 4: 74; 5: 2; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling, 551,  7, 17,  634, 1, 7, 940493, 27200.04, 0, 0.00, 1: 37; 2: 57; 3: 61; 4: 66; 5: 1; 6: 4; 7: 1; 
EGFR_&_ErbB_Signaling, 266,  7, 17,  634, 1, 7, 940515, 27200.04, 0, 0.00, 1: 37; 2: 53; 3: 64; 4: 68; 5: 4; 7: 1; 
EGFR_&_ErbB_Signaling, 366, 12,  9,  635, 1, 7, 865770, 27200.04, 0, 0.00, 1: 37; 2: 56; 3: 60; 4: 69; 5: 1; 6: 3; 7: 1; 
EGFR_&_ErbB_Signaling, 413,  8, 13,  638, 1, 7, 830180, 27200.04, 0, 0.00, 1: 40; 2: 55; 3: 49; 4: 79; 6: 3; 7: 1; 
EGFR_&_ErbB_Signaling,  80,  6, 19,  639, 1, 7, 908161, 27200.04, 6, 0.00, 1: 34; 2: 57; 3: 64; 4: 65; 5: 4; 6: 2; 7: 1; 
EGFR_&_ErbB_Signaling, 994,  8, 14,  639, 1, 7, 891018, 27200.04, 0, 0.00, 1: 38; 2: 49; 3: 68; 4: 66; 5: 3; 6: 1; 7: 2; 
EGFR_&_ErbB_Signaling, 691,  9, 12,  641, 1, 7, 865795, 27200.04, 0, 0.00, 1: 37; 2: 56; 3: 57; 4: 71; 5: 1; 6: 3; 7: 2; 
EGFR_&_ErbB_Signaling, 675,  9, 12,  642, 1, 7, 865794, 27200.04, 0, 0.00, 1: 44; 2: 39; 3: 68; 4: 70; 5: 3; 7: 3; 
EGFR_&_ErbB_Signaling, 455,  8, 14,  646, 1, 7, 891017, 27200.04, 0, 0.00, 1: 36; 2: 50; 3: 67; 4: 68; 5: 1; 6: 3; 7: 2; 
EGFR_&_ErbB_Signaling, 908, 10, 11,  648, 1, 7, 879097, 27200.04, 49, 0.00, 1: 32; 2: 55; 3: 62; 4: 73; 5: 3; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling,   8,  8, 13,  650, 1, 7, 830180, 27200.04, 144, 0.00, 1: 36; 2: 46; 3: 65; 4: 77; 6: 2; 7: 1; 
EGFR_&_ErbB_Signaling, 270, 10, 11,  650, 1, 7, 879030, 27200.04, 0, 0.00, 1: 39; 2: 49; 3: 55; 4: 78; 5: 1; 6: 4; 7: 1; 
EGFR_&_ErbB_Signaling,  20,  7, 17,  653, 1, 7, 940550, 27200.04, 223, 0.00, 1: 38; 2: 51; 3: 50; 4: 79; 5: 8; 7: 1; 
EGFR_&_ErbB_Signaling, 548,  7, 17,  653, 1, 7, 940564, 27200.04, 23, 0.00, 1: 35; 2: 55; 3: 53; 4: 76; 5: 4; 6: 3; 7: 1; 
EGFR_&_ErbB_Signaling, 651,  6, 18,  653, 1, 7, 865784, 27200.04, 0, 0.00, 1: 41; 2: 46; 3: 54; 4: 78; 5: 4; 6: 2; 7: 2; 
EGFR_&_ErbB_Signaling, 481, 12,  9,  653, 1, 7, 865753, 27200.04, 0, 0.00, 1: 32; 2: 46; 3: 74; 4: 71; 5: 2; 6: 1; 7: 1; 
EGFR_&_ErbB_Signaling,  39,  8, 13,  658, 1, 7, 830180, 27200.04, 0, 0.00, 1: 34; 2: 52; 3: 58; 4: 76; 5: 1; 6: 5; 7: 1; 
EGFR_&_ErbB_Signaling, 381,  8, 14,  660, 1, 7, 890902, 27200.04, 0, 0.00, 1: 33; 2: 53; 3: 60; 4: 72; 5: 4; 6: 2; 7: 3; 
EGFR_&_ErbB_Signaling, 111,  7, 17,  664, 1, 7, 940512, 27200.04, 0, 0.00, 1: 36; 2: 50; 3: 54; 4: 75; 5: 7; 6: 4; 7: 1; 
EGFR_&_ErbB_Signaling, 955,  8, 13,  665, 1, 7, 830180, 27200.04, 0, 0.00, 1: 38; 2: 45; 3: 52; 4: 85; 5: 2; 6: 4; 7: 1; 
EGFR_&_ErbB_Signaling,  25,  6, 20,  667, 1, 7, 947493, 27200.04, 69, 0.00, 1: 38; 2: 40; 3: 61; 4: 80; 5: 5; 7: 3; 
EGFR_&_ErbB_Signaling, 153,  7, 16,  541, 1, 8, 891046, 27200.04, 0, 0.00, 1: 66; 2: 57; 3: 59; 4: 44; 8: 1; 
EGFR_&_ErbB_Signaling, 139,  6, 20,  560, 1, 8, 947525, 27200.04, 0, 0.00, 1: 60; 2: 60; 3: 55; 4: 50; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 177,  8, 14,  567, 1, 8, 891037, 27200.04, 0, 0.00, 1: 53; 2: 64; 3: 61; 4: 47; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 844,  6, 19,  569, 1, 8, 908129, 27200.04, 22, 0.00, 1: 58; 2: 57; 3: 56; 4: 54; 5: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 423,  6, 19,  570, 1, 8, 908237, 27200.04, 0, 0.00, 1: 54; 2: 59; 3: 63; 4: 49; 5: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 698,  6, 19,  570, 1, 8, 908092, 27200.04, 0, 0.00, 1: 61; 2: 56; 3: 51; 4: 55; 5: 2; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 956,  8, 14,  574, 1, 8, 891038, 27200.04, 63, 0.00, 1: 54; 2: 60; 3: 56; 4: 56; 8: 1; 
EGFR_&_ErbB_Signaling, 624, 12,  9,  575, 1, 8, 865820, 27200.04, 28, 0.00, 1: 58; 2: 57; 3: 57; 4: 51; 6: 1; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 931,  6, 20,  578, 1, 8, 947620, 27200.04, 0, 0.00, 1: 59; 2: 54; 3: 51; 4: 60; 5: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 676,  6, 18,  578, 1, 8, 865793, 27200.04, 31, 0.00, 1: 56; 2: 60; 3: 53; 4: 53; 5: 3; 8: 2; 
EGFR_&_ErbB_Signaling, 850,  9, 12,  579, 1, 8, 865795, 27200.04, 0, 0.00, 1: 48; 2: 63; 3: 63; 4: 52; 8: 1; 
EGFR_&_ErbB_Signaling, 796,  6, 19,  580, 1, 8, 908158, 27200.04, 85, 0.00, 1: 49; 2: 63; 3: 63; 4: 48; 5: 2; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 737,  6, 18,  583, 1, 8, 865820, 27200.04, 0, 0.00, 1: 55; 2: 56; 3: 57; 4: 55; 5: 2; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 256,  7, 16,  584, 1, 8, 891012, 27200.04, 16, 0.00, 1: 57; 2: 53; 3: 56; 4: 57; 5: 1; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 416,  8, 14,  584, 1, 8, 891049, 27200.04, 21, 0.00, 1: 47; 2: 70; 3: 50; 4: 57; 5: 1; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 648,  7, 17,  585, 1, 8, 940461, 27200.04, 29, 0.00, 1: 53; 2: 59; 3: 60; 4: 51; 7: 2; 8: 2; 
EGFR_&_ErbB_Signaling, 810,  9, 12,  586, 1, 8, 865787, 27200.04, 0, 0.00, 1: 62; 2: 44; 3: 58; 4: 59; 5: 2; 8: 2; 
EGFR_&_ErbB_Signaling, 761, 12,  9,  588, 1, 8, 865783, 27200.04, 0, 0.00, 1: 51; 2: 60; 3: 51; 4: 64; 8: 1; 
EGFR_&_ErbB_Signaling, 292,  6, 19,  588, 1, 8, 908188, 27200.04, 23, 0.00, 1: 55; 2: 63; 3: 41; 4: 62; 5: 2; 6: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 909,  6, 20,  592, 1, 8, 947627, 27200.04, 0, 0.00, 1: 55; 2: 49; 3: 61; 4: 59; 5: 1; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling,  72, 12,  9,  593, 1, 8, 865785, 27200.04, 6, 0.00, 1: 50; 2: 62; 3: 49; 4: 62; 5: 2; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 462, 12,  9,  593, 1, 8, 865744, 27200.04, 0, 0.00, 1: 55; 2: 52; 3: 51; 4: 67; 5: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 809, 10, 11,  596, 1, 8, 878981, 27200.04, 0, 0.00, 1: 49; 2: 58; 3: 61; 4: 54; 5: 2; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 154,  7, 15,  597, 1, 8, 840840, 27200.04, 0, 0.00, 1: 58; 2: 43; 3: 60; 4: 63; 6: 1; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 873,  6, 19,  599, 1, 8, 908220, 27200.04, 0, 0.00, 1: 49; 2: 53; 3: 68; 4: 53; 6: 1; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 870, 10, 11,  599, 1, 8, 879009, 27200.04, 0, 0.00, 1: 51; 2: 57; 3: 50; 4: 66; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 543,  6, 20,  600, 1, 8, 947634, 27200.04, 0, 0.00, 1: 48; 2: 59; 3: 55; 4: 62; 6: 1; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 348,  7, 17,  603, 1, 8, 940430, 27200.04, 22, 0.00, 1: 47; 2: 58; 3: 55; 4: 63; 5: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 554,  7, 15,  603, 1, 8, 840840, 27200.04, 0, 0.00, 1: 47; 2: 56; 3: 57; 4: 65; 5: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 814,  7, 16,  603, 1, 8, 891051, 27200.04, 0, 0.00, 1: 49; 2: 53; 3: 60; 4: 62; 5: 1; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 383,  8, 14,  605, 1, 8, 891122, 27200.04, 0, 0.00, 1: 59; 2: 46; 3: 49; 4: 66; 5: 4; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 771,  7, 15,  606, 1, 8, 840840, 27200.04, 0, 0.00, 1: 45; 2: 57; 3: 59; 4: 63; 5: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 751,  7, 16,  608, 1, 8, 891010, 27200.04, 0, 0.00, 1: 50; 2: 50; 3: 61; 4: 62; 6: 2; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 855,  6, 20,  609, 1, 8, 947590, 27200.04, 0, 0.00, 1: 50; 2: 58; 3: 52; 4: 59; 5: 3; 6: 1; 7: 2; 8: 2; 
EGFR_&_ErbB_Signaling, 742, 11, 10,  609, 1, 8, 879065, 27200.04, 0, 0.00, 1: 45; 2: 55; 3: 61; 4: 63; 5: 1; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling,  31,  7, 15,  610, 1, 8, 840840, 27200.04, 0, 0.00, 1: 45; 2: 55; 3: 62; 4: 62; 6: 1; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 747,  7, 15,  611, 1, 8, 840840, 27200.04, 0, 0.00, 1: 43; 2: 58; 3: 66; 4: 54; 5: 3; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 489,  8, 14,  612, 1, 8, 891073, 27200.04, 0, 0.00, 1: 49; 2: 51; 3: 57; 4: 65; 5: 2; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 491,  6, 20,  613, 1, 8, 947714, 27200.04, 0, 0.00, 1: 45; 2: 55; 3: 64; 4: 58; 5: 1; 6: 1; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 769,  7, 15,  613, 1, 8, 840840, 27200.04, 0, 0.00, 1: 48; 2: 48; 3: 64; 4: 63; 5: 1; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 504,  8, 14,  615, 1, 8, 891002, 27200.04, 24, 0.00, 1: 41; 2: 57; 3: 69; 4: 53; 5: 4; 6: 1; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 160,  8, 14,  618, 1, 8, 891086, 27200.04, 9, 0.00, 1: 51; 2: 52; 3: 53; 4: 63; 5: 3; 6: 1; 7: 1; 8: 3; 
EGFR_&_ErbB_Signaling, 180,  7, 16,  619, 1, 8, 891006, 27200.04, 3, 0.00, 1: 38; 2: 57; 3: 71; 4: 57; 5: 1; 6: 1; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling,  90,  7, 16,  620, 1, 8, 891198, 27200.04, 0, 0.00, 1: 46; 2: 53; 3: 60; 4: 61; 5: 3; 6: 1; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 188,  6, 19,  620, 1, 8, 908219, 27200.04, 98, 0.00, 1: 48; 2: 48; 3: 63; 4: 61; 5: 4; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling,  93,  7, 16,  620, 1, 8, 890997, 27200.04, 0, 0.00, 1: 45; 2: 54; 3: 55; 4: 69; 6: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 284,  7, 17,  621, 1, 8, 940567, 27200.04, 24, 0.00, 1: 45; 2: 57; 3: 61; 4: 57; 5: 1; 7: 2; 8: 4; 
EGFR_&_ErbB_Signaling,  45,  7, 16,  621, 1, 8, 891048, 27200.04, 0, 0.00, 1: 38; 2: 64; 3: 57; 4: 64; 6: 1; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 787,  8, 14,  622, 1, 8, 891050, 27200.04, 0, 0.00, 1: 39; 2: 58; 3: 60; 4: 66; 5: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 171,  7, 17,  622, 1, 8, 940362, 27200.04, 0, 0.00, 1: 49; 2: 52; 3: 54; 4: 65; 5: 2; 6: 1; 7: 1; 8: 3; 
EGFR_&_ErbB_Signaling, 757,  7, 16,  622, 1, 8, 891032, 27200.04, 0, 0.00, 1: 49; 2: 51; 3: 49; 4: 71; 5: 4; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 746,  6, 18,  622, 1, 8, 865783, 27200.04, 0, 0.00, 1: 52; 2: 44; 3: 55; 4: 70; 5: 3; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 511, 10, 11,  624, 1, 8, 879033, 27200.04, 0, 0.00, 1: 45; 2: 52; 3: 57; 4: 68; 5: 1; 6: 2; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 948,  9, 12,  625, 1, 8, 865778, 27200.04, 38, 0.00, 1: 55; 2: 48; 3: 48; 4: 67; 6: 5; 8: 4; 
EGFR_&_ErbB_Signaling, 364,  8, 14,  625, 1, 8, 891087, 27200.04, 55, 0.00, 1: 44; 2: 47; 3: 68; 4: 63; 5: 2; 6: 1; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 499,  7, 15,  626, 1, 8, 840840, 27200.04, 0, 0.00, 1: 47; 2: 51; 3: 61; 4: 61; 6: 2; 7: 2; 8: 3; 
EGFR_&_ErbB_Signaling, 173,  6, 19,  626, 1, 8, 908120, 27200.04, 0, 0.00, 1: 47; 2: 53; 3: 63; 4: 53; 5: 3; 6: 1; 7: 5; 8: 2; 
EGFR_&_ErbB_Signaling, 604,  8, 13,  627, 1, 8, 830180, 27200.04, 100, 0.00, 1: 45; 2: 44; 3: 68; 4: 67; 6: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 262, 12,  9,  627, 1, 8, 865794, 27200.04, 0, 0.00, 1: 43; 2: 50; 3: 68; 4: 60; 5: 1; 6: 1; 7: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 165,  8, 13,  629, 1, 8, 830180, 27200.04, 0, 0.00, 1: 43; 2: 50; 3: 57; 4: 74; 5: 1; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 185, 10, 11,  629, 1, 8, 879111, 27200.04, 0, 0.00, 1: 43; 2: 59; 3: 49; 4: 67; 5: 5; 6: 2; 8: 2; 
EGFR_&_ErbB_Signaling, 388,  7, 16,  630, 1, 8, 891172, 27200.04, 9, 0.00, 1: 44; 2: 54; 3: 60; 4: 61; 5: 2; 6: 1; 7: 2; 8: 3; 
EGFR_&_ErbB_Signaling, 687, 11, 10,  630, 1, 8, 878953, 27200.04, 0, 0.00, 1: 43; 2: 49; 3: 59; 4: 72; 5: 2; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 936,  9, 12,  633, 1, 8, 865798, 27200.04, 45, 0.00, 1: 46; 2: 44; 3: 62; 4: 69; 5: 3; 6: 1; 8: 2; 
EGFR_&_ErbB_Signaling,  23,  6, 19,  633, 1, 8, 908156, 27200.04, 0, 0.00, 1: 48; 2: 55; 3: 48; 4: 65; 5: 3; 6: 2; 7: 4; 8: 2; 
EGFR_&_ErbB_Signaling, 323,  8, 13,  635, 1, 8, 830180, 27200.04, 0, 0.00, 1: 41; 2: 49; 3: 64; 4: 68; 5: 2; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 840,  9, 12,  635, 1, 8, 865780, 27200.04, 37, 0.00, 1: 40; 2: 51; 3: 64; 4: 66; 5: 3; 6: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 871, 12,  9,  636, 1, 8, 865800, 27200.04, 0, 0.00, 1: 44; 2: 44; 3: 62; 4: 73; 5: 1; 6: 1; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 592,  9, 12,  637, 1, 8, 865769, 27200.04, 27, 0.00, 1: 44; 2: 50; 3: 51; 4: 77; 5: 1; 6: 2; 7: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 883,  7, 16,  637, 1, 8, 891087, 27200.04, 0, 0.00, 1: 40; 2: 56; 3: 58; 4: 64; 5: 3; 6: 4; 8: 2; 
EGFR_&_ErbB_Signaling, 169,  7, 17,  638, 1, 8, 940497, 27200.04, 0, 0.00, 1: 39; 2: 57; 3: 54; 4: 70; 5: 3; 6: 1; 7: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 697,  8, 13,  639, 1, 8, 830180, 27200.04, 0, 0.00, 1: 39; 2: 55; 3: 55; 4: 72; 5: 3; 6: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 303,  8, 14,  640, 1, 8, 890938, 27200.04, 0, 0.00, 1: 43; 2: 46; 3: 55; 4: 80; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 917,  6, 19,  641, 1, 8, 908172, 27200.04, 0, 0.00, 1: 38; 2: 54; 3: 58; 4: 69; 5: 5; 6: 2; 8: 1; 
EGFR_&_ErbB_Signaling, 197,  6, 18,  641, 1, 8, 865817, 27200.04, 0, 0.00, 1: 41; 2: 50; 3: 63; 4: 65; 5: 4; 7: 1; 8: 3; 
EGFR_&_ErbB_Signaling, 959,  8, 13,  645, 1, 8, 830180, 27200.04, 0, 0.00, 1: 37; 2: 49; 3: 62; 4: 75; 5: 2; 6: 1; 8: 1; 
EGFR_&_ErbB_Signaling, 125,  7, 17,  645, 1, 8, 940497, 27200.04, 0, 0.00, 1: 43; 2: 56; 3: 57; 4: 59; 5: 1; 6: 4; 7: 2; 8: 5; 
EGFR_&_ErbB_Signaling, 354,  6, 19,  647, 1, 8, 908228, 27200.04, 0, 0.00, 1: 36; 2: 58; 3: 58; 4: 66; 5: 2; 6: 3; 7: 3; 8: 1; 
EGFR_&_ErbB_Signaling, 217,  7, 17,  648, 1, 8, 940482, 27200.04, 0, 0.00, 1: 39; 2: 49; 3: 64; 4: 67; 5: 2; 6: 3; 7: 1; 8: 2; 
EGFR_&_ErbB_Signaling, 545,  7, 15,  649, 1, 8, 840840, 27200.04, 0, 0.00, 1: 39; 2: 56; 3: 54; 4: 67; 5: 3; 6: 4; 7: 3; 8: 1; 
