Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
3(992)
Melhor resultado nxn: EGFR_&_ErbB_Signaling, 682,  9, 12,  339, 1, 3, 865815, 74000.52, 0, 0.00, 1: 123; 2: 96; 3: 8; 
EGFR_&_ErbB_Signaling, 209, 12,  9,  350, 1, 3, 865736, 74000.52, 0, 0.00, 1: 118; 2: 95; 3: 14; 
EGFR_&_ErbB_Signaling, 423,  6, 19,  350, 1, 3, 908410, 74000.52, 0, 0.00, 1: 118; 2: 95; 3: 14; 
EGFR_&_ErbB_Signaling, 115, 10, 11,  350, 1, 3, 879148, 74000.52, 0, 0.00, 1: 115; 2: 101; 3: 11; 
EGFR_&_ErbB_Signaling,  90,  7, 16,  350, 1, 3, 891122, 74000.52, 0, 0.00, 1: 115; 2: 101; 3: 11; 
EGFR_&_ErbB_Signaling,  91,  8, 13,  350, 1, 3, 830180, 74000.52, 0, 0.00, 1: 117; 2: 97; 3: 13; 
EGFR_&_ErbB_Signaling, 189,  6, 20,  350, 1, 3, 947822, 74000.52, 0, 0.00, 1: 117; 2: 97; 3: 13; 
EGFR_&_ErbB_Signaling, 319,  7, 17,  350, 1, 3, 940853, 74000.52, 0, 0.00, 1: 116; 2: 99; 3: 12; 
EGFR_&_ErbB_Signaling, 199,  7, 16,  350, 1, 3, 891004, 74000.52, 0, 0.00, 1: 115; 2: 101; 3: 11; 
EGFR_&_ErbB_Signaling, 287,  7, 17,  350, 1, 3, 940657, 74000.52, 0, 0.00, 1: 117; 2: 97; 3: 13; 
EGFR_&_ErbB_Signaling,  77,  7, 15,  350, 1, 3, 840840, 74000.52, 0, 0.00, 1: 117; 2: 97; 3: 13; 
EGFR_&_ErbB_Signaling,   4,  6, 20,  350, 1, 3, 947837, 74000.52, 220, 0.00, 1: 118; 2: 95; 3: 14; 
EGFR_&_ErbB_Signaling, 389,  9, 12,  350, 1, 3, 865811, 74000.52, 0, 0.00, 1: 113; 2: 105; 3: 9; 
EGFR_&_ErbB_Signaling, 331,  6, 18,  350, 1, 3, 865775, 74000.52, 0, 0.00, 1: 120; 2: 91; 3: 16; 
EGFR_&_ErbB_Signaling, 299, 11, 10,  350, 1, 3, 878922, 74000.52, 0, 0.00, 1: 114; 2: 103; 3: 10; 
EGFR_&_ErbB_Signaling, 227, 10, 11,  350, 1, 3, 879137, 74000.52, 0, 0.00, 1: 115; 2: 101; 3: 11; 
EGFR_&_ErbB_Signaling, 333, 10, 11,  350, 1, 3, 879088, 74000.52, 0, 0.00, 1: 114; 2: 103; 3: 10; 
EGFR_&_ErbB_Signaling,   5,  7, 15,  350, 1, 3, 840840, 74000.52, 127, 0.00, 1: 115; 2: 101; 3: 11; 
EGFR_&_ErbB_Signaling, 274,  6, 19,  350, 1, 3, 908004, 74000.52, 0, 0.00, 1: 118; 2: 95; 3: 14; 
EGFR_&_ErbB_Signaling, 435,  7, 17,  350, 1, 3, 940693, 74000.52, 0, 0.00, 1: 115; 2: 101; 3: 11; 
EGFR_&_ErbB_Signaling, 335,  6, 19,  350, 1, 3, 907508, 74000.52, 0, 0.00, 1: 113; 2: 105; 3: 9; 
EGFR_&_ErbB_Signaling, 376,  8, 13,  350, 1, 3, 830180, 74000.52, 21, 0.00, 1: 116; 2: 99; 3: 12; 
EGFR_&_ErbB_Signaling, 178,  6, 18,  350, 1, 3, 865808, 74000.52, 0, 0.00, 1: 117; 2: 97; 3: 13; 
EGFR_&_ErbB_Signaling, 862,  7, 16,  351, 1, 3, 890874, 74000.52, 0, 0.00, 1: 109; 2: 112; 3: 6; 
EGFR_&_ErbB_Signaling, 553, 11, 10,  351, 1, 3, 878971, 74000.52, 0, 0.00, 1: 119; 2: 92; 3: 16; 
EGFR_&_ErbB_Signaling, 164,  9, 12,  351, 1, 3, 865833, 74000.52, 18, 0.00, 1: 123; 2: 84; 3: 20; 
EGFR_&_ErbB_Signaling, 182,  8, 13,  351, 1, 3, 830180, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 642,  6, 19,  351, 1, 3, 908295, 74000.52, 0, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 385, 11, 10,  351, 1, 3, 879059, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 552,  8, 13,  351, 1, 3, 830180, 74000.52, 25, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 762,  6, 19,  351, 1, 3, 908285, 74000.52, 0, 0.00, 1: 117; 2: 96; 3: 14; 
EGFR_&_ErbB_Signaling, 872,  6, 18,  351, 1, 3, 865769, 74000.52, 40, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 374,  8, 13,  351, 1, 3, 830180, 74000.52, 0, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 873,  6, 19,  351, 1, 3, 908047, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 375,  6, 19,  351, 1, 3, 908098, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling,  85,  6, 19,  351, 1, 3, 908120, 74000.52, 0, 0.00, 1: 117; 2: 96; 3: 14; 
EGFR_&_ErbB_Signaling, 646,  6, 20,  351, 1, 3, 947750, 74000.52, 0, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 185, 10, 11,  351, 1, 3, 878931, 74000.52, 0, 0.00, 1: 118; 2: 94; 3: 15; 
EGFR_&_ErbB_Signaling, 888,  8, 13,  351, 1, 3, 830180, 74000.52, 41, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 533,  7, 16,  351, 1, 3, 891155, 74000.52, 0, 0.00, 1: 111; 2: 108; 3: 8; 
EGFR_&_ErbB_Signaling, 703,  6, 20,  351, 1, 3, 947827, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 616,  6, 18,  351, 1, 3, 865790, 74000.52, 28, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 326,  9, 12,  351, 1, 3, 865754, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 809, 10, 11,  351, 1, 3, 879029, 74000.52, 0, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 804, 10, 11,  351, 1, 3, 878890, 74000.52, 34, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 140,  6, 19,  351, 1, 3, 908239, 74000.52, 21, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 134,  7, 17,  351, 1, 3, 940529, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 133, 12,  9,  351, 1, 3, 865820, 74000.52, 0, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 816, 11, 10,  351, 1, 3, 878989, 74000.52, 35, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 334, 10, 11,  351, 1, 3, 879117, 74000.52, 0, 0.00, 1: 117; 2: 96; 3: 14; 
EGFR_&_ErbB_Signaling, 336, 10, 11,  351, 1, 3, 878812, 74000.52, 20, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 598,  8, 14,  351, 1, 3, 890986, 74000.52, 0, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 132,  7, 17,  351, 1, 3, 940464, 74000.52, 22, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 615,  9, 12,  351, 1, 3, 865828, 74000.52, 0, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 339,  9, 12,  351, 1, 3, 865847, 74000.52, 0, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 129,  6, 18,  351, 1, 3, 865819, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 127, 12,  9,  351, 1, 3, 865733, 74000.52, 0, 0.00, 1: 111; 2: 108; 3: 8; 
EGFR_&_ErbB_Signaling, 360, 12,  9,  351, 1, 3, 865755, 74000.52, 21, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 147,  7, 17,  351, 1, 3, 940724, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 112,  6, 18,  351, 1, 3, 865797, 74000.52, 7, 0.00, 1: 117; 2: 96; 3: 14; 
EGFR_&_ErbB_Signaling, 349,  6, 19,  351, 1, 3, 908155, 74000.52, 0, 0.00, 1: 120; 2: 90; 3: 17; 
EGFR_&_ErbB_Signaling, 350,  6, 18,  351, 1, 3, 865696, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 580,  8, 13,  351, 1, 3, 830180, 74000.52, 89, 0.00, 1: 117; 2: 96; 3: 14; 
EGFR_&_ErbB_Signaling, 109,  9, 12,  351, 1, 3, 865763, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 845,  9, 12,  351, 1, 3, 865817, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 352,  8, 14,  351, 1, 3, 890740, 74000.52, 20, 0.00, 1: 111; 2: 108; 3: 8; 
EGFR_&_ErbB_Signaling, 569, 10, 11,  351, 1, 3, 879060, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 782,  6, 20,  351, 1, 3, 948004, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 855,  6, 20,  351, 1, 3, 947748, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 304, 11, 10,  351, 1, 3, 878945, 74000.52, 19, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 102,  6, 19,  351, 1, 3, 908098, 74000.52, 0, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 163, 11, 10,  351, 1, 3, 879064, 74000.52, 0, 0.00, 1: 111; 2: 108; 3: 8; 
EGFR_&_ErbB_Signaling, 414,  7, 17,  351, 1, 3, 940737, 74000.52, 0, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 918,  9, 12,  351, 1, 3, 865725, 74000.52, 0, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 232,  7, 16,  351, 1, 3, 890983, 74000.52, 16, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 744,  9, 12,  351, 1, 3, 865795, 74000.52, 32, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 921,  7, 17,  351, 1, 3, 940658, 74000.52, 0, 0.00, 1: 118; 2: 94; 3: 15; 
EGFR_&_ErbB_Signaling, 923,  7, 16,  351, 1, 3, 891124, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 927, 10, 11,  351, 1, 3, 879089, 74000.52, 0, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 454,  6, 19,  351, 1, 3, 908311, 74000.52, 0, 0.00, 1: 120; 2: 90; 3: 17; 
EGFR_&_ErbB_Signaling, 740,  9, 12,  351, 1, 3, 865807, 74000.52, 10, 0.00, 1: 111; 2: 108; 3: 8; 
EGFR_&_ErbB_Signaling,  53,  6, 19,  351, 1, 3, 908100, 74000.52, 0, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 931,  6, 20,  351, 1, 3, 947984, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 992,  6, 18,  351, 1, 3, 865753, 74000.52, 50, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 456,  8, 13,  351, 1, 3, 830180, 74000.52, 22, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 409,  9, 12,  351, 1, 3, 865851, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 991, 12,  9,  351, 1, 3, 865841, 74000.52, 0, 0.00, 1: 111; 2: 108; 3: 8; 
EGFR_&_ErbB_Signaling,  17,  7, 15,  351, 1, 3, 840840, 74000.52, 117, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling,  76,  6, 20,  351, 1, 3, 947867, 74000.52, 27, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 226, 12,  9,  351, 1, 3, 865819, 74000.52, 0, 0.00, 1: 120; 2: 90; 3: 17; 
EGFR_&_ErbB_Signaling, 422, 12,  9,  351, 1, 3, 865763, 74000.52, 0, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling, 221, 11, 10,  351, 1, 3, 879098, 74000.52, 0, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 210,  7, 15,  351, 1, 3, 840840, 74000.52, 0, 0.00, 1: 118; 2: 94; 3: 15; 
EGFR_&_ErbB_Signaling,  12,  8, 14,  351, 1, 3, 891034, 74000.52, 220, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling,  15, 12,  9,  351, 1, 3, 865751, 74000.52, 0, 0.00, 1: 119; 2: 92; 3: 16; 
EGFR_&_ErbB_Signaling, 267, 11, 10,  351, 1, 3, 879108, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 470,  7, 16,  351, 1, 3, 891121, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 507,  7, 16,  351, 1, 3, 891144, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 192,  6, 19,  351, 1, 3, 908164, 74000.52, 14, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 392, 10, 11,  351, 1, 3, 879167, 74000.52, 21, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 899,  6, 19,  351, 1, 3, 908117, 74000.52, 0, 0.00, 1: 118; 2: 94; 3: 15; 
EGFR_&_ErbB_Signaling, 218,  7, 17,  351, 1, 3, 939953, 74000.52, 0, 0.00, 1: 118; 2: 94; 3: 15; 
EGFR_&_ErbB_Signaling, 450,  6, 20,  351, 1, 3, 947673, 74000.52, 0, 0.00, 1: 116; 2: 98; 3: 13; 
EGFR_&_ErbB_Signaling, 657, 10, 11,  351, 1, 3, 878947, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 395,  7, 16,  351, 1, 3, 891244, 74000.52, 0, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling,  73, 12,  9,  351, 1, 3, 865868, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 902,  6, 20,  351, 1, 3, 947384, 74000.52, 0, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 197,  6, 18,  351, 1, 3, 865827, 74000.52, 0, 0.00, 1: 117; 2: 96; 3: 14; 
EGFR_&_ErbB_Signaling, 280,  8, 13,  351, 1, 3, 830180, 74000.52, 19, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 996,  8, 14,  351, 1, 3, 891151, 74000.52, 62, 0.00, 1: 114; 2: 102; 3: 11; 
EGFR_&_ErbB_Signaling, 278, 12,  9,  351, 1, 3, 865765, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 515,  9, 12,  351, 1, 3, 865731, 74000.52, 0, 0.00, 1: 117; 2: 96; 3: 14; 
EGFR_&_ErbB_Signaling,  65, 10, 11,  351, 1, 3, 879080, 74000.52, 0, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 911,  8, 13,  351, 1, 3, 830180, 74000.52, 0, 0.00, 1: 119; 2: 92; 3: 16; 
EGFR_&_ErbB_Signaling, 664, 12,  9,  351, 1, 3, 865753, 74000.52, 30, 0.00, 1: 115; 2: 100; 3: 12; 
EGFR_&_ErbB_Signaling,  64,  7, 16,  351, 1, 3, 891156, 74000.52, 6, 0.00, 1: 113; 2: 104; 3: 10; 
EGFR_&_ErbB_Signaling, 665, 11, 10,  351, 1, 3, 879153, 74000.52, 0, 0.00, 1: 112; 2: 106; 3: 9; 
EGFR_&_ErbB_Signaling, 667,  9, 12,  351, 1, 3, 865803, 74000.52, 0, 0.00, 1: 117; 2: 96; 3: 14; 
EGFR_&_ErbB_Signaling, 718, 11, 10,  352, 1, 3, 878728, 74000.52, 0, 0.00, 1: 112; 2: 105; 3: 10; 
EGFR_&_ErbB_Signaling, 720,  8, 14,  352, 1, 3, 890966, 74000.52, 32, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 789, 12,  9,  352, 1, 3, 865792, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 223,  7, 15,  352, 1, 3, 840840, 74000.52, 0, 0.00, 1: 116; 2: 97; 3: 14; 
EGFR_&_ErbB_Signaling, 692,  9, 12,  352, 1, 3, 865719, 74000.52, 24, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 246,  7, 16,  352, 1, 3, 891046, 74000.52, 0, 0.00, 1: 113; 2: 103; 3: 11; 
EGFR_&_ErbB_Signaling, 225, 10, 11,  352, 1, 3, 879129, 74000.52, 0, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 712,  7, 15,  352, 1, 3, 840840, 74000.52, 31, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 699,  7, 16,  352, 1, 3, 891096, 74000.52, 0, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 702,  6, 20,  352, 1, 3, 947834, 74000.52, 0, 0.00, 1: 111; 2: 107; 3: 9; 
EGFR_&_ErbB_Signaling, 806,  9, 12,  352, 1, 3, 865945, 74000.52, 0, 0.00, 1: 117; 2: 95; 3: 15; 
EGFR_&_ErbB_Signaling, 734,  6, 20,  352, 1, 3, 947650, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 289, 11, 10,  352, 1, 3, 879171, 74000.52, 0, 0.00, 1: 110; 2: 109; 3: 8; 
EGFR_&_ErbB_Signaling, 753,  6, 19,  352, 1, 3, 908209, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 187,  6, 20,  352, 1, 3, 947445, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 759,  6, 19,  352, 1, 3, 908216, 74000.52, 0, 0.00, 1: 118; 2: 93; 3: 16; 
EGFR_&_ErbB_Signaling, 279,  9, 12,  352, 1, 3, 865794, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 176,  9, 12,  352, 1, 3, 865812, 74000.52, 11, 0.00, 1: 117; 2: 95; 3: 15; 
EGFR_&_ErbB_Signaling, 670, 11, 10,  352, 1, 3, 879224, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 631,  7, 16,  352, 1, 3, 891100, 74000.52, 0, 0.00, 1: 107; 2: 115; 3: 5; 
EGFR_&_ErbB_Signaling, 160,  8, 14,  352, 1, 3, 890991, 74000.52, 9, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 310,  9, 12,  352, 1, 3, 865826, 74000.52, 0, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 788,  7, 15,  352, 1, 3, 840840, 74000.52, 71, 0.00, 1: 117; 2: 95; 3: 15; 
EGFR_&_ErbB_Signaling, 802,  7, 16,  352, 1, 3, 891149, 74000.52, 0, 0.00, 1: 111; 2: 107; 3: 9; 
EGFR_&_ErbB_Signaling, 733, 11, 10,  352, 1, 3, 878851, 74000.52, 0, 0.00, 1: 117; 2: 95; 3: 15; 
EGFR_&_ErbB_Signaling, 153,  7, 16,  352, 1, 3, 891224, 74000.52, 0, 0.00, 1: 113; 2: 103; 3: 11; 
EGFR_&_ErbB_Signaling, 316,  7, 17,  352, 1, 3, 940754, 74000.52, 26, 0.00, 1: 112; 2: 105; 3: 10; 
EGFR_&_ErbB_Signaling, 794, 11, 10,  352, 1, 3, 879047, 74000.52, 0, 0.00, 1: 113; 2: 103; 3: 11; 
EGFR_&_ErbB_Signaling, 272, 11, 10,  352, 1, 3, 879139, 74000.52, 19, 0.00, 1: 109; 2: 111; 3: 7; 
EGFR_&_ErbB_Signaling, 207,  7, 15,  352, 1, 3, 840840, 74000.52, 0, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 728,  7, 15,  352, 1, 3, 840840, 74000.52, 32, 0.00, 1: 117; 2: 95; 3: 15; 
EGFR_&_ErbB_Signaling, 621,  6, 20,  352, 1, 3, 947763, 74000.52, 0, 0.00, 1: 116; 2: 97; 3: 14; 
EGFR_&_ErbB_Signaling, 724,  6, 19,  352, 1, 3, 908110, 74000.52, 62, 0.00, 1: 119; 2: 91; 3: 17; 
EGFR_&_ErbB_Signaling, 722,  6, 19,  352, 1, 3, 908332, 74000.52, 0, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 384,  8, 14,  352, 1, 3, 891043, 74000.52, 21, 0.00, 1: 111; 2: 107; 3: 9; 
EGFR_&_ErbB_Signaling, 365, 11, 10,  352, 1, 3, 878878, 74000.52, 0, 0.00, 1: 112; 2: 105; 3: 10; 
EGFR_&_ErbB_Signaling, 367,  7, 16,  352, 1, 3, 891051, 74000.52, 0, 0.00, 1: 110; 2: 109; 3: 8; 
EGFR_&_ErbB_Signaling,  96,  6, 18,  352, 1, 3, 865721, 74000.52, 6, 0.00, 1: 117; 2: 95; 3: 15; 
EGFR_&_ErbB_Signaling, 555,  6, 18,  352, 1, 3, 865802, 74000.52, 0, 0.00, 1: 118; 2: 93; 3: 16; 
EGFR_&_ErbB_Signaling, 974, 12,  9,  352, 1, 3, 865841, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 371, 10, 11,  352, 1, 3, 879164, 74000.52, 0, 0.00, 1: 109; 2: 111; 3: 7; 
EGFR_&_ErbB_Signaling, 542,  7, 15,  352, 1, 3, 840840, 74000.52, 0, 0.00, 1: 112; 2: 105; 3: 10; 
EGFR_&_ErbB_Signaling, 875,  6, 20,  352, 1, 3, 947882, 74000.52, 0, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 474,  6, 19,  352, 1, 3, 908540, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 499,  7, 15,  352, 1, 3, 840840, 74000.52, 0, 0.00, 1: 110; 2: 109; 3: 8; 
EGFR_&_ErbB_Signaling, 503, 10, 11,  352, 1, 3, 879127, 74000.52, 0, 0.00, 1: 113; 2: 103; 3: 11; 
EGFR_&_ErbB_Signaling, 885, 12,  9,  352, 1, 3, 865777, 74000.52, 0, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 886,  6, 19,  352, 1, 3, 908490, 74000.52, 0, 0.00, 1: 117; 2: 95; 3: 15; 
EGFR_&_ErbB_Signaling, 979,  7, 17,  352, 1, 3, 940629, 74000.52, 0, 0.00, 1: 117; 2: 95; 3: 15; 
EGFR_&_ErbB_Signaling,  60,  6, 18,  352, 1, 3, 865770, 74000.52, 78, 0.00, 1: 112; 2: 105; 3: 10; 
EGFR_&_ErbB_Signaling, 406, 12,  9,  352, 1, 3, 865817, 74000.52, 0, 0.00, 1: 118; 2: 93; 3: 16; 
EGFR_&_ErbB_Signaling, 388,  7, 16,  352, 1, 3, 891057, 74000.52, 9, 0.00, 1: 113; 2: 103; 3: 11; 
EGFR_&_ErbB_Signaling, 611,  6, 20,  352, 1, 3, 947721, 74000.52, 0, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling,  31,  7, 15,  352, 1, 3, 840840, 74000.52, 0, 0.00, 1: 116; 2: 97; 3: 14; 
EGFR_&_ErbB_Signaling,  72, 12,  9,  352, 1, 3, 865809, 74000.52, 6, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 420,  8, 13,  352, 1, 3, 830180, 74000.52, 88, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling,  32,  6, 20,  352, 1, 3, 947840, 74000.52, 2, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 517, 10, 11,  352, 1, 3, 879015, 74000.52, 0, 0.00, 1: 114; 2: 101; 3: 12; 
EGFR_&_ErbB_Signaling, 909,  6, 20,  352, 1, 3, 947688, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 912, 11, 10,  352, 1, 3, 879084, 74000.52, 43, 0.00, 1: 111; 2: 107; 3: 9; 
EGFR_&_ErbB_Signaling, 486,  9, 12,  352, 1, 3, 865712, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling,  34, 10, 11,  352, 1, 3, 878953, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 559,  6, 19,  352, 1, 3, 908342, 74000.52, 0, 0.00, 1: 116; 2: 97; 3: 14; 
EGFR_&_ErbB_Signaling, 813, 10, 11,  352, 1, 3, 879061, 74000.52, 0, 0.00, 1: 115; 2: 99; 3: 13; 
EGFR_&_ErbB_Signaling, 446,  6, 18,  352, 1, 3, 865773, 74000.52, 0, 0.00, 1: 116; 2: 97; 3: 14; 
EGFR_&_ErbB_Signaling, 342,  6, 18,  352, 1, 3, 865772, 74000.52, 0, 0.00, 1: 111; 2: 107; 3: 9; 
EGFR_&_ErbB_Signaling, 123, 11, 10,  352, 1, 3, 879139, 74000.52, 0, 0.00, 1: 113; 2: 103; 3: 11; 
EGFR_&_ErbB_Signaling, 939,  8, 14,  352, 1, 3, 891002, 74000.52, 0, 0.00, 1: 112; 2: 105; 3: 10; 
EGFR_&_ErbB_Signaling, 116,  6, 20,  352, 1, 3, 947642, 74000.52, 27, 0.00, 1: 118; 2: 93; 3: 16; 
EGFR_&_ErbB_Signaling, 993, 12,  9,  352, 1, 3, 865827, 74000.52, 0, 0.00, 1: 113; 2: 103; 3: 11; 
EGFR_&_ErbB_Signaling, 347, 11, 10,  352, 1, 3, 878945, 74000.52, 0, 0.00, 1: 110; 2: 109; 3: 8; 
EGFR_&_ErbB_Signaling, 838, 12,  9,  352, 1, 3, 865809, 74000.52, 0, 0.00, 1: 113; 2: 103; 3: 11; 
EGFR_&_ErbB_Signaling, 457,  7, 16,  352, 1, 3, 890831, 74000.52, 0, 0.00, 1: 112; 2: 105; 3: 10; 
