Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
3(418)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  88,  8,  7,  137, 1, 3, 443520, 17788.86, 40, 0.00, 1: 72; 2: 28; 3: 3; 
MAPK_Cancer_Cell_Fate_Network, 732,  5, 13,  144, 1, 4, 505150, 17788.86, 198, 0.00, 1: 70; 2: 26; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 377, 10,  6,  144, 1, 4, 473358, 17788.86, 0, 0.00, 1: 64; 2: 38; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 540,  7,  9,  144, 1, 4, 492911, 17788.86, 198, 0.00, 1: 69; 2: 28; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  47,  6, 10,  144, 1, 4, 473474, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 741,  6, 10,  144, 1, 4, 473345, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 383,  5, 11,  144, 1, 4, 435105, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 247,  6, 10,  144, 1, 4, 473455, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 266,  7,  8,  144, 1, 4, 443520, 17788.86, 0, 0.00, 1: 70; 2: 26; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 408,  5, 12,  144, 1, 4, 473469, 17788.86, 104, 0.00, 1: 66; 2: 34; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 608,  6, 10,  144, 1, 4, 473517, 17788.86, 6, 0.00, 1: 68; 2: 31; 3: 2; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 270,  7,  8,  144, 1, 4, 443520, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 609,  7,  9,  144, 1, 4, 492760, 17788.86, 0, 0.00, 1: 71; 2: 24; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 584, 10,  6,  144, 1, 4, 473431, 17788.86, 208, 0.00, 1: 69; 2: 28; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 258,  6, 10,  144, 1, 4, 473508, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 274,  6, 10,  144, 1, 4, 473514, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 976,  6, 10,  144, 1, 4, 473377, 17788.86, 192, 0.00, 1: 71; 2: 25; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 669,  5, 12,  144, 1, 4, 473540, 17788.86, 85, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 415,  8,  7,  144, 1, 4, 443520, 17788.86, 0, 0.00, 1: 70; 2: 26; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 971,  6, 10,  144, 1, 4, 473556, 17788.86, 89, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 635,  5, 13,  144, 1, 4, 504404, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 238,  5, 12,  144, 1, 4, 473299, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 566, 10,  6,  144, 1, 4, 473255, 17788.86, 0, 0.00, 1: 70; 2: 26; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 651,  7,  9,  144, 1, 4, 492350, 17788.86, 89, 0.00, 1: 68; 2: 30; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 216,  6, 10,  144, 1, 4, 473373, 17788.86, 168, 0.00, 1: 68; 2: 30; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 666,  5, 13,  144, 1, 4, 504856, 17788.86, 60, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 667, 10,  6,  144, 1, 4, 473457, 17788.86, 89, 0.00, 1: 66; 2: 34; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 110,  8,  7,  144, 1, 4, 443520, 17788.86, 0, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 467,  7,  9,  144, 1, 4, 493123, 17788.86, 89, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 887,  5, 12,  144, 1, 4, 473449, 17788.86, 0, 0.00, 1: 69; 2: 29; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network,  68,  5, 12,  144, 1, 4, 473417, 17788.86, 198, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 784,  5, 13,  144, 1, 4, 504465, 17788.86, 32, 0.00, 1: 70; 2: 28; 3: 2; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 815, 10,  6,  144, 1, 4, 473446, 17788.86, 0, 0.00, 1: 70; 2: 26; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 860,  6, 10,  144, 1, 4, 473418, 17788.86, 198, 0.00, 1: 69; 2: 28; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 129, 10,  6,  144, 1, 4, 473473, 17788.86, 4, 0.00, 1: 71; 2: 25; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network,  92, 10,  6,  144, 1, 4, 473412, 17788.86, 198, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  66,  5, 13,  144, 1, 4, 504555, 17788.86, 104, 0.00, 1: 69; 2: 29; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 774,  8,  7,  144, 1, 4, 443520, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 840, 10,  6,  144, 1, 4, 473554, 17788.86, 48, 0.00, 1: 70; 2: 26; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 365,  5, 13,  144, 1, 4, 504760, 17788.86, 32, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 764, 10,  6,  144, 1, 4, 473527, 17788.86, 1, 0.00, 1: 68; 2: 30; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 826, 10,  6,  144, 1, 4, 473419, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 127, 10,  6,  144, 1, 4, 473448, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 108, 10,  6,  144, 1, 4, 473347, 17788.86, 32, 0.00, 1: 72; 2: 22; 3: 8; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 152,  6, 10,  144, 1, 4, 473541, 17788.86, 104, 0.00, 1: 71; 2: 24; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 884,  8,  7,  144, 1, 4, 443520, 17788.86, 0, 0.00, 1: 66; 2: 34; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  74,  5, 12,  144, 1, 4, 473421, 17788.86, 104, 0.00, 1: 67; 2: 32; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  85,  5, 13,  145, 1, 4, 504856, 17788.86, 85, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 966,  6, 10,  145, 1, 4, 473468, 17788.86, 0, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 964, 10,  6,  145, 1, 4, 473348, 17788.86, 198, 0.00, 1: 64; 2: 37; 3: 1; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  26,  6, 10,  145, 1, 4, 473346, 17788.86, 60, 0.00, 1: 70; 2: 25; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 968,  5, 13,  145, 1, 4, 504778, 17788.86, 192, 0.00, 1: 70; 2: 26; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network,  86,  5, 12,  145, 1, 4, 473470, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 104,  5, 13,  145, 1, 4, 504804, 17788.86, 32, 0.00, 1: 70; 2: 25; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 399,  7,  9,  145, 1, 4, 492739, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 253,  5, 13,  145, 1, 4, 504689, 17788.86, 0, 0.00, 1: 65; 2: 35; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 256,  6, 10,  145, 1, 4, 473519, 17788.86, 0, 0.00, 1: 71; 2: 23; 3: 8; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  96,  5, 12,  145, 1, 4, 473452, 17788.86, 5, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 103,  5, 13,  145, 1, 4, 504535, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 827, 10,  6,  145, 1, 4, 473383, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 828,  5, 13,  145, 1, 4, 504840, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 604,  6, 10,  145, 1, 4, 473245, 17788.86, 198, 0.00, 1: 65; 2: 35; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 999,  6, 10,  145, 1, 4, 473492, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 600,  7,  9,  145, 1, 4, 492801, 17788.86, 40, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  49,  5, 12,  145, 1, 4, 473466, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 713,  5, 13,  145, 1, 4, 504846, 17788.86, 148, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  50,  8,  7,  145, 1, 4, 443520, 17788.86, 0, 0.00, 1: 65; 2: 35; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 920,  8,  7,  145, 1, 4, 443520, 17788.86, 144, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 925, 10,  6,  145, 1, 4, 473415, 17788.86, 85, 0.00, 1: 68; 2: 30; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 757,  6, 10,  145, 1, 4, 473125, 17788.86, 0, 0.00, 1: 66; 2: 33; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 911,  5, 13,  145, 1, 4, 504485, 17788.86, 0, 0.00, 1: 66; 2: 33; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 164,  7,  9,  145, 1, 4, 492948, 17788.86, 0, 0.00, 1: 65; 2: 35; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 838,  5, 12,  145, 1, 4, 473462, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 763,  5, 13,  145, 1, 4, 504963, 17788.86, 0, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 765,  5, 13,  145, 1, 4, 504881, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 151,  6, 10,  145, 1, 4, 473072, 17788.86, 0, 0.00, 1: 70; 2: 25; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 903,  7,  9,  145, 1, 4, 492827, 17788.86, 0, 0.00, 1: 70; 2: 26; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network,  58,  5, 11,  145, 1, 4, 435105, 17788.86, 0, 0.00, 1: 71; 2: 24; 3: 6; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 869,  5, 13,  145, 1, 4, 504716, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 711,  6, 10,  145, 1, 4, 473543, 17788.86, 0, 0.00, 1: 65; 2: 36; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 783,  5, 12,  145, 1, 4, 473508, 17788.86, 0, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 706, 10,  6,  145, 1, 4, 473527, 17788.86, 60, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 886,  6, 10,  145, 1, 4, 473545, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 690,  6, 10,  145, 1, 4, 473453, 17788.86, 117, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 688,  7,  9,  145, 1, 4, 492386, 17788.86, 105, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 945,  6, 10,  145, 1, 4, 473365, 17788.86, 0, 0.00, 1: 66; 2: 33; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 794,  6, 10,  145, 1, 4, 473536, 17788.86, 60, 0.00, 1: 65; 2: 35; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  35,  8,  7,  145, 1, 4, 443520, 17788.86, 0, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 662,  7,  8,  145, 1, 4, 443520, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 885,  5, 12,  145, 1, 4, 473295, 17788.86, 0, 0.00, 1: 69; 2: 28; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 873,  6, 10,  145, 1, 4, 473438, 17788.86, 70, 0.00, 1: 67; 2: 32; 3: 2; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 482,  7,  9,  145, 1, 4, 492801, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 354,  5, 13,  145, 1, 4, 504754, 17788.86, 0, 0.00, 1: 66; 2: 33; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 577,  5, 12,  145, 1, 4, 473459, 17788.86, 192, 0.00, 1: 72; 2: 22; 3: 7; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 362,  5, 13,  145, 1, 4, 505046, 17788.86, 67, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 470,  8,  7,  145, 1, 4, 443520, 17788.86, 0, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 349,  5, 13,  145, 1, 4, 504861, 17788.86, 85, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 369,  7,  8,  145, 1, 4, 443520, 17788.86, 0, 0.00, 1: 66; 2: 33; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 370,  5, 13,  145, 1, 4, 504450, 17788.86, 0, 0.00, 1: 69; 2: 27; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 278,  5, 12,  145, 1, 4, 473527, 17788.86, 0, 0.00, 1: 71; 2: 24; 3: 6; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 372,  8,  7,  145, 1, 4, 443520, 17788.86, 0, 0.00, 1: 70; 2: 25; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 374,  5, 13,  145, 1, 4, 504778, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 527, 10,  6,  145, 1, 4, 473390, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 293,  5, 12,  145, 1, 4, 473557, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 523,  6, 10,  145, 1, 4, 473374, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 285,  8,  7,  145, 1, 4, 443520, 17788.86, 85, 0.00, 1: 67; 2: 32; 3: 2; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 392,  7,  8,  145, 1, 4, 443520, 17788.86, 192, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 591, 10,  6,  145, 1, 4, 473397, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 331,  5, 12,  145, 1, 4, 473415, 17788.86, 88, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 283,  5, 12,  145, 1, 4, 473532, 17788.86, 89, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 308, 10,  6,  145, 1, 4, 473411, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 517,  7,  8,  145, 1, 4, 443520, 17788.86, 0, 0.00, 1: 66; 2: 33; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 304,  8,  7,  145, 1, 4, 443520, 17788.86, 105, 0.00, 1: 66; 2: 33; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 510,  5, 11,  145, 1, 4, 435105, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 395,  8,  7,  145, 1, 4, 443520, 17788.86, 88, 0.00, 1: 68; 2: 29; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 743, 10,  6,  146, 1, 4, 473346, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 175,  8,  7,  146, 1, 4, 443520, 17788.86, 0, 0.00, 1: 64; 2: 36; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 755,  7,  8,  146, 1, 4, 443520, 17788.86, 0, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 153,  8,  7,  146, 1, 4, 443520, 17788.86, 156, 0.00, 1: 70; 2: 26; 3: 4; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 132,  5, 11,  146, 1, 4, 435105, 17788.86, 198, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 796,  5, 13,  146, 1, 4, 504898, 17788.86, 198, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 742,  6, 10,  146, 1, 4, 473387, 17788.86, 0, 0.00, 1: 64; 2: 36; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 168,  6, 10,  146, 1, 4, 473526, 17788.86, 32, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 171,  5, 11,  146, 1, 4, 435105, 17788.86, 70, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 214,  7,  8,  146, 1, 4, 443520, 17788.86, 0, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 176,  5, 12,  146, 1, 4, 473424, 17788.86, 255, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 726,  6, 10,  146, 1, 4, 473223, 17788.86, 0, 0.00, 1: 64; 2: 36; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 724,  8,  7,  146, 1, 4, 443520, 17788.86, 198, 0.00, 1: 69; 2: 27; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 184,  7,  9,  146, 1, 4, 492685, 17788.86, 0, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 550, 10,  6,  146, 1, 4, 473275, 17788.86, 0, 0.00, 1: 71; 2: 23; 3: 7; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 286,  7,  9,  146, 1, 4, 492727, 17788.86, 0, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 197,  5, 12,  146, 1, 4, 473391, 17788.86, 85, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 204, 10,  6,  146, 1, 4, 473274, 17788.86, 198, 0.00, 1: 68; 2: 29; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 683,  5, 13,  146, 1, 4, 504378, 17788.86, 70, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 682,  5, 12,  146, 1, 4, 473593, 17788.86, 71, 0.00, 1: 69; 2: 26; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 680,  8,  7,  146, 1, 4, 443520, 17788.86, 32, 0.00, 1: 68; 2: 29; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 595,  5, 12,  146, 1, 4, 473476, 17788.86, 88, 0.00, 1: 67; 2: 31; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 455,  5, 11,  146, 1, 4, 435105, 17788.86, 0, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 995,  5, 12,  146, 1, 4, 473206, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network,  14,  5, 11,  146, 1, 4, 435105, 17788.86, 0, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  16, 10,  6,  146, 1, 4, 473333, 17788.86, 176, 0.00, 1: 65; 2: 34; 3: 3; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 978,  5, 13,  146, 1, 4, 504741, 17788.86, 60, 0.00, 1: 66; 2: 33; 3: 2; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 417,  6, 10,  146, 1, 4, 473585, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 420,  6, 10,  146, 1, 4, 473383, 17788.86, 0, 0.00, 1: 68; 2: 29; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 422,  5, 12,  146, 1, 4, 473444, 17788.86, 0, 0.00, 1: 68; 2: 30; 3: 2; 4: 3; 
MAPK_Cancer_Cell_Fate_Network, 950,  5, 11,  146, 1, 4, 435105, 17788.86, 0, 0.00, 1: 69; 2: 26; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 386,  5, 12,  146, 1, 4, 473456, 17788.86, 105, 0.00, 1: 71; 2: 23; 3: 7; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 934,  5, 12,  146, 1, 4, 473542, 17788.86, 0, 0.00, 1: 69; 2: 27; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 933,  5, 12,  146, 1, 4, 473529, 17788.86, 0, 0.00, 1: 64; 2: 36; 3: 2; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 381,  5, 11,  146, 1, 4, 435105, 17788.86, 0, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 901,  5, 11,  146, 1, 4, 435105, 17788.86, 85, 0.00, 1: 68; 2: 29; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 453,  5, 12,  146, 1, 4, 473561, 17788.86, 85, 0.00, 1: 69; 2: 27; 3: 5; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 367,  6, 10,  146, 1, 4, 473502, 17788.86, 0, 0.00, 1: 65; 2: 35; 3: 1; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 797,  5, 13,  146, 1, 4, 504488, 17788.86, 85, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 458,  5, 13,  146, 1, 4, 504583, 17788.86, 59, 0.00, 1: 68; 2: 29; 3: 4; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 880, 10,  6,  146, 1, 4, 473330, 17788.86, 0, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network,  77, 10,  6,  146, 1, 4, 473465, 17788.86, 85, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 357,  5, 11,  146, 1, 4, 435105, 17788.86, 0, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 871,  7,  9,  146, 1, 4, 492806, 17788.86, 0, 0.00, 1: 67; 2: 31; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 351, 10,  6,  146, 1, 4, 473472, 17788.86, 0, 0.00, 1: 71; 2: 22; 3: 9; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 844,  5, 13,  146, 1, 4, 504833, 17788.86, 198, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 334,  7,  8,  146, 1, 4, 443520, 17788.86, 0, 0.00, 1: 68; 2: 28; 3: 6; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 834,  7,  8,  146, 1, 4, 443520, 17788.86, 60, 0.00, 1: 66; 2: 32; 3: 4; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 493,  7,  9,  146, 1, 4, 492901, 17788.86, 100, 0.00, 1: 67; 2: 31; 3: 3; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 495,  5, 12,  146, 1, 4, 473460, 17788.86, 109, 0.00, 1: 69; 2: 26; 3: 7; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 113,  5, 12,  146, 1, 4, 473422, 17788.86, 0, 0.00, 1: 67; 2: 30; 3: 5; 4: 1; 
MAPK_Cancer_Cell_Fate_Network, 120, 10,  6,  146, 1, 4, 473638, 17788.86, 0, 0.00, 1: 66; 2: 33; 3: 2; 4: 2; 
MAPK_Cancer_Cell_Fate_Network, 508,  5, 11,  146, 1, 4, 435105, 17788.86, 0, 0.00, 1: 70; 2: 25; 3: 6; 4: 2; 
