Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(987)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network,  73,  7,  9,  178, 1, 4, 492805, 18288.16, 162, 0.00, 1: 54; 2: 28; 3: 16; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 637,  7,  8,  195, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 31; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 698,  6, 10,  195, 1, 4, 473429, 18288.16, 0, 0.00, 1: 45; 2: 32; 3: 18; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 561,  5, 12,  195, 1, 4, 473452, 18288.16, 0, 0.00, 1: 46; 2: 31; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 793,  7,  8,  195, 1, 4, 443520, 18288.16, 238, 0.00, 1: 46; 2: 34; 3: 11; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 725,  6, 10,  195, 1, 4, 473453, 18288.16, 85, 0.00, 1: 42; 2: 38; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 552,  8,  7,  195, 1, 4, 443520, 18288.16, 32, 0.00, 1: 46; 2: 33; 3: 13; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 794,  6, 10,  195, 1, 4, 473462, 18288.16, 75, 0.00, 1: 47; 2: 29; 3: 18; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 795, 10,  6,  195, 1, 4, 473398, 18288.16, 86, 0.00, 1: 45; 2: 34; 3: 14; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 726,  6, 10,  195, 1, 4, 473460, 18288.16, 0, 0.00, 1: 46; 2: 32; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 582,  5, 13,  195, 1, 4, 504727, 18288.16, 0, 0.00, 1: 46; 2: 31; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 805,  7,  8,  195, 1, 4, 443520, 18288.16, 0, 0.00, 1: 44; 2: 35; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 754,  7,  8,  195, 1, 4, 443520, 18288.16, 0, 0.00, 1: 44; 2: 33; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 733,  5, 13,  195, 1, 4, 504758, 18288.16, 85, 0.00, 1: 46; 2: 31; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 727, 10,  6,  195, 1, 4, 473449, 18288.16, 0, 0.00, 1: 46; 2: 30; 3: 19; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 537,  6, 10,  195, 1, 4, 473316, 18288.16, 237, 0.00, 1: 46; 2: 30; 3: 19; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 667, 10,  6,  195, 1, 4, 473435, 18288.16, 86, 0.00, 1: 42; 2: 38; 3: 15; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 963,  5, 13,  195, 1, 4, 504724, 18288.16, 86, 0.00, 1: 47; 2: 29; 3: 18; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 163,  5, 13,  195, 1, 4, 504556, 18288.16, 0, 0.00, 1: 50; 2: 25; 3: 17; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 424,  5, 11,  195, 1, 4, 435105, 18288.16, 32, 0.00, 1: 46; 2: 32; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 235,  7,  8,  195, 1, 4, 443520, 18288.16, 77, 0.00, 1: 48; 2: 30; 3: 13; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 342, 10,  6,  195, 1, 4, 473398, 18288.16, 0, 0.00, 1: 48; 2: 27; 3: 19; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 312,  5, 11,  195, 1, 4, 435105, 18288.16, 0, 0.00, 1: 39; 2: 43; 3: 14; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 105, 10,  6,  195, 1, 4, 473415, 18288.16, 65, 0.00, 1: 48; 2: 26; 3: 21; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 151,  6, 10,  195, 1, 4, 473270, 18288.16, 0, 0.00, 1: 47; 2: 28; 3: 20; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 171,  5, 11,  195, 1, 4, 435105, 18288.16, 70, 0.00, 1: 47; 2: 28; 3: 20; 4: 8; 
MAPK_Cancer_Cell_Fate_Network,  34,  5, 11,  195, 1, 4, 435105, 18288.16, 0, 0.00, 1: 47; 2: 29; 3: 18; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 477,  7,  8,  195, 1, 4, 443520, 18288.16, 85, 0.00, 1: 42; 2: 35; 3: 21; 4: 5; 
MAPK_Cancer_Cell_Fate_Network, 120, 10,  6,  195, 1, 4, 473347, 18288.16, 0, 0.00, 1: 48; 2: 30; 3: 13; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 296,  5, 12,  195, 1, 4, 473452, 18288.16, 32, 0.00, 1: 39; 2: 42; 3: 16; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 280,  5, 13,  195, 1, 4, 504711, 18288.16, 232, 0.00, 1: 45; 2: 35; 3: 12; 4: 11; 
MAPK_Cancer_Cell_Fate_Network,  31,  7,  9,  195, 1, 4, 492729, 18288.16, 0, 0.00, 1: 48; 2: 27; 3: 19; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 462, 10,  6,  195, 1, 4, 473359, 18288.16, 0, 0.00, 1: 47; 2: 28; 3: 20; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 291,  5, 11,  195, 1, 4, 435105, 18288.16, 0, 0.00, 1: 50; 2: 25; 3: 17; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 249,  5, 12,  195, 1, 4, 473449, 18288.16, 0, 0.00, 1: 44; 2: 34; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 121,  7,  8,  195, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 29; 3: 18; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 665,  6, 10,  196, 1, 4, 473452, 18288.16, 238, 0.00, 1: 46; 2: 29; 3: 20; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 350,  7,  9,  196, 1, 4, 492666, 18288.16, 0, 0.00, 1: 47; 2: 28; 3: 19; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 221,  6, 10,  196, 1, 4, 473451, 18288.16, 85, 0.00, 1: 48; 2: 28; 3: 16; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 233,  8,  7,  196, 1, 4, 443520, 18288.16, 65, 0.00, 1: 45; 2: 35; 3: 11; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 155,  5, 13,  196, 1, 4, 504639, 18288.16, 86, 0.00, 1: 45; 2: 30; 3: 21; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 453,  5, 12,  196, 1, 4, 473418, 18288.16, 85, 0.00, 1: 45; 2: 33; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 756,  6, 10,  196, 1, 4, 473448, 18288.16, 0, 0.00, 1: 45; 2: 33; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 459,  5, 11,  196, 1, 4, 435105, 18288.16, 86, 0.00, 1: 48; 2: 28; 3: 16; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 688,  7,  9,  196, 1, 4, 492721, 18288.16, 105, 0.00, 1: 45; 2: 33; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 332,  5, 12,  196, 1, 4, 473386, 18288.16, 237, 0.00, 1: 43; 2: 36; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 330,  5, 12,  196, 1, 4, 473436, 18288.16, 120, 0.00, 1: 45; 2: 31; 3: 19; 4: 8; 
MAPK_Cancer_Cell_Fate_Network,  77, 10,  6,  196, 1, 4, 473422, 18288.16, 85, 0.00, 1: 47; 2: 30; 3: 15; 4: 11; 
MAPK_Cancer_Cell_Fate_Network,  82,  5, 11,  196, 1, 4, 435105, 18288.16, 119, 0.00, 1: 46; 2: 33; 3: 12; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 964, 10,  6,  196, 1, 4, 473364, 18288.16, 237, 0.00, 1: 49; 2: 30; 3: 9; 4: 15; 
MAPK_Cancer_Cell_Fate_Network,  80,  5, 13,  196, 1, 4, 504537, 18288.16, 16, 0.00, 1: 47; 2: 30; 3: 15; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 183,  5, 12,  196, 1, 4, 473415, 18288.16, 255, 0.00, 1: 47; 2: 29; 3: 17; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 910,  5, 12,  196, 1, 4, 473427, 18288.16, 0, 0.00, 1: 44; 2: 34; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 640,  5, 11,  196, 1, 4, 435105, 18288.16, 176, 0.00, 1: 43; 2: 33; 3: 21; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 413,  6, 10,  196, 1, 4, 473450, 18288.16, 85, 0.00, 1: 45; 2: 33; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 178, 10,  6,  196, 1, 4, 473380, 18288.16, 255, 0.00, 1: 45; 2: 31; 3: 19; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 352,  7,  8,  196, 1, 4, 443520, 18288.16, 6, 0.00, 1: 42; 2: 35; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 366, 10,  6,  196, 1, 4, 473444, 18288.16, 0, 0.00, 1: 45; 2: 35; 3: 11; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 175,  8,  7,  196, 1, 4, 443520, 18288.16, 0, 0.00, 1: 42; 2: 38; 3: 14; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 652,  5, 13,  196, 1, 4, 504592, 18288.16, 237, 0.00, 1: 43; 2: 34; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,  42,  5, 13,  196, 1, 4, 504657, 18288.16, 75, 0.00, 1: 46; 2: 33; 3: 12; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 590,  5, 13,  196, 1, 4, 504643, 18288.16, 0, 0.00, 1: 45; 2: 32; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  97,  5, 13,  196, 1, 4, 504730, 18288.16, 0, 0.00, 1: 44; 2: 35; 3: 14; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 354,  5, 13,  196, 1, 4, 504592, 18288.16, 0, 0.00, 1: 47; 2: 30; 3: 15; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 854,  8,  7,  196, 1, 4, 443520, 18288.16, 0, 0.00, 1: 45; 2: 33; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 706, 10,  6,  196, 1, 4, 473460, 18288.16, 75, 0.00, 1: 43; 2: 34; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 258,  6, 10,  196, 1, 4, 473474, 18288.16, 0, 0.00, 1: 43; 2: 34; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 486, 10,  6,  196, 1, 4, 473333, 18288.16, 0, 0.00, 1: 47; 2: 29; 3: 17; 4: 10; 
MAPK_Cancer_Cell_Fate_Network,   3,  7,  8,  196, 1, 4, 443520, 18288.16, 87, 0.00, 1: 44; 2: 34; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 542, 10,  6,  196, 1, 4, 473416, 18288.16, 0, 0.00, 1: 47; 2: 30; 3: 15; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 938,  5, 12,  196, 1, 4, 473423, 18288.16, 0, 0.00, 1: 45; 2: 33; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 710,  8,  7,  196, 1, 4, 443520, 18288.16, 0, 0.00, 1: 44; 2: 32; 3: 20; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 713,  5, 13,  196, 1, 4, 504656, 18288.16, 228, 0.00, 1: 44; 2: 34; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 714,  7,  8,  196, 1, 4, 443520, 18288.16, 75, 0.00, 1: 43; 2: 36; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 995,  5, 12,  196, 1, 4, 473344, 18288.16, 0, 0.00, 1: 44; 2: 33; 3: 18; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 718,  6, 10,  196, 1, 4, 473490, 18288.16, 0, 0.00, 1: 44; 2: 35; 3: 14; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 255,  5, 13,  196, 1, 4, 504672, 18288.16, 0, 0.00, 1: 43; 2: 35; 3: 17; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 293,  5, 12,  196, 1, 4, 473432, 18288.16, 0, 0.00, 1: 46; 2: 33; 3: 12; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 472,  5, 13,  196, 1, 4, 504663, 18288.16, 168, 0.00, 1: 50; 2: 25; 3: 16; 4: 12; 
MAPK_Cancer_Cell_Fate_Network,  70,  5, 13,  196, 1, 4, 504722, 18288.16, 0, 0.00, 1: 48; 2: 27; 3: 18; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 136,  8,  7,  197, 1, 4, 443520, 18288.16, 80, 0.00, 1: 45; 2: 29; 3: 22; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 360,  5, 12,  197, 1, 4, 473347, 18288.16, 32, 0.00, 1: 43; 2: 34; 3: 18; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 895,  5, 11,  197, 1, 4, 435105, 18288.16, 0, 0.00, 1: 44; 2: 35; 3: 13; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 531,  5, 12,  197, 1, 4, 473341, 18288.16, 0, 0.00, 1: 47; 2: 30; 3: 14; 4: 12; 
MAPK_Cancer_Cell_Fate_Network,  99,  8,  7,  197, 1, 4, 443520, 18288.16, 0, 0.00, 1: 44; 2: 34; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 261,  5, 13,  197, 1, 4, 504624, 18288.16, 0, 0.00, 1: 41; 2: 36; 3: 20; 4: 6; 
MAPK_Cancer_Cell_Fate_Network,  68,  5, 12,  197, 1, 4, 473371, 18288.16, 237, 0.00, 1: 48; 2: 27; 3: 17; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 494,  7,  8,  197, 1, 4, 443520, 18288.16, 97, 0.00, 1: 50; 2: 25; 3: 15; 4: 13; 
MAPK_Cancer_Cell_Fate_Network, 422,  5, 12,  197, 1, 4, 473448, 18288.16, 0, 0.00, 1: 49; 2: 25; 3: 18; 4: 11; 
MAPK_Cancer_Cell_Fate_Network,  81,  5, 11,  197, 1, 4, 435105, 18288.16, 162, 0.00, 1: 46; 2: 27; 3: 23; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 201,  8,  7,  197, 1, 4, 443520, 18288.16, 84, 0.00, 1: 48; 2: 26; 3: 19; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 978,  5, 13,  197, 1, 4, 504760, 18288.16, 75, 0.00, 1: 44; 2: 37; 3: 9; 4: 13; 
MAPK_Cancer_Cell_Fate_Network, 407,  5, 12,  197, 1, 4, 473457, 18288.16, 0, 0.00, 1: 47; 2: 27; 3: 20; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 635,  5, 13,  197, 1, 4, 504632, 18288.16, 0, 0.00, 1: 44; 2: 35; 3: 13; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 101,  5, 12,  197, 1, 4, 473404, 18288.16, 0, 0.00, 1: 47; 2: 27; 3: 20; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 498, 10,  6,  197, 1, 4, 473384, 18288.16, 101, 0.00, 1: 47; 2: 29; 3: 16; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 757,  6, 10,  197, 1, 4, 473459, 18288.16, 0, 0.00, 1: 44; 2: 30; 3: 23; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 686,  7,  9,  197, 1, 4, 492671, 18288.16, 115, 0.00, 1: 43; 2: 36; 3: 14; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 132,  5, 11,  197, 1, 4, 435105, 18288.16, 237, 0.00, 1: 46; 2: 28; 3: 21; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 458,  5, 13,  197, 1, 4, 504607, 18288.16, 75, 0.00, 1: 48; 2: 25; 3: 21; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  85,  5, 13,  197, 1, 4, 504666, 18288.16, 85, 0.00, 1: 42; 2: 37; 3: 15; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  61,  5, 13,  197, 1, 4, 504572, 18288.16, 85, 0.00, 1: 47; 2: 28; 3: 18; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 683,  5, 13,  197, 1, 4, 504654, 18288.16, 70, 0.00, 1: 49; 2: 28; 3: 12; 4: 14; 
MAPK_Cancer_Cell_Fate_Network, 926,  7,  9,  197, 1, 4, 492841, 18288.16, 0, 0.00, 1: 48; 2: 26; 3: 19; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 481, 10,  6,  197, 1, 4, 473378, 18288.16, 0, 0.00, 1: 48; 2: 25; 3: 21; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 253,  5, 13,  197, 1, 4, 504707, 18288.16, 0, 0.00, 1: 45; 2: 32; 3: 16; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 690,  6, 10,  197, 1, 4, 473457, 18288.16, 117, 0.00, 1: 45; 2: 31; 3: 18; 4: 9; 
MAPK_Cancer_Cell_Fate_Network,  51,  5, 11,  197, 1, 4, 435105, 18288.16, 0, 0.00, 1: 50; 2: 22; 3: 21; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 541,  5, 12,  197, 1, 4, 473403, 18288.16, 85, 0.00, 1: 47; 2: 31; 3: 12; 4: 13; 
MAPK_Cancer_Cell_Fate_Network, 936, 10,  6,  197, 1, 4, 473473, 18288.16, 30, 0.00, 1: 48; 2: 28; 3: 15; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 772,  7,  8,  197, 1, 4, 443520, 18288.16, 237, 0.00, 1: 38; 2: 43; 3: 15; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 158,  5, 11,  197, 1, 4, 435105, 18288.16, 0, 0.00, 1: 40; 2: 38; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 905,  7,  8,  197, 1, 4, 443520, 18288.16, 229, 0.00, 1: 46; 2: 33; 3: 11; 4: 13; 
MAPK_Cancer_Cell_Fate_Network, 897,  6, 10,  197, 1, 4, 473378, 18288.16, 229, 0.00, 1: 44; 2: 33; 3: 17; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 775, 10,  6,  197, 1, 4, 473405, 18288.16, 0, 0.00, 1: 46; 2: 28; 3: 21; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 802,  8,  7,  198, 1, 4, 443520, 18288.16, 0, 0.00, 1: 47; 2: 28; 3: 17; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 397, 10,  6,  198, 1, 4, 473398, 18288.16, 85, 0.00, 1: 43; 2: 33; 3: 19; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 968,  5, 13,  198, 1, 4, 504591, 18288.16, 192, 0.00, 1: 50; 2: 25; 3: 14; 4: 14; 
MAPK_Cancer_Cell_Fate_Network, 389, 10,  6,  198, 1, 4, 473444, 18288.16, 85, 0.00, 1: 44; 2: 33; 3: 16; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 729,  5, 12,  198, 1, 4, 473413, 18288.16, 238, 0.00, 1: 45; 2: 31; 3: 17; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 383,  5, 11,  198, 1, 4, 435105, 18288.16, 0, 0.00, 1: 45; 2: 28; 3: 23; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 791,  5, 12,  198, 1, 4, 473426, 18288.16, 0, 0.00, 1: 50; 2: 25; 3: 14; 4: 14; 
MAPK_Cancer_Cell_Fate_Network, 739, 10,  6,  198, 1, 4, 473372, 18288.16, 0, 0.00, 1: 44; 2: 33; 3: 16; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 944,  5, 12,  198, 1, 4, 473408, 18288.16, 51, 0.00, 1: 45; 2: 30; 3: 19; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 306,  5, 13,  198, 1, 4, 504601, 18288.16, 32, 0.00, 1: 43; 2: 37; 3: 11; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 682,  5, 12,  198, 1, 4, 473428, 18288.16, 71, 0.00, 1: 42; 2: 38; 3: 12; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 219,  7,  8,  198, 1, 4, 443520, 18288.16, 86, 0.00, 1: 45; 2: 31; 3: 17; 4: 10; 
MAPK_Cancer_Cell_Fate_Network,  74,  5, 12,  198, 1, 4, 473432, 18288.16, 119, 0.00, 1: 47; 2: 27; 3: 19; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 365,  5, 13,  198, 1, 4, 504696, 18288.16, 32, 0.00, 1: 46; 2: 27; 3: 22; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 702,  5, 11,  198, 1, 4, 435105, 18288.16, 0, 0.00, 1: 43; 2: 35; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 920,  8,  7,  198, 1, 4, 443520, 18288.16, 144, 0.00, 1: 44; 2: 33; 3: 16; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 434,  5, 13,  198, 1, 4, 504711, 18288.16, 0, 0.00, 1: 42; 2: 36; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 420,  6, 10,  198, 1, 4, 473444, 18288.16, 0, 0.00, 1: 45; 2: 31; 3: 17; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 562,  7,  8,  198, 1, 4, 443520, 18288.16, 0, 0.00, 1: 41; 2: 36; 3: 19; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 822,  5, 12,  198, 1, 4, 473424, 18288.16, 0, 0.00, 1: 42; 2: 36; 3: 16; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 177,  7,  8,  198, 1, 4, 443520, 18288.16, 255, 0.00, 1: 40; 2: 39; 3: 16; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 142,  5, 11,  198, 1, 4, 435105, 18288.16, 0, 0.00, 1: 46; 2: 26; 3: 24; 4: 7; 
MAPK_Cancer_Cell_Fate_Network, 874,  5, 11,  198, 1, 4, 435105, 18288.16, 71, 0.00, 1: 47; 2: 28; 3: 17; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 169,  7,  8,  198, 1, 4, 443520, 18288.16, 65, 0.00, 1: 39; 2: 39; 3: 19; 4: 6; 
MAPK_Cancer_Cell_Fate_Network, 181,  6, 10,  198, 1, 4, 473367, 18288.16, 255, 0.00, 1: 45; 2: 31; 3: 17; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 550, 10,  6,  198, 1, 4, 473426, 18288.16, 0, 0.00, 1: 47; 2: 25; 3: 23; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 574,  7,  8,  198, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 28; 3: 20; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 480,  5, 11,  198, 1, 4, 435105, 18288.16, 12, 0.00, 1: 44; 2: 33; 3: 16; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 484,  5, 12,  198, 1, 4, 473464, 18288.16, 0, 0.00, 1: 46; 2: 30; 3: 16; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 119,  6, 10,  198, 1, 4, 473427, 18288.16, 0, 0.00, 1: 49; 2: 24; 3: 19; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 485,  6, 10,  198, 1, 4, 473409, 18288.16, 0, 0.00, 1: 47; 2: 25; 3: 23; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 869,  5, 13,  198, 1, 4, 504675, 18288.16, 0, 0.00, 1: 48; 2: 27; 3: 16; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 446,  5, 12,  198, 1, 4, 473371, 18288.16, 0, 0.00, 1: 46; 2: 30; 3: 16; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 402,  7,  8,  198, 1, 4, 443520, 18288.16, 120, 0.00, 1: 42; 2: 35; 3: 18; 4: 8; 
MAPK_Cancer_Cell_Fate_Network, 100,  5, 11,  198, 1, 4, 435105, 18288.16, 0, 0.00, 1: 45; 2: 30; 3: 19; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 443,  5, 12,  198, 1, 4, 473437, 18288.16, 0, 0.00, 1: 46; 2: 31; 3: 14; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 194,  5, 12,  198, 1, 4, 473415, 18288.16, 120, 0.00, 1: 43; 2: 32; 3: 21; 4: 7; 
MAPK_Cancer_Cell_Fate_Network,  72,  7,  9,  199, 1, 4, 492743, 18288.16, 16, 0.00, 1: 46; 2: 29; 3: 17; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 769,  5, 12,  199, 1, 4, 473439, 18288.16, 156, 0.00, 1: 48; 2: 26; 3: 17; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 712,  5, 12,  199, 1, 4, 473359, 18288.16, 0, 0.00, 1: 44; 2: 31; 3: 19; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 655,  5, 11,  199, 1, 4, 435105, 18288.16, 0, 0.00, 1: 46; 2: 30; 3: 15; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 876,  7,  8,  199, 1, 4, 443520, 18288.16, 82, 0.00, 1: 45; 2: 30; 3: 18; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 338,  7,  8,  199, 1, 4, 443520, 18288.16, 120, 0.00, 1: 47; 2: 27; 3: 18; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 154,  7,  9,  199, 1, 4, 492752, 18288.16, 75, 0.00, 1: 47; 2: 27; 3: 18; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 804,  5, 11,  199, 1, 4, 435105, 18288.16, 0, 0.00, 1: 42; 2: 36; 3: 15; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 717,  5, 11,  199, 1, 4, 435105, 18288.16, 85, 0.00, 1: 44; 2: 34; 3: 13; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 501,  7,  8,  199, 1, 4, 443520, 18288.16, 0, 0.00, 1: 46; 2: 27; 3: 21; 4: 9; 
MAPK_Cancer_Cell_Fate_Network, 368,  5, 12,  199, 1, 4, 473469, 18288.16, 0, 0.00, 1: 46; 2: 28; 3: 19; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 217,  7,  8,  199, 1, 4, 443520, 18288.16, 236, 0.00, 1: 48; 2: 25; 3: 19; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 463,  5, 11,  199, 1, 4, 435105, 18288.16, 0, 0.00, 1: 46; 2: 28; 3: 19; 4: 10; 
MAPK_Cancer_Cell_Fate_Network, 377, 10,  6,  199, 1, 4, 473421, 18288.16, 0, 0.00, 1: 48; 2: 26; 3: 17; 4: 12; 
MAPK_Cancer_Cell_Fate_Network, 393,  5, 13,  199, 1, 4, 504613, 18288.16, 167, 0.00, 1: 45; 2: 31; 3: 16; 4: 11; 
MAPK_Cancer_Cell_Fate_Network, 113,  5, 12,  199, 1, 4, 473396, 18288.16, 0, 0.00, 1: 45; 2: 31; 3: 16; 4: 11; 
