Seed 1656949570
ARCH 0|F_ID 2|LIMIT 3
before: 
03(883)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 503,  7,  7,  101, 1, 3, 381964, 12166.34, 0, 0.00, 1: 37; 2: 20; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  24,  9,  5,  117, 1, 3, 355038, 12166.34, 192, 0.00, 1: 25; 2: 28; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 317,  5,  9,  117, 1, 3, 355061, 12166.34, 0, 0.00, 1: 27; 2: 24; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 637,  5,  9,  117, 1, 3, 355053, 12166.34, 0, 0.00, 1: 28; 2: 22; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 314,  7,  7,  117, 1, 3, 381993, 12166.34, 0, 0.00, 1: 29; 2: 20; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 842,  9,  5,  117, 1, 3, 355056, 12166.34, 195, 0.00, 1: 29; 2: 20; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 308,  8,  6,  117, 1, 3, 375645, 12166.34, 25, 0.00, 1: 31; 2: 16; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 557,  5,  9,  117, 1, 3, 355054, 12166.34, 32, 0.00, 1: 28; 2: 22; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca,  41,  5, 10,  117, 1, 3, 388851, 12166.34, 48, 0.00, 1: 29; 2: 20; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 407,  5,  9,  117, 1, 3, 355047, 12166.34, 0, 0.00, 1: 26; 2: 26; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 826,  7,  7,  117, 1, 3, 381923, 12166.34, 0, 0.00, 1: 28; 2: 22; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 847,  6,  8,  117, 1, 3, 375606, 12166.34, 0, 0.00, 1: 25; 2: 28; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 502,  5, 10,  117, 1, 3, 388917, 12166.34, 0, 0.00, 1: 27; 2: 24; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 169,  5,  9,  117, 1, 3, 355064, 12166.34, 65, 0.00, 1: 30; 2: 18; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 544,  5,  9,  117, 1, 3, 355047, 12166.34, 6, 0.00, 1: 25; 2: 28; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 456,  9,  5,  117, 1, 3, 355034, 12166.34, 16, 0.00, 1: 27; 2: 24; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 756,  5,  9,  117, 1, 3, 355043, 12166.34, 32, 0.00, 1: 30; 2: 18; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,   0,  6,  8,  117, 1, 3, 375607, 12166.34, 0, 0.00, 1: 29; 2: 20; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,   2,  8,  6,  117, 1, 3, 375759, 12166.34, 103, 0.00, 1: 27; 2: 24; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 525,  5,  9,  117, 1, 3, 355055, 12166.34, 0, 0.00, 1: 28; 2: 22; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 662,  6,  8,  117, 1, 3, 375636, 12166.34, 0, 0.00, 1: 25; 2: 28; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca,  83,  9,  5,  117, 1, 3, 355043, 12166.34, 42, 0.00, 1: 30; 2: 18; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,  33,  5, 10,  117, 1, 3, 388932, 12166.34, 0, 0.00, 1: 30; 2: 18; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 830,  9,  5,  117, 1, 3, 355052, 12166.34, 0, 0.00, 1: 30; 2: 18; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 425,  5, 10,  117, 1, 3, 388754, 12166.34, 65, 0.00, 1: 28; 2: 22; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca,  62,  6,  8,  117, 1, 3, 375658, 12166.34, 0, 0.00, 1: 28; 2: 22; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 655,  9,  5,  117, 1, 3, 355044, 12166.34, 0, 0.00, 1: 26; 2: 26; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 227,  7,  7,  118, 1, 3, 381936, 12166.34, 0, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 860,  9,  5,  118, 1, 3, 354916, 12166.34, 241, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 272,  5, 10,  118, 1, 3, 388895, 12166.34, 80, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 419,  9,  5,  118, 1, 3, 355056, 12166.34, 0, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca,   9,  9,  5,  118, 1, 3, 355055, 12166.34, 34, 0.00, 1: 29; 2: 19; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 859,  9,  5,  118, 1, 3, 355006, 12166.34, 42, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 134,  5,  9,  118, 1, 3, 355034, 12166.34, 0, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 533,  6,  8,  118, 1, 3, 375644, 12166.34, 0, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 733,  5, 10,  118, 1, 3, 388878, 12166.34, 85, 0.00, 1: 29; 2: 19; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 663,  9,  5,  118, 1, 3, 355066, 12166.34, 0, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 583,  9,  5,  118, 1, 3, 355045, 12166.34, 0, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 625,  5, 10,  118, 1, 3, 388907, 12166.34, 0, 0.00, 1: 27; 2: 23; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 560,  4, 11,  118, 1, 3, 347182, 12166.34, 28, 0.00, 1: 29; 2: 19; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 653,  4, 11,  118, 1, 3, 347182, 12166.34, 0, 0.00, 1: 29; 2: 19; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 862,  6,  8,  118, 1, 3, 375691, 12166.34, 0, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 357,  8,  6,  118, 1, 3, 375624, 12166.34, 0, 0.00, 1: 30; 2: 17; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 376,  5,  9,  118, 1, 3, 355067, 12166.34, 0, 0.00, 1: 26; 2: 25; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 770,  6,  8,  118, 1, 3, 375664, 12166.34, 75, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 891,  5,  9,  118, 1, 3, 355055, 12166.34, 0, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 481,  5,  9,  118, 1, 3, 355044, 12166.34, 0, 0.00, 1: 25; 2: 27; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 573,  5, 10,  118, 1, 3, 388867, 12166.34, 0, 0.00, 1: 30; 2: 17; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 152,  7,  7,  118, 1, 3, 381978, 12166.34, 120, 0.00, 1: 30; 2: 17; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 817,  5, 10,  118, 1, 3, 388931, 12166.34, 0, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 907,  8,  6,  118, 1, 3, 375645, 12166.34, 42, 0.00, 1: 30; 2: 17; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 930,  9,  5,  118, 1, 3, 355052, 12166.34, 0, 0.00, 1: 27; 2: 23; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 926,  5, 10,  118, 1, 3, 388916, 12166.34, 0, 0.00, 1: 26; 2: 25; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 136,  9,  5,  118, 1, 3, 355047, 12166.34, 112, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 664,  5,  9,  119, 1, 3, 355045, 12166.34, 120, 0.00, 1: 27; 2: 22; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 282,  6,  8,  119, 1, 3, 375615, 12166.34, 75, 0.00, 1: 26; 2: 24; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 241,  4, 12,  119, 1, 3, 375677, 12166.34, 0, 0.00, 1: 28; 2: 20; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 720,  8,  6,  119, 1, 3, 375596, 12166.34, 144, 0.00, 1: 25; 2: 26; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 372,  8,  6,  119, 1, 3, 375666, 12166.34, 16, 0.00, 1: 27; 2: 22; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 307,  9,  5,  119, 1, 3, 355028, 12166.34, 0, 0.00, 1: 29; 2: 18; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 100,  4, 11,  119, 1, 3, 347182, 12166.34, 0, 0.00, 1: 24; 2: 28; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 157,  9,  5,  119, 1, 3, 355059, 12166.34, 85, 0.00, 1: 31; 2: 14; 3: 20; 
Treatment_of_Castration-Resistant_Prostate_Ca, 184,  5,  9,  119, 1, 3, 355042, 12166.34, 0, 0.00, 1: 26; 2: 24; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 110,  6,  8,  119, 1, 3, 375608, 12166.34, 0, 0.00, 1: 23; 2: 30; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 689,  5,  9,  119, 1, 3, 355050, 12166.34, 108, 0.00, 1: 28; 2: 20; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 329,  4, 12,  119, 1, 3, 375660, 12166.34, 10, 0.00, 1: 28; 2: 20; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,  36,  9,  5,  119, 1, 3, 355047, 12166.34, 0, 0.00, 1: 29; 2: 18; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 764,  4, 11,  119, 1, 3, 347182, 12166.34, 1, 0.00, 1: 27; 2: 22; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 316,  9,  5,  119, 1, 3, 355058, 12166.34, 2, 0.00, 1: 29; 2: 18; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 828,  9,  5,  119, 1, 3, 355054, 12166.34, 0, 0.00, 1: 24; 2: 28; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 953,  5, 10,  119, 1, 3, 388857, 12166.34, 0, 0.00, 1: 30; 2: 16; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 310,  4, 12,  119, 1, 3, 375640, 12166.34, 0, 0.00, 1: 25; 2: 26; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 220,  5,  9,  119, 1, 3, 355294, 12166.34, 241, 0.00, 1: 27; 2: 22; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 165,  9,  5,  119, 1, 3, 355034, 12166.34, 0, 0.00, 1: 26; 2: 24; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 599,  9,  5,  119, 1, 3, 355044, 12166.34, 0, 0.00, 1: 27; 2: 22; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 872,  5, 10,  120, 1, 3, 388903, 12166.34, 32, 0.00, 1: 28; 2: 19; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 491,  6,  8,  120, 1, 3, 375613, 12166.34, 68, 0.00, 1: 27; 2: 21; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 709,  4, 11,  120, 1, 3, 347182, 12166.34, 85, 0.00, 1: 26; 2: 23; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 360,  9,  5,  120, 1, 3, 355053, 12166.34, 32, 0.00, 1: 26; 2: 23; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 331,  8,  6,  120, 1, 3, 375654, 12166.34, 42, 0.00, 1: 26; 2: 23; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 581,  4, 12,  120, 1, 3, 375631, 12166.34, 85, 0.00, 1: 27; 2: 21; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 554,  4, 11,  120, 1, 3, 347182, 12166.34, 67, 0.00, 1: 30; 2: 15; 3: 20; 
Treatment_of_Castration-Resistant_Prostate_Ca, 379,  5,  9,  120, 1, 3, 355040, 12166.34, 0, 0.00, 1: 25; 2: 25; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 704,  4, 12,  120, 1, 3, 375570, 12166.34, 128, 0.00, 1: 27; 2: 21; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 892,  9,  5,  120, 1, 3, 355054, 12166.34, 0, 0.00, 1: 28; 2: 19; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 421,  5,  9,  120, 1, 3, 355047, 12166.34, 0, 0.00, 1: 26; 2: 23; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 526,  4, 11,  120, 1, 3, 347182, 12166.34, 0, 0.00, 1: 25; 2: 25; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 792,  5, 10,  120, 1, 3, 388881, 12166.34, 248, 0.00, 1: 30; 2: 15; 3: 20; 
Treatment_of_Castration-Resistant_Prostate_Ca, 921,  5,  9,  120, 1, 3, 355047, 12166.34, 21, 0.00, 1: 26; 2: 23; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 338,  4, 12,  120, 1, 3, 375641, 12166.34, 75, 0.00, 1: 27; 2: 21; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 269,  5, 10,  120, 1, 3, 388863, 12166.34, 85, 0.00, 1: 28; 2: 19; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 868,  5, 10,  120, 1, 3, 388844, 12166.34, 0, 0.00, 1: 24; 2: 27; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca,  68,  5, 10,  120, 1, 3, 388939, 12166.34, 241, 0.00, 1: 25; 2: 25; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 651,  5, 10,  121, 1, 3, 388809, 12166.34, 0, 0.00, 1: 22; 2: 30; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 141,  4, 12,  121, 1, 3, 375677, 12166.34, 85, 0.00, 1: 27; 2: 20; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 985,  4, 12,  121, 1, 3, 375609, 12166.34, 21, 0.00, 1: 25; 2: 24; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 861,  4, 12,  121, 1, 3, 375645, 12166.34, 85, 0.00, 1: 25; 2: 24; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 942,  5, 10,  121, 1, 3, 388840, 12166.34, 69, 0.00, 1: 26; 2: 22; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 451,  9,  5,  121, 1, 3, 355054, 12166.34, 42, 0.00, 1: 26; 2: 22; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 475,  5, 10,  121, 1, 3, 388892, 12166.34, 42, 0.00, 1: 27; 2: 20; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 345,  5,  9,  121, 1, 3, 355056, 12166.34, 19, 0.00, 1: 26; 2: 22; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 976,  5, 10,  121, 1, 3, 388882, 12166.34, 64, 0.00, 1: 26; 2: 22; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 620,  5, 10,  121, 1, 3, 388938, 12166.34, 49, 0.00, 1: 25; 2: 24; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 803,  4, 12,  121, 1, 3, 375652, 12166.34, 0, 0.00, 1: 26; 2: 22; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 128,  4, 12,  121, 1, 3, 375653, 12166.34, 80, 0.00, 1: 25; 2: 24; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 603,  4, 12,  121, 1, 3, 375649, 12166.34, 42, 0.00, 1: 26; 2: 22; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 636,  4, 12,  121, 1, 3, 375658, 12166.34, 1, 0.00, 1: 26; 2: 22; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 124,  4, 12,  121, 1, 3, 375679, 12166.34, 0, 0.00, 1: 28; 2: 18; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 812,  5, 10,  121, 1, 3, 388946, 12166.34, 82, 0.00, 1: 26; 2: 22; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 309,  9,  5,  121, 1, 3, 355043, 12166.34, 0, 0.00, 1: 31; 2: 12; 3: 22; 
Treatment_of_Castration-Resistant_Prostate_Ca, 787,  5, 10,  121, 1, 3, 388868, 12166.34, 42, 0.00, 1: 27; 2: 20; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 195,  4, 11,  121, 1, 3, 347182, 12166.34, 42, 0.00, 1: 29; 2: 16; 3: 20; 
Treatment_of_Castration-Resistant_Prostate_Ca, 789,  5,  9,  122, 1, 3, 355055, 12166.34, 85, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 882,  4, 11,  122, 1, 3, 347182, 12166.34, 0, 0.00, 1: 23; 2: 27; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 835,  9,  5,  122, 1, 3, 355046, 12166.34, 41, 0.00, 1: 26; 2: 21; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 715,  5,  9,  122, 1, 3, 355054, 12166.34, 42, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 779,  4, 12,  122, 1, 3, 375659, 12166.34, 42, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 438,  5,  9,  122, 1, 3, 355039, 12166.34, 0, 0.00, 1: 29; 2: 15; 3: 21; 
Treatment_of_Castration-Resistant_Prostate_Ca, 980,  7,  7,  122, 1, 3, 381913, 12166.34, 241, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 501,  4, 12,  122, 1, 3, 375694, 12166.34, 0, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 508,  4, 11,  122, 1, 3, 347182, 12166.34, 0, 0.00, 1: 27; 2: 19; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 486,  4, 12,  122, 1, 3, 375665, 12166.34, 0, 0.00, 1: 26; 2: 21; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 293,  6,  8,  122, 1, 3, 375656, 12166.34, 0, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 478,  5,  9,  122, 1, 3, 355066, 12166.34, 0, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 970,  4, 11,  122, 1, 3, 347182, 12166.34, 195, 0.00, 1: 26; 2: 21; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 474,  4, 11,  122, 1, 3, 347182, 12166.34, 75, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,  64,  4, 12,  122, 1, 3, 375646, 12166.34, 96, 0.00, 1: 24; 2: 25; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 335,  4, 11,  122, 1, 3, 347182, 12166.34, 0, 0.00, 1: 27; 2: 19; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 540,  4, 12,  122, 1, 3, 375596, 12166.34, 241, 0.00, 1: 26; 2: 21; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 570,  4, 11,  122, 1, 3, 347182, 12166.34, 0, 0.00, 1: 27; 2: 19; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 257,  4, 12,  122, 1, 3, 375634, 12166.34, 10, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 363,  5, 10,  122, 1, 3, 388885, 12166.34, 68, 0.00, 1: 23; 2: 27; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 182,  5,  9,  122, 1, 3, 355019, 12166.34, 0, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 608,  4, 12,  122, 1, 3, 375648, 12166.34, 8, 0.00, 1: 23; 2: 27; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 432,  4, 12,  122, 1, 3, 375585, 12166.34, 110, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 611,  4, 12,  122, 1, 3, 375591, 12166.34, 0, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 212,  8,  6,  122, 1, 3, 375570, 12166.34, 241, 0.00, 1: 25; 2: 23; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,   3,  9,  5,  122, 1, 3, 355047, 12166.34, 209, 0.00, 1: 24; 2: 25; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 180,  4, 12,  122, 1, 3, 375613, 12166.34, 0, 0.00, 1: 26; 2: 21; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 534,  5,  9,  123, 1, 3, 355036, 12166.34, 0, 0.00, 1: 27; 2: 18; 3: 20; 
Treatment_of_Castration-Resistant_Prostate_Ca, 411,  4, 12,  123, 1, 3, 375648, 12166.34, 42, 0.00, 1: 26; 2: 20; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 951,  4, 11,  123, 1, 3, 347182, 12166.34, 0, 0.00, 1: 26; 2: 20; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca,  90,  4, 12,  123, 1, 3, 375657, 12166.34, 75, 0.00, 1: 26; 2: 20; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 708,  6,  8,  123, 1, 3, 375684, 12166.34, 241, 0.00, 1: 24; 2: 24; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 928,  4, 12,  123, 1, 3, 375613, 12166.34, 12, 0.00, 1: 26; 2: 20; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 392,  4, 11,  123, 1, 3, 347182, 12166.34, 208, 0.00, 1: 28; 2: 16; 3: 21; 
Treatment_of_Castration-Resistant_Prostate_Ca, 997,  4, 11,  123, 1, 3, 347182, 12166.34, 0, 0.00, 1: 25; 2: 22; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 395,  4, 12,  123, 1, 3, 375647, 12166.34, 42, 0.00, 1: 25; 2: 22; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 673,  4, 12,  123, 1, 3, 375601, 12166.34, 0, 0.00, 1: 25; 2: 22; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 714,  4, 12,  123, 1, 3, 375650, 12166.34, 75, 0.00, 1: 24; 2: 24; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 484,  4, 12,  123, 1, 3, 375620, 12166.34, 0, 0.00, 1: 26; 2: 20; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 510,  4, 11,  123, 1, 3, 347182, 12166.34, 0, 0.00, 1: 25; 2: 22; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 821,  4, 12,  123, 1, 3, 375670, 12166.34, 0, 0.00, 1: 26; 2: 20; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 535,  7,  7,  123, 1, 3, 381959, 12166.34, 0, 0.00, 1: 22; 2: 28; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 588,  4, 12,  123, 1, 3, 375630, 12166.34, 241, 0.00, 1: 23; 2: 26; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 587,  4, 12,  123, 1, 3, 375629, 12166.34, 42, 0.00, 1: 24; 2: 24; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 769,  4, 11,  123, 1, 3, 347182, 12166.34, 11, 0.00, 1: 25; 2: 22; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 631,  4, 12,  123, 1, 3, 375610, 12166.34, 0, 0.00, 1: 25; 2: 22; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 210,  4, 11,  123, 1, 3, 347182, 12166.34, 75, 0.00, 1: 25; 2: 22; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 261,  9,  5,  123, 1, 3, 355032, 12166.34, 85, 0.00, 1: 28; 2: 16; 3: 21; 
Treatment_of_Castration-Resistant_Prostate_Ca, 205,  4, 12,  123, 1, 3, 375623, 12166.34, 85, 0.00, 1: 26; 2: 20; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca,  34,  4, 11,  123, 1, 3, 347182, 12166.34, 0, 0.00, 1: 23; 2: 26; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 204,  4, 12,  123, 1, 3, 375652, 12166.34, 241, 0.00, 1: 27; 2: 18; 3: 20; 
Treatment_of_Castration-Resistant_Prostate_Ca, 962,  4, 12,  123, 1, 3, 375668, 12166.34, 195, 0.00, 1: 24; 2: 24; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca,  54,  4, 12,  123, 1, 3, 375670, 12166.34, 0, 0.00, 1: 26; 2: 20; 3: 19; 
Treatment_of_Castration-Resistant_Prostate_Ca, 660,  4, 12,  124, 1, 3, 375656, 12166.34, 0, 0.00, 1: 24; 2: 23; 3: 18; 
Treatment_of_Castration-Resistant_Prostate_Ca, 825,  5, 10,  124, 1, 3, 388841, 12166.34, 0, 0.00, 1: 26; 2: 19; 3: 20; 
Treatment_of_Castration-Resistant_Prostate_Ca, 341,  4, 11,  124, 1, 3, 347182, 12166.34, 85, 0.00, 1: 28; 2: 15; 3: 22; 
Treatment_of_Castration-Resistant_Prostate_Ca, 846,  4, 11,  124, 1, 3, 347182, 12166.34, 0, 0.00, 1: 28; 2: 15; 3: 22; 
Treatment_of_Castration-Resistant_Prostate_Ca, 334,  4, 11,  124, 1, 3, 347182, 12166.34, 0, 0.00, 1: 26; 2: 19; 3: 20; 
Treatment_of_Castration-Resistant_Prostate_Ca, 414,  5,  9,  124, 1, 3, 355045, 12166.34, 0, 0.00, 1: 23; 2: 25; 3: 17; 
Treatment_of_Castration-Resistant_Prostate_Ca, 948,  4, 12,  124, 1, 3, 375646, 12166.34, 0, 0.00, 1: 25; 2: 21; 3: 19; 
