Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
23(627)
Melhor resultado nxn: Treatment_of_Castration-Resistant_Prostate_Ca, 721,  7,  7,  103, 1, 3, 382033, 26748.27, 235, 0.00, 1: 33; 2: 26; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 165,  9,  5,  113, 1, 3, 355076, 26748.27, 0, 0.00, 1: 27; 2: 28; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 871,  9,  5,  113, 1, 3, 355031, 26748.27, 0, 0.00, 1: 24; 2: 34; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 680,  5, 10,  113, 1, 3, 388815, 26748.27, 32, 0.00, 1: 26; 2: 30; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 360,  9,  5,  113, 1, 3, 355045, 26748.27, 32, 0.00, 1: 29; 2: 24; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 830,  9,  5,  113, 1, 3, 355040, 26748.27, 0, 0.00, 1: 25; 2: 32; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 307,  9,  5,  113, 1, 3, 355048, 26748.27, 0, 0.00, 1: 23; 2: 36; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 148,  9,  5,  113, 1, 3, 355066, 26748.27, 29, 0.00, 1: 26; 2: 30; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,   7,  7,  7,  113, 1, 3, 381950, 26748.27, 0, 0.00, 1: 25; 2: 32; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 520,  5,  9,  113, 1, 3, 355041, 26748.27, 0, 0.00, 1: 26; 2: 30; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 369,  6,  8,  113, 1, 3, 375602, 26748.27, 0, 0.00, 1: 28; 2: 26; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 283,  5,  9,  113, 1, 3, 355076, 26748.27, 82, 0.00, 1: 28; 2: 26; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 300,  9,  5,  114, 1, 3, 355067, 26748.27, 53, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 715,  5,  9,  114, 1, 3, 355074, 26748.27, 82, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,  16,  9,  5,  114, 1, 3, 355072, 26748.27, 192, 0.00, 1: 26; 2: 29; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 838,  5,  9,  114, 1, 3, 355041, 26748.27, 0, 0.00, 1: 28; 2: 25; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 438,  5,  9,  114, 1, 3, 355057, 26748.27, 0, 0.00, 1: 23; 2: 35; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 718,  8,  6,  114, 1, 3, 375683, 26748.27, 0, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 658,  5, 10,  114, 1, 3, 388929, 26748.27, 0, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 961,  7,  7,  114, 1, 3, 382123, 26748.27, 68, 0.00, 1: 23; 2: 35; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 105,  9,  5,  114, 1, 3, 355051, 26748.27, 65, 0.00, 1: 26; 2: 29; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 707,  5,  9,  114, 1, 3, 355041, 26748.27, 82, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 593,  5, 10,  114, 1, 3, 388928, 26748.27, 235, 0.00, 1: 23; 2: 35; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 446,  5, 10,  114, 1, 3, 388920, 26748.27, 0, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 532,  9,  5,  114, 1, 3, 355041, 26748.27, 0, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 859,  9,  5,  114, 1, 3, 355056, 26748.27, 82, 0.00, 1: 27; 2: 27; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 280,  5,  9,  114, 1, 3, 355052, 26748.27, 248, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 589,  6,  8,  114, 1, 3, 375897, 26748.27, 86, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 182,  5,  9,  114, 1, 3, 355059, 26748.27, 0, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 239,  8,  6,  114, 1, 3, 375700, 26748.27, 32, 0.00, 1: 28; 2: 25; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 286,  7,  7,  114, 1, 3, 382045, 26748.27, 0, 0.00, 1: 28; 2: 25; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 285,  5, 10,  114, 1, 3, 388895, 26748.27, 86, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 284,  9,  5,  114, 1, 3, 355000, 26748.27, 29, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 247,  5, 10,  114, 1, 3, 389033, 26748.27, 0, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,  43,  5, 10,  114, 1, 3, 389011, 26748.27, 0, 0.00, 1: 27; 2: 27; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 582,  5,  9,  114, 1, 3, 355027, 26748.27, 0, 0.00, 1: 26; 2: 29; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 527,  9,  5,  114, 1, 3, 355081, 26748.27, 0, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 136,  9,  5,  114, 1, 3, 355060, 26748.27, 112, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 374,  9,  5,  114, 1, 3, 355019, 26748.27, 0, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 947,  5,  9,  114, 1, 3, 355037, 26748.27, 32, 0.00, 1: 23; 2: 35; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 383,  5, 10,  114, 1, 3, 388862, 26748.27, 0, 0.00, 1: 27; 2: 27; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 139,  6,  8,  114, 1, 3, 375627, 26748.27, 82, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 217,  5,  9,  114, 1, 3, 355066, 26748.27, 242, 0.00, 1: 28; 2: 25; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 390,  9,  5,  114, 1, 3, 355030, 26748.27, 0, 0.00, 1: 28; 2: 25; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 144,  5, 10,  114, 1, 3, 388957, 26748.27, 112, 0.00, 1: 26; 2: 29; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 147,  5,  9,  114, 1, 3, 355056, 26748.27, 82, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 910,  5,  9,  114, 1, 3, 355072, 26748.27, 0, 0.00, 1: 22; 2: 37; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca,  51,  5, 10,  114, 1, 3, 388737, 26748.27, 82, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 816,  5, 10,  114, 1, 3, 388893, 26748.27, 28, 0.00, 1: 23; 2: 35; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 780,  6,  8,  114, 1, 3, 375742, 26748.27, 29, 0.00, 1: 27; 2: 27; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 974,  9,  5,  114, 1, 3, 355062, 26748.27, 0, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 739,  5,  9,  114, 1, 3, 355084, 26748.27, 0, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 857,  5,  9,  114, 1, 3, 355045, 26748.27, 245, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 940,  5,  9,  114, 1, 3, 355014, 26748.27, 82, 0.00, 1: 23; 2: 35; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 118,  5,  9,  114, 1, 3, 355038, 26748.27, 0, 0.00, 1: 22; 2: 37; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 272,  5, 10,  114, 1, 3, 388816, 26748.27, 80, 0.00, 1: 22; 2: 37; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 606,  5, 10,  114, 1, 3, 388937, 26748.27, 0, 0.00, 1: 22; 2: 37; 3: 6; 
Treatment_of_Castration-Resistant_Prostate_Ca, 422,  5,  9,  114, 1, 3, 355084, 26748.27, 0, 0.00, 1: 26; 2: 29; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca,   3,  9,  5,  114, 1, 3, 354994, 26748.27, 8, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 628,  8,  6,  114, 1, 3, 375616, 26748.27, 5, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 867,  5,  9,  114, 1, 3, 355035, 26748.27, 0, 0.00, 1: 24; 2: 33; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 525,  5,  9,  114, 1, 3, 355041, 26748.27, 0, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 557,  5,  9,  114, 1, 3, 355078, 26748.27, 32, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 784,  8,  6,  114, 1, 3, 375739, 26748.27, 208, 0.00, 1: 28; 2: 25; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 681,  5,  9,  114, 1, 3, 355047, 26748.27, 67, 0.00, 1: 26; 2: 29; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 943,  5, 10,  114, 1, 3, 388992, 26748.27, 82, 0.00, 1: 25; 2: 31; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 562,  5,  9,  115, 1, 3, 355093, 26748.27, 0, 0.00, 1: 25; 2: 30; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 743,  8,  6,  115, 1, 3, 375681, 26748.27, 0, 0.00, 1: 23; 2: 34; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 494,  5, 10,  115, 1, 3, 388954, 26748.27, 0, 0.00, 1: 24; 2: 32; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,  89,  5,  9,  115, 1, 3, 355029, 26748.27, 242, 0.00, 1: 24; 2: 32; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 455,  5, 10,  115, 1, 3, 388834, 26748.27, 0, 0.00, 1: 24; 2: 32; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 991,  5,  9,  115, 1, 3, 355054, 26748.27, 0, 0.00, 1: 27; 2: 26; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 533,  6,  8,  115, 1, 3, 375613, 26748.27, 0, 0.00, 1: 26; 2: 28; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 796,  7,  7,  115, 1, 3, 381991, 26748.27, 29, 0.00, 1: 26; 2: 28; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 819,  5,  9,  115, 1, 3, 355051, 26748.27, 0, 0.00, 1: 22; 2: 36; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 789,  5,  9,  115, 1, 3, 355057, 26748.27, 86, 0.00, 1: 24; 2: 32; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 330,  9,  5,  115, 1, 3, 355047, 26748.27, 208, 0.00, 1: 25; 2: 30; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 648,  9,  5,  115, 1, 3, 355084, 26748.27, 0, 0.00, 1: 24; 2: 32; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 900,  5,  9,  115, 1, 3, 355071, 26748.27, 29, 0.00, 1: 25; 2: 30; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 976,  5, 10,  115, 1, 3, 388889, 26748.27, 64, 0.00, 1: 23; 2: 34; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 347,  8,  6,  115, 1, 3, 375640, 26748.27, 82, 0.00, 1: 24; 2: 32; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,   6,  5,  9,  115, 1, 3, 355060, 26748.27, 0, 0.00, 1: 23; 2: 34; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 903,  8,  6,  115, 1, 3, 375561, 26748.27, 0, 0.00, 1: 25; 2: 30; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 829,  5,  9,  115, 1, 3, 355090, 26748.27, 0, 0.00, 1: 22; 2: 36; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca, 893,  5,  9,  115, 1, 3, 355026, 26748.27, 0, 0.00, 1: 25; 2: 30; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 146,  8,  6,  115, 1, 3, 375748, 26748.27, 73, 0.00, 1: 26; 2: 28; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 145,  5,  9,  115, 1, 3, 355065, 26748.27, 68, 0.00, 1: 27; 2: 26; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 220,  5,  9,  115, 1, 3, 355071, 26748.27, 29, 0.00, 1: 24; 2: 32; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,  70,  6,  8,  115, 1, 3, 375607, 26748.27, 0, 0.00, 1: 24; 2: 32; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 765,  5, 10,  115, 1, 3, 389016, 26748.27, 0, 0.00, 1: 25; 2: 30; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 427,  5, 10,  115, 1, 3, 388871, 26748.27, 100, 0.00, 1: 24; 2: 32; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 113,  5, 10,  115, 1, 3, 388992, 26748.27, 0, 0.00, 1: 23; 2: 34; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 222,  5, 10,  115, 1, 3, 388872, 26748.27, 0, 0.00, 1: 23; 2: 34; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 439,  9,  5,  115, 1, 3, 355054, 26748.27, 0, 0.00, 1: 22; 2: 36; 3: 7; 
Treatment_of_Castration-Resistant_Prostate_Ca,  22,  7,  7,  115, 1, 3, 382036, 26748.27, 0, 0.00, 1: 26; 2: 28; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 502,  5, 10,  115, 1, 3, 388821, 26748.27, 0, 0.00, 1: 25; 2: 30; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 921,  5,  9,  116, 1, 3, 355038, 26748.27, 245, 0.00, 1: 25; 2: 29; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 713,  5, 10,  116, 1, 3, 388804, 26748.27, 235, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 539,  5,  9,  116, 1, 3, 355051, 26748.27, 82, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 865,  5,  9,  116, 1, 3, 355025, 26748.27, 0, 0.00, 1: 26; 2: 27; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 193,  5,  9,  116, 1, 3, 355056, 26748.27, 234, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,  38,  5, 10,  116, 1, 3, 388882, 26748.27, 0, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 183,  8,  6,  116, 1, 3, 375719, 26748.27, 0, 0.00, 1: 27; 2: 25; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 667,  6,  8,  116, 1, 3, 375661, 26748.27, 82, 0.00, 1: 22; 2: 35; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 894,  5, 10,  116, 1, 3, 388915, 26748.27, 0, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 959,  5,  9,  116, 1, 3, 355080, 26748.27, 0, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 169,  5,  9,  116, 1, 3, 355041, 26748.27, 65, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 167,  5,  9,  116, 1, 3, 355062, 26748.27, 0, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 652,  9,  5,  116, 1, 3, 355018, 26748.27, 0, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,   5,  7,  7,  116, 1, 3, 382051, 26748.27, 127, 0.00, 1: 24; 2: 31; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 216,  5,  9,  116, 1, 3, 355096, 26748.27, 184, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 133,  9,  5,  116, 1, 3, 355052, 26748.27, 86, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 127,  5,  9,  116, 1, 3, 355048, 26748.27, 0, 0.00, 1: 22; 2: 35; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 614,  9,  5,  116, 1, 3, 355028, 26748.27, 0, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 410,  8,  6,  116, 1, 3, 375622, 26748.27, 208, 0.00, 1: 26; 2: 27; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 414,  5,  9,  116, 1, 3, 355054, 26748.27, 0, 0.00, 1: 25; 2: 29; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  36,  9,  5,  116, 1, 3, 355084, 26748.27, 0, 0.00, 1: 23; 2: 33; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,  19,  7,  7,  116, 1, 3, 381843, 26748.27, 82, 0.00, 1: 26; 2: 27; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 425,  5, 10,  116, 1, 3, 388932, 26748.27, 65, 0.00, 1: 24; 2: 31; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 756,  5,  9,  116, 1, 3, 355070, 26748.27, 32, 0.00, 1: 27; 2: 25; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 738,  5,  9,  116, 1, 3, 355054, 26748.27, 0, 0.00, 1: 24; 2: 31; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 746,  5, 10,  116, 1, 3, 388994, 26748.27, 105, 0.00, 1: 24; 2: 31; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 417,  5, 10,  117, 1, 3, 388834, 26748.27, 0, 0.00, 1: 23; 2: 32; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca,  58,  5, 10,  117, 1, 3, 388776, 26748.27, 0, 0.00, 1: 24; 2: 30; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  84,  9,  5,  117, 1, 3, 355076, 26748.27, 29, 0.00, 1: 22; 2: 34; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 298,  5,  9,  117, 1, 3, 355090, 26748.27, 90, 0.00, 1: 23; 2: 32; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 824,  5, 10,  117, 1, 3, 388974, 26748.27, 0, 0.00, 1: 22; 2: 34; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca,  34,  4, 11,  117, 1, 3, 347182, 26748.27, 0, 0.00, 1: 28; 2: 22; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 744,  6,  8,  117, 1, 3, 375625, 26748.27, 32, 0.00, 1: 23; 2: 32; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 548,  5,  9,  117, 1, 3, 355055, 26748.27, 0, 0.00, 1: 24; 2: 30; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca,  30,  5,  9,  117, 1, 3, 355090, 26748.27, 0, 0.00, 1: 22; 2: 34; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 164,  6,  8,  117, 1, 3, 375625, 26748.27, 0, 0.00, 1: 25; 2: 28; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 646,  6,  8,  117, 1, 3, 375762, 26748.27, 0, 0.00, 1: 24; 2: 30; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 460,  7,  7,  117, 1, 3, 381836, 26748.27, 29, 0.00, 1: 24; 2: 30; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 965,  5,  9,  117, 1, 3, 355059, 26748.27, 86, 0.00, 1: 21; 2: 36; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 129,  5, 10,  117, 1, 3, 388862, 26748.27, 68, 0.00, 1: 21; 2: 36; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca,  48,  8,  6,  117, 1, 3, 375587, 26748.27, 48, 0.00, 1: 24; 2: 30; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 416,  5, 10,  117, 1, 3, 388814, 26748.27, 11, 0.00, 1: 23; 2: 32; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 634,  4, 11,  118, 1, 3, 347182, 26748.27, 0, 0.00, 1: 25; 2: 27; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 929,  9,  5,  118, 1, 3, 355036, 26748.27, 0, 0.00, 1: 21; 2: 35; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 226,  5,  9,  118, 1, 3, 355071, 26748.27, 0, 0.00, 1: 22; 2: 33; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 608,  4, 12,  118, 1, 3, 375676, 26748.27, 8, 0.00, 1: 27; 2: 23; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca,  39,  5,  9,  118, 1, 3, 355066, 26748.27, 0, 0.00, 1: 21; 2: 35; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 481,  5,  9,  118, 1, 3, 355033, 26748.27, 0, 0.00, 1: 21; 2: 35; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 923,  4, 12,  118, 1, 3, 375546, 26748.27, 82, 0.00, 1: 25; 2: 27; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 305,  5,  9,  118, 1, 3, 355045, 26748.27, 0, 0.00, 1: 25; 2: 27; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 820,  7,  7,  118, 1, 3, 381995, 26748.27, 7, 0.00, 1: 25; 2: 27; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 958,  7,  7,  118, 1, 3, 381947, 26748.27, 0, 0.00, 1: 22; 2: 33; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 333,  4, 11,  118, 1, 3, 347182, 26748.27, 86, 0.00, 1: 27; 2: 23; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 769,  4, 11,  118, 1, 3, 347182, 26748.27, 235, 0.00, 1: 25; 2: 27; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca,  90,  4, 12,  118, 1, 3, 375737, 26748.27, 208, 0.00, 1: 28; 2: 21; 3: 16; 
Treatment_of_Castration-Resistant_Prostate_Ca, 288,  5,  9,  118, 1, 3, 355036, 26748.27, 9, 0.00, 1: 24; 2: 29; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 818,  5,  9,  118, 1, 3, 355074, 26748.27, 0, 0.00, 1: 25; 2: 27; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 350,  5, 10,  118, 1, 3, 388832, 26748.27, 0, 0.00, 1: 22; 2: 33; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 201,  8,  6,  118, 1, 3, 375655, 26748.27, 234, 0.00, 1: 24; 2: 29; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 942,  5, 10,  118, 1, 3, 388936, 26748.27, 69, 0.00, 1: 21; 2: 35; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 745,  5,  9,  118, 1, 3, 355023, 26748.27, 67, 0.00, 1: 23; 2: 31; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 975,  9,  5,  119, 1, 3, 355074, 26748.27, 0, 0.00, 1: 20; 2: 36; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 881,  4, 11,  119, 1, 3, 347182, 26748.27, 0, 0.00, 1: 24; 2: 28; 3: 13; 
Treatment_of_Castration-Resistant_Prostate_Ca, 952,  4, 12,  119, 1, 3, 375710, 26748.27, 0, 0.00, 1: 26; 2: 24; 3: 15; 
Treatment_of_Castration-Resistant_Prostate_Ca, 493,  4, 12,  119, 1, 3, 375650, 26748.27, 0, 0.00, 1: 22; 2: 32; 3: 11; 
Treatment_of_Castration-Resistant_Prostate_Ca, 647,  9,  5,  119, 1, 3, 355094, 26748.27, 0, 0.00, 1: 21; 2: 34; 3: 10; 
Treatment_of_Castration-Resistant_Prostate_Ca, 872,  5, 10,  119, 1, 3, 388866, 26748.27, 32, 0.00, 1: 19; 2: 38; 3: 8; 
Treatment_of_Castration-Resistant_Prostate_Ca, 132,  5,  9,  119, 1, 3, 355041, 26748.27, 29, 0.00, 1: 25; 2: 26; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 125,  5,  9,  119, 1, 3, 354897, 26748.27, 0, 0.00, 1: 20; 2: 36; 3: 9; 
Treatment_of_Castration-Resistant_Prostate_Ca, 210,  4, 11,  119, 1, 3, 347182, 26748.27, 208, 0.00, 1: 25; 2: 26; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca, 312,  4, 12,  120, 1, 3, 375691, 26748.27, 0, 0.00, 1: 22; 2: 31; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 140,  4, 11,  120, 1, 3, 347182, 26748.27, 29, 0.00, 1: 24; 2: 27; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca,  94,  5,  9,  120, 1, 3, 355043, 26748.27, 0, 0.00, 1: 22; 2: 31; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 124,  4, 12,  120, 1, 3, 375616, 26748.27, 0, 0.00, 1: 22; 2: 31; 3: 12; 
Treatment_of_Castration-Resistant_Prostate_Ca, 573,  5, 10,  120, 1, 3, 388748, 26748.27, 0, 0.00, 1: 24; 2: 27; 3: 14; 
Treatment_of_Castration-Resistant_Prostate_Ca,  81,  4, 11,  120, 1, 3, 347182, 26748.27, 100, 0.00, 1: 26; 2: 23; 3: 16; 
