Seed 1656949570
ARCH 1|F_ID 3|LIMIT 3
before: 
02(715)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 958,  7,  7,   91, 1, 2, 383712, 29591.63, 0, 0.00, 1: 65; 2: 13; 
Guard_Cell_Abscisic_Acid_Signaling, 420,  9,  5,  100, 1, 2, 355410, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 207,  7,  7,  100, 1, 2, 383725, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 453,  6,  8,  100, 1, 2, 376580, 29591.63, 85, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 977,  4, 12,  100, 1, 2, 377041, 29591.63, 59, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 417,  5, 10,  100, 1, 2, 390874, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 414,  5,  9,  100, 1, 2, 355410, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 413,  5,  9,  100, 1, 2, 355410, 29591.63, 85, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 876,  7,  7,  100, 1, 2, 383884, 29591.63, 111, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 464,  4, 11,  100, 1, 2, 347182, 29591.63, 160, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 410,  8,  6,  100, 1, 2, 377138, 29591.63, 197, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 193,  5,  9,  100, 1, 2, 355410, 29591.63, 55, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 171,  9,  5,  100, 1, 2, 355410, 29591.63, 73, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 196,  5,  9,  100, 1, 2, 355410, 29591.63, 154, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 959,  5,  9,  100, 1, 2, 355410, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling,   8,  5,  9,  100, 1, 2, 355410, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 365,  8,  6,  100, 1, 2, 376841, 29591.63, 110, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 183,  8,  6,  100, 1, 2, 376760, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 373,  9,  5,  100, 1, 2, 355410, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 442,  4, 12,  100, 1, 2, 377087, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 874,  9,  5,  100, 1, 2, 355410, 29591.63, 101, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 388,  6,  8,  100, 1, 2, 376940, 29591.63, 154, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 389,  6,  8,  100, 1, 2, 377015, 29591.63, 85, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 428,  7,  7,  100, 1, 2, 383581, 29591.63, 111, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 163,  8,  6,  100, 1, 2, 377078, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 374,  9,  5,  100, 1, 2, 355410, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 913,  7,  7,  100, 1, 2, 383385, 29591.63, 253, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 158,  5, 10,  100, 1, 2, 390533, 29591.63, 0, 0.00, 1: 56; 2: 22; 
Guard_Cell_Abscisic_Acid_Signaling, 465,  9,  5,  101, 1, 2, 355410, 29591.63, 56, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 461,  9,  5,  101, 1, 2, 355410, 29591.63, 85, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 679,  5, 10,  101, 1, 2, 390865, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,   7,  7,  7,  101, 1, 2, 383422, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 939,  5, 10,  101, 1, 2, 390722, 29591.63, 65, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 592,  6,  8,  101, 1, 2, 376874, 29591.63, 32, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 819,  5,  9,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 459,  7,  7,  101, 1, 2, 383728, 29591.63, 189, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 437,  4, 12,  101, 1, 2, 377050, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 664,  5,  9,  101, 1, 2, 355410, 29591.63, 88, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  94,  5,  9,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 439,  9,  5,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 671,  5,  9,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 580,  9,  5,  101, 1, 2, 355410, 29591.63, 154, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 742,  5, 10,  101, 1, 2, 390863, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 301,  4, 11,  101, 1, 2, 347182, 29591.63, 32, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 675,  4, 12,  101, 1, 2, 376982, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 746,  5, 10,  101, 1, 2, 390790, 29591.63, 97, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 673,  4, 12,  101, 1, 2, 376989, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 657,  4, 11,  101, 1, 2, 347182, 29591.63, 185, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 826,  7,  7,  101, 1, 2, 383731, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  34,  4, 11,  101, 1, 2, 347182, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 697,  5,  9,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 910,  5,  9,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 647,  9,  5,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 234,  4, 11,  101, 1, 2, 347182, 29591.63, 68, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 705,  6,  8,  101, 1, 2, 377067, 29591.63, 58, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 103,  4, 12,  101, 1, 2, 377002, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 920,  4, 12,  101, 1, 2, 377211, 29591.63, 88, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 458,  7,  7,  101, 1, 2, 383203, 29591.63, 197, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 630,  5, 10,  101, 1, 2, 390643, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 175,  8,  6,  101, 1, 2, 377135, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 711,  8,  6,  101, 1, 2, 376900, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 370,  4, 11,  101, 1, 2, 347182, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 251,  5,  9,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 122,  4, 12,  101, 1, 2, 376541, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 456,  9,  5,  101, 1, 2, 355410, 29591.63, 160, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 608,  4, 12,  101, 1, 2, 376985, 29591.63, 12, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 961,  7,  7,  101, 1, 2, 383344, 29591.63, 59, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 351,  4, 11,  101, 1, 2, 347182, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 556,  4, 11,  101, 1, 2, 347182, 29591.63, 32, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 404,  9,  5,  101, 1, 2, 355410, 29591.63, 154, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 809,  7,  7,  101, 1, 2, 383762, 29591.63, 67, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 513,  5, 10,  101, 1, 2, 390753, 29591.63, 56, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 978,  5,  9,  101, 1, 2, 355410, 29591.63, 197, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 151,  9,  5,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  48,  8,  6,  101, 1, 2, 376932, 29591.63, 32, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 225,  4, 11,  101, 1, 2, 347182, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 879,  6,  8,  101, 1, 2, 376806, 29591.63, 114, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 137,  7,  7,  101, 1, 2, 383572, 29591.63, 179, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 267,  8,  6,  101, 1, 2, 377107, 29591.63, 189, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 147,  5,  9,  101, 1, 2, 355410, 29591.63, 189, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 947,  5,  9,  101, 1, 2, 355410, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 255,  5, 10,  101, 1, 2, 390621, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 294,  4, 12,  101, 1, 2, 377054, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 813,  4, 11,  101, 1, 2, 347182, 29591.63, 117, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 260,  5, 10,  101, 1, 2, 391127, 29591.63, 154, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 536,  4, 11,  101, 1, 2, 347182, 29591.63, 216, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 779,  4, 12,  101, 1, 2, 376980, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 484,  4, 12,  101, 1, 2, 376998, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 300,  9,  5,  101, 1, 2, 355410, 29591.63, 49, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 503,  7,  7,  101, 1, 2, 383495, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 973,  5,  9,  101, 1, 2, 355410, 29591.63, 85, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 155,  8,  6,  101, 1, 2, 377086, 29591.63, 189, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 748,  7,  7,  101, 1, 2, 383554, 29591.63, 77, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  21,  4, 12,  101, 1, 2, 377022, 29591.63, 85, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 897,  4, 12,  101, 1, 2, 376803, 29591.63, 253, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 560,  4, 11,  101, 1, 2, 347182, 29591.63, 255, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling,  29,  6,  8,  101, 1, 2, 377058, 29591.63, 85, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 954,  5, 10,  101, 1, 2, 390950, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 479,  4, 11,  101, 1, 2, 347182, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 496,  4, 12,  101, 1, 2, 376989, 29591.63, 0, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 264,  8,  6,  101, 1, 2, 376878, 29591.63, 112, 0.00, 1: 55; 2: 23; 
Guard_Cell_Abscisic_Acid_Signaling, 499,  4, 11,  102, 1, 2, 347182, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 497,  4, 12,  102, 1, 2, 377151, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 287,  9,  5,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 312,  4, 12,  102, 1, 2, 377157, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 634,  4, 11,  102, 1, 2, 347182, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 385,  8,  6,  102, 1, 2, 377069, 29591.63, 56, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 708,  6,  8,  102, 1, 2, 376977, 29591.63, 154, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 393,  6,  8,  102, 1, 2, 376767, 29591.63, 56, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 451,  9,  5,  102, 1, 2, 355410, 29591.63, 189, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 636,  4, 12,  102, 1, 2, 376775, 29591.63, 1, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 830,  9,  5,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 785,  4, 12,  102, 1, 2, 376905, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 873,  4, 11,  102, 1, 2, 347182, 29591.63, 68, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 788,  4, 11,  102, 1, 2, 347182, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 515,  4, 12,  102, 1, 2, 376983, 29591.63, 189, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 107,  4, 11,  102, 1, 2, 347182, 29591.63, 72, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 859,  9,  5,  102, 1, 2, 355410, 29591.63, 189, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 211,  9,  5,  102, 1, 2, 355410, 29591.63, 189, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  84,  9,  5,  102, 1, 2, 355410, 29591.63, 154, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 793,  5, 10,  102, 1, 2, 390481, 29591.63, 65, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 277,  5, 10,  102, 1, 2, 391060, 29591.63, 85, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 936,  4, 12,  102, 1, 2, 376977, 29591.63, 32, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 808,  6,  8,  102, 1, 2, 376904, 29591.63, 32, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 182,  5,  9,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 588,  4, 12,  102, 1, 2, 377068, 29591.63, 154, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 135,  4, 11,  102, 1, 2, 347182, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 600,  4, 11,  102, 1, 2, 347182, 29591.63, 24, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 599,  9,  5,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 462,  5,  9,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 381,  8,  6,  102, 1, 2, 376948, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 272,  5, 10,  102, 1, 2, 390971, 29591.63, 112, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 333,  4, 11,  102, 1, 2, 347182, 29591.63, 85, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  76,  6,  8,  102, 1, 2, 377215, 29591.63, 154, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 925,  9,  5,  102, 1, 2, 355410, 29591.63, 85, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 450,  4, 12,  102, 1, 2, 376932, 29591.63, 197, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 127,  5,  9,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 584,  8,  6,  102, 1, 2, 377044, 29591.63, 32, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  68,  5, 10,  102, 1, 2, 390759, 29591.63, 154, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 197,  8,  6,  102, 1, 2, 377055, 29591.63, 85, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 908,  4, 11,  102, 1, 2, 347182, 29591.63, 154, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 576,  4, 12,  102, 1, 2, 377073, 29591.63, 16, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 254,  7,  7,  102, 1, 2, 383551, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 893,  5,  9,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 915,  7,  7,  102, 1, 2, 383562, 29591.63, 189, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 930,  9,  5,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 117,  5,  9,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 142,  4, 12,  102, 1, 2, 377128, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 625,  5, 10,  102, 1, 2, 390390, 29591.63, 115, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 541,  4, 12,  102, 1, 2, 376989, 29591.63, 85, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 379,  5,  9,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 946,  4, 12,  102, 1, 2, 376785, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 769,  4, 11,  102, 1, 2, 347182, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 363,  5, 10,  102, 1, 2, 390957, 29591.63, 116, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 709,  4, 11,  102, 1, 2, 347182, 29591.63, 85, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 766,  7,  7,  102, 1, 2, 383498, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling,  52,  4, 11,  102, 1, 2, 347182, 29591.63, 154, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 551,  9,  5,  102, 1, 2, 355410, 29591.63, 0, 0.00, 1: 54; 2: 24; 
Guard_Cell_Abscisic_Acid_Signaling, 803,  4, 12,  103, 1, 2, 377078, 29591.63, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 405,  9,  5,  103, 1, 2, 355410, 29591.63, 85, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 715,  5,  9,  103, 1, 2, 355410, 29591.63, 189, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 682,  6,  8,  103, 1, 2, 377105, 29591.63, 97, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 649,  5, 10,  103, 1, 2, 390821, 29591.63, 184, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 302,  5, 10,  103, 1, 2, 390628, 29591.63, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  73,  5,  9,  103, 1, 2, 355410, 29591.63, 179, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 288,  5,  9,  103, 1, 2, 355410, 29591.63, 6, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  51,  5, 10,  103, 1, 2, 391022, 29591.63, 189, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 794,  8,  6,  103, 1, 2, 376606, 29591.63, 197, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  85,  7,  7,  103, 1, 2, 383684, 29591.63, 85, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 969,  9,  5,  103, 1, 2, 355410, 29591.63, 59, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling,  60,  8,  6,  103, 1, 2, 376959, 29591.63, 154, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 390,  9,  5,  103, 1, 2, 355410, 29591.63, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 655,  9,  5,  103, 1, 2, 355410, 29591.63, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 482,  4, 12,  103, 1, 2, 376785, 29591.63, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 220,  5,  9,  103, 1, 2, 355410, 29591.63, 154, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 965,  5,  9,  103, 1, 2, 355410, 29591.63, 85, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 169,  5,  9,  103, 1, 2, 355410, 29591.63, 65, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 583,  9,  5,  103, 1, 2, 355410, 29591.63, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 149,  4, 11,  103, 1, 2, 347182, 29591.63, 85, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 526,  4, 11,  103, 1, 2, 347182, 29591.63, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 520,  5,  9,  103, 1, 2, 355410, 29591.63, 224, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 327,  4, 12,  103, 1, 2, 377145, 29591.63, 0, 0.00, 1: 53; 2: 25; 
Guard_Cell_Abscisic_Acid_Signaling, 900,  5,  9,  104, 1, 2, 355410, 29591.63, 154, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 106,  4, 11,  104, 1, 2, 347182, 29591.63, 66, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 835,  9,  5,  104, 1, 2, 355410, 29591.63, 189, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 416,  5, 10,  104, 1, 2, 390849, 29591.63, 9, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 993,  5,  9,  104, 1, 2, 355410, 29591.63, 0, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 997,  4, 11,  104, 1, 2, 347182, 29591.63, 0, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 138,  5,  9,  104, 1, 2, 355410, 29591.63, 196, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 944,  8,  6,  104, 1, 2, 376917, 29591.63, 11, 0.00, 1: 52; 2: 26; 
Guard_Cell_Abscisic_Acid_Signaling, 438,  5,  9,  104, 1, 2, 355410, 29591.63, 0, 0.00, 1: 52; 2: 26; 
