Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
93(377)
Melhor resultado nxn: Guard_Cell_Abscisic_Acid_Signaling, 473,  7,  7,  126, 1, 3, 383595, 32649.12, 64, 0.00, 1: 38; 2: 32; 3: 8; 
Guard_Cell_Abscisic_Acid_Signaling, 739,  5,  9,  135, 1, 4, 355410, 32649.12, 0, 0.00, 1: 33; 2: 34; 3: 10; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 585,  7,  7,  135, 1, 4, 383647, 32649.12, 57, 0.00, 1: 33; 2: 35; 3: 8; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 306,  5,  9,  135, 1, 4, 355410, 32649.12, 0, 0.00, 1: 34; 2: 32; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 590,  8,  6,  135, 1, 4, 377006, 32649.12, 0, 0.00, 1: 37; 2: 26; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 462,  5,  9,  135, 1, 4, 355410, 32649.12, 0, 0.00, 1: 35; 2: 31; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 256,  4, 12,  135, 1, 4, 376993, 32649.12, 96, 0.00, 1: 34; 2: 34; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling,   7,  7,  7,  135, 1, 4, 383672, 32649.12, 0, 0.00, 1: 36; 2: 28; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 132,  5,  9,  135, 1, 4, 355410, 32649.12, 143, 0.00, 1: 38; 2: 24; 3: 15; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 133,  9,  5,  135, 1, 4, 355410, 32649.12, 85, 0.00, 1: 35; 2: 30; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 136,  9,  5,  135, 1, 4, 355410, 32649.12, 128, 0.00, 1: 34; 2: 32; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 144,  5, 10,  135, 1, 4, 390862, 32649.12, 144, 0.00, 1: 35; 2: 31; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling,   6,  5,  9,  135, 1, 4, 355410, 32649.12, 0, 0.00, 1: 33; 2: 34; 3: 10; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 929,  9,  5,  135, 1, 4, 355410, 32649.12, 0, 0.00, 1: 36; 2: 29; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 699,  6,  8,  135, 1, 4, 376981, 32649.12, 0, 0.00, 1: 36; 2: 28; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 703,  4, 12,  136, 1, 4, 377006, 32649.12, 0, 0.00, 1: 35; 2: 30; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 842,  9,  5,  136, 1, 4, 355410, 32649.12, 147, 0.00, 1: 33; 2: 34; 3: 9; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 142,  4, 12,  136, 1, 4, 376986, 32649.12, 0, 0.00, 1: 35; 2: 30; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 795,  6,  8,  136, 1, 4, 376986, 32649.12, 127, 0.00, 1: 33; 2: 34; 3: 9; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling,  59,  5, 10,  136, 1, 4, 390825, 32649.12, 0, 0.00, 1: 36; 2: 27; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 222,  5, 10,  136, 1, 4, 390814, 32649.12, 0, 0.00, 1: 33; 2: 34; 3: 9; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 112,  8,  6,  136, 1, 4, 377065, 32649.12, 28, 0.00, 1: 31; 2: 39; 3: 5; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  57,  5, 10,  136, 1, 4, 390829, 32649.12, 0, 0.00, 1: 33; 2: 33; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 223,  4, 11,  136, 1, 4, 347182, 32649.12, 0, 0.00, 1: 36; 2: 29; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 652,  9,  5,  136, 1, 4, 355410, 32649.12, 143, 0.00, 1: 34; 2: 31; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 818,  5,  9,  136, 1, 4, 355410, 32649.12, 0, 0.00, 1: 34; 2: 31; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 646,  6,  8,  136, 1, 4, 377042, 32649.12, 0, 0.00, 1: 34; 2: 32; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 255,  5, 10,  136, 1, 4, 390777, 32649.12, 0, 0.00, 1: 38; 2: 24; 3: 14; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 302,  5, 10,  136, 1, 4, 391058, 32649.12, 0, 0.00, 1: 34; 2: 31; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 501,  4, 12,  136, 1, 4, 377071, 32649.12, 0, 0.00, 1: 35; 2: 30; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 905,  4, 12,  136, 1, 4, 377015, 32649.12, 253, 0.00, 1: 35; 2: 30; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 525,  5,  9,  136, 1, 4, 355410, 32649.12, 85, 0.00, 1: 33; 2: 33; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 296,  5, 10,  136, 1, 4, 390889, 32649.12, 32, 0.00, 1: 33; 2: 34; 3: 9; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 824,  5, 10,  136, 1, 4, 390672, 32649.12, 0, 0.00, 1: 35; 2: 30; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 202,  4, 12,  136, 1, 4, 377064, 32649.12, 147, 0.00, 1: 34; 2: 31; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 865,  5,  9,  136, 1, 4, 355410, 32649.12, 0, 0.00, 1: 34; 2: 32; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 119,  4, 12,  136, 1, 4, 377263, 32649.12, 0, 0.00, 1: 36; 2: 27; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 888,  5,  9,  136, 1, 4, 355410, 32649.12, 0, 0.00, 1: 35; 2: 29; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 619,  5,  9,  136, 1, 4, 355410, 32649.12, 50, 0.00, 1: 39; 2: 22; 3: 15; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 287,  9,  5,  136, 1, 4, 355410, 32649.12, 0, 0.00, 1: 34; 2: 33; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 909,  6,  8,  136, 1, 4, 376921, 32649.12, 85, 0.00, 1: 35; 2: 30; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 800,  7,  7,  136, 1, 4, 383613, 32649.12, 9, 0.00, 1: 32; 2: 36; 3: 8; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 940,  5,  9,  136, 1, 4, 355410, 32649.12, 49, 0.00, 1: 31; 2: 37; 3: 9; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 672,  5, 10,  136, 1, 4, 390886, 32649.12, 7, 0.00, 1: 33; 2: 33; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 859,  9,  5,  136, 1, 4, 355410, 32649.12, 127, 0.00, 1: 34; 2: 31; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 820,  7,  7,  136, 1, 4, 383538, 32649.12, 42, 0.00, 1: 36; 2: 27; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  91,  9,  5,  136, 1, 4, 355410, 32649.12, 127, 0.00, 1: 32; 2: 35; 3: 10; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 843,  9,  5,  136, 1, 4, 355410, 32649.12, 127, 0.00, 1: 33; 2: 33; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 691,  4, 12,  136, 1, 4, 376842, 32649.12, 0, 0.00, 1: 36; 2: 27; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 396,  5, 10,  136, 1, 4, 390883, 32649.12, 143, 0.00, 1: 34; 2: 31; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 615,  6,  8,  137, 1, 4, 376955, 32649.12, 0, 0.00, 1: 34; 2: 30; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 122,  4, 12,  137, 1, 4, 376934, 32649.12, 0, 0.00, 1: 33; 2: 34; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 125,  5,  9,  137, 1, 4, 355410, 32649.12, 0, 0.00, 1: 31; 2: 36; 3: 10; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 634,  4, 11,  137, 1, 4, 347182, 32649.12, 0, 0.00, 1: 36; 2: 28; 3: 11; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 124,  4, 12,  137, 1, 4, 376922, 32649.12, 0, 0.00, 1: 34; 2: 31; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 623,  8,  6,  137, 1, 4, 376917, 32649.12, 80, 0.00, 1: 34; 2: 30; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 902,  4, 12,  137, 1, 4, 377014, 32649.12, 0, 0.00, 1: 34; 2: 31; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 992,  5, 10,  137, 1, 4, 390795, 32649.12, 4, 0.00, 1: 34; 2: 30; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 724,  4, 11,  137, 1, 4, 347182, 32649.12, 143, 0.00, 1: 35; 2: 30; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 236,  9,  5,  137, 1, 4, 355410, 32649.12, 82, 0.00, 1: 32; 2: 34; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 233,  9,  5,  137, 1, 4, 355410, 32649.12, 65, 0.00, 1: 33; 2: 32; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  48,  8,  6,  137, 1, 4, 377034, 32649.12, 32, 0.00, 1: 33; 2: 32; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 216,  5,  9,  137, 1, 4, 355410, 32649.12, 152, 0.00, 1: 34; 2: 30; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 666,  5, 10,  137, 1, 4, 390843, 32649.12, 147, 0.00, 1: 35; 2: 30; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 209,  9,  5,  137, 1, 4, 355410, 32649.12, 55, 0.00, 1: 29; 2: 40; 3: 8; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 788,  4, 11,  137, 1, 4, 347182, 32649.12, 0, 0.00, 1: 33; 2: 33; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 781,  6,  8,  137, 1, 4, 376974, 32649.12, 0, 0.00, 1: 36; 2: 27; 3: 13; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 714,  4, 12,  137, 1, 4, 376995, 32649.12, 147, 0.00, 1: 33; 2: 34; 3: 8; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 713,  5, 10,  137, 1, 4, 390967, 32649.12, 58, 0.00, 1: 32; 2: 34; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 105,  9,  5,  137, 1, 4, 355410, 32649.12, 65, 0.00, 1: 36; 2: 26; 3: 15; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 470,  6,  8,  137, 1, 4, 377053, 32649.12, 0, 0.00, 1: 35; 2: 30; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling,  96,  5, 10,  137, 1, 4, 390778, 32649.12, 6, 0.00, 1: 33; 2: 32; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 369,  6,  8,  137, 1, 4, 377036, 32649.12, 0, 0.00, 1: 31; 2: 36; 3: 10; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 582,  5,  9,  137, 1, 4, 355410, 32649.12, 0, 0.00, 1: 34; 2: 31; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 495,  9,  5,  137, 1, 4, 355410, 32649.12, 32, 0.00, 1: 33; 2: 32; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 541,  4, 12,  137, 1, 4, 376865, 32649.12, 85, 0.00, 1: 37; 2: 25; 3: 14; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 321,  4, 12,  137, 1, 4, 376929, 32649.12, 55, 0.00, 1: 34; 2: 31; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 522,  4, 12,  137, 1, 4, 377006, 32649.12, 147, 0.00, 1: 33; 2: 33; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 941,  4, 12,  137, 1, 4, 376961, 32649.12, 32, 0.00, 1: 34; 2: 31; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 329,  4, 12,  137, 1, 4, 376951, 32649.12, 55, 0.00, 1: 35; 2: 28; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 597,  5,  9,  137, 1, 4, 355410, 32649.12, 85, 0.00, 1: 33; 2: 33; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 526,  4, 11,  137, 1, 4, 347182, 32649.12, 0, 0.00, 1: 33; 2: 33; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 336,  7,  7,  137, 1, 4, 383543, 32649.12, 176, 0.00, 1: 32; 2: 35; 3: 9; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 406,  5,  9,  138, 1, 4, 355410, 32649.12, 0, 0.00, 1: 33; 2: 31; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 484,  4, 12,  138, 1, 4, 376975, 32649.12, 0, 0.00, 1: 36; 2: 25; 3: 16; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 143,  4, 12,  138, 1, 4, 377001, 32649.12, 0, 0.00, 1: 34; 2: 29; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  64,  4, 12,  138, 1, 4, 376987, 32649.12, 192, 0.00, 1: 33; 2: 31; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 819,  5,  9,  138, 1, 4, 355410, 32649.12, 0, 0.00, 1: 32; 2: 33; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  16,  9,  5,  138, 1, 4, 355410, 32649.12, 160, 0.00, 1: 31; 2: 35; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 485,  5, 10,  138, 1, 4, 390906, 32649.12, 0, 0.00, 1: 32; 2: 33; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  71,  9,  5,  138, 1, 4, 355410, 32649.12, 0, 0.00, 1: 32; 2: 34; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 248,  9,  5,  138, 1, 4, 355410, 32649.12, 0, 0.00, 1: 34; 2: 30; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 891,  5,  9,  138, 1, 4, 355410, 32649.12, 0, 0.00, 1: 34; 2: 29; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 707,  5,  9,  138, 1, 4, 355410, 32649.12, 127, 0.00, 1: 34; 2: 29; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 665,  8,  6,  138, 1, 4, 376980, 32649.12, 65, 0.00, 1: 32; 2: 33; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 778,  7,  7,  138, 1, 4, 383631, 32649.12, 0, 0.00, 1: 32; 2: 33; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 333,  4, 11,  138, 1, 4, 347182, 32649.12, 85, 0.00, 1: 34; 2: 30; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling,   4,  4, 12,  138, 1, 4, 376940, 32649.12, 106, 0.00, 1: 36; 2: 26; 3: 14; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 335,  4, 11,  138, 1, 4, 347182, 32649.12, 0, 0.00, 1: 32; 2: 34; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 772,  5, 10,  138, 1, 4, 390716, 32649.12, 0, 0.00, 1: 32; 2: 33; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 560,  4, 11,  138, 1, 4, 347182, 32649.12, 255, 0.00, 1: 35; 2: 28; 3: 13; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 687,  5, 10,  138, 1, 4, 390887, 32649.12, 0, 0.00, 1: 33; 2: 32; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 827,  4, 12,  138, 1, 4, 377040, 32649.12, 0, 0.00, 1: 34; 2: 31; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 528,  5,  9,  138, 1, 4, 355410, 32649.12, 224, 0.00, 1: 32; 2: 33; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 995,  4, 12,  138, 1, 4, 377020, 32649.12, 0, 0.00, 1: 31; 2: 37; 3: 7; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 755,  4, 11,  138, 1, 4, 347182, 32649.12, 0, 0.00, 1: 36; 2: 26; 3: 14; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 756,  5,  9,  138, 1, 4, 355410, 32649.12, 0, 0.00, 1: 35; 2: 27; 3: 15; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 468,  4, 12,  138, 1, 4, 377019, 32649.12, 143, 0.00, 1: 36; 2: 27; 3: 12; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 624,  9,  5,  138, 1, 4, 355410, 32649.12, 97, 0.00, 1: 35; 2: 27; 3: 15; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 757,  4, 12,  138, 1, 4, 377058, 32649.12, 0, 0.00, 1: 35; 2: 28; 3: 13; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 626,  9,  5,  138, 1, 4, 355410, 32649.12, 101, 0.00, 1: 33; 2: 32; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 104,  7,  7,  138, 1, 4, 383641, 32649.12, 32, 0.00, 1: 32; 2: 34; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 844,  4, 11,  138, 1, 4, 347182, 32649.12, 143, 0.00, 1: 34; 2: 29; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 127,  5,  9,  138, 1, 4, 355410, 32649.12, 0, 0.00, 1: 34; 2: 31; 3: 10; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 426,  5, 10,  138, 1, 4, 390890, 32649.12, 110, 0.00, 1: 33; 2: 31; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling,  40,  6,  8,  138, 1, 4, 376849, 32649.12, 32, 0.00, 1: 34; 2: 29; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling,   0,  6,  8,  138, 1, 4, 377030, 32649.12, 0, 0.00, 1: 32; 2: 33; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 281,  4, 12,  138, 1, 4, 377020, 32649.12, 63, 0.00, 1: 32; 2: 34; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 633,  8,  6,  138, 1, 4, 376964, 32649.12, 0, 0.00, 1: 31; 2: 35; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 613,  6,  8,  138, 1, 4, 377064, 32649.12, 0, 0.00, 1: 33; 2: 32; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 262,  5,  9,  138, 1, 4, 355410, 32649.12, 0, 0.00, 1: 32; 2: 34; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 917,  4, 11,  139, 1, 4, 347182, 32649.12, 85, 0.00, 1: 33; 2: 31; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 868,  5, 10,  139, 1, 4, 390762, 32649.12, 0, 0.00, 1: 32; 2: 34; 3: 9; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 769,  4, 11,  139, 1, 4, 347182, 32649.12, 0, 0.00, 1: 32; 2: 32; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 970,  4, 11,  139, 1, 4, 347182, 32649.12, 147, 0.00, 1: 31; 2: 35; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 106,  4, 11,  139, 1, 4, 347182, 32649.12, 66, 0.00, 1: 31; 2: 34; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 174,  9,  5,  139, 1, 4, 355410, 32649.12, 0, 0.00, 1: 30; 2: 36; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 118,  5,  9,  139, 1, 4, 355410, 32649.12, 0, 0.00, 1: 35; 2: 27; 3: 14; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 771,  4, 11,  139, 1, 4, 347182, 32649.12, 0, 0.00, 1: 32; 2: 33; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 991,  5,  9,  139, 1, 4, 355410, 32649.12, 0, 0.00, 1: 35; 2: 26; 3: 16; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 181,  8,  6,  139, 1, 4, 377024, 32649.12, 0, 0.00, 1: 30; 2: 36; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 556,  4, 11,  139, 1, 4, 347182, 32649.12, 32, 0.00, 1: 32; 2: 32; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 738,  5,  9,  139, 1, 4, 355410, 32649.12, 0, 0.00, 1: 30; 2: 36; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 543,  4, 12,  139, 1, 4, 377038, 32649.12, 0, 0.00, 1: 33; 2: 31; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 702,  4, 12,  139, 1, 4, 376948, 32649.12, 0, 0.00, 1: 32; 2: 33; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 157,  9,  5,  139, 1, 4, 355410, 32649.12, 85, 0.00, 1: 30; 2: 36; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 811,  4, 12,  139, 1, 4, 377084, 32649.12, 111, 0.00, 1: 35; 2: 28; 3: 12; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 877,  4, 12,  139, 1, 4, 377004, 32649.12, 108, 0.00, 1: 32; 2: 33; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 413,  5,  9,  139, 1, 4, 355410, 32649.12, 85, 0.00, 1: 30; 2: 37; 3: 9; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 920,  4, 12,  139, 1, 4, 376958, 32649.12, 88, 0.00, 1: 33; 2: 31; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 386,  9,  5,  139, 1, 4, 355410, 32649.12, 147, 0.00, 1: 31; 2: 34; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 145,  5,  9,  139, 1, 4, 355410, 32649.12, 179, 0.00, 1: 35; 2: 26; 3: 16; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 402,  4, 12,  139, 1, 4, 377000, 32649.12, 147, 0.00, 1: 33; 2: 31; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 523,  4, 11,  139, 1, 4, 347182, 32649.12, 127, 0.00, 1: 32; 2: 32; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 805,  4, 11,  139, 1, 4, 347182, 32649.12, 0, 0.00, 1: 32; 2: 33; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 850,  4, 12,  139, 1, 4, 377040, 32649.12, 147, 0.00, 1: 34; 2: 30; 3: 11; 4: 3; 
Guard_Cell_Abscisic_Acid_Signaling, 934,  5, 10,  139, 1, 4, 390997, 32649.12, 0, 0.00, 1: 29; 2: 38; 3: 10; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 673,  4, 12,  139, 1, 4, 377000, 32649.12, 0, 0.00, 1: 31; 2: 35; 3: 10; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 448,  9,  5,  139, 1, 4, 355410, 32649.12, 144, 0.00, 1: 32; 2: 33; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 596,  5, 10,  139, 1, 4, 390651, 32649.12, 143, 0.00, 1: 31; 2: 34; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 836,  4, 11,  139, 1, 4, 347182, 32649.12, 143, 0.00, 1: 31; 2: 34; 3: 12; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 573,  5, 10,  139, 1, 4, 390707, 32649.12, 0, 0.00, 1: 29; 2: 38; 3: 10; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 838,  5,  9,  139, 1, 4, 355410, 32649.12, 0, 0.00, 1: 33; 2: 31; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 274,  4, 11,  139, 1, 4, 347182, 32649.12, 147, 0.00, 1: 34; 2: 29; 3: 13; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 951,  4, 11,  139, 1, 4, 347182, 32649.12, 0, 0.00, 1: 35; 2: 26; 3: 16; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling,   3,  9,  5,  139, 1, 4, 355410, 32649.12, 58, 0.00, 1: 33; 2: 30; 3: 14; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 480,  5,  9,  139, 1, 4, 355410, 32649.12, 8, 0.00, 1: 30; 2: 36; 3: 11; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 669,  5, 10,  139, 1, 4, 390835, 32649.12, 85, 0.00, 1: 32; 2: 33; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 332,  5, 10,  139, 1, 4, 390803, 32649.12, 143, 0.00, 1: 32; 2: 32; 3: 13; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 603,  4, 12,  139, 1, 4, 376984, 32649.12, 127, 0.00, 1: 34; 2: 28; 3: 15; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 479,  4, 11,  139, 1, 4, 347182, 32649.12, 0, 0.00, 1: 34; 2: 28; 3: 15; 4: 1; 
Guard_Cell_Abscisic_Acid_Signaling, 653,  4, 11,  139, 1, 4, 347182, 32649.12, 85, 0.00, 1: 32; 2: 33; 3: 11; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 442,  4, 12,  139, 1, 4, 376969, 32649.12, 0, 0.00, 1: 33; 2: 31; 3: 12; 4: 2; 
Guard_Cell_Abscisic_Acid_Signaling, 587,  4, 12,  139, 1, 4, 377004, 32649.12, 127, 0.00, 1: 33; 2: 30; 3: 14; 4: 1; 
