Seed 1656949570
ARCH 0|F_ID 3|LIMIT 3
before: 
33(415)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 805,  9,  9,  169, 1, 3, 639193, 45171.35, 0, 0.00, 1: 52; 2: 45; 3: 9; 
Glucose_Repression_Signaling_2009,  44,  9,  9,  177, 1, 4, 639195, 45171.35, 70, 0.00, 1: 49; 2: 45; 3: 10; 4: 2; 
Glucose_Repression_Signaling_2009, 610, 10,  8,  177, 1, 4, 634035, 45171.35, 0, 0.00, 1: 46; 2: 50; 3: 9; 4: 1; 
Glucose_Repression_Signaling_2009,  42,  7, 12,  177, 1, 4, 658861, 45171.35, 79, 0.00, 1: 47; 2: 48; 3: 10; 4: 1; 
Glucose_Repression_Signaling_2009, 312, 10,  8,  177, 1, 4, 633890, 45171.35, 0, 0.00, 1: 48; 2: 46; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 398,  9,  9,  177, 1, 4, 639002, 45171.35, 0, 0.00, 1: 49; 2: 44; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 231, 10,  8,  177, 1, 4, 634154, 45171.35, 0, 0.00, 1: 46; 2: 50; 3: 9; 4: 1; 
Glucose_Repression_Signaling_2009, 845,  7, 12,  177, 1, 4, 658652, 45171.35, 85, 0.00, 1: 50; 2: 43; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009, 803,  7, 12,  177, 1, 4, 658832, 45171.35, 0, 0.00, 1: 48; 2: 47; 3: 9; 4: 2; 
Glucose_Repression_Signaling_2009, 414,  7, 11,  177, 1, 4, 613257, 45171.35, 0, 0.00, 1: 48; 2: 46; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 806,  7, 12,  177, 1, 4, 658781, 45171.35, 0, 0.00, 1: 49; 2: 44; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 541, 10,  8,  177, 1, 4, 634027, 45171.35, 85, 0.00, 1: 50; 2: 42; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 911, 11,  7,  177, 1, 4, 613210, 45171.35, 0, 0.00, 1: 49; 2: 45; 3: 10; 4: 2; 
Glucose_Repression_Signaling_2009, 537,  6, 14,  177, 1, 4, 658883, 45171.35, 250, 0.00, 1: 54; 2: 35; 3: 15; 4: 2; 
Glucose_Repression_Signaling_2009, 904,  7, 12,  177, 1, 4, 658706, 45171.35, 112, 0.00, 1: 49; 2: 44; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 631,  7, 12,  177, 1, 4, 658681, 45171.35, 0, 0.00, 1: 49; 2: 44; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 766,  7, 11,  177, 1, 4, 613158, 45171.35, 0, 0.00, 1: 51; 2: 41; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 588, 10,  8,  178, 1, 4, 634050, 45171.35, 169, 0.00, 1: 48; 2: 45; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 515,  8, 10,  178, 1, 4, 634108, 45171.35, 54, 0.00, 1: 46; 2: 49; 3: 10; 4: 1; 
Glucose_Repression_Signaling_2009, 804, 11,  7,  178, 1, 4, 613180, 45171.35, 0, 0.00, 1: 54; 2: 33; 3: 18; 4: 1; 
Glucose_Repression_Signaling_2009, 244,  7, 12,  178, 1, 4, 658680, 45171.35, 61, 0.00, 1: 50; 2: 42; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 248, 11,  7,  178, 1, 4, 613154, 45171.35, 0, 0.00, 1: 49; 2: 43; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009,  22,  7, 11,  178, 1, 4, 613149, 45171.35, 0, 0.00, 1: 52; 2: 38; 3: 14; 4: 2; 
Glucose_Repression_Signaling_2009, 827,  6, 14,  178, 1, 4, 658911, 45171.35, 0, 0.00, 1: 50; 2: 42; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 554,  9,  9,  178, 1, 4, 639110, 45171.35, 65, 0.00, 1: 49; 2: 43; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 593,  7, 12,  178, 1, 4, 658557, 45171.35, 224, 0.00, 1: 48; 2: 45; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 212,  6, 14,  178, 1, 4, 658364, 45171.35, 169, 0.00, 1: 49; 2: 44; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009, 444,  8, 10,  178, 1, 4, 633953, 45171.35, 2, 0.00, 1: 50; 2: 43; 3: 10; 4: 3; 
Glucose_Repression_Signaling_2009, 103, 10,  8,  178, 1, 4, 633972, 45171.35, 0, 0.00, 1: 47; 2: 47; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 784,  8, 10,  178, 1, 4, 634037, 45171.35, 0, 0.00, 1: 45; 2: 51; 3: 9; 4: 1; 
Glucose_Repression_Signaling_2009, 538, 10,  8,  178, 1, 4, 633927, 45171.35, 150, 0.00, 1: 49; 2: 43; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 779,  8, 10,  178, 1, 4, 634161, 45171.35, 0, 0.00, 1: 45; 2: 51; 3: 9; 4: 1; 
Glucose_Repression_Signaling_2009, 401,  7, 11,  178, 1, 4, 613288, 45171.35, 0, 0.00, 1: 50; 2: 41; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 620,  7, 12,  178, 1, 4, 658754, 45171.35, 51, 0.00, 1: 50; 2: 41; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 369, 10,  8,  178, 1, 4, 634019, 45171.35, 0, 0.00, 1: 45; 2: 51; 3: 9; 4: 1; 
Glucose_Repression_Signaling_2009, 894, 10,  8,  178, 1, 4, 634002, 45171.35, 0, 0.00, 1: 48; 2: 45; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 598,  7, 12,  179, 1, 4, 658789, 45171.35, 0, 0.00, 1: 49; 2: 44; 3: 10; 4: 3; 
Glucose_Repression_Signaling_2009, 526,  6, 13,  179, 1, 4, 619570, 45171.35, 0, 0.00, 1: 49; 2: 42; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 655,  6, 13,  179, 1, 4, 619592, 45171.35, 0, 0.00, 1: 46; 2: 48; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 692,  7, 12,  179, 1, 4, 658867, 45171.35, 19, 0.00, 1: 46; 2: 48; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 663,  9,  9,  179, 1, 4, 639142, 45171.35, 0, 0.00, 1: 49; 2: 42; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 179,  7, 12,  179, 1, 4, 658882, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 239, 10,  8,  179, 1, 4, 633992, 45171.35, 0, 0.00, 1: 47; 2: 47; 3: 10; 4: 2; 
Glucose_Repression_Signaling_2009, 172,  7, 11,  179, 1, 4, 613191, 45171.35, 56, 0.00, 1: 43; 2: 54; 3: 8; 4: 1; 
Glucose_Repression_Signaling_2009, 606,  7, 12,  179, 1, 4, 658780, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 681,  9,  9,  179, 1, 4, 639175, 45171.35, 71, 0.00, 1: 49; 2: 42; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 573,  8, 10,  179, 1, 4, 634040, 45171.35, 0, 0.00, 1: 49; 2: 42; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 219,  6, 13,  179, 1, 4, 619545, 45171.35, 54, 0.00, 1: 47; 2: 48; 3: 8; 4: 3; 
Glucose_Repression_Signaling_2009, 875,  6, 14,  179, 1, 4, 658607, 45171.35, 76, 0.00, 1: 47; 2: 46; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 128,  6, 14,  179, 1, 4, 658788, 45171.35, 224, 0.00, 1: 46; 2: 48; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 780,  8, 10,  179, 1, 4, 634045, 45171.35, 0, 0.00, 1: 49; 2: 42; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 455, 10,  8,  179, 1, 4, 634029, 45171.35, 0, 0.00, 1: 49; 2: 42; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 443,  6, 14,  179, 1, 4, 658752, 45171.35, 0, 0.00, 1: 51; 2: 38; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009, 441,  8, 10,  179, 1, 4, 634155, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 422, 11,  7,  179, 1, 4, 613202, 45171.35, 0, 0.00, 1: 50; 2: 40; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009, 867,  7, 11,  179, 1, 4, 613196, 45171.35, 0, 0.00, 1: 46; 2: 48; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 870,  6, 13,  179, 1, 4, 619581, 45171.35, 0, 0.00, 1: 48; 2: 44; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 516, 11,  7,  179, 1, 4, 613183, 45171.35, 169, 0.00, 1: 46; 2: 48; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 392,  9,  9,  179, 1, 4, 639133, 45171.35, 0, 0.00, 1: 48; 2: 45; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009, 378,  7, 12,  179, 1, 4, 658742, 45171.35, 0, 0.00, 1: 45; 2: 50; 3: 10; 4: 1; 
Glucose_Repression_Signaling_2009, 303,  7, 12,  179, 1, 4, 658907, 45171.35, 0, 0.00, 1: 46; 2: 49; 3: 9; 4: 2; 
Glucose_Repression_Signaling_2009, 361,  6, 14,  179, 1, 4, 658746, 45171.35, 71, 0.00, 1: 49; 2: 43; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 360,  6, 13,  179, 1, 4, 619523, 45171.35, 32, 0.00, 1: 50; 2: 40; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009,  24,  9,  9,  179, 1, 4, 639119, 45171.35, 208, 0.00, 1: 49; 2: 42; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 979, 11,  7,  179, 1, 4, 613226, 45171.35, 54, 0.00, 1: 51; 2: 38; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009,  12,  6, 14,  179, 1, 4, 658864, 45171.35, 247, 0.00, 1: 51; 2: 40; 3: 12; 4: 3; 
Glucose_Repression_Signaling_2009, 738,  7, 11,  179, 1, 4, 613208, 45171.35, 0, 0.00, 1: 50; 2: 40; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009, 513, 10,  8,  179, 1, 4, 634040, 45171.35, 223, 0.00, 1: 47; 2: 46; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 487, 11,  7,  179, 1, 4, 613161, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 731,  6, 13,  179, 1, 4, 619600, 45171.35, 54, 0.00, 1: 48; 2: 45; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009, 490,  9,  9,  179, 1, 4, 639163, 45171.35, 65, 0.00, 1: 46; 2: 48; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 703,  8, 10,  180, 1, 4, 634089, 45171.35, 0, 0.00, 1: 46; 2: 47; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 564,  7, 12,  180, 1, 4, 658439, 45171.35, 0, 0.00, 1: 46; 2: 47; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 390,  9,  9,  180, 1, 4, 639138, 45171.35, 0, 0.00, 1: 46; 2: 47; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 387,  6, 13,  180, 1, 4, 619611, 45171.35, 0, 0.00, 1: 45; 2: 49; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 386,  7, 11,  180, 1, 4, 613072, 45171.35, 0, 0.00, 1: 46; 2: 47; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 201, 10,  8,  180, 1, 4, 634125, 45171.35, 3, 0.00, 1: 47; 2: 46; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009,  68,  6, 14,  180, 1, 4, 658743, 45171.35, 0, 0.00, 1: 50; 2: 40; 3: 14; 4: 2; 
Glucose_Repression_Signaling_2009, 913,  6, 13,  180, 1, 4, 619562, 45171.35, 224, 0.00, 1: 47; 2: 45; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 379,  7, 11,  180, 1, 4, 613219, 45171.35, 0, 0.00, 1: 49; 2: 43; 3: 11; 4: 3; 
Glucose_Repression_Signaling_2009, 154,  6, 13,  180, 1, 4, 619329, 45171.35, 150, 0.00, 1: 46; 2: 47; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 684,  6, 13,  180, 1, 4, 619410, 45171.35, 52, 0.00, 1: 49; 2: 43; 3: 11; 4: 3; 
Glucose_Repression_Signaling_2009, 366,  7, 11,  180, 1, 4, 613239, 45171.35, 0, 0.00, 1: 51; 2: 37; 3: 17; 4: 1; 
Glucose_Repression_Signaling_2009, 619,  6, 13,  180, 1, 4, 619553, 45171.35, 76, 0.00, 1: 47; 2: 46; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009, 761,  6, 13,  180, 1, 4, 619574, 45171.35, 0, 0.00, 1: 47; 2: 45; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 359,  7, 11,  180, 1, 4, 613133, 45171.35, 0, 0.00, 1: 48; 2: 44; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009,  40,  6, 14,  180, 1, 4, 658697, 45171.35, 32, 0.00, 1: 50; 2: 41; 3: 12; 4: 3; 
Glucose_Repression_Signaling_2009,  33,  8, 10,  180, 1, 4, 634189, 45171.35, 0, 0.00, 1: 51; 2: 38; 3: 15; 4: 2; 
Glucose_Repression_Signaling_2009, 587,  6, 14,  180, 1, 4, 658648, 45171.35, 54, 0.00, 1: 51; 2: 39; 3: 13; 4: 3; 
Glucose_Repression_Signaling_2009, 960,  7, 12,  180, 1, 4, 658674, 45171.35, 160, 0.00, 1: 50; 2: 40; 3: 14; 4: 2; 
Glucose_Repression_Signaling_2009, 164,  7, 12,  180, 1, 4, 659001, 45171.35, 0, 0.00, 1: 48; 2: 43; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 210,  6, 13,  180, 1, 4, 619573, 45171.35, 187, 0.00, 1: 51; 2: 37; 3: 17; 4: 1; 
Glucose_Repression_Signaling_2009,   3,  6, 13,  180, 1, 4, 619503, 45171.35, 59, 0.00, 1: 48; 2: 44; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 269,  7, 12,  180, 1, 4, 658838, 45171.35, 0, 0.00, 1: 50; 2: 39; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009, 279, 10,  8,  180, 1, 4, 633976, 45171.35, 0, 0.00, 1: 46; 2: 47; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 788,  6, 13,  180, 1, 4, 619523, 45171.35, 0, 0.00, 1: 49; 2: 43; 3: 11; 4: 3; 
Glucose_Repression_Signaling_2009, 822,  6, 14,  180, 1, 4, 658544, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009, 255,  6, 14,  180, 1, 4, 658615, 45171.35, 0, 0.00, 1: 47; 2: 45; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009,  96,  7, 12,  180, 1, 4, 658725, 45171.35, 6, 0.00, 1: 47; 2: 46; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009, 142,  7, 12,  180, 1, 4, 658689, 45171.35, 0, 0.00, 1: 48; 2: 43; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 775, 11,  7,  180, 1, 4, 613183, 45171.35, 0, 0.00, 1: 46; 2: 47; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 289,  7, 12,  180, 1, 4, 658622, 45171.35, 0, 0.00, 1: 47; 2: 45; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 723,  6, 13,  180, 1, 4, 619590, 45171.35, 0, 0.00, 1: 45; 2: 50; 3: 9; 4: 2; 
Glucose_Repression_Signaling_2009, 256,  8, 10,  180, 1, 4, 634046, 45171.35, 0, 0.00, 1: 48; 2: 43; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 892,  7, 11,  180, 1, 4, 613221, 45171.35, 0, 0.00, 1: 47; 2: 45; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 755, 11,  7,  180, 1, 4, 613130, 45171.35, 0, 0.00, 1: 45; 2: 50; 3: 9; 4: 2; 
Glucose_Repression_Signaling_2009, 987, 10,  8,  181, 1, 4, 634084, 45171.35, 54, 0.00, 1: 47; 2: 44; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 985,  7, 12,  181, 1, 4, 658602, 45171.35, 251, 0.00, 1: 49; 2: 40; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009, 614,  6, 13,  181, 1, 4, 619495, 45171.35, 0, 0.00, 1: 47; 2: 44; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 691,  8, 10,  181, 1, 4, 634073, 45171.35, 0, 0.00, 1: 47; 2: 44; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009,  19,  7, 11,  181, 1, 4, 613201, 45171.35, 54, 0.00, 1: 46; 2: 46; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 968,  7, 11,  181, 1, 4, 613236, 45171.35, 176, 0.00, 1: 46; 2: 47; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009, 993,  7, 11,  181, 1, 4, 613185, 45171.35, 0, 0.00, 1: 44; 2: 50; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 796,  6, 13,  181, 1, 4, 619563, 45171.35, 169, 0.00, 1: 47; 2: 45; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 328, 11,  7,  181, 1, 4, 613131, 45171.35, 16, 0.00, 1: 49; 2: 40; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009, 818, 11,  7,  181, 1, 4, 613146, 45171.35, 0, 0.00, 1: 48; 2: 42; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009, 613,  6, 14,  181, 1, 4, 658495, 45171.35, 0, 0.00, 1: 48; 2: 42; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009, 840, 10,  8,  181, 1, 4, 634134, 45171.35, 48, 0.00, 1: 48; 2: 42; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009, 711,  6, 14,  181, 1, 4, 658901, 45171.35, 0, 0.00, 1: 47; 2: 44; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 675,  7, 12,  181, 1, 4, 658480, 45171.35, 0, 0.00, 1: 45; 2: 48; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 849, 11,  7,  181, 1, 4, 613200, 45171.35, 224, 0.00, 1: 45; 2: 48; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 918,  7, 12,  181, 1, 4, 658727, 45171.35, 0, 0.00, 1: 47; 2: 46; 3: 10; 4: 3; 
Glucose_Repression_Signaling_2009, 914, 10,  8,  181, 1, 4, 634043, 45171.35, 150, 0.00, 1: 47; 2: 45; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 852,  7, 11,  181, 1, 4, 613190, 45171.35, 169, 0.00, 1: 45; 2: 48; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 868,  8, 10,  181, 1, 4, 634069, 45171.35, 0, 0.00, 1: 45; 2: 48; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 883, 10,  8,  181, 1, 4, 634081, 45171.35, 0, 0.00, 1: 44; 2: 50; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 899,  7, 11,  181, 1, 4, 613273, 45171.35, 54, 0.00, 1: 44; 2: 50; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 192,  6, 13,  181, 1, 4, 619420, 45171.35, 48, 0.00, 1: 46; 2: 46; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 465, 11,  7,  181, 1, 4, 613233, 45171.35, 221, 0.00, 1: 45; 2: 48; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 442,  8, 10,  181, 1, 4, 634074, 45171.35, 0, 0.00, 1: 45; 2: 48; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 281,  7, 12,  181, 1, 4, 658911, 45171.35, 249, 0.00, 1: 46; 2: 46; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 468,  7, 12,  181, 1, 4, 658500, 45171.35, 169, 0.00, 1: 48; 2: 42; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009, 345,  7, 11,  181, 1, 4, 613219, 45171.35, 249, 0.00, 1: 47; 2: 44; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 542, 11,  7,  181, 1, 4, 613142, 45171.35, 0, 0.00, 1: 48; 2: 43; 3: 13; 4: 2; 
Glucose_Repression_Signaling_2009, 302,  6, 14,  181, 1, 4, 658737, 45171.35, 0, 0.00, 1: 48; 2: 42; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009, 384,  7, 12,  181, 1, 4, 658793, 45171.35, 0, 0.00, 1: 45; 2: 48; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 266,  7, 11,  181, 1, 4, 613154, 45171.35, 0, 0.00, 1: 47; 2: 45; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 237,  7, 12,  181, 1, 4, 658463, 45171.35, 112, 0.00, 1: 44; 2: 50; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 349,  6, 13,  181, 1, 4, 619526, 45171.35, 85, 0.00, 1: 49; 2: 40; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009, 597,  6, 13,  181, 1, 4, 619492, 45171.35, 85, 0.00, 1: 48; 2: 43; 3: 13; 4: 2; 
Glucose_Repression_Signaling_2009, 262,  7, 11,  182, 1, 4, 613193, 45171.35, 0, 0.00, 1: 49; 2: 40; 3: 15; 4: 2; 
Glucose_Repression_Signaling_2009, 301, 11,  7,  182, 1, 4, 613200, 45171.35, 32, 0.00, 1: 47; 2: 43; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009,  66,  9,  9,  182, 1, 4, 639095, 45171.35, 0, 0.00, 1: 45; 2: 47; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 547,  6, 14,  182, 1, 4, 658680, 45171.35, 0, 0.00, 1: 48; 2: 42; 3: 14; 4: 2; 
Glucose_Repression_Signaling_2009, 196, 11,  7,  182, 1, 4, 613216, 45171.35, 169, 0.00, 1: 47; 2: 43; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009, 416,  6, 14,  182, 1, 4, 658868, 45171.35, 7, 0.00, 1: 46; 2: 45; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 877,  7, 12,  182, 1, 4, 658607, 45171.35, 48, 0.00, 1: 46; 2: 45; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 259,  8, 10,  182, 1, 4, 634076, 45171.35, 0, 0.00, 1: 47; 2: 43; 3: 15; 4: 1; 
Glucose_Repression_Signaling_2009, 338,  6, 14,  182, 1, 4, 658769, 45171.35, 186, 0.00, 1: 46; 2: 46; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 917, 11,  7,  182, 1, 4, 613217, 45171.35, 85, 0.00, 1: 48; 2: 41; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009,  80,  6, 13,  182, 1, 4, 619754, 45171.35, 0, 0.00, 1: 46; 2: 45; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 532, 11,  7,  182, 1, 4, 613158, 45171.35, 169, 0.00, 1: 45; 2: 48; 3: 11; 4: 2; 
Glucose_Repression_Signaling_2009, 426, 10,  8,  182, 1, 4, 634018, 45171.35, 65, 0.00, 1: 44; 2: 49; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 169, 11,  7,  182, 1, 4, 613132, 45171.35, 67, 0.00, 1: 48; 2: 41; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009, 536,  6, 13,  182, 1, 4, 619605, 45171.35, 8, 0.00, 1: 48; 2: 41; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009, 146,  7, 12,  182, 1, 4, 658797, 45171.35, 187, 0.00, 1: 44; 2: 49; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009,   0,  6, 14,  182, 1, 4, 658632, 45171.35, 128, 0.00, 1: 48; 2: 41; 3: 16; 4: 1; 
Glucose_Repression_Signaling_2009, 617, 11,  7,  182, 1, 4, 613215, 45171.35, 71, 0.00, 1: 46; 2: 45; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 616,  7, 12,  182, 1, 4, 658879, 45171.35, 32, 0.00, 1: 47; 2: 44; 3: 13; 4: 2; 
Glucose_Repression_Signaling_2009, 337,  7, 11,  182, 1, 4, 613245, 45171.35, 142, 0.00, 1: 44; 2: 49; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 187,  6, 14,  182, 1, 4, 658766, 45171.35, 0, 0.00, 1: 47; 2: 44; 3: 13; 4: 2; 
Glucose_Repression_Signaling_2009,  73,  6, 13,  182, 1, 4, 619611, 45171.35, 0, 0.00, 1: 44; 2: 49; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 715,  6, 13,  182, 1, 4, 619481, 45171.35, 0, 0.00, 1: 50; 2: 38; 3: 16; 4: 2; 
Glucose_Repression_Signaling_2009,   5,  7, 11,  182, 1, 4, 613201, 45171.35, 127, 0.00, 1: 45; 2: 47; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 690,  6, 14,  183, 1, 4, 658647, 45171.35, 0, 0.00, 1: 48; 2: 41; 3: 15; 4: 2; 
Glucose_Repression_Signaling_2009, 969, 11,  7,  183, 1, 4, 613193, 45171.35, 224, 0.00, 1: 41; 2: 54; 3: 10; 4: 1; 
Glucose_Repression_Signaling_2009, 241,  6, 14,  183, 1, 4, 658775, 45171.35, 0, 0.00, 1: 47; 2: 43; 3: 14; 4: 2; 
Glucose_Repression_Signaling_2009, 770,  7, 12,  183, 1, 4, 658763, 45171.35, 0, 0.00, 1: 45; 2: 46; 3: 14; 4: 1; 
Glucose_Repression_Signaling_2009, 967,  7, 12,  183, 1, 4, 658810, 45171.35, 0, 0.00, 1: 44; 2: 48; 3: 13; 4: 1; 
Glucose_Repression_Signaling_2009, 320,  7, 11,  183, 1, 4, 613208, 45171.35, 0, 0.00, 1: 42; 2: 52; 3: 11; 4: 1; 
Glucose_Repression_Signaling_2009, 463, 11,  7,  183, 1, 4, 613237, 45171.35, 0, 0.00, 1: 43; 2: 50; 3: 12; 4: 1; 
Glucose_Repression_Signaling_2009, 674, 11,  7,  183, 1, 4, 613164, 45171.35, 0, 0.00, 1: 45; 2: 47; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 955,  6, 13,  183, 1, 4, 619561, 45171.35, 0, 0.00, 1: 48; 2: 40; 3: 17; 4: 1; 
Glucose_Repression_Signaling_2009, 298,  6, 13,  183, 1, 4, 619560, 45171.35, 66, 0.00, 1: 45; 2: 47; 3: 12; 4: 2; 
Glucose_Repression_Signaling_2009, 470,  8, 10,  183, 1, 4, 633935, 45171.35, 0, 0.00, 1: 49; 2: 38; 3: 18; 4: 1; 
Glucose_Repression_Signaling_2009, 491,  6, 14,  183, 1, 4, 658764, 45171.35, 76, 0.00, 1: 46; 2: 44; 3: 15; 4: 1; 
