Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
53(788)
Melhor resultado nxn: CD4_T_cell_signaling,  81, 14, 14,  496, 1, 3, 1583841, 110173.38, 0, 0.00, 1: 205; 2: 132; 3: 9; 
CD4_T_cell_signaling, 402,  8, 26,  520, 1, 3, 1664502, 110173.38, 0, 0.00, 1: 194; 2: 130; 3: 22; 
CD4_T_cell_signaling, 158,  9, 23,  520, 1, 3, 1649751, 110173.38, 0, 0.00, 1: 193; 2: 132; 3: 21; 
CD4_T_cell_signaling, 320,  9, 21,  520, 1, 3, 1527876, 110173.38, 19, 0.00, 1: 188; 2: 142; 3: 16; 
CD4_T_cell_signaling, 319, 14, 14,  520, 1, 3, 1583748, 110173.38, 0, 0.00, 1: 189; 2: 140; 3: 17; 
CD4_T_cell_signaling,  68,  8, 24,  520, 1, 3, 1539745, 110173.38, 8, 0.00, 1: 191; 2: 136; 3: 19; 
CD4_T_cell_signaling, 361, 14, 14,  520, 1, 3, 1583796, 110173.38, 0, 0.00, 1: 187; 2: 144; 3: 15; 
CD4_T_cell_signaling, 440,  9, 21,  520, 1, 3, 1527876, 110173.38, 31, 0.00, 1: 191; 2: 136; 3: 19; 
CD4_T_cell_signaling, 477, 14, 14,  520, 1, 3, 1583710, 110173.38, 0, 0.00, 1: 186; 2: 146; 3: 14; 
CD4_T_cell_signaling, 978, 10, 19,  520, 1, 3, 1526073, 110173.38, 0, 0.00, 1: 193; 2: 132; 3: 21; 
CD4_T_cell_signaling, 337,  9, 21,  520, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 190; 2: 138; 3: 18; 
CD4_T_cell_signaling, 957, 10, 19,  520, 1, 3, 1526087, 110173.38, 0, 0.00, 1: 191; 2: 136; 3: 19; 
CD4_T_cell_signaling,  78, 13, 15,  520, 1, 3, 1568105, 110173.38, 0, 0.00, 1: 197; 2: 124; 3: 25; 
CD4_T_cell_signaling, 997,  8, 24,  520, 1, 3, 1539741, 110173.38, 0, 0.00, 1: 190; 2: 138; 3: 18; 
CD4_T_cell_signaling, 177, 14, 14,  520, 1, 3, 1583751, 110173.38, 0, 0.00, 1: 198; 2: 122; 3: 26; 
CD4_T_cell_signaling, 345, 12, 16,  520, 1, 3, 1539688, 110173.38, 0, 0.00, 1: 191; 2: 136; 3: 19; 
CD4_T_cell_signaling, 188,  9, 22,  520, 1, 3, 1595687, 110173.38, 34, 0.00, 1: 193; 2: 132; 3: 21; 
CD4_T_cell_signaling, 757, 12, 16,  520, 1, 3, 1539745, 110173.38, 0, 0.00, 1: 186; 2: 146; 3: 14; 
CD4_T_cell_signaling, 570,  8, 24,  520, 1, 3, 1539707, 110173.38, 0, 0.00, 1: 190; 2: 138; 3: 18; 
CD4_T_cell_signaling, 498, 13, 15,  520, 1, 3, 1568123, 110173.38, 0, 0.00, 1: 186; 2: 146; 3: 14; 
CD4_T_cell_signaling, 933,  9, 21,  520, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 195; 2: 128; 3: 23; 
CD4_T_cell_signaling, 138, 10, 20,  520, 1, 3, 1606518, 110173.38, 0, 0.00, 1: 191; 2: 136; 3: 19; 
CD4_T_cell_signaling, 296,  9, 21,  520, 1, 3, 1527876, 110173.38, 18, 0.00, 1: 194; 2: 130; 3: 22; 
CD4_T_cell_signaling, 425, 11, 18,  520, 1, 3, 1595589, 110173.38, 0, 0.00, 1: 188; 2: 142; 3: 16; 
CD4_T_cell_signaling,  67,  9, 21,  521, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 188; 2: 141; 3: 17; 
CD4_T_cell_signaling, 360, 11, 18,  521, 1, 3, 1595571, 110173.38, 24, 0.00, 1: 188; 2: 141; 3: 17; 
CD4_T_cell_signaling, 357, 14, 14,  521, 1, 3, 1583771, 110173.38, 0, 0.00, 1: 188; 2: 141; 3: 17; 
CD4_T_cell_signaling, 986,  9, 21,  521, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 190; 2: 137; 3: 19; 
CD4_T_cell_signaling, 887, 16, 12,  521, 1, 3, 1539759, 110173.38, 0, 0.00, 1: 191; 2: 135; 3: 20; 
CD4_T_cell_signaling, 567,  8, 26,  521, 1, 3, 1663950, 110173.38, 0, 0.00, 1: 194; 2: 129; 3: 23; 
CD4_T_cell_signaling, 793, 14, 14,  521, 1, 3, 1583726, 110173.38, 0, 0.00, 1: 186; 2: 145; 3: 15; 
CD4_T_cell_signaling, 563,  8, 26,  521, 1, 3, 1664305, 110173.38, 0, 0.00, 1: 193; 2: 131; 3: 22; 
CD4_T_cell_signaling, 380, 10, 20,  521, 1, 3, 1606577, 110173.38, 186, 0.00, 1: 181; 2: 155; 3: 10; 
CD4_T_cell_signaling, 617,  9, 22,  521, 1, 3, 1595652, 110173.38, 0, 0.00, 1: 190; 2: 137; 3: 19; 
CD4_T_cell_signaling, 904, 16, 12,  521, 1, 3, 1539722, 110173.38, 69, 0.00, 1: 186; 2: 145; 3: 15; 
CD4_T_cell_signaling, 457, 10, 19,  521, 1, 3, 1526045, 110173.38, 0, 0.00, 1: 184; 2: 149; 3: 13; 
CD4_T_cell_signaling, 456, 12, 16,  521, 1, 3, 1539657, 110173.38, 31, 0.00, 1: 192; 2: 133; 3: 21; 
CD4_T_cell_signaling, 967, 16, 12,  521, 1, 3, 1539657, 110173.38, 0, 0.00, 1: 194; 2: 129; 3: 23; 
CD4_T_cell_signaling, 634, 10, 20,  521, 1, 3, 1606387, 110173.38, 0, 0.00, 1: 187; 2: 143; 3: 16; 
CD4_T_cell_signaling, 604, 10, 19,  521, 1, 3, 1526072, 110173.38, 163, 0.00, 1: 189; 2: 139; 3: 18; 
CD4_T_cell_signaling, 652, 15, 13,  521, 1, 3, 1568291, 110173.38, 102, 0.00, 1: 190; 2: 137; 3: 19; 
CD4_T_cell_signaling, 124,  9, 21,  521, 1, 3, 1527876, 110173.38, 152, 0.00, 1: 185; 2: 147; 3: 14; 
CD4_T_cell_signaling, 598, 12, 17,  521, 1, 3, 1626106, 110173.38, 0, 0.00, 1: 194; 2: 129; 3: 23; 
CD4_T_cell_signaling,  51, 10, 20,  521, 1, 3, 1606515, 110173.38, 0, 0.00, 1: 191; 2: 135; 3: 20; 
CD4_T_cell_signaling, 775, 16, 12,  521, 1, 3, 1539733, 110173.38, 0, 0.00, 1: 189; 2: 139; 3: 18; 
CD4_T_cell_signaling, 393, 12, 16,  521, 1, 3, 1539733, 110173.38, 0, 0.00, 1: 188; 2: 141; 3: 17; 
CD4_T_cell_signaling, 174, 10, 19,  521, 1, 3, 1526071, 110173.38, 0, 0.00, 1: 188; 2: 141; 3: 17; 
CD4_T_cell_signaling, 844, 15, 13,  521, 1, 3, 1568193, 110173.38, 130, 0.00, 1: 188; 2: 141; 3: 17; 
CD4_T_cell_signaling, 670, 12, 16,  521, 1, 3, 1539743, 110173.38, 0, 0.00, 1: 187; 2: 143; 3: 16; 
CD4_T_cell_signaling, 143, 10, 19,  521, 1, 3, 1526108, 110173.38, 0, 0.00, 1: 192; 2: 133; 3: 21; 
CD4_T_cell_signaling, 515, 13, 15,  521, 1, 3, 1568149, 110173.38, 0, 0.00, 1: 194; 2: 129; 3: 23; 
CD4_T_cell_signaling, 756, 15, 13,  522, 1, 3, 1568193, 110173.38, 36, 0.00, 1: 181; 2: 154; 3: 11; 
CD4_T_cell_signaling,  74, 13, 15,  522, 1, 3, 1568206, 110173.38, 0, 0.00, 1: 186; 2: 144; 3: 16; 
CD4_T_cell_signaling,  64, 15, 13,  522, 1, 3, 1568118, 110173.38, 6, 0.00, 1: 186; 2: 144; 3: 16; 
CD4_T_cell_signaling, 611,  8, 26,  522, 1, 3, 1664283, 110173.38, 0, 0.00, 1: 191; 2: 134; 3: 21; 
CD4_T_cell_signaling, 163, 12, 16,  522, 1, 3, 1539726, 110173.38, 0, 0.00, 1: 187; 2: 142; 3: 17; 
CD4_T_cell_signaling, 245, 12, 17,  522, 1, 3, 1626398, 110173.38, 0, 0.00, 1: 190; 2: 136; 3: 20; 
CD4_T_cell_signaling, 230, 16, 12,  522, 1, 3, 1539736, 110173.38, 0, 0.00, 1: 188; 2: 140; 3: 18; 
CD4_T_cell_signaling,  26, 10, 19,  522, 1, 3, 1526066, 110173.38, 28, 0.00, 1: 187; 2: 142; 3: 17; 
CD4_T_cell_signaling, 615, 11, 18,  522, 1, 3, 1595441, 110173.38, 0, 0.00, 1: 185; 2: 146; 3: 15; 
CD4_T_cell_signaling, 314, 16, 12,  522, 1, 3, 1539707, 110173.38, 0, 0.00, 1: 191; 2: 134; 3: 21; 
CD4_T_cell_signaling, 536, 15, 13,  522, 1, 3, 1568188, 110173.38, 33, 0.00, 1: 191; 2: 134; 3: 21; 
CD4_T_cell_signaling,  39,  9, 22,  522, 1, 3, 1595591, 110173.38, 0, 0.00, 1: 191; 2: 134; 3: 21; 
CD4_T_cell_signaling, 125, 10, 20,  522, 1, 3, 1606619, 110173.38, 0, 0.00, 1: 193; 2: 130; 3: 23; 
CD4_T_cell_signaling, 830, 12, 16,  522, 1, 3, 1539731, 110173.38, 0, 0.00, 1: 180; 2: 156; 3: 10; 
CD4_T_cell_signaling,  41,  9, 22,  522, 1, 3, 1595559, 110173.38, 0, 0.00, 1: 186; 2: 144; 3: 16; 
CD4_T_cell_signaling, 803, 16, 12,  522, 1, 3, 1539645, 110173.38, 0, 0.00, 1: 186; 2: 144; 3: 16; 
CD4_T_cell_signaling, 459, 14, 14,  522, 1, 3, 1583753, 110173.38, 0, 0.00, 1: 185; 2: 146; 3: 15; 
CD4_T_cell_signaling, 373,  8, 26,  522, 1, 3, 1664373, 110173.38, 0, 0.00, 1: 195; 2: 126; 3: 25; 
CD4_T_cell_signaling,  40, 14, 14,  522, 1, 3, 1583833, 110173.38, 3, 0.00, 1: 187; 2: 142; 3: 17; 
CD4_T_cell_signaling, 675, 16, 12,  523, 1, 3, 1539759, 110173.38, 0, 0.00, 1: 190; 2: 135; 3: 21; 
CD4_T_cell_signaling, 689, 14, 14,  523, 1, 3, 1583856, 110173.38, 0, 0.00, 1: 186; 2: 143; 3: 17; 
CD4_T_cell_signaling, 847,  9, 21,  523, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 193; 2: 129; 3: 24; 
CD4_T_cell_signaling, 735,  8, 26,  523, 1, 3, 1664096, 110173.38, 0, 0.00, 1: 192; 2: 131; 3: 23; 
CD4_T_cell_signaling, 433,  9, 21,  523, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 192; 2: 131; 3: 23; 
CD4_T_cell_signaling, 979, 12, 17,  523, 1, 3, 1626175, 110173.38, 0, 0.00, 1: 191; 2: 133; 3: 22; 
CD4_T_cell_signaling, 849, 16, 12,  523, 1, 3, 1539714, 110173.38, 0, 0.00, 1: 189; 2: 137; 3: 20; 
CD4_T_cell_signaling, 599, 10, 20,  523, 1, 3, 1606611, 110173.38, 0, 0.00, 1: 191; 2: 133; 3: 22; 
CD4_T_cell_signaling, 431,  9, 21,  523, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 190; 2: 135; 3: 21; 
CD4_T_cell_signaling, 898, 13, 15,  523, 1, 3, 1568159, 110173.38, 0, 0.00, 1: 185; 2: 145; 3: 16; 
CD4_T_cell_signaling, 993,  9, 21,  523, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 186; 2: 143; 3: 17; 
CD4_T_cell_signaling, 811,  9, 21,  523, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 187; 2: 141; 3: 18; 
CD4_T_cell_signaling, 666,  9, 22,  523, 1, 3, 1595460, 110173.38, 0, 0.00, 1: 189; 2: 137; 3: 20; 
CD4_T_cell_signaling, 840, 11, 18,  523, 1, 3, 1595472, 110173.38, 62, 0.00, 1: 185; 2: 145; 3: 16; 
CD4_T_cell_signaling, 533,  8, 25,  523, 1, 3, 1606426, 110173.38, 0, 0.00, 1: 190; 2: 135; 3: 21; 
CD4_T_cell_signaling, 780,  8, 25,  523, 1, 3, 1606340, 110173.38, 138, 0.00, 1: 189; 2: 137; 3: 20; 
CD4_T_cell_signaling, 692, 16, 12,  523, 1, 3, 1539669, 110173.38, 35, 0.00, 1: 183; 2: 149; 3: 14; 
CD4_T_cell_signaling, 850,  9, 21,  523, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 190; 2: 135; 3: 21; 
CD4_T_cell_signaling, 951,  9, 22,  523, 1, 3, 1595625, 110173.38, 0, 0.00, 1: 196; 2: 123; 3: 27; 
CD4_T_cell_signaling, 579, 15, 13,  523, 1, 3, 1568059, 110173.38, 0, 0.00, 1: 180; 2: 155; 3: 11; 
CD4_T_cell_signaling, 943, 15, 13,  523, 1, 3, 1568239, 110173.38, 0, 0.00, 1: 183; 2: 149; 3: 14; 
CD4_T_cell_signaling, 877, 16, 12,  523, 1, 3, 1539743, 110173.38, 0, 0.00, 1: 194; 2: 127; 3: 25; 
CD4_T_cell_signaling, 833,  8, 26,  523, 1, 3, 1664506, 110173.38, 0, 0.00, 1: 187; 2: 141; 3: 18; 
CD4_T_cell_signaling, 781,  8, 26,  523, 1, 3, 1664145, 110173.38, 0, 0.00, 1: 185; 2: 145; 3: 16; 
CD4_T_cell_signaling,  10, 14, 14,  523, 1, 3, 1583726, 110173.38, 252, 0.00, 1: 189; 2: 137; 3: 20; 
CD4_T_cell_signaling, 323, 15, 13,  523, 1, 3, 1568132, 110173.38, 0, 0.00, 1: 186; 2: 143; 3: 17; 
CD4_T_cell_signaling,  77,  8, 24,  524, 1, 3, 1539714, 110173.38, 0, 0.00, 1: 189; 2: 136; 3: 21; 
CD4_T_cell_signaling, 109, 13, 15,  524, 1, 3, 1568197, 110173.38, 0, 0.00, 1: 190; 2: 134; 3: 22; 
CD4_T_cell_signaling, 637,  9, 23,  524, 1, 3, 1650071, 110173.38, 0, 0.00, 1: 190; 2: 134; 3: 22; 
CD4_T_cell_signaling, 299, 12, 16,  524, 1, 3, 1539714, 110173.38, 0, 0.00, 1: 188; 2: 138; 3: 20; 
CD4_T_cell_signaling, 834, 14, 14,  524, 1, 3, 1583852, 110173.38, 0, 0.00, 1: 186; 2: 142; 3: 18; 
CD4_T_cell_signaling, 621, 10, 20,  524, 1, 3, 1606404, 110173.38, 0, 0.00, 1: 181; 2: 152; 3: 13; 
CD4_T_cell_signaling, 432, 14, 14,  524, 1, 3, 1583647, 110173.38, 29, 0.00, 1: 194; 2: 126; 3: 26; 
CD4_T_cell_signaling,  83,  8, 24,  524, 1, 3, 1539661, 110173.38, 0, 0.00, 1: 189; 2: 136; 3: 21; 
CD4_T_cell_signaling, 562, 14, 14,  524, 1, 3, 1583775, 110173.38, 0, 0.00, 1: 188; 2: 138; 3: 20; 
CD4_T_cell_signaling, 920,  9, 22,  524, 1, 3, 1595456, 110173.38, 70, 0.00, 1: 187; 2: 140; 3: 19; 
CD4_T_cell_signaling, 185, 10, 20,  524, 1, 3, 1606542, 110173.38, 0, 0.00, 1: 189; 2: 136; 3: 21; 
CD4_T_cell_signaling, 727, 16, 12,  524, 1, 3, 1539698, 110173.38, 0, 0.00, 1: 186; 2: 142; 3: 18; 
CD4_T_cell_signaling, 576,  9, 22,  524, 1, 3, 1595621, 110173.38, 37, 0.00, 1: 191; 2: 132; 3: 23; 
CD4_T_cell_signaling, 538, 15, 13,  524, 1, 3, 1568114, 110173.38, 0, 0.00, 1: 181; 2: 152; 3: 13; 
CD4_T_cell_signaling, 104, 15, 13,  524, 1, 3, 1568246, 110173.38, 9, 0.00, 1: 190; 2: 134; 3: 22; 
CD4_T_cell_signaling, 806, 16, 12,  524, 1, 3, 1539747, 110173.38, 0, 0.00, 1: 182; 2: 150; 3: 14; 
CD4_T_cell_signaling, 270,  8, 26,  524, 1, 3, 1664221, 110173.38, 0, 0.00, 1: 194; 2: 126; 3: 26; 
CD4_T_cell_signaling, 401,  8, 26,  524, 1, 3, 1664123, 110173.38, 0, 0.00, 1: 186; 2: 142; 3: 18; 
CD4_T_cell_signaling, 603, 11, 18,  524, 1, 3, 1595568, 110173.38, 0, 0.00, 1: 181; 2: 152; 3: 13; 
CD4_T_cell_signaling, 271, 10, 20,  524, 1, 3, 1606658, 110173.38, 0, 0.00, 1: 187; 2: 140; 3: 19; 
CD4_T_cell_signaling, 669,  8, 24,  524, 1, 3, 1539719, 110173.38, 0, 0.00, 1: 191; 2: 132; 3: 23; 
CD4_T_cell_signaling, 991,  9, 21,  525, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 183; 2: 147; 3: 16; 
CD4_T_cell_signaling, 427,  8, 26,  525, 1, 3, 1664134, 110173.38, 0, 0.00, 1: 187; 2: 139; 3: 20; 
CD4_T_cell_signaling, 947,  8, 26,  525, 1, 3, 1664242, 110173.38, 0, 0.00, 1: 192; 2: 129; 3: 25; 
CD4_T_cell_signaling,  31,  8, 24,  525, 1, 3, 1539758, 110173.38, 0, 0.00, 1: 185; 2: 143; 3: 18; 
CD4_T_cell_signaling, 175,  8, 25,  525, 1, 3, 1606640, 110173.38, 0, 0.00, 1: 188; 2: 137; 3: 21; 
CD4_T_cell_signaling, 171,  8, 26,  525, 1, 3, 1664603, 110173.38, 0, 0.00, 1: 187; 2: 139; 3: 20; 
CD4_T_cell_signaling, 408, 13, 15,  525, 1, 3, 1568272, 110173.38, 26, 0.00, 1: 189; 2: 135; 3: 22; 
CD4_T_cell_signaling, 413,  8, 25,  525, 1, 3, 1606521, 110173.38, 0, 0.00, 1: 191; 2: 131; 3: 24; 
CD4_T_cell_signaling,   6,  8, 24,  525, 1, 3, 1539642, 110173.38, 0, 0.00, 1: 192; 2: 129; 3: 25; 
CD4_T_cell_signaling, 293,  8, 24,  525, 1, 3, 1539714, 110173.38, 0, 0.00, 1: 188; 2: 137; 3: 21; 
CD4_T_cell_signaling, 679, 14, 14,  525, 1, 3, 1583836, 110173.38, 0, 0.00, 1: 184; 2: 145; 3: 17; 
CD4_T_cell_signaling, 748, 14, 14,  525, 1, 3, 1583794, 110173.38, 51, 0.00, 1: 185; 2: 143; 3: 18; 
CD4_T_cell_signaling, 842, 12, 17,  525, 1, 3, 1626168, 110173.38, 0, 0.00, 1: 188; 2: 137; 3: 21; 
CD4_T_cell_signaling, 397, 16, 12,  525, 1, 3, 1539694, 110173.38, 0, 0.00, 1: 187; 2: 139; 3: 20; 
CD4_T_cell_signaling, 398,  8, 24,  525, 1, 3, 1539741, 110173.38, 0, 0.00, 1: 189; 2: 135; 3: 22; 
CD4_T_cell_signaling, 569,  9, 23,  525, 1, 3, 1649887, 110173.38, 0, 0.00, 1: 193; 2: 127; 3: 26; 
CD4_T_cell_signaling,  50,  8, 25,  525, 1, 3, 1606500, 110173.38, 0, 0.00, 1: 188; 2: 137; 3: 21; 
CD4_T_cell_signaling, 285,  9, 22,  525, 1, 3, 1595152, 110173.38, 0, 0.00, 1: 192; 2: 129; 3: 25; 
CD4_T_cell_signaling, 910,  8, 24,  525, 1, 3, 1539698, 110173.38, 0, 0.00, 1: 189; 2: 135; 3: 22; 
CD4_T_cell_signaling, 528, 10, 20,  525, 1, 3, 1606413, 110173.38, 33, 0.00, 1: 186; 2: 141; 3: 19; 
CD4_T_cell_signaling, 927, 14, 14,  525, 1, 3, 1583689, 110173.38, 0, 0.00, 1: 185; 2: 143; 3: 18; 
CD4_T_cell_signaling, 531, 13, 15,  525, 1, 3, 1568178, 110173.38, 0, 0.00, 1: 188; 2: 137; 3: 21; 
CD4_T_cell_signaling, 487, 16, 12,  525, 1, 3, 1539754, 110173.38, 0, 0.00, 1: 186; 2: 141; 3: 19; 
CD4_T_cell_signaling, 549, 14, 14,  526, 1, 3, 1583661, 110173.38, 0, 0.00, 1: 184; 2: 144; 3: 18; 
CD4_T_cell_signaling, 390,  8, 24,  526, 1, 3, 1539591, 110173.38, 0, 0.00, 1: 193; 2: 126; 3: 27; 
CD4_T_cell_signaling,  75,  8, 26,  526, 1, 3, 1664424, 110173.38, 0, 0.00, 1: 191; 2: 130; 3: 25; 
CD4_T_cell_signaling, 485, 10, 19,  526, 1, 3, 1526106, 110173.38, 0, 0.00, 1: 185; 2: 142; 3: 19; 
CD4_T_cell_signaling, 410, 12, 17,  526, 1, 3, 1626331, 110173.38, 0, 0.00, 1: 181; 2: 150; 3: 15; 
CD4_T_cell_signaling, 491, 14, 14,  526, 1, 3, 1583819, 110173.38, 0, 0.00, 1: 183; 2: 146; 3: 17; 
CD4_T_cell_signaling, 607,  9, 21,  526, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 184; 2: 144; 3: 18; 
CD4_T_cell_signaling, 256,  8, 25,  526, 1, 3, 1606524, 110173.38, 16, 0.00, 1: 193; 2: 126; 3: 27; 
CD4_T_cell_signaling, 130, 12, 17,  526, 1, 3, 1626455, 110173.38, 0, 0.00, 1: 187; 2: 138; 3: 21; 
CD4_T_cell_signaling, 889, 10, 20,  526, 1, 3, 1606472, 110173.38, 0, 0.00, 1: 187; 2: 138; 3: 21; 
CD4_T_cell_signaling, 671, 13, 15,  526, 1, 3, 1568183, 110173.38, 0, 0.00, 1: 187; 2: 138; 3: 21; 
CD4_T_cell_signaling, 240,  8, 26,  526, 1, 3, 1664544, 110173.38, 16, 0.00, 1: 192; 2: 128; 3: 26; 
CD4_T_cell_signaling, 201, 15, 13,  526, 1, 3, 1568264, 110173.38, 0, 0.00, 1: 184; 2: 144; 3: 18; 
CD4_T_cell_signaling,  30,  8, 26,  526, 1, 3, 1664034, 110173.38, 0, 0.00, 1: 185; 2: 142; 3: 19; 
CD4_T_cell_signaling, 343, 14, 14,  526, 1, 3, 1583795, 110173.38, 0, 0.00, 1: 182; 2: 148; 3: 16; 
CD4_T_cell_signaling, 762, 15, 13,  526, 1, 3, 1568221, 110173.38, 0, 0.00, 1: 182; 2: 148; 3: 16; 
CD4_T_cell_signaling,  35,  9, 22,  526, 1, 3, 1595429, 110173.38, 0, 0.00, 1: 189; 2: 134; 3: 23; 
CD4_T_cell_signaling, 642, 12, 16,  526, 1, 3, 1539740, 110173.38, 0, 0.00, 1: 178; 2: 156; 3: 12; 
CD4_T_cell_signaling, 350, 13, 15,  526, 1, 3, 1568199, 110173.38, 0, 0.00, 1: 188; 2: 136; 3: 22; 
CD4_T_cell_signaling, 223,  9, 21,  526, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 189; 2: 134; 3: 23; 
CD4_T_cell_signaling, 176,  8, 24,  526, 1, 3, 1539738, 110173.38, 13, 0.00, 1: 180; 2: 152; 3: 14; 
CD4_T_cell_signaling, 753, 10, 19,  526, 1, 3, 1526101, 110173.38, 0, 0.00, 1: 187; 2: 138; 3: 21; 
CD4_T_cell_signaling, 765, 10, 19,  526, 1, 3, 1526106, 110173.38, 0, 0.00, 1: 177; 2: 158; 3: 11; 
CD4_T_cell_signaling, 355, 10, 19,  526, 1, 3, 1526078, 110173.38, 0, 0.00, 1: 179; 2: 154; 3: 13; 
CD4_T_cell_signaling, 325,  8, 24,  526, 1, 3, 1539629, 110173.38, 0, 0.00, 1: 186; 2: 140; 3: 20; 
CD4_T_cell_signaling, 571,  8, 26,  526, 1, 3, 1664349, 110173.38, 0, 0.00, 1: 190; 2: 132; 3: 24; 
CD4_T_cell_signaling, 864, 12, 17,  527, 1, 3, 1626362, 110173.38, 65, 0.00, 1: 185; 2: 141; 3: 20; 
CD4_T_cell_signaling, 139, 14, 14,  527, 1, 3, 1583811, 110173.38, 0, 0.00, 1: 187; 2: 137; 3: 22; 
CD4_T_cell_signaling, 960, 16, 12,  527, 1, 3, 1539691, 110173.38, 71, 0.00, 1: 176; 2: 159; 3: 11; 
CD4_T_cell_signaling, 873, 15, 13,  527, 1, 3, 1568166, 110173.38, 0, 0.00, 1: 192; 2: 127; 3: 27; 
CD4_T_cell_signaling, 716, 12, 17,  527, 1, 3, 1626204, 110173.38, 47, 0.00, 1: 187; 2: 137; 3: 22; 
CD4_T_cell_signaling, 547,  8, 24,  527, 1, 3, 1539705, 110173.38, 0, 0.00, 1: 186; 2: 139; 3: 21; 
CD4_T_cell_signaling, 791,  8, 24,  527, 1, 3, 1539771, 110173.38, 0, 0.00, 1: 185; 2: 141; 3: 20; 
CD4_T_cell_signaling, 142, 12, 17,  527, 1, 3, 1625984, 110173.38, 0, 0.00, 1: 183; 2: 145; 3: 18; 
CD4_T_cell_signaling, 678, 12, 17,  527, 1, 3, 1626250, 110173.38, 0, 0.00, 1: 186; 2: 139; 3: 21; 
CD4_T_cell_signaling, 224,  8, 26,  527, 1, 3, 1664246, 110173.38, 15, 0.00, 1: 182; 2: 147; 3: 17; 
CD4_T_cell_signaling, 117, 16, 12,  527, 1, 3, 1539718, 110173.38, 0, 0.00, 1: 185; 2: 141; 3: 20; 
CD4_T_cell_signaling, 812,  9, 22,  527, 1, 3, 1595427, 110173.38, 161, 0.00, 1: 190; 2: 131; 3: 25; 
CD4_T_cell_signaling, 108, 13, 15,  527, 1, 3, 1568240, 110173.38, 170, 0.00, 1: 185; 2: 141; 3: 20; 
CD4_T_cell_signaling, 962, 16, 12,  527, 1, 3, 1539623, 110173.38, 0, 0.00, 1: 192; 2: 127; 3: 27; 
CD4_T_cell_signaling, 807,  8, 24,  527, 1, 3, 1539720, 110173.38, 0, 0.00, 1: 183; 2: 145; 3: 18; 
CD4_T_cell_signaling, 284, 12, 17,  527, 1, 3, 1626032, 110173.38, 72, 0.00, 1: 187; 2: 137; 3: 22; 
CD4_T_cell_signaling, 452,  8, 24,  527, 1, 3, 1539772, 110173.38, 144, 0.00, 1: 190; 2: 131; 3: 25; 
CD4_T_cell_signaling, 819, 16, 12,  528, 1, 3, 1539685, 110173.38, 0, 0.00, 1: 187; 2: 136; 3: 23; 
CD4_T_cell_signaling, 392, 14, 14,  528, 1, 3, 1583671, 110173.38, 25, 0.00, 1: 181; 2: 148; 3: 17; 
CD4_T_cell_signaling,  15,  8, 24,  528, 1, 3, 1539727, 110173.38, 0, 0.00, 1: 188; 2: 134; 3: 24; 
CD4_T_cell_signaling, 860, 15, 13,  528, 1, 3, 1568168, 110173.38, 65, 0.00, 1: 186; 2: 138; 3: 22; 
CD4_T_cell_signaling, 705, 15, 13,  528, 1, 3, 1568153, 110173.38, 0, 0.00, 1: 185; 2: 140; 3: 21; 
CD4_T_cell_signaling, 159, 16, 12,  528, 1, 3, 1539682, 110173.38, 0, 0.00, 1: 185; 2: 140; 3: 21; 
CD4_T_cell_signaling, 277,  8, 24,  528, 1, 3, 1539716, 110173.38, 0, 0.00, 1: 186; 2: 138; 3: 22; 
CD4_T_cell_signaling, 149, 10, 20,  528, 1, 3, 1606389, 110173.38, 0, 0.00, 1: 189; 2: 132; 3: 25; 
CD4_T_cell_signaling, 839, 12, 16,  528, 1, 3, 1539789, 110173.38, 0, 0.00, 1: 183; 2: 144; 3: 19; 
CD4_T_cell_signaling, 815, 16, 12,  528, 1, 3, 1539640, 110173.38, 0, 0.00, 1: 183; 2: 144; 3: 19; 
CD4_T_cell_signaling, 479, 11, 18,  528, 1, 3, 1595625, 110173.38, 0, 0.00, 1: 183; 2: 144; 3: 19; 
CD4_T_cell_signaling, 578, 15, 13,  528, 1, 3, 1568283, 110173.38, 0, 0.00, 1: 184; 2: 142; 3: 20; 
CD4_T_cell_signaling, 372, 12, 16,  528, 1, 3, 1539764, 110173.38, 117, 0.00, 1: 182; 2: 146; 3: 18; 
CD4_T_cell_signaling, 411,  8, 24,  528, 1, 3, 1539685, 110173.38, 0, 0.00, 1: 189; 2: 132; 3: 25; 
CD4_T_cell_signaling, 667, 16, 12,  528, 1, 3, 1539784, 110173.38, 0, 0.00, 1: 178; 2: 154; 3: 14; 
CD4_T_cell_signaling, 250,  9, 21,  528, 1, 3, 1527876, 110173.38, 0, 0.00, 1: 183; 2: 144; 3: 19; 
