Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
193(640)
Melhor resultado nxn: CD4_T_cell_signaling, 990, 14, 14,  530, 1, 3, 1583733, 112548.32, 0, 0.00, 1: 183; 2: 142; 3: 21; 
CD4_T_cell_signaling, 746, 16, 12,  574, 1, 3, 1539720, 112548.32, 0, 0.00, 1: 145; 2: 174; 3: 27; 
CD4_T_cell_signaling, 957, 10, 19,  574, 1, 3, 1526105, 112548.32, 0, 0.00, 1: 152; 2: 160; 3: 34; 
CD4_T_cell_signaling, 574, 14, 14,  575, 1, 3, 1583889, 112548.32, 0, 0.00, 1: 154; 2: 155; 3: 37; 
CD4_T_cell_signaling, 457, 10, 19,  576, 1, 3, 1526102, 112548.32, 0, 0.00, 1: 152; 2: 158; 3: 36; 
CD4_T_cell_signaling, 317,  8, 25,  578, 1, 3, 1606526, 112548.32, 0, 0.00, 1: 150; 2: 160; 3: 36; 
CD4_T_cell_signaling, 178, 16, 12,  580, 1, 3, 1539661, 112548.32, 0, 0.00, 1: 143; 2: 172; 3: 31; 
CD4_T_cell_signaling, 444, 13, 15,  593, 1, 3, 1568297, 112548.32, 155, 0.00, 1: 141; 2: 163; 3: 42; 
CD4_T_cell_signaling, 418, 12, 17,  518, 1, 4, 1626132, 112548.32, 0, 0.00, 1: 191; 2: 139; 3: 15; 4: 1; 
CD4_T_cell_signaling, 504, 12, 17,  527, 1, 4, 1626223, 112548.32, 33, 0.00, 1: 187; 2: 138; 3: 20; 4: 1; 
CD4_T_cell_signaling, 196, 12, 17,  528, 1, 4, 1626084, 112548.32, 11, 0.00, 1: 180; 2: 151; 3: 14; 4: 1; 
CD4_T_cell_signaling, 878,  9, 23,  530, 1, 4, 1649535, 112548.32, 0, 0.00, 1: 184; 2: 142; 3: 18; 4: 2; 
CD4_T_cell_signaling, 592, 16, 12,  530, 1, 4, 1539661, 112548.32, 39, 0.00, 1: 180; 2: 149; 3: 16; 4: 1; 
CD4_T_cell_signaling, 159, 16, 12,  530, 1, 4, 1539751, 112548.32, 0, 0.00, 1: 180; 2: 149; 3: 16; 4: 1; 
CD4_T_cell_signaling, 940, 12, 17,  530, 1, 4, 1625927, 112548.32, 37, 0.00, 1: 182; 2: 145; 3: 18; 4: 1; 
CD4_T_cell_signaling, 286, 11, 18,  532, 1, 4, 1595667, 112548.32, 0, 0.00, 1: 182; 2: 143; 3: 20; 4: 1; 
CD4_T_cell_signaling, 782, 14, 14,  533, 1, 4, 1583799, 112548.32, 0, 0.00, 1: 180; 2: 146; 3: 19; 4: 1; 
CD4_T_cell_signaling, 723, 11, 18,  533, 1, 4, 1595636, 112548.32, 0, 0.00, 1: 182; 2: 142; 3: 21; 4: 1; 
CD4_T_cell_signaling,  47, 12, 16,  534, 1, 4, 1539740, 112548.32, 0, 0.00, 1: 183; 2: 139; 3: 23; 4: 1; 
CD4_T_cell_signaling, 365,  9, 22,  534, 1, 4, 1595483, 112548.32, 0, 0.00, 1: 181; 2: 143; 3: 21; 4: 1; 
CD4_T_cell_signaling, 412,  9, 23,  535, 1, 4, 1649647, 112548.32, 39, 0.00, 1: 184; 2: 136; 3: 25; 4: 1; 
CD4_T_cell_signaling, 284, 12, 17,  535, 1, 4, 1626146, 112548.32, 72, 0.00, 1: 180; 2: 144; 3: 21; 4: 1; 
CD4_T_cell_signaling, 914,  9, 23,  535, 1, 4, 1649644, 112548.32, 0, 0.00, 1: 178; 2: 148; 3: 19; 4: 1; 
CD4_T_cell_signaling, 714, 10, 20,  535, 1, 4, 1606562, 112548.32, 0, 0.00, 1: 178; 2: 148; 3: 19; 4: 1; 
CD4_T_cell_signaling,   4,  9, 23,  536, 1, 4, 1649645, 112548.32, 22, 0.00, 1: 185; 2: 133; 3: 27; 4: 1; 
CD4_T_cell_signaling, 458,  9, 22,  537, 1, 4, 1595649, 112548.32, 0, 0.00, 1: 177; 2: 148; 3: 20; 4: 1; 
CD4_T_cell_signaling, 866,  9, 22,  537, 1, 4, 1595384, 112548.32, 0, 0.00, 1: 184; 2: 134; 3: 27; 4: 1; 
CD4_T_cell_signaling, 417, 15, 13,  537, 1, 4, 1568094, 112548.32, 0, 0.00, 1: 185; 2: 132; 3: 28; 4: 1; 
CD4_T_cell_signaling, 482, 11, 18,  537, 1, 4, 1595595, 112548.32, 0, 0.00, 1: 175; 2: 152; 3: 18; 4: 1; 
CD4_T_cell_signaling, 772,  9, 23,  538, 1, 4, 1649381, 112548.32, 57, 0.00, 1: 176; 2: 149; 3: 20; 4: 1; 
CD4_T_cell_signaling,  48, 12, 17,  538, 1, 4, 1626267, 112548.32, 4, 0.00, 1: 180; 2: 141; 3: 24; 4: 1; 
CD4_T_cell_signaling, 928, 12, 17,  538, 1, 4, 1625878, 112548.32, 70, 0.00, 1: 172; 2: 157; 3: 16; 4: 1; 
CD4_T_cell_signaling, 465, 12, 17,  538, 1, 4, 1625893, 112548.32, 0, 0.00, 1: 175; 2: 151; 3: 19; 4: 1; 
CD4_T_cell_signaling,   3,  9, 23,  538, 1, 4, 1649484, 112548.32, 72, 0.00, 1: 174; 2: 154; 3: 16; 4: 2; 
CD4_T_cell_signaling, 280,  8, 25,  539, 1, 4, 1606686, 112548.32, 18, 0.00, 1: 174; 2: 152; 3: 19; 4: 1; 
CD4_T_cell_signaling, 846, 10, 20,  539, 1, 4, 1606438, 112548.32, 0, 0.00, 1: 181; 2: 138; 3: 26; 4: 1; 
CD4_T_cell_signaling, 941,  8, 25,  539, 1, 4, 1606621, 112548.32, 0, 0.00, 1: 179; 2: 142; 3: 24; 4: 1; 
CD4_T_cell_signaling, 184,  9, 21,  539, 1, 4, 1527876, 112548.32, 13, 0.00, 1: 176; 2: 148; 3: 21; 4: 1; 
CD4_T_cell_signaling, 892,  8, 26,  539, 1, 4, 1664391, 112548.32, 65, 0.00, 1: 181; 2: 138; 3: 26; 4: 1; 
CD4_T_cell_signaling, 500,  9, 22,  540, 1, 4, 1595748, 112548.32, 33, 0.00, 1: 173; 2: 153; 3: 19; 4: 1; 
CD4_T_cell_signaling, 921, 10, 20,  540, 1, 4, 1606372, 112548.32, 0, 0.00, 1: 173; 2: 153; 3: 19; 4: 1; 
CD4_T_cell_signaling, 896,  9, 23,  540, 1, 4, 1649296, 112548.32, 69, 0.00, 1: 175; 2: 149; 3: 21; 4: 1; 
CD4_T_cell_signaling, 619, 11, 18,  540, 1, 4, 1595497, 112548.32, 0, 0.00, 1: 180; 2: 139; 3: 26; 4: 1; 
CD4_T_cell_signaling, 187, 14, 14,  540, 1, 4, 1583789, 112548.32, 0, 0.00, 1: 177; 2: 145; 3: 23; 4: 1; 
CD4_T_cell_signaling, 473,  9, 23,  540, 1, 4, 1649534, 112548.32, 0, 0.00, 1: 175; 2: 149; 3: 21; 4: 1; 
CD4_T_cell_signaling, 537, 10, 19,  540, 1, 4, 1526091, 112548.32, 0, 0.00, 1: 174; 2: 151; 3: 20; 4: 1; 
CD4_T_cell_signaling, 662,  8, 26,  541, 1, 4, 1664299, 112548.32, 0, 0.00, 1: 171; 2: 156; 3: 18; 4: 1; 
CD4_T_cell_signaling,  28, 12, 17,  541, 1, 4, 1626088, 112548.32, 230, 0.00, 1: 175; 2: 148; 3: 22; 4: 1; 
CD4_T_cell_signaling, 654, 10, 20,  541, 1, 4, 1606369, 112548.32, 0, 0.00, 1: 178; 2: 142; 3: 25; 4: 1; 
CD4_T_cell_signaling, 895,  9, 23,  541, 1, 4, 1649821, 112548.32, 0, 0.00, 1: 178; 2: 143; 3: 23; 4: 2; 
CD4_T_cell_signaling,  86, 11, 18,  541, 1, 4, 1595434, 112548.32, 0, 0.00, 1: 173; 2: 152; 3: 20; 4: 1; 
CD4_T_cell_signaling, 117, 16, 12,  541, 1, 4, 1539750, 112548.32, 0, 0.00, 1: 173; 2: 153; 3: 18; 4: 2; 
CD4_T_cell_signaling, 113, 13, 15,  541, 1, 4, 1568239, 112548.32, 0, 0.00, 1: 176; 2: 146; 3: 23; 4: 1; 
CD4_T_cell_signaling, 315, 14, 14,  541, 1, 4, 1583683, 112548.32, 0, 0.00, 1: 176; 2: 146; 3: 23; 4: 1; 
CD4_T_cell_signaling, 701,  9, 21,  542, 1, 4, 1527876, 112548.32, 0, 0.00, 1: 176; 2: 145; 3: 24; 4: 1; 
CD4_T_cell_signaling, 398,  8, 24,  542, 1, 4, 1539726, 112548.32, 0, 0.00, 1: 176; 2: 145; 3: 24; 4: 1; 
CD4_T_cell_signaling, 269, 12, 17,  542, 1, 4, 1626202, 112548.32, 0, 0.00, 1: 175; 2: 148; 3: 21; 4: 2; 
CD4_T_cell_signaling, 278, 11, 18,  542, 1, 4, 1595630, 112548.32, 0, 0.00, 1: 172; 2: 153; 3: 20; 4: 1; 
CD4_T_cell_signaling,  79, 12, 17,  542, 1, 4, 1626086, 112548.32, 0, 0.00, 1: 171; 2: 155; 3: 19; 4: 1; 
CD4_T_cell_signaling,  13, 14, 14,  542, 1, 4, 1583705, 112548.32, 127, 0.00, 1: 173; 2: 151; 3: 21; 4: 1; 
CD4_T_cell_signaling, 497, 12, 16,  542, 1, 4, 1539741, 112548.32, 0, 0.00, 1: 176; 2: 145; 3: 24; 4: 1; 
CD4_T_cell_signaling, 198, 10, 20,  542, 1, 4, 1606501, 112548.32, 0, 0.00, 1: 179; 2: 139; 3: 27; 4: 1; 
CD4_T_cell_signaling, 810,  8, 24,  542, 1, 4, 1539691, 112548.32, 0, 0.00, 1: 171; 2: 155; 3: 19; 4: 1; 
CD4_T_cell_signaling, 158,  9, 23,  543, 1, 4, 1649705, 112548.32, 0, 0.00, 1: 175; 2: 146; 3: 24; 4: 1; 
CD4_T_cell_signaling, 762, 15, 13,  543, 1, 4, 1568276, 112548.32, 0, 0.00, 1: 181; 2: 135; 3: 28; 4: 2; 
CD4_T_cell_signaling, 104, 15, 13,  544, 1, 4, 1568188, 112548.32, 9, 0.00, 1: 169; 2: 157; 3: 19; 4: 1; 
CD4_T_cell_signaling,  87,  9, 21,  544, 1, 4, 1527876, 112548.32, 0, 0.00, 1: 173; 2: 151; 3: 19; 4: 3; 
CD4_T_cell_signaling, 778, 13, 15,  544, 1, 4, 1568204, 112548.32, 0, 0.00, 1: 174; 2: 147; 3: 24; 4: 1; 
CD4_T_cell_signaling, 702,  9, 23,  544, 1, 4, 1649555, 112548.32, 0, 0.00, 1: 177; 2: 141; 3: 27; 4: 1; 
CD4_T_cell_signaling, 374, 12, 16,  544, 1, 4, 1539690, 112548.32, 0, 0.00, 1: 172; 2: 151; 3: 22; 4: 1; 
CD4_T_cell_signaling, 631,  9, 22,  544, 1, 4, 1595647, 112548.32, 0, 0.00, 1: 179; 2: 137; 3: 29; 4: 1; 
CD4_T_cell_signaling, 886,  8, 25,  544, 1, 4, 1606407, 112548.32, 0, 0.00, 1: 180; 2: 135; 3: 30; 4: 1; 
CD4_T_cell_signaling,  62,  8, 25,  545, 1, 4, 1606479, 112548.32, 0, 0.00, 1: 175; 2: 144; 3: 26; 4: 1; 
CD4_T_cell_signaling, 337,  9, 21,  545, 1, 4, 1527876, 112548.32, 0, 0.00, 1: 171; 2: 152; 3: 22; 4: 1; 
CD4_T_cell_signaling, 945,  8, 25,  545, 1, 4, 1606597, 112548.32, 0, 0.00, 1: 172; 2: 150; 3: 23; 4: 1; 
CD4_T_cell_signaling, 246, 12, 16,  545, 1, 4, 1539646, 112548.32, 0, 0.00, 1: 171; 2: 152; 3: 22; 4: 1; 
CD4_T_cell_signaling, 576,  9, 22,  545, 1, 4, 1595585, 112548.32, 37, 0.00, 1: 175; 2: 144; 3: 26; 4: 1; 
CD4_T_cell_signaling, 289,  9, 22,  545, 1, 4, 1595561, 112548.32, 0, 0.00, 1: 163; 2: 168; 3: 14; 4: 1; 
CD4_T_cell_signaling, 930, 11, 18,  545, 1, 4, 1595678, 112548.32, 0, 0.00, 1: 166; 2: 162; 3: 17; 4: 1; 
CD4_T_cell_signaling, 316, 12, 17,  545, 1, 4, 1626046, 112548.32, 100, 0.00, 1: 168; 2: 158; 3: 19; 4: 1; 
CD4_T_cell_signaling, 637,  9, 23,  545, 1, 4, 1649662, 112548.32, 0, 0.00, 1: 174; 2: 146; 3: 25; 4: 1; 
CD4_T_cell_signaling, 127,  9, 21,  545, 1, 4, 1527876, 112548.32, 0, 0.00, 1: 182; 2: 130; 3: 33; 4: 1; 
CD4_T_cell_signaling, 768,  8, 25,  545, 1, 4, 1606463, 112548.32, 53, 0.00, 1: 170; 2: 154; 3: 21; 4: 1; 
CD4_T_cell_signaling, 784,  8, 25,  545, 1, 4, 1606506, 112548.32, 55, 0.00, 1: 177; 2: 140; 3: 28; 4: 1; 
CD4_T_cell_signaling, 175,  8, 25,  546, 1, 4, 1606796, 112548.32, 0, 0.00, 1: 176; 2: 141; 3: 28; 4: 1; 
CD4_T_cell_signaling, 301, 12, 17,  546, 1, 4, 1626131, 112548.32, 0, 0.00, 1: 168; 2: 157; 3: 20; 4: 1; 
CD4_T_cell_signaling, 279, 11, 18,  546, 1, 4, 1595546, 112548.32, 0, 0.00, 1: 169; 2: 155; 3: 21; 4: 1; 
CD4_T_cell_signaling, 780,  8, 25,  546, 1, 4, 1606432, 112548.32, 138, 0.00, 1: 173; 2: 147; 3: 25; 4: 1; 
CD4_T_cell_signaling, 650,  9, 23,  546, 1, 4, 1649578, 112548.32, 0, 0.00, 1: 175; 2: 143; 3: 27; 4: 1; 
CD4_T_cell_signaling, 355, 10, 19,  546, 1, 4, 1526095, 112548.32, 0, 0.00, 1: 172; 2: 149; 3: 24; 4: 1; 
CD4_T_cell_signaling, 696, 12, 17,  546, 1, 4, 1626081, 112548.32, 44, 0.00, 1: 169; 2: 155; 3: 21; 4: 1; 
CD4_T_cell_signaling, 437, 10, 20,  546, 1, 4, 1606432, 112548.32, 0, 0.00, 1: 176; 2: 141; 3: 28; 4: 1; 
CD4_T_cell_signaling, 494,  8, 26,  546, 1, 4, 1664221, 112548.32, 0, 0.00, 1: 178; 2: 137; 3: 30; 4: 1; 
CD4_T_cell_signaling, 241,  8, 24,  547, 1, 4, 1539725, 112548.32, 0, 0.00, 1: 168; 2: 156; 3: 21; 4: 1; 
CD4_T_cell_signaling, 157,  9, 22,  547, 1, 4, 1595424, 112548.32, 0, 0.00, 1: 169; 2: 156; 3: 18; 4: 3; 
CD4_T_cell_signaling, 651,  8, 24,  547, 1, 4, 1539682, 112548.32, 0, 0.00, 1: 171; 2: 150; 3: 24; 4: 1; 
CD4_T_cell_signaling, 953, 15, 13,  547, 1, 4, 1568159, 112548.32, 0, 0.00, 1: 171; 2: 150; 3: 24; 4: 1; 
CD4_T_cell_signaling,  75,  8, 26,  547, 1, 4, 1664572, 112548.32, 0, 0.00, 1: 180; 2: 133; 3: 31; 4: 2; 
CD4_T_cell_signaling, 407, 16, 12,  547, 1, 4, 1539717, 112548.32, 0, 0.00, 1: 171; 2: 150; 3: 24; 4: 1; 
CD4_T_cell_signaling, 814,  9, 22,  547, 1, 4, 1595540, 112548.32, 0, 0.00, 1: 166; 2: 160; 3: 19; 4: 1; 
CD4_T_cell_signaling,  22,  8, 26,  547, 1, 4, 1664084, 112548.32, 0, 0.00, 1: 173; 2: 146; 3: 26; 4: 1; 
CD4_T_cell_signaling, 164, 16, 12,  547, 1, 4, 1539730, 112548.32, 132, 0.00, 1: 165; 2: 162; 3: 18; 4: 1; 
CD4_T_cell_signaling, 255, 10, 19,  547, 1, 4, 1526097, 112548.32, 0, 0.00, 1: 166; 2: 160; 3: 19; 4: 1; 
CD4_T_cell_signaling, 185, 10, 20,  547, 1, 4, 1606546, 112548.32, 0, 0.00, 1: 171; 2: 150; 3: 24; 4: 1; 
CD4_T_cell_signaling, 783,  9, 21,  547, 1, 4, 1527876, 112548.32, 0, 0.00, 1: 165; 2: 162; 3: 18; 4: 1; 
CD4_T_cell_signaling, 585, 10, 20,  547, 1, 4, 1606563, 112548.32, 0, 0.00, 1: 174; 2: 144; 3: 27; 4: 1; 
CD4_T_cell_signaling, 110,  8, 25,  547, 1, 4, 1606490, 112548.32, 0, 0.00, 1: 176; 2: 141; 3: 27; 4: 2; 
CD4_T_cell_signaling, 923, 15, 13,  548, 1, 4, 1568192, 112548.32, 0, 0.00, 1: 170; 2: 151; 3: 24; 4: 1; 
CD4_T_cell_signaling, 123,  8, 25,  548, 1, 4, 1606332, 112548.32, 0, 0.00, 1: 176; 2: 139; 3: 30; 4: 1; 
CD4_T_cell_signaling, 993,  9, 21,  548, 1, 4, 1527876, 112548.32, 0, 0.00, 1: 166; 2: 159; 3: 20; 4: 1; 
CD4_T_cell_signaling, 149, 10, 20,  548, 1, 4, 1606483, 112548.32, 0, 0.00, 1: 166; 2: 159; 3: 20; 4: 1; 
CD4_T_cell_signaling, 710,  8, 25,  548, 1, 4, 1606395, 112548.32, 0, 0.00, 1: 173; 2: 146; 3: 25; 4: 2; 
CD4_T_cell_signaling, 632, 10, 20,  548, 1, 4, 1606423, 112548.32, 39, 0.00, 1: 173; 2: 146; 3: 25; 4: 2; 
CD4_T_cell_signaling, 960, 16, 12,  548, 1, 4, 1539676, 112548.32, 71, 0.00, 1: 170; 2: 151; 3: 24; 4: 1; 
CD4_T_cell_signaling, 983, 10, 20,  548, 1, 4, 1606517, 112548.32, 0, 0.00, 1: 165; 2: 161; 3: 19; 4: 1; 
CD4_T_cell_signaling, 176,  8, 24,  548, 1, 4, 1539660, 112548.32, 13, 0.00, 1: 173; 2: 146; 3: 25; 4: 2; 
CD4_T_cell_signaling, 453, 11, 18,  548, 1, 4, 1595068, 112548.32, 0, 0.00, 1: 171; 2: 149; 3: 25; 4: 1; 
CD4_T_cell_signaling, 327,  8, 26,  548, 1, 4, 1664294, 112548.32, 0, 0.00, 1: 168; 2: 156; 3: 20; 4: 2; 
CD4_T_cell_signaling, 131,  8, 25,  548, 1, 4, 1606587, 112548.32, 0, 0.00, 1: 167; 2: 157; 3: 21; 4: 1; 
CD4_T_cell_signaling, 190, 14, 14,  548, 1, 4, 1583654, 112548.32, 0, 0.00, 1: 171; 2: 149; 3: 25; 4: 1; 
CD4_T_cell_signaling, 130, 12, 17,  549, 1, 4, 1626410, 112548.32, 0, 0.00, 1: 173; 2: 144; 3: 28; 4: 1; 
CD4_T_cell_signaling, 767, 10, 20,  549, 1, 4, 1606694, 112548.32, 0, 0.00, 1: 170; 2: 150; 3: 25; 4: 1; 
CD4_T_cell_signaling, 146,  9, 22,  549, 1, 4, 1595588, 112548.32, 0, 0.00, 1: 170; 2: 150; 3: 25; 4: 1; 
CD4_T_cell_signaling, 137,  8, 26,  549, 1, 4, 1664343, 112548.32, 0, 0.00, 1: 174; 2: 142; 3: 29; 4: 1; 
CD4_T_cell_signaling, 470,  8, 25,  549, 1, 4, 1606605, 112548.32, 0, 0.00, 1: 171; 2: 148; 3: 26; 4: 1; 
CD4_T_cell_signaling, 121, 10, 20,  549, 1, 4, 1606599, 112548.32, 0, 0.00, 1: 168; 2: 154; 3: 23; 4: 1; 
CD4_T_cell_signaling,  60, 11, 18,  549, 1, 4, 1595506, 112548.32, 15, 0.00, 1: 167; 2: 156; 3: 22; 4: 1; 
CD4_T_cell_signaling, 642, 12, 16,  549, 1, 4, 1539784, 112548.32, 0, 0.00, 1: 170; 2: 150; 3: 25; 4: 1; 
CD4_T_cell_signaling,  25,  8, 26,  549, 1, 4, 1664334, 112548.32, 26, 0.00, 1: 173; 2: 144; 3: 28; 4: 1; 
CD4_T_cell_signaling, 260,  8, 25,  549, 1, 4, 1606530, 112548.32, 181, 0.00, 1: 175; 2: 140; 3: 30; 4: 1; 
CD4_T_cell_signaling, 894,  9, 23,  549, 1, 4, 1649651, 112548.32, 0, 0.00, 1: 168; 2: 154; 3: 23; 4: 1; 
CD4_T_cell_signaling, 622,  8, 25,  549, 1, 4, 1606595, 112548.32, 0, 0.00, 1: 172; 2: 146; 3: 27; 4: 1; 
CD4_T_cell_signaling, 695,  8, 25,  549, 1, 4, 1606610, 112548.32, 0, 0.00, 1: 176; 2: 138; 3: 31; 4: 1; 
CD4_T_cell_signaling,  52, 12, 16,  549, 1, 4, 1539721, 112548.32, 35, 0.00, 1: 163; 2: 164; 3: 18; 4: 1; 
CD4_T_cell_signaling, 691, 13, 15,  549, 1, 4, 1568253, 112548.32, 0, 0.00, 1: 172; 2: 146; 3: 27; 4: 1; 
CD4_T_cell_signaling, 354, 12, 16,  549, 1, 4, 1539796, 112548.32, 0, 0.00, 1: 166; 2: 158; 3: 21; 4: 1; 
CD4_T_cell_signaling, 749,  8, 25,  549, 1, 4, 1606679, 112548.32, 0, 0.00, 1: 172; 2: 146; 3: 27; 4: 1; 
CD4_T_cell_signaling, 816, 15, 13,  549, 1, 4, 1568020, 112548.32, 59, 0.00, 1: 164; 2: 162; 3: 19; 4: 1; 
CD4_T_cell_signaling, 401,  8, 26,  550, 1, 4, 1664230, 112548.32, 0, 0.00, 1: 172; 2: 146; 3: 26; 4: 2; 
CD4_T_cell_signaling, 880, 16, 12,  550, 1, 4, 1539711, 112548.32, 67, 0.00, 1: 166; 2: 158; 3: 20; 4: 2; 
CD4_T_cell_signaling, 888, 15, 13,  550, 1, 4, 1568100, 112548.32, 68, 0.00, 1: 175; 2: 139; 3: 31; 4: 1; 
CD4_T_cell_signaling, 656,  8, 26,  550, 1, 4, 1664452, 112548.32, 41, 0.00, 1: 164; 2: 162; 3: 18; 4: 2; 
CD4_T_cell_signaling, 623,  9, 23,  550, 1, 4, 1649765, 112548.32, 0, 0.00, 1: 166; 2: 157; 3: 22; 4: 1; 
CD4_T_cell_signaling, 231, 15, 13,  550, 1, 4, 1568159, 112548.32, 0, 0.00, 1: 162; 2: 165; 3: 18; 4: 1; 
CD4_T_cell_signaling, 124,  9, 21,  550, 1, 4, 1527876, 112548.32, 152, 0.00, 1: 165; 2: 159; 3: 21; 4: 1; 
CD4_T_cell_signaling, 758,  8, 25,  550, 1, 4, 1606638, 112548.32, 0, 0.00, 1: 171; 2: 147; 3: 27; 4: 1; 
CD4_T_cell_signaling, 704, 13, 15,  550, 1, 4, 1568119, 112548.32, 45, 0.00, 1: 165; 2: 160; 3: 19; 4: 2; 
CD4_T_cell_signaling, 852,  9, 21,  550, 1, 4, 1527876, 112548.32, 62, 0.00, 1: 166; 2: 157; 3: 22; 4: 1; 
CD4_T_cell_signaling, 568,  9, 22,  550, 1, 4, 1595409, 112548.32, 36, 0.00, 1: 172; 2: 146; 3: 26; 4: 2; 
CD4_T_cell_signaling, 168, 12, 16,  550, 1, 4, 1539751, 112548.32, 13, 0.00, 1: 165; 2: 159; 3: 21; 4: 1; 
CD4_T_cell_signaling,  54, 16, 12,  550, 1, 4, 1539706, 112548.32, 0, 0.00, 1: 172; 2: 145; 3: 28; 4: 1; 
CD4_T_cell_signaling,  55, 15, 13,  550, 1, 4, 1568150, 112548.32, 0, 0.00, 1: 172; 2: 145; 3: 28; 4: 1; 
CD4_T_cell_signaling,  65,  8, 26,  550, 1, 4, 1664497, 112548.32, 0, 0.00, 1: 169; 2: 151; 3: 25; 4: 1; 
CD4_T_cell_signaling, 917,  9, 22,  550, 1, 4, 1595264, 112548.32, 0, 0.00, 1: 171; 2: 147; 3: 27; 4: 1; 
CD4_T_cell_signaling, 179,  9, 22,  551, 1, 4, 1595594, 112548.32, 0, 0.00, 1: 170; 2: 148; 3: 27; 4: 1; 
CD4_T_cell_signaling, 254,  8, 26,  551, 1, 4, 1664262, 112548.32, 0, 0.00, 1: 168; 2: 152; 3: 25; 4: 1; 
CD4_T_cell_signaling, 449, 13, 15,  551, 1, 4, 1568311, 112548.32, 0, 0.00, 1: 168; 2: 152; 3: 25; 4: 1; 
CD4_T_cell_signaling, 313, 14, 14,  551, 1, 4, 1583845, 112548.32, 0, 0.00, 1: 171; 2: 148; 3: 24; 4: 3; 
CD4_T_cell_signaling, 913, 15, 13,  551, 1, 4, 1568224, 112548.32, 0, 0.00, 1: 164; 2: 160; 3: 21; 4: 1; 
CD4_T_cell_signaling, 996,  8, 26,  551, 1, 4, 1663995, 112548.32, 108, 0.00, 1: 173; 2: 142; 3: 30; 4: 1; 
CD4_T_cell_signaling, 781,  8, 26,  551, 1, 4, 1664218, 112548.32, 0, 0.00, 1: 173; 2: 142; 3: 30; 4: 1; 
CD4_T_cell_signaling,  97, 10, 19,  551, 1, 4, 1526093, 112548.32, 0, 0.00, 1: 164; 2: 160; 3: 21; 4: 1; 
CD4_T_cell_signaling,  37,  8, 25,  551, 1, 4, 1606491, 112548.32, 0, 0.00, 1: 167; 2: 154; 3: 24; 4: 1; 
CD4_T_cell_signaling, 673, 10, 20,  552, 1, 4, 1606530, 112548.32, 0, 0.00, 1: 166; 2: 155; 3: 24; 4: 1; 
CD4_T_cell_signaling,  85,  8, 25,  552, 1, 4, 1606595, 112548.32, 0, 0.00, 1: 168; 2: 151; 3: 26; 4: 1; 
CD4_T_cell_signaling, 366,  9, 21,  552, 1, 4, 1527876, 112548.32, 0, 0.00, 1: 168; 2: 151; 3: 26; 4: 1; 
CD4_T_cell_signaling, 513,  9, 23,  552, 1, 4, 1649469, 112548.32, 0, 0.00, 1: 168; 2: 151; 3: 26; 4: 1; 
CD4_T_cell_signaling, 496, 13, 15,  552, 1, 4, 1568249, 112548.32, 33, 0.00, 1: 167; 2: 153; 3: 25; 4: 1; 
CD4_T_cell_signaling, 608,  9, 22,  552, 1, 4, 1595578, 112548.32, 39, 0.00, 1: 167; 2: 154; 3: 23; 4: 2; 
CD4_T_cell_signaling, 838,  8, 24,  552, 1, 4, 1539710, 112548.32, 0, 0.00, 1: 170; 2: 148; 3: 26; 4: 2; 
CD4_T_cell_signaling, 148,  8, 25,  552, 1, 4, 1606551, 112548.32, 8, 0.00, 1: 170; 2: 147; 3: 28; 4: 1; 
CD4_T_cell_signaling, 890, 15, 13,  552, 1, 4, 1568080, 112548.32, 0, 0.00, 1: 169; 2: 149; 3: 27; 4: 1; 
CD4_T_cell_signaling, 388, 10, 19,  552, 1, 4, 1526094, 112548.32, 10, 0.00, 1: 165; 2: 157; 3: 23; 4: 1; 
CD4_T_cell_signaling, 599, 10, 20,  552, 1, 4, 1606385, 112548.32, 0, 0.00, 1: 162; 2: 163; 3: 20; 4: 1; 
CD4_T_cell_signaling,  35,  9, 22,  553, 1, 4, 1595536, 112548.32, 0, 0.00, 1: 164; 2: 159; 3: 21; 4: 2; 
CD4_T_cell_signaling, 740,  8, 24,  553, 1, 4, 1539755, 112548.32, 48, 0.00, 1: 170; 2: 147; 3: 27; 4: 2; 
CD4_T_cell_signaling, 933,  9, 21,  553, 1, 4, 1527876, 112548.32, 0, 0.00, 1: 165; 2: 156; 3: 24; 4: 1; 
CD4_T_cell_signaling, 545,  8, 24,  553, 1, 4, 1539463, 112548.32, 0, 0.00, 1: 173; 2: 142; 3: 28; 4: 3; 
CD4_T_cell_signaling,  66, 10, 19,  553, 1, 4, 1526079, 112548.32, 0, 0.00, 1: 168; 2: 150; 3: 27; 4: 1; 
CD4_T_cell_signaling, 402,  8, 26,  553, 1, 4, 1664464, 112548.32, 0, 0.00, 1: 168; 2: 150; 3: 27; 4: 1; 
CD4_T_cell_signaling, 410, 12, 17,  553, 1, 4, 1626349, 112548.32, 0, 0.00, 1: 169; 2: 148; 3: 28; 4: 1; 
CD4_T_cell_signaling, 958, 13, 15,  553, 1, 4, 1568205, 112548.32, 0, 0.00, 1: 164; 2: 159; 3: 21; 4: 2; 
CD4_T_cell_signaling, 303, 12, 17,  553, 1, 4, 1626382, 112548.32, 0, 0.00, 1: 161; 2: 164; 3: 20; 4: 1; 
CD4_T_cell_signaling, 596,  8, 25,  553, 1, 4, 1606698, 112548.32, 110, 0.00, 1: 163; 2: 161; 3: 20; 4: 2; 
