Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
13(156)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 465, 10, 10,  190, 1, 3, 796130, 24388.44, 0, 0.00, 1: 114; 2: 32; 3: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 535,  9, 11,  201, 1, 4, 786151, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  42,  6, 16,  201, 1, 4, 764390, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 891,  8, 12,  201, 1, 4, 764376, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 382,  8, 12,  201, 1, 4, 764465, 24388.44, 0, 0.00, 1: 108; 2: 35; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 167,  7, 15,  201, 1, 4, 827008, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 118, 12,  8,  201, 1, 4, 764370, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 234,  7, 15,  201, 1, 4, 826682, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 773,  6, 16,  201, 1, 4, 764484, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 546,  7, 13,  201, 1, 4, 728910, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 904,  6, 18,  201, 1, 4, 845850, 24388.44, 85, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 697,  7, 14,  201, 1, 4, 780796, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 699,  6, 18,  201, 1, 4, 846326, 24388.44, 0, 0.00, 1: 111; 2: 29; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  33,  6, 17,  201, 1, 4, 805057, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 768, 11,  9,  201, 1, 4, 786135, 24388.44, 72, 0.00, 1: 108; 2: 34; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 431, 12,  8,  201, 1, 4, 764393, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 920,  7, 15,  201, 1, 4, 827021, 24388.44, 86, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 549, 10, 10,  201, 1, 4, 796098, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 548,  6, 16,  201, 1, 4, 764458, 24388.44, 51, 0.00, 1: 110; 2: 32; 3: 5; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 843,  7, 14,  201, 1, 4, 780678, 24388.44, 0, 0.00, 1: 111; 2: 31; 3: 4; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  64,  7, 13,  201, 1, 4, 728910, 24388.44, 10, 0.00, 1: 108; 2: 35; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  67, 12,  8,  201, 1, 4, 764487, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 394,  6, 18,  201, 1, 4, 846097, 24388.44, 0, 0.00, 1: 114; 2: 24; 3: 9; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 825,  6, 17,  201, 1, 4, 805086, 24388.44, 0, 0.00, 1: 112; 2: 28; 3: 7; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 641,  7, 13,  201, 1, 4, 728910, 24388.44, 0, 0.00, 1: 110; 2: 33; 3: 3; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 827,  7, 13,  201, 1, 4, 728910, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 659,  7, 14,  201, 1, 4, 780709, 24388.44, 0, 0.00, 1: 109; 2: 34; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 140,  9, 11,  201, 1, 4, 785973, 24388.44, 10, 0.00, 1: 108; 2: 35; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 223,  7, 14,  201, 1, 4, 780629, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 222,  7, 13,  201, 1, 4, 728910, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 408,  6, 16,  201, 1, 4, 764252, 24388.44, 39, 0.00, 1: 113; 2: 26; 3: 8; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 147,  6, 17,  201, 1, 4, 804967, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 149, 10, 10,  201, 1, 4, 796119, 24388.44, 0, 0.00, 1: 111; 2: 30; 3: 6; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 782,  7, 13,  201, 1, 4, 728910, 24388.44, 0, 0.00, 1: 107; 2: 37; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  54,  6, 17,  201, 1, 4, 805210, 24388.44, 0, 0.00, 1: 112; 2: 27; 3: 9; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 854,  7, 14,  201, 1, 4, 780745, 24388.44, 0, 0.00, 1: 112; 2: 29; 3: 5; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 612, 10, 10,  201, 1, 4, 796015, 24388.44, 13, 0.00, 1: 109; 2: 32; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 668, 12,  8,  201, 1, 4, 764238, 24388.44, 38, 0.00, 1: 111; 2: 28; 3: 10; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 859,  7, 14,  201, 1, 4, 780941, 24388.44, 0, 0.00, 1: 111; 2: 29; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 324, 10, 10,  201, 1, 4, 796075, 24388.44, 66, 0.00, 1: 109; 2: 33; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 863,  9, 11,  201, 1, 4, 786334, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 417,  9, 11,  201, 1, 4, 786002, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 602, 10, 10,  201, 1, 4, 796151, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 672,  8, 12,  201, 1, 4, 764138, 24388.44, 55, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 595,  7, 15,  201, 1, 4, 826371, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 363,  8, 12,  201, 1, 4, 764420, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  80, 12,  8,  201, 1, 4, 764483, 24388.44, 12, 0.00, 1: 111; 2: 29; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 718,  7, 14,  201, 1, 4, 780849, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 279,  7, 15,  201, 1, 4, 826900, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 719,  7, 14,  201, 1, 4, 780862, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 494,  9, 11,  201, 1, 4, 786099, 24388.44, 0, 0.00, 1: 108; 2: 35; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 193,  8, 12,  201, 1, 4, 764219, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 264,  8, 12,  201, 1, 4, 764354, 24388.44, 29, 0.00, 1: 114; 2: 23; 3: 11; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 748,  7, 13,  201, 1, 4, 728910, 24388.44, 90, 0.00, 1: 111; 2: 31; 3: 4; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 951,  7, 14,  201, 1, 4, 780540, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 987,  7, 14,  201, 1, 4, 780514, 24388.44, 0, 0.00, 1: 111; 2: 28; 3: 10; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 757,  7, 14,  201, 1, 4, 780851, 24388.44, 0, 0.00, 1: 110; 2: 32; 3: 5; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 362,  8, 12,  201, 1, 4, 764437, 24388.44, 0, 0.00, 1: 112; 2: 28; 3: 7; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 367,  9, 11,  201, 1, 4, 786203, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 210, 12,  8,  201, 1, 4, 764528, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  99,  9, 11,  201, 1, 4, 786145, 24388.44, 0, 0.00, 1: 112; 2: 26; 3: 11; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 512,  8, 12,  201, 1, 4, 764440, 24388.44, 46, 0.00, 1: 110; 2: 30; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 960,  7, 15,  201, 1, 4, 826667, 24388.44, 87, 0.00, 1: 112; 2: 30; 3: 3; 4: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 484,  8, 12,  201, 1, 4, 764285, 24388.44, 44, 0.00, 1: 108; 2: 35; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   7, 10, 10,  201, 1, 4, 795854, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 948,  6, 18,  201, 1, 4, 845915, 24388.44, 1, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 178,  6, 17,  201, 1, 4, 805042, 24388.44, 0, 0.00, 1: 111; 2: 29; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 947,  8, 12,  201, 1, 4, 764502, 24388.44, 0, 0.00, 1: 107; 2: 36; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 993,  7, 15,  201, 1, 4, 826816, 24388.44, 0, 0.00, 1: 112; 2: 26; 3: 11; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 941,  7, 15,  201, 1, 4, 826411, 24388.44, 0, 0.00, 1: 110; 2: 32; 3: 5; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  11,  8, 12,  201, 1, 4, 764444, 24388.44, 119, 0.00, 1: 110; 2: 30; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 756,  7, 13,  201, 1, 4, 728910, 24388.44, 36, 0.00, 1: 109; 2: 32; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 738,  6, 16,  201, 1, 4, 764458, 24388.44, 0, 0.00, 1: 111; 2: 30; 3: 6; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 736,  7, 15,  201, 1, 4, 826278, 24388.44, 67, 0.00, 1: 111; 2: 29; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 466,  7, 13,  201, 1, 4, 728910, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 729,  6, 16,  202, 1, 4, 764358, 24388.44, 0, 0.00, 1: 111; 2: 28; 3: 9; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 326, 12,  8,  202, 1, 4, 764405, 24388.44, 0, 0.00, 1: 107; 2: 35; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 791,  7, 14,  202, 1, 4, 780628, 24388.44, 0, 0.00, 1: 110; 2: 29; 3: 10; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 229,  9, 11,  202, 1, 4, 785930, 24388.44, 0, 0.00, 1: 109; 2: 31; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 105,  6, 17,  202, 1, 4, 805315, 24388.44, 0, 0.00, 1: 114; 2: 22; 3: 12; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 795,  6, 18,  202, 1, 4, 846247, 24388.44, 0, 0.00, 1: 112; 2: 27; 3: 8; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  49,  8, 12,  202, 1, 4, 764329, 24388.44, 0, 0.00, 1: 106; 2: 37; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 360,  6, 18,  202, 1, 4, 846001, 24388.44, 37, 0.00, 1: 110; 2: 32; 3: 4; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 221,  6, 16,  202, 1, 4, 764402, 24388.44, 0, 0.00, 1: 109; 2: 33; 3: 5; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 869, 11,  9,  202, 1, 4, 786334, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 454, 11,  9,  202, 1, 4, 786368, 24388.44, 0, 0.00, 1: 112; 2: 27; 3: 8; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 674,  7, 15,  202, 1, 4, 826712, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 6; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 722, 10, 10,  202, 1, 4, 795668, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  58,  8, 12,  202, 1, 4, 764399, 24388.44, 0, 0.00, 1: 112; 2: 27; 3: 8; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 135,  9, 11,  202, 1, 4, 786131, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 998,  7, 13,  202, 1, 4, 728910, 24388.44, 0, 0.00, 1: 112; 2: 26; 3: 10; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  63,  6, 16,  202, 1, 4, 764522, 24388.44, 0, 0.00, 1: 112; 2: 28; 3: 6; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  98,  6, 18,  202, 1, 4, 846095, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 473, 10, 10,  202, 1, 4, 796122, 24388.44, 0, 0.00, 1: 112; 2: 26; 3: 10; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 637, 11,  9,  202, 1, 4, 786044, 24388.44, 0, 0.00, 1: 106; 2: 39; 3: 2; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 477,  6, 18,  202, 1, 4, 846070, 24388.44, 0, 0.00, 1: 109; 2: 31; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 478,  6, 18,  202, 1, 4, 846373, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 270,  6, 16,  202, 1, 4, 764501, 24388.44, 0, 0.00, 1: 113; 2: 26; 3: 7; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  60,  7, 14,  202, 1, 4, 780913, 24388.44, 73, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 486,  7, 14,  202, 1, 4, 780920, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 131, 12,  8,  202, 1, 4, 764418, 24388.44, 0, 0.00, 1: 111; 2: 29; 3: 7; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 627, 12,  8,  202, 1, 4, 764147, 24388.44, 0, 0.00, 1: 107; 2: 35; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 626,  7, 14,  202, 1, 4, 780731, 24388.44, 0, 0.00, 1: 108; 2: 33; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 807,  7, 15,  202, 1, 4, 826682, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 6; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 840, 11,  9,  202, 1, 4, 785923, 24388.44, 78, 0.00, 1: 108; 2: 33; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 409,  8, 12,  202, 1, 4, 764522, 24388.44, 0, 0.00, 1: 108; 2: 35; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 620,  9, 11,  202, 1, 4, 785769, 24388.44, 53, 0.00, 1: 110; 2: 29; 3: 10; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 391,  7, 15,  202, 1, 4, 826837, 24388.44, 0, 0.00, 1: 112; 2: 27; 3: 8; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 849,  8, 12,  202, 1, 4, 764427, 24388.44, 0, 0.00, 1: 111; 2: 27; 3: 11; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 115, 11,  9,  202, 1, 4, 786164, 24388.44, 0, 0.00, 1: 111; 2: 28; 3: 9; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 309,  8, 12,  202, 1, 4, 764183, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 563,  7, 13,  202, 1, 4, 728910, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 754,  7, 14,  202, 1, 4, 780848, 24388.44, 0, 0.00, 1: 109; 2: 31; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  90, 12,  8,  202, 1, 4, 764503, 24388.44, 0, 0.00, 1: 108; 2: 33; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 211, 10, 10,  202, 1, 4, 795776, 24388.44, 0, 0.00, 1: 107; 2: 35; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 559,  6, 18,  202, 1, 4, 845806, 24388.44, 0, 0.00, 1: 112; 2: 28; 3: 6; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  20, 11,  9,  202, 1, 4, 786220, 24388.44, 147, 0.00, 1: 107; 2: 35; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 163,  7, 15,  202, 1, 4, 826810, 24388.44, 0, 0.00, 1: 111; 2: 27; 3: 11; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 291, 11,  9,  202, 1, 4, 786302, 24388.44, 0, 0.00, 1: 109; 2: 32; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 378,  7, 13,  202, 1, 4, 728910, 24388.44, 0, 0.00, 1: 107; 2: 35; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 552,  7, 15,  202, 1, 4, 827018, 24388.44, 48, 0.00, 1: 108; 2: 34; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 520,  7, 15,  202, 1, 4, 826873, 24388.44, 48, 0.00, 1: 107; 2: 35; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 878,  6, 17,  202, 1, 4, 804835, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 443,  6, 18,  202, 1, 4, 846168, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  21, 12,  8,  202, 1, 4, 764431, 24388.44, 85, 0.00, 1: 105; 2: 39; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 923, 12,  8,  202, 1, 4, 764328, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 251,  7, 15,  202, 1, 4, 826364, 24388.44, 0, 0.00, 1: 108; 2: 35; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 541,  9, 11,  202, 1, 4, 786233, 24388.44, 0, 0.00, 1: 107; 2: 35; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 297,  6, 16,  202, 1, 4, 764430, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 708,  9, 11,  202, 1, 4, 786311, 24388.44, 38, 0.00, 1: 109; 2: 32; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 376,  8, 12,  202, 1, 4, 764355, 24388.44, 38, 0.00, 1: 109; 2: 32; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 437,  7, 14,  202, 1, 4, 780660, 24388.44, 0, 0.00, 1: 109; 2: 31; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 759,  6, 17,  202, 1, 4, 805323, 24388.44, 0, 0.00, 1: 110; 2: 29; 3: 10; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 939,  6, 17,  202, 1, 4, 805092, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 693, 11,  9,  202, 1, 4, 786276, 24388.44, 0, 0.00, 1: 111; 2: 29; 3: 7; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 209, 11,  9,  202, 1, 4, 786244, 24388.44, 0, 0.00, 1: 107; 2: 36; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 972,  8, 12,  202, 1, 4, 764518, 24388.44, 75, 0.00, 1: 107; 2: 37; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 586,  8, 12,  202, 1, 4, 764404, 24388.44, 0, 0.00, 1: 111; 2: 28; 3: 9; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 585,  6, 17,  202, 1, 4, 805000, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 236,  6, 18,  202, 1, 4, 846310, 24388.44, 38, 0.00, 1: 113; 2: 24; 3: 11; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 447,  6, 18,  202, 1, 4, 846264, 24388.44, 0, 0.00, 1: 113; 2: 25; 3: 9; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 884, 12,  8,  202, 1, 4, 764232, 24388.44, 18, 0.00, 1: 111; 2: 28; 3: 9; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 780,  7, 13,  202, 1, 4, 728910, 24388.44, 17, 0.00, 1: 111; 2: 29; 3: 7; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 579, 10, 10,  202, 1, 4, 796146, 24388.44, 0, 0.00, 1: 110; 2: 30; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 505,  8, 12,  202, 1, 4, 764447, 24388.44, 0, 0.00, 1: 108; 2: 33; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 954,  8, 12,  202, 1, 4, 764464, 24388.44, 0, 0.00, 1: 107; 2: 35; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 694,  6, 16,  202, 1, 4, 764399, 24388.44, 0, 0.00, 1: 111; 2: 27; 3: 11; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 183, 10, 10,  202, 1, 4, 795945, 24388.44, 0, 0.00, 1: 110; 2: 31; 3: 6; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 953,  7, 15,  202, 1, 4, 826761, 24388.44, 0, 0.00, 1: 109; 2: 31; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 426,  7, 13,  202, 1, 4, 728910, 24388.44, 0, 0.00, 1: 108; 2: 34; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 570,  8, 12,  202, 1, 4, 764388, 24388.44, 0, 0.00, 1: 107; 2: 35; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 657,  6, 17,  203, 1, 4, 805234, 24388.44, 0, 0.00, 1: 112; 2: 25; 3: 11; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 865, 12,  8,  203, 1, 4, 764414, 24388.44, 0, 0.00, 1: 111; 2: 28; 3: 8; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 225, 11,  9,  203, 1, 4, 786163, 24388.44, 0, 0.00, 1: 113; 2: 23; 3: 12; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 680,  7, 13,  203, 1, 4, 728910, 24388.44, 57, 0.00, 1: 111; 2: 28; 3: 8; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 681,  8, 12,  203, 1, 4, 764517, 24388.44, 0, 0.00, 1: 105; 2: 38; 3: 6; 4: 1; 
