Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
03(279)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 609, 10, 10,  186, 1, 3, 796171, 20046.63, 0, 0.00, 1: 116; 2: 32; 3: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 234,  7, 15,  192, 1, 4, 826891, 20046.63, 0, 0.00, 1: 117; 2: 25; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 970,  7, 14,  192, 1, 4, 780858, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  43, 11,  9,  192, 1, 4, 785818, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 353, 11,  9,  192, 1, 4, 786155, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 523,  8, 12,  192, 1, 4, 764488, 20046.63, 0, 0.00, 1: 113; 2: 33; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  11,  8, 12,  192, 1, 4, 764489, 20046.63, 189, 0.00, 1: 116; 2: 27; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 920,  7, 15,  192, 1, 4, 826929, 20046.63, 86, 0.00, 1: 119; 2: 22; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 521,  7, 15,  192, 1, 4, 826228, 20046.63, 0, 0.00, 1: 115; 2: 30; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 566,  7, 14,  192, 1, 4, 780718, 20046.63, 0, 0.00, 1: 114; 2: 31; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 990,  8, 12,  192, 1, 4, 764465, 20046.63, 0, 0.00, 1: 118; 2: 24; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   8, 12,  8,  192, 1, 4, 764337, 20046.63, 0, 0.00, 1: 114; 2: 31; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 627, 12,  8,  192, 1, 4, 764428, 20046.63, 0, 0.00, 1: 115; 2: 30; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 568,  7, 13,  192, 1, 4, 728910, 20046.63, 48, 0.00, 1: 118; 2: 24; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  46,  9, 11,  192, 1, 4, 785932, 20046.63, 0, 0.00, 1: 115; 2: 30; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 569,  6, 16,  192, 1, 4, 764230, 20046.63, 0, 0.00, 1: 117; 2: 26; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 350,  8, 12,  192, 1, 4, 764431, 20046.63, 0, 0.00, 1: 116; 2: 28; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 918,  7, 14,  192, 1, 4, 781037, 20046.63, 0, 0.00, 1: 117; 2: 26; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 570,  8, 12,  193, 1, 4, 764296, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 736,  7, 15,  193, 1, 4, 826903, 20046.63, 67, 0.00, 1: 115; 2: 29; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 167,  7, 15,  193, 1, 4, 826685, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 580,  7, 14,  193, 1, 4, 780817, 20046.63, 63, 0.00, 1: 116; 2: 28; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 550,  8, 12,  193, 1, 4, 764280, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 534,  7, 15,  193, 1, 4, 826923, 20046.63, 0, 0.00, 1: 118; 2: 24; 3: 5; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 582,  7, 13,  193, 1, 4, 728910, 20046.63, 0, 0.00, 1: 117; 2: 27; 3: 2; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 553,  6, 16,  193, 1, 4, 764409, 20046.63, 0, 0.00, 1: 117; 2: 26; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 778, 12,  8,  193, 1, 4, 764329, 20046.63, 0, 0.00, 1: 114; 2: 31; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 658,  7, 13,  193, 1, 4, 728910, 20046.63, 0, 0.00, 1: 114; 2: 31; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 512,  8, 12,  193, 1, 4, 764389, 20046.63, 46, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 650,  7, 13,  193, 1, 4, 728910, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 652, 10, 10,  193, 1, 4, 796111, 20046.63, 77, 0.00, 1: 117; 2: 24; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 283,  7, 14,  193, 1, 4, 780804, 20046.63, 0, 0.00, 1: 112; 2: 34; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 216,  7, 15,  193, 1, 4, 826690, 20046.63, 26, 0.00, 1: 116; 2: 27; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 638, 12,  8,  193, 1, 4, 764513, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 519,  7, 13,  193, 1, 4, 728910, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 520,  7, 15,  193, 1, 4, 826691, 20046.63, 48, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 265,  7, 14,  193, 1, 4, 780603, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 496, 10, 10,  193, 1, 4, 796168, 20046.63, 46, 0.00, 1: 116; 2: 26; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 524,  7, 15,  193, 1, 4, 826714, 20046.63, 9, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 670,  7, 14,  193, 1, 4, 780723, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 279,  7, 15,  193, 1, 4, 826790, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 602, 10, 10,  193, 1, 4, 796082, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 674,  7, 15,  193, 1, 4, 827000, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 689,  7, 14,  193, 1, 4, 780736, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 704,  9, 11,  193, 1, 4, 786093, 20046.63, 59, 0.00, 1: 116; 2: 26; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  30,  8, 12,  193, 1, 4, 764461, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 435,  8, 12,  193, 1, 4, 764391, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  79, 12,  8,  193, 1, 4, 764495, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 866,  8, 12,  193, 1, 4, 764411, 20046.63, 0, 0.00, 1: 112; 2: 34; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 868, 12,  8,  193, 1, 4, 764403, 20046.63, 80, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 891,  8, 12,  193, 1, 4, 764433, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  58,  8, 12,  193, 1, 4, 764477, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  50,  6, 18,  193, 1, 4, 846013, 20046.63, 0, 0.00, 1: 119; 2: 21; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 351, 10, 10,  193, 1, 4, 795978, 20046.63, 0, 0.00, 1: 117; 2: 25; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  45, 12,  8,  193, 1, 4, 764419, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 923, 12,  8,  193, 1, 4, 764383, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  40, 11,  9,  193, 1, 4, 786118, 20046.63, 7, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 765,  9, 11,  193, 1, 4, 786138, 20046.63, 0, 0.00, 1: 117; 2: 24; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  25,  7, 15,  193, 1, 4, 826344, 20046.63, 7, 0.00, 1: 116; 2: 27; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 960,  7, 15,  193, 1, 4, 826580, 20046.63, 87, 0.00, 1: 116; 2: 28; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 394,  6, 18,  193, 1, 4, 846323, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 392,  7, 13,  193, 1, 4, 728910, 20046.63, 38, 0.00, 1: 116; 2: 26; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  15,  8, 12,  193, 1, 4, 764350, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 969,  6, 18,  193, 1, 4, 846118, 20046.63, 0, 0.00, 1: 118; 2: 22; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 361,  7, 15,  193, 1, 4, 826825, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 975,  9, 11,  193, 1, 4, 786051, 20046.63, 0, 0.00, 1: 111; 2: 36; 3: 2; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 992,  7, 14,  193, 1, 4, 780824, 20046.63, 87, 0.00, 1: 117; 2: 24; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   3,  7, 15,  193, 1, 4, 826822, 20046.63, 189, 0.00, 1: 116; 2: 26; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 370, 12,  8,  193, 1, 4, 764308, 20046.63, 0, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 102,  7, 15,  193, 1, 4, 826511, 20046.63, 0, 0.00, 1: 119; 2: 22; 3: 6; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 455, 10, 10,  193, 1, 4, 795961, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 124,  8, 12,  193, 1, 4, 764344, 20046.63, 3, 0.00, 1: 116; 2: 26; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 818,  8, 12,  193, 1, 4, 764498, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 816,  9, 11,  193, 1, 4, 785845, 20046.63, 76, 0.00, 1: 115; 2: 29; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 823,  7, 15,  193, 1, 4, 826953, 20046.63, 0, 0.00, 1: 113; 2: 33; 3: 2; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 813,  7, 13,  193, 1, 4, 728910, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 119, 12,  8,  193, 1, 4, 764502, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 780,  7, 13,  193, 1, 4, 728910, 20046.63, 17, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  95, 11,  9,  193, 1, 4, 786014, 20046.63, 0, 0.00, 1: 112; 2: 34; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 942,  8, 12,  194, 1, 4, 764406, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 611,  6, 18,  194, 1, 4, 846195, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 612, 10, 10,  194, 1, 4, 795990, 20046.63, 13, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 601, 11,  9,  194, 1, 4, 786056, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 758,  7, 13,  194, 1, 4, 728910, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  27, 12,  8,  194, 1, 4, 764265, 20046.63, 70, 0.00, 1: 113; 2: 32; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 809, 11,  9,  194, 1, 4, 786341, 20046.63, 0, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 589, 11,  9,  194, 1, 4, 786329, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 798,  7, 15,  194, 1, 4, 826566, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 962,  7, 13,  194, 1, 4, 728910, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 796, 12,  8,  194, 1, 4, 764364, 20046.63, 61, 0.00, 1: 112; 2: 34; 3: 2; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 583, 10, 10,  194, 1, 4, 796032, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 789,  7, 14,  194, 1, 4, 781008, 20046.63, 0, 0.00, 1: 111; 2: 35; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  14,  7, 13,  194, 1, 4, 728910, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 247,  7, 14,  194, 1, 4, 780847, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 249,  6, 18,  194, 1, 4, 846194, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 723,  7, 13,  194, 1, 4, 728910, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 728,  8, 12,  194, 1, 4, 764439, 20046.63, 66, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 733, 12,  8,  194, 1, 4, 764315, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 983, 10, 10,  194, 1, 4, 796175, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 987,  7, 14,  194, 1, 4, 780867, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 994,  7, 14,  194, 1, 4, 780745, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   0,  8, 12,  194, 1, 4, 764351, 20046.63, 0, 0.00, 1: 117; 2: 23; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 642,  7, 14,  194, 1, 4, 780619, 20046.63, 0, 0.00, 1: 117; 2: 24; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 665,  6, 18,  194, 1, 4, 845889, 20046.63, 0, 0.00, 1: 117; 2: 24; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  88,  6, 18,  194, 1, 4, 846081, 20046.63, 13, 0.00, 1: 116; 2: 27; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 662,  7, 14,  194, 1, 4, 780767, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 661,  7, 14,  194, 1, 4, 780662, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 849,  8, 12,  194, 1, 4, 764278, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 860,  6, 16,  194, 1, 4, 764452, 20046.63, 77, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  81,  7, 15,  194, 1, 4, 826827, 20046.63, 0, 0.00, 1: 116; 2: 27; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 829,  6, 17,  194, 1, 4, 805105, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 867,  7, 13,  194, 1, 4, 728910, 20046.63, 0, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 647,  7, 15,  194, 1, 4, 827030, 20046.63, 0, 0.00, 1: 118; 2: 23; 3: 6; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 646, 12,  8,  194, 1, 4, 764398, 20046.63, 0, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 645,  6, 16,  194, 1, 4, 764419, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 218, 11,  9,  194, 1, 4, 785989, 20046.63, 0, 0.00, 1: 110; 2: 37; 3: 2; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  41, 11,  9,  194, 1, 4, 785839, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 110,  7, 15,  194, 1, 4, 826727, 20046.63, 0, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 875,  7, 15,  194, 1, 4, 826846, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 885,  6, 18,  194, 1, 4, 845986, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 197,  7, 13,  194, 1, 4, 728910, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 220,  6, 16,  194, 1, 4, 764362, 20046.63, 38, 0.00, 1: 113; 2: 32; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 634,  8, 12,  194, 1, 4, 764602, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  62,  7, 14,  194, 1, 4, 780978, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 690,  6, 16,  194, 1, 4, 764481, 20046.63, 0, 0.00, 1: 117; 2: 25; 3: 5; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 922,  8, 12,  194, 1, 4, 764408, 20046.63, 0, 0.00, 1: 115; 2: 29; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 710,  8, 12,  194, 1, 4, 764443, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 230,  7, 15,  194, 1, 4, 826607, 20046.63, 0, 0.00, 1: 117; 2: 25; 3: 5; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 620,  9, 11,  194, 1, 4, 786111, 20046.63, 53, 0.00, 1: 111; 2: 35; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 337,  7, 15,  194, 1, 4, 826459, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 259,  7, 15,  194, 1, 4, 826807, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 260, 11,  9,  194, 1, 4, 786188, 20046.63, 28, 0.00, 1: 116; 2: 25; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 440, 12,  8,  194, 1, 4, 764290, 20046.63, 41, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 494,  9, 11,  194, 1, 4, 786038, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 540,  7, 15,  194, 1, 4, 826888, 20046.63, 10, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 498,  7, 15,  194, 1, 4, 826805, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 305, 11,  9,  194, 1, 4, 786251, 20046.63, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 317,  7, 15,  194, 1, 4, 826889, 20046.63, 0, 0.00, 1: 118; 2: 22; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 391,  7, 15,  194, 1, 4, 827083, 20046.63, 0, 0.00, 1: 114; 2: 30; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 332,  7, 13,  194, 1, 4, 728910, 20046.63, 77, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 428,  8, 12,  194, 1, 4, 764236, 20046.63, 40, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 552,  7, 15,  194, 1, 4, 826763, 20046.63, 48, 0.00, 1: 113; 2: 32; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 450,  7, 15,  194, 1, 4, 827104, 20046.63, 0, 0.00, 1: 116; 2: 25; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 251,  7, 15,  194, 1, 4, 826672, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 463,  9, 11,  194, 1, 4, 786222, 20046.63, 0, 0.00, 1: 117; 2: 24; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 314, 12,  8,  194, 1, 4, 764381, 20046.63, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 360,  6, 18,  194, 1, 4, 846557, 20046.63, 37, 0.00, 1: 117; 2: 24; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 457,  7, 14,  194, 1, 4, 780931, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 522,  7, 14,  194, 1, 4, 780712, 20046.63, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 460,  8, 12,  194, 1, 4, 764259, 20046.63, 45, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 878,  6, 17,  195, 1, 4, 804916, 20046.63, 0, 0.00, 1: 112; 2: 32; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 869, 11,  9,  195, 1, 4, 786177, 20046.63, 0, 0.00, 1: 111; 2: 34; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 700,  7, 15,  195, 1, 4, 826749, 20046.63, 88, 0.00, 1: 115; 2: 27; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 489,  7, 15,  195, 1, 4, 826689, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 888,  6, 17,  195, 1, 4, 805024, 20046.63, 84, 0.00, 1: 114; 2: 29; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 890,  6, 18,  195, 1, 4, 845997, 20046.63, 0, 0.00, 1: 114; 2: 29; 3: 5; 4: 2; 
