Seed 1656949570
ARCH 1|F_ID 1|LIMIT 3
before: 
22(516)
Melhor resultado nxn: Glucose_Repression_Signaling_2009,  44,  9,  9,  127, 1, 2, 639230, 16081.55, 70, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 478, 11,  7,  137, 1, 2, 613108, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 236,  5, 15,  137, 1, 2, 596449, 16081.55, 56, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 231, 10,  8,  137, 1, 2, 634297, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 219,  6, 13,  137, 1, 2, 619578, 16081.55, 139, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 762,  6, 13,  137, 1, 2, 619517, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 373,  7, 11,  137, 1, 2, 613315, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 947,  7, 11,  137, 1, 2, 613330, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 579, 10,  8,  137, 1, 2, 634068, 16081.55, 139, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 143,  6, 14,  137, 1, 2, 658882, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 951, 11,  7,  137, 1, 2, 613193, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 963,  5, 15,  137, 1, 2, 596448, 16081.55, 139, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 324,  5, 15,  137, 1, 2, 596412, 16081.55, 187, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 182, 11,  7,  137, 1, 2, 613214, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 120,  7, 11,  137, 1, 2, 613155, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 328, 11,  7,  137, 1, 2, 613028, 16081.55, 16, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 917, 11,  7,  137, 1, 2, 613115, 16081.55, 85, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 804, 11,  7,  137, 1, 2, 613267, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 185,  5, 15,  137, 1, 2, 596414, 16081.55, 0, 0.00, 1: 75; 2: 31; 
Glucose_Repression_Signaling_2009, 513, 10,  8,  138, 1, 2, 634159, 16081.55, 207, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 492,  7, 11,  138, 1, 2, 613094, 16081.55, 49, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 908,  9,  9,  138, 1, 2, 639445, 16081.55, 187, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 686,  9,  9,  138, 1, 2, 639217, 16081.55, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 905,  6, 14,  138, 1, 2, 658830, 16081.55, 208, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 721, 11,  7,  138, 1, 2, 613271, 16081.55, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 789,  9,  9,  138, 1, 2, 638886, 16081.55, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 988,  6, 14,  138, 1, 2, 659071, 16081.55, 187, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 566,  7, 11,  138, 1, 2, 613074, 16081.55, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 556,  7, 11,  138, 1, 2, 613222, 16081.55, 50, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 271,  5, 15,  138, 1, 2, 596230, 16081.55, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 457,  6, 14,  138, 1, 2, 658624, 16081.55, 205, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 719, 11,  7,  138, 1, 2, 613220, 16081.55, 0, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 729,  5, 16,  138, 1, 2, 634108, 16081.55, 234, 0.00, 1: 74; 2: 32; 
Glucose_Repression_Signaling_2009, 703,  8, 10,  139, 1, 2, 634006, 16081.55, 0, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 665,  6, 14,  139, 1, 2, 658899, 16081.55, 234, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 734,  5, 16,  139, 1, 2, 634114, 16081.55, 0, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 819, 11,  7,  139, 1, 2, 613262, 16081.55, 0, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 755, 11,  7,  139, 1, 2, 613169, 16081.55, 0, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 420,  6, 13,  139, 1, 2, 619431, 16081.55, 0, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 937,  5, 16,  139, 1, 2, 633896, 16081.55, 71, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 933,  5, 16,  139, 1, 2, 634163, 16081.55, 0, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 878,  6, 13,  139, 1, 2, 619289, 16081.55, 32, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 888,  6, 13,  139, 1, 2, 619604, 16081.55, 0, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 886,  5, 15,  139, 1, 2, 596341, 16081.55, 255, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 286,  6, 13,  139, 1, 2, 619656, 16081.55, 0, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 283,  6, 13,  139, 1, 2, 619584, 16081.55, 139, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 891,  7, 11,  139, 1, 2, 613114, 16081.55, 0, 0.00, 1: 73; 2: 33; 
Glucose_Repression_Signaling_2009, 300,  5, 15,  140, 1, 2, 596439, 16081.55, 49, 0.00, 1: 72; 2: 34; 
Glucose_Repression_Signaling_2009, 198,  5, 15,  140, 1, 2, 596360, 16081.55, 0, 0.00, 1: 72; 2: 34; 
Glucose_Repression_Signaling_2009, 698,  5, 15,  140, 1, 2, 596352, 16081.55, 0, 0.00, 1: 72; 2: 34; 
Glucose_Repression_Signaling_2009, 901,  5, 16,  141, 1, 2, 634196, 16081.55, 85, 0.00, 1: 71; 2: 35; 
Glucose_Repression_Signaling_2009, 448,  5, 15,  141, 1, 2, 596428, 16081.55, 48, 0.00, 1: 71; 2: 35; 
Glucose_Repression_Signaling_2009, 372,  5, 16,  144, 1, 2, 634158, 16081.55, 0, 0.00, 1: 68; 2: 38; 
Glucose_Repression_Signaling_2009,  38,  8, 10,  128, 1, 3, 634176, 16081.55, 0, 0.00, 1: 85; 2: 20; 3: 1; 
Glucose_Repression_Signaling_2009, 589,  8, 10,  129, 1, 3, 634101, 16081.55, 85, 0.00, 1: 84; 2: 21; 3: 1; 
Glucose_Repression_Signaling_2009, 354,  7, 11,  129, 1, 3, 613308, 16081.55, 0, 0.00, 1: 84; 2: 21; 3: 1; 
Glucose_Repression_Signaling_2009, 239, 10,  8,  129, 1, 3, 633840, 16081.55, 0, 0.00, 1: 84; 2: 21; 3: 1; 
Glucose_Repression_Signaling_2009, 995,  7, 12,  129, 1, 3, 659057, 16081.55, 0, 0.00, 1: 84; 2: 21; 3: 1; 
Glucose_Repression_Signaling_2009, 639,  9,  9,  129, 1, 3, 639194, 16081.55, 0, 0.00, 1: 84; 2: 21; 3: 1; 
Glucose_Repression_Signaling_2009, 313,  9,  9,  129, 1, 3, 639110, 16081.55, 0, 0.00, 1: 84; 2: 21; 3: 1; 
Glucose_Repression_Signaling_2009, 545,  9,  9,  130, 1, 3, 639190, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 133, 11,  7,  130, 1, 3, 613179, 16081.55, 85, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 952,  7, 12,  130, 1, 3, 658686, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 470,  8, 10,  130, 1, 3, 634126, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 575,  7, 11,  130, 1, 3, 613162, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 852,  7, 11,  130, 1, 3, 613116, 16081.55, 187, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009,  23,  9,  9,  130, 1, 3, 638812, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 293,  6, 14,  130, 1, 3, 658633, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 140, 11,  7,  130, 1, 3, 613201, 16081.55, 187, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 697,  9,  9,  130, 1, 3, 638906, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 102, 11,  7,  130, 1, 3, 613244, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 929,  9,  9,  130, 1, 3, 639315, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 366,  7, 11,  130, 1, 3, 613260, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 279, 10,  8,  130, 1, 3, 634192, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 560,  7, 11,  130, 1, 3, 613171, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 506,  8, 10,  130, 1, 3, 634031, 16081.55, 0, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 880,  7, 12,  130, 1, 3, 658504, 16081.55, 52, 0.00, 1: 83; 2: 22; 3: 1; 
Glucose_Repression_Signaling_2009, 631,  7, 12,  130, 1, 3, 658833, 16081.55, 0, 0.00, 1: 84; 2: 20; 3: 2; 
Glucose_Repression_Signaling_2009, 791,  6, 14,  131, 1, 3, 658074, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 502,  6, 14,  131, 1, 3, 658711, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 443,  6, 14,  131, 1, 3, 658732, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 304,  6, 14,  131, 1, 3, 659065, 16081.55, 8, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 311,  9,  9,  131, 1, 3, 639238, 16081.55, 255, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 319,  9,  9,  131, 1, 3, 639218, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 916,  9,  9,  131, 1, 3, 639114, 16081.55, 187, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 396,  7, 12,  131, 1, 3, 658663, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 803,  7, 12,  131, 1, 3, 658741, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 384,  7, 12,  131, 1, 3, 658243, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 608,  7, 12,  131, 1, 3, 658696, 16081.55, 6, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 806,  7, 12,  131, 1, 3, 658674, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 611,  5, 16,  131, 1, 3, 634077, 16081.55, 0, 0.00, 1: 83; 2: 21; 3: 2; 
Glucose_Repression_Signaling_2009, 807,  9,  9,  131, 1, 3, 639468, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 620,  7, 12,  131, 1, 3, 658636, 16081.55, 51, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 626,  7, 11,  131, 1, 3, 613153, 16081.55, 0, 0.00, 1: 83; 2: 21; 3: 2; 
Glucose_Repression_Signaling_2009, 363,  7, 12,  131, 1, 3, 658996, 16081.55, 76, 0.00, 1: 83; 2: 21; 3: 2; 
Glucose_Repression_Signaling_2009,  97,  6, 14,  131, 1, 3, 658934, 16081.55, 0, 0.00, 1: 83; 2: 21; 3: 2; 
Glucose_Repression_Signaling_2009, 245,  7, 12,  131, 1, 3, 658371, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 976,  8, 10,  131, 1, 3, 634352, 16081.55, 176, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 518,  8, 10,  131, 1, 3, 633868, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 214,  9,  9,  131, 1, 3, 639150, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 552,  9,  9,  131, 1, 3, 639319, 16081.55, 32, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 538, 10,  8,  131, 1, 3, 634166, 16081.55, 46, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 456,  7, 11,  131, 1, 3, 613226, 16081.55, 64, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 253,  8, 10,  131, 1, 3, 633938, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 739,  9,  9,  131, 1, 3, 639071, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009,  35, 11,  7,  131, 1, 3, 613130, 16081.55, 0, 0.00, 1: 82; 2: 23; 3: 1; 
Glucose_Repression_Signaling_2009, 610, 10,  8,  132, 1, 3, 633779, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 808,  7, 12,  132, 1, 3, 658856, 16081.55, 32, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 131,  8, 10,  132, 1, 3, 634281, 16081.55, 138, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 733,  5, 16,  132, 1, 3, 634204, 16081.55, 85, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 866,  7, 12,  132, 1, 3, 658729, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 244,  7, 12,  132, 1, 3, 658815, 16081.55, 61, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 388,  6, 14,  132, 1, 3, 658521, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 391,  8, 10,  132, 1, 3, 634202, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 659,  9,  9,  132, 1, 3, 639316, 16081.55, 139, 0.00, 1: 82; 2: 22; 3: 2; 
Glucose_Repression_Signaling_2009,  13,  6, 14,  132, 1, 3, 658880, 16081.55, 127, 0.00, 1: 82; 2: 22; 3: 2; 
Glucose_Repression_Signaling_2009, 980,  6, 13,  132, 1, 3, 619552, 16081.55, 187, 0.00, 1: 82; 2: 22; 3: 2; 
Glucose_Repression_Signaling_2009, 597,  6, 13,  132, 1, 3, 619473, 16081.55, 85, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009,  87,  7, 11,  132, 1, 3, 613072, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009,  42,  7, 12,  132, 1, 3, 658803, 16081.55, 79, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 617, 11,  7,  132, 1, 3, 613249, 16081.55, 71, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 229,  6, 13,  132, 1, 3, 619538, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 885,  6, 13,  132, 1, 3, 619472, 16081.55, 255, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 985,  7, 12,  132, 1, 3, 659037, 16081.55, 235, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009,   5,  7, 11,  132, 1, 3, 613246, 16081.55, 127, 0.00, 1: 82; 2: 22; 3: 2; 
Glucose_Repression_Signaling_2009, 364,  6, 14,  132, 1, 3, 658765, 16081.55, 49, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009,   2,  6, 14,  132, 1, 3, 658912, 16081.55, 147, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 127,  7, 11,  132, 1, 3, 613196, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009,  18,  9,  9,  132, 1, 3, 639023, 16081.55, 46, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 636,  6, 14,  132, 1, 3, 658901, 16081.55, 1, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 184,  7, 11,  132, 1, 3, 613332, 16081.55, 0, 0.00, 1: 82; 2: 22; 3: 2; 
Glucose_Repression_Signaling_2009, 274,  6, 13,  132, 1, 3, 619598, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 896, 10,  8,  132, 1, 3, 634188, 16081.55, 96, 0.00, 1: 82; 2: 22; 3: 2; 
Glucose_Repression_Signaling_2009, 110,  8, 10,  132, 1, 3, 633952, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 273,  7, 12,  132, 1, 3, 658812, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 115,  6, 13,  132, 1, 3, 619610, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 848,  6, 14,  132, 1, 3, 658889, 16081.55, 48, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009,  64, 10,  8,  132, 1, 3, 634170, 16081.55, 0, 0.00, 1: 82; 2: 22; 3: 2; 
Glucose_Repression_Signaling_2009,  48,  7, 12,  132, 1, 3, 658583, 16081.55, 128, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 691,  8, 10,  132, 1, 3, 634140, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 859,  6, 13,  132, 1, 3, 619378, 16081.55, 139, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 838,  9,  9,  132, 1, 3, 639378, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 295,  8, 10,  132, 1, 3, 634079, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 429,  8, 10,  132, 1, 3, 634047, 16081.55, 48, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 458, 11,  7,  132, 1, 3, 613144, 16081.55, 82, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 797, 10,  8,  132, 1, 3, 634198, 16081.55, 85, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 668,  8, 10,  132, 1, 3, 634302, 16081.55, 187, 0.00, 1: 82; 2: 22; 3: 2; 
Glucose_Repression_Signaling_2009, 421,  9,  9,  132, 1, 3, 639143, 16081.55, 0, 0.00, 1: 81; 2: 24; 3: 1; 
Glucose_Repression_Signaling_2009, 975,  6, 13,  133, 1, 3, 619672, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 325,  6, 14,  133, 1, 3, 658659, 16081.55, 85, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 979, 11,  7,  133, 1, 3, 613369, 16081.55, 139, 0.00, 1: 82; 2: 21; 3: 3; 
Glucose_Repression_Signaling_2009, 359,  7, 11,  133, 1, 3, 613203, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 628,  8, 10,  133, 1, 3, 634181, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 944, 10,  8,  133, 1, 3, 634081, 16081.55, 40, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 278,  6, 13,  133, 1, 3, 619485, 16081.55, 0, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 194,  6, 14,  133, 1, 3, 658757, 16081.55, 82, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 205, 10,  8,  133, 1, 3, 634165, 16081.55, 85, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 329,  6, 14,  133, 1, 3, 658713, 16081.55, 126, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009,  93, 10,  8,  133, 1, 3, 633821, 16081.55, 85, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 966,  5, 16,  133, 1, 3, 633742, 16081.55, 0, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 724, 11,  7,  133, 1, 3, 613197, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009,  69,  6, 14,  133, 1, 3, 658959, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 269,  7, 12,  133, 1, 3, 658757, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 346,  6, 13,  133, 1, 3, 619443, 16081.55, 46, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 177,  6, 14,  133, 1, 3, 658561, 16081.55, 0, 0.00, 1: 82; 2: 21; 3: 3; 
Glucose_Repression_Signaling_2009, 777,  8, 10,  133, 1, 3, 633971, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 230,  7, 12,  133, 1, 3, 658638, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009,  12,  6, 14,  133, 1, 3, 658127, 16081.55, 92, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 716, 11,  7,  133, 1, 3, 613238, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 242, 10,  8,  133, 1, 3, 634011, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 298,  6, 13,  133, 1, 3, 619496, 16081.55, 66, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 301, 11,  7,  133, 1, 3, 613284, 16081.55, 32, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 430,  5, 15,  133, 1, 3, 596376, 16081.55, 32, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 887,  7, 12,  133, 1, 3, 658128, 16081.55, 255, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009,  31,  9,  9,  133, 1, 3, 639490, 16081.55, 0, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 419,  6, 13,  133, 1, 3, 619599, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 828,  5, 15,  133, 1, 3, 596409, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 475,  6, 14,  133, 1, 3, 659001, 16081.55, 139, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 864, 11,  7,  133, 1, 3, 613182, 16081.55, 7, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009,  27,  9,  9,  133, 1, 3, 638820, 16081.55, 139, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 452,  6, 14,  133, 1, 3, 658537, 16081.55, 187, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 580,  7, 11,  133, 1, 3, 613130, 16081.55, 187, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009,  33,  8, 10,  133, 1, 3, 634118, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 150,  7, 12,  133, 1, 3, 658937, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 920,  7, 12,  133, 1, 3, 658550, 16081.55, 136, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 383,  6, 14,  133, 1, 3, 658589, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 517,  9,  9,  133, 1, 3, 638932, 16081.55, 85, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 378,  7, 12,  133, 1, 3, 658782, 16081.55, 0, 0.00, 1: 81; 2: 23; 3: 2; 
Glucose_Repression_Signaling_2009, 139,  6, 14,  133, 1, 3, 658679, 16081.55, 138, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 416,  6, 14,  133, 1, 3, 658655, 16081.55, 7, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 491,  6, 14,  133, 1, 3, 658188, 16081.55, 76, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009,  28,  7, 12,  133, 1, 3, 658905, 16081.55, 187, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 564,  7, 12,  133, 1, 3, 658385, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 875,  6, 14,  133, 1, 3, 658862, 16081.55, 76, 0.00, 1: 80; 2: 25; 3: 1; 
Glucose_Repression_Signaling_2009, 570,  9,  9,  133, 1, 3, 639089, 16081.55, 0, 0.00, 1: 80; 2: 25; 3: 1; 
