Seed 1656949570
ARCH 0|F_ID 1|LIMIT 3
before: 
4(255)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 375,  6, 10,  237, 0, 4, 470467, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 50; 3: 23; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  31,  6,  9,  246, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 50; 3: 24; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 195,  7,  8,  246, 0, 5, 442629, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 52; 3: 21; 4: 5; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 849,  6,  9,  246, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 47; 3: 27; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 840,  9,  6,  246, 0, 5, 427869, 11992.95, 37, 0.00, 0: 6; 1: 49; 2: 51; 3: 22; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 329,  6,  9,  246, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 49; 3: 23; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 924,  5, 12,  246, 0, 5, 470468, 11992.95, 20, 0.00, 0: 6; 1: 58; 2: 36; 3: 25; 4: 9; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 941,  6, 10,  246, 0, 5, 470523, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 50; 3: 25; 4: 3; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 946,  6,  9,  246, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 54; 3: 25; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 388,  8,  7,  246, 0, 5, 442672, 11992.95, 25, 0.00, 0: 6; 1: 48; 2: 56; 3: 15; 4: 9; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  46,  6,  9,  246, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 55; 3: 18; 4: 6; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 281,  6,  9,  246, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 51; 3: 16; 4: 6; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 169,  7,  8,  246, 0, 5, 442664, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 51; 3: 22; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 222,  7,  8,  246, 0, 5, 442672, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 48; 3: 22; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 812,  6, 10,  246, 0, 5, 470412, 11992.95, 9, 0.00, 0: 6; 1: 49; 2: 49; 3: 27; 4: 2; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 159,  9,  6,  246, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 55; 3: 21; 4: 4; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  47,  6, 10,  246, 0, 5, 470400, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 45; 3: 25; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 916,  8,  7,  246, 0, 5, 442632, 11992.95, 47, 0.00, 0: 6; 1: 47; 2: 50; 3: 30; 4: 1; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  92,  9,  6,  246, 0, 5, 427869, 11992.95, 28, 0.00, 0: 6; 1: 47; 2: 52; 3: 26; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 767,  5, 11,  247, 0, 5, 434791, 11992.95, 0, 0.00, 0: 6; 1: 54; 2: 45; 3: 21; 4: 5; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 785,  7,  8,  247, 0, 5, 442654, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 54; 3: 25; 4: 2; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 120,  9,  6,  247, 0, 5, 427869, 11992.95, 5, 0.00, 0: 6; 1: 50; 2: 49; 3: 23; 4: 5; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 981,  7,  8,  247, 0, 5, 442646, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 54; 3: 24; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 219,  7,  8,  247, 0, 5, 442671, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 49; 3: 25; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 743,  9,  6,  247, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 58; 3: 22; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 448,  6, 10,  247, 0, 5, 470554, 11992.95, 18, 0.00, 0: 6; 1: 44; 2: 57; 3: 24; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 741,  6, 10,  247, 0, 5, 470421, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 53; 3: 23; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 490,  7,  8,  247, 0, 5, 442648, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 54; 3: 20; 4: 4; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 820,  7,  8,  247, 0, 5, 442678, 11992.95, 10, 0.00, 0: 6; 1: 49; 2: 48; 3: 27; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 296,  5, 12,  247, 0, 5, 470468, 11992.95, 8, 0.00, 0: 6; 1: 56; 2: 39; 3: 26; 4: 5; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 292,  6, 10,  247, 0, 5, 470481, 11992.95, 38, 0.00, 0: 6; 1: 49; 2: 51; 3: 21; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 274,  6, 10,  247, 0, 5, 470313, 11992.95, 0, 0.00, 0: 6; 1: 41; 2: 64; 3: 19; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 945,  6, 10,  247, 0, 5, 470376, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 52; 3: 22; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 385,  6, 10,  247, 0, 5, 470395, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 48; 3: 30; 4: 2; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 563,  7,  8,  247, 0, 5, 442683, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 46; 3: 25; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 342,  9,  6,  247, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 48; 3: 27; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 263,  9,  6,  247, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 51; 3: 22; 4: 5; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 607,  6,  9,  247, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 51; 3: 22; 4: 5; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 540,  6,  9,  247, 0, 5, 427869, 11992.95, 29, 0.00, 0: 6; 1: 50; 2: 48; 3: 24; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 153,  8,  7,  247, 0, 5, 442667, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 58; 3: 18; 4: 4; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 175,  8,  7,  247, 0, 5, 442639, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 50; 3: 26; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 907,  9,  6,  247, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 51; 3: 21; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 899,  6, 10,  247, 0, 5, 470493, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 52; 3: 25; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 287,  7,  8,  247, 0, 5, 442624, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 48; 3: 24; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 178,  9,  6,  247, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 44; 3: 29; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 613,  6, 10,  247, 0, 5, 470609, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 58; 3: 13; 4: 10; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 622,  8,  7,  247, 0, 5, 442546, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 56; 3: 20; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  26,  6, 10,  247, 0, 5, 470472, 11992.95, 75, 0.00, 0: 6; 1: 51; 2: 45; 3: 27; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 876,  7,  8,  247, 0, 5, 442661, 11992.95, 24, 0.00, 0: 6; 1: 46; 2: 53; 3: 26; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 961,  6, 10,  247, 0, 5, 470505, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 57; 3: 15; 4: 9; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 843,  7,  8,  247, 0, 5, 442684, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 52; 3: 28; 4: 2; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 764,  9,  6,  248, 0, 5, 427869, 11992.95, 11, 0.00, 0: 6; 1: 50; 2: 49; 3: 21; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 214,  7,  8,  248, 0, 5, 442628, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 54; 3: 26; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 759,  5, 13,  248, 0, 5, 499451, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 43; 3: 25; 4: 6; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 566,  9,  6,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 48; 3: 20; 4: 9; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 771,  6,  9,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 49; 3: 27; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 471,  9,  6,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 52; 3: 21; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 757,  6, 10,  248, 0, 5, 470450, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 44; 3: 28; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 555,  6,  9,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 53; 3: 25; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 581,  6, 10,  248, 0, 5, 470439, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 44; 3: 25; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 485,  6, 10,  248, 0, 5, 470401, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 50; 3: 28; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 221,  6, 10,  248, 0, 5, 470232, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 56; 3: 22; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 593,  5, 13,  248, 0, 5, 499544, 11992.95, 0, 0.00, 0: 6; 1: 54; 2: 40; 3: 28; 4: 5; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 687,  6, 10,  248, 0, 5, 470439, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 57; 3: 26; 4: 2; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 229,  7,  8,  248, 0, 5, 442633, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 51; 3: 24; 4: 4; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 525,  5, 12,  248, 0, 5, 470511, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 48; 3: 16; 4: 9; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 772,  7,  8,  248, 0, 5, 442689, 11992.95, 40, 0.00, 0: 6; 1: 44; 2: 59; 3: 20; 4: 4; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 420,  6, 10,  248, 0, 5, 470345, 11992.95, 24, 0.00, 0: 6; 1: 48; 2: 49; 3: 27; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 968,  5, 13,  248, 0, 5, 499210, 11992.95, 45, 0.00, 0: 6; 1: 50; 2: 51; 3: 17; 4: 10; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 202,  9,  6,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 51; 3: 18; 4: 8; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 819,  9,  6,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 51; 3: 20; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 163,  5, 13,  248, 0, 5, 499462, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 51; 3: 20; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  17,  9,  6,  248, 0, 5, 427869, 11992.95, 104, 0.00, 0: 6; 1: 46; 2: 53; 3: 25; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 807,  9,  6,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 50; 3: 25; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 930,  9,  6,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 44; 3: 28; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 389,  9,  6,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 50; 3: 25; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 318,  5, 11,  248, 0, 5, 434786, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 46; 3: 24; 4: 3; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 789,  9,  6,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 58; 3: 14; 4: 7; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 775,  9,  6,  248, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 45; 3: 24; 4: 6; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  44,  5, 12,  248, 0, 5, 470555, 11992.95, 37, 0.00, 0: 6; 1: 53; 2: 45; 3: 22; 4: 6; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 953,  8,  7,  248, 0, 5, 442628, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 52; 3: 24; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 146,  8,  7,  249, 0, 5, 442634, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 51; 3: 26; 4: 3; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   2,  5, 13,  249, 0, 5, 499459, 11992.95, 139, 0.00, 0: 6; 1: 49; 2: 52; 3: 18; 4: 8; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 496,  9,  6,  249, 0, 5, 427869, 11992.95, 21, 0.00, 0: 6; 1: 45; 2: 55; 3: 23; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 616,  5, 12,  249, 0, 5, 470490, 11992.95, 26, 0.00, 0: 6; 1: 50; 2: 47; 3: 24; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 605,  9,  6,  249, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 57; 3: 19; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 323,  5, 13,  249, 0, 5, 499267, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 52; 3: 16; 4: 8; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 368,  5, 12,  249, 0, 5, 470521, 11992.95, 15, 0.00, 0: 6; 1: 50; 2: 51; 3: 17; 4: 9; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 891,  9,  6,  249, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 61; 3: 17; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 920,  8,  7,  249, 0, 5, 442679, 11992.95, 41, 0.00, 0: 6; 1: 44; 2: 59; 3: 18; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 912,  5, 13,  249, 0, 5, 499332, 11992.95, 38, 0.00, 0: 6; 1: 49; 2: 50; 3: 22; 4: 6; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 682,  5, 12,  249, 0, 5, 470451, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 51; 3: 22; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 608,  6, 10,  249, 0, 5, 470470, 11992.95, 26, 0.00, 0: 6; 1: 48; 2: 51; 3: 22; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  21,  6, 10,  249, 0, 5, 470496, 11992.95, 86, 0.00, 0: 6; 1: 47; 2: 52; 3: 24; 4: 4; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 535,  9,  6,  249, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 41; 3: 27; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 432,  5, 11,  249, 0, 5, 434826, 11992.95, 18, 0.00, 0: 6; 1: 53; 2: 42; 3: 26; 4: 6; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 808,  6, 10,  249, 0, 5, 470434, 11992.95, 37, 0.00, 0: 6; 1: 44; 2: 56; 3: 24; 4: 4; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 209,  6,  9,  249, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 53; 3: 28; 4: 1; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 489,  5, 11,  249, 0, 5, 434816, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 47; 3: 23; 4: 5; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 444,  5, 12,  249, 0, 5, 470516, 11992.95, 17, 0.00, 0: 6; 1: 54; 2: 44; 3: 19; 4: 10; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 634,  7,  8,  249, 0, 5, 442677, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 48; 3: 25; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 366,  9,  6,  249, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 51; 3: 25; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 121,  7,  8,  249, 0, 5, 442681, 11992.95, 0, 0.00, 0: 6; 1: 43; 2: 57; 3: 25; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  90,  8,  7,  249, 0, 5, 442639, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 55; 3: 22; 4: 3; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  58,  5, 11,  249, 0, 5, 434783, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 46; 3: 22; 4: 6; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 111,  5, 11,  249, 0, 5, 434787, 11992.95, 0, 0.00, 0: 6; 1: 55; 2: 40; 3: 23; 4: 10; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 481,  9,  6,  249, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 51; 3: 26; 4: 3; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 475,  6, 10,  249, 0, 5, 470596, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 51; 3: 22; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   3,  7,  8,  249, 0, 5, 442644, 11992.95, 195, 0.00, 0: 6; 1: 47; 2: 51; 3: 25; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 449,  6,  9,  249, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 50; 3: 24; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 744,  9,  6,  249, 0, 5, 427869, 11992.95, 32, 0.00, 0: 6; 1: 46; 2: 53; 3: 24; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 242,  5, 11,  250, 0, 5, 434821, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 46; 3: 24; 4: 5; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 524,  7,  8,  250, 0, 5, 442652, 11992.95, 43, 0.00, 0: 6; 1: 43; 2: 56; 3: 26; 4: 3; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 770,  5, 11,  250, 0, 5, 434802, 11992.95, 0, 0.00, 0: 6; 1: 47; 2: 52; 3: 22; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 971,  6, 10,  250, 0, 5, 470482, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 52; 3: 19; 4: 5; 5: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 615,  5, 12,  250, 0, 5, 470533, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 47; 3: 23; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 964,  9,  6,  250, 0, 5, 427869, 11992.95, 46, 0.00, 0: 6; 1: 46; 2: 52; 3: 25; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 171,  5, 11,  250, 0, 5, 434842, 11992.95, 0, 0.00, 0: 6; 1: 52; 2: 42; 3: 28; 4: 5; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 257,  5, 13,  250, 0, 5, 499461, 11992.95, 0, 0.00, 0: 6; 1: 53; 2: 42; 3: 24; 4: 9; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 600,  6,  9,  250, 0, 5, 427869, 11992.95, 26, 0.00, 0: 6; 1: 48; 2: 51; 3: 21; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 948,  5, 12,  250, 0, 5, 470433, 11992.95, 51, 0.00, 0: 6; 1: 52; 2: 43; 3: 25; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 561,  5, 12,  250, 0, 5, 470435, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 47; 3: 23; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  86,  5, 12,  250, 0, 5, 470465, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 48; 3: 25; 4: 5; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  83,  5, 12,  250, 0, 5, 470389, 11992.95, 0, 0.00, 0: 6; 1: 48; 2: 51; 3: 21; 4: 8; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 993,  9,  6,  250, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 55; 3: 21; 4: 4; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 936,  9,  6,  250, 0, 5, 427869, 11992.95, 41, 0.00, 0: 6; 1: 52; 2: 44; 3: 24; 4: 7; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 995,  5, 12,  250, 0, 5, 470427, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 47; 3: 26; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 698,  6, 10,  250, 0, 5, 470545, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 54; 3: 24; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 452,  9,  6,  250, 0, 5, 427869, 11992.95, 32, 0.00, 0: 6; 1: 47; 2: 51; 3: 24; 4: 6; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 305,  5, 12,  250, 0, 5, 470533, 11992.95, 0, 0.00, 0: 6; 1: 50; 2: 48; 3: 21; 4: 9; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 320,  6,  9,  250, 0, 5, 427869, 11992.95, 10, 0.00, 0: 6; 1: 47; 2: 51; 3: 25; 4: 4; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 737,  6,  9,  250, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 45; 2: 56; 3: 20; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 803,  6,  9,  250, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 44; 2: 59; 3: 19; 4: 4; 5: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 301,  5, 11,  250, 0, 5, 434813, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 50; 3: 21; 4: 7; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 223,  5, 12,  250, 0, 5, 470503, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 54; 3: 22; 4: 5; 5: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 239,  6,  9,  250, 0, 5, 427869, 11992.95, 0, 0.00, 0: 6; 1: 46; 2: 54; 3: 21; 4: 7; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 297,  5, 13,  250, 0, 5, 499475, 11992.95, 0, 0.00, 0: 6; 1: 49; 2: 46; 3: 28; 4: 5; 5: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 499,  5, 12,  250, 0, 5, 470501, 11992.95, 0, 0.00, 0: 6; 1: 51; 2: 44; 3: 26; 4: 7; 5: 1; 
