Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
74(1000)
Melhor resultado nxn: CD4_T_cell_signaling, 361, 14, 14,  519, 1, 4, 1583799, 45211.48, 0, 0.00, 1: 211; 2: 105; 3: 22; 4: 8; 
CD4_T_cell_signaling, 239, 11, 18,  543, 1, 4, 1595535, 45211.48, 0, 0.00, 1: 201; 2: 101; 3: 36; 4: 8; 
CD4_T_cell_signaling, 241,  8, 24,  543, 1, 4, 1539697, 45211.48, 0, 0.00, 1: 198; 2: 107; 3: 33; 4: 8; 
CD4_T_cell_signaling, 476, 15, 13,  543, 1, 4, 1568023, 45211.48, 31, 0.00, 1: 193; 2: 117; 3: 28; 4: 8; 
CD4_T_cell_signaling, 720,  8, 26,  543, 1, 4, 1664346, 45211.48, 47, 0.00, 1: 193; 2: 115; 3: 32; 4: 6; 
CD4_T_cell_signaling, 712, 16, 12,  543, 1, 4, 1539661, 45211.48, 46, 0.00, 1: 196; 2: 107; 3: 39; 4: 4; 
CD4_T_cell_signaling, 110,  8, 25,  543, 1, 4, 1606466, 45211.48, 0, 0.00, 1: 200; 2: 102; 3: 37; 4: 7; 
CD4_T_cell_signaling, 933,  9, 21,  543, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 191; 2: 118; 3: 32; 4: 5; 
CD4_T_cell_signaling, 770, 12, 17,  543, 1, 4, 1626207, 45211.48, 0, 0.00, 1: 205; 2: 97; 3: 32; 4: 12; 
CD4_T_cell_signaling, 263, 13, 15,  543, 1, 4, 1568138, 45211.48, 0, 0.00, 1: 196; 2: 111; 3: 31; 4: 8; 
CD4_T_cell_signaling, 260,  8, 25,  543, 1, 4, 1606284, 45211.48, 181, 0.00, 1: 198; 2: 105; 3: 37; 4: 6; 
CD4_T_cell_signaling, 852,  9, 21,  543, 1, 4, 1527876, 45211.48, 62, 0.00, 1: 202; 2: 100; 3: 35; 4: 9; 
CD4_T_cell_signaling, 760,  8, 26,  543, 1, 4, 1664069, 45211.48, 52, 0.00, 1: 202; 2: 104; 3: 27; 4: 13; 
CD4_T_cell_signaling, 423,  9, 22,  543, 1, 4, 1595528, 45211.48, 0, 0.00, 1: 201; 2: 100; 3: 38; 4: 7; 
CD4_T_cell_signaling, 256,  8, 25,  543, 1, 4, 1606575, 45211.48, 16, 0.00, 1: 199; 2: 110; 3: 24; 4: 13; 
CD4_T_cell_signaling, 525, 13, 15,  543, 1, 4, 1568263, 45211.48, 0, 0.00, 1: 199; 2: 104; 3: 36; 4: 7; 
CD4_T_cell_signaling, 259, 10, 20,  544, 1, 4, 1606619, 45211.48, 0, 0.00, 1: 202; 2: 100; 3: 34; 4: 10; 
CD4_T_cell_signaling, 982, 10, 19,  544, 1, 4, 1526105, 45211.48, 0, 0.00, 1: 197; 2: 111; 3: 27; 4: 11; 
CD4_T_cell_signaling, 170, 10, 20,  544, 1, 4, 1606580, 45211.48, 0, 0.00, 1: 187; 2: 122; 3: 35; 4: 2; 
CD4_T_cell_signaling, 577,  9, 21,  544, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 193; 2: 114; 3: 33; 4: 6; 
CD4_T_cell_signaling,  35,  9, 22,  544, 1, 4, 1595523, 45211.48, 0, 0.00, 1: 199; 2: 105; 3: 33; 4: 9; 
CD4_T_cell_signaling, 997,  8, 24,  544, 1, 4, 1539723, 45211.48, 0, 0.00, 1: 206; 2: 98; 3: 26; 4: 16; 
CD4_T_cell_signaling, 454, 15, 13,  544, 1, 4, 1568029, 45211.48, 0, 0.00, 1: 202; 2: 102; 3: 30; 4: 12; 
CD4_T_cell_signaling, 739,  8, 24,  544, 1, 4, 1539748, 45211.48, 0, 0.00, 1: 208; 2: 92; 3: 32; 4: 14; 
CD4_T_cell_signaling, 986,  9, 21,  544, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 197; 2: 106; 3: 37; 4: 6; 
CD4_T_cell_signaling, 891,  9, 21,  544, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 199; 2: 105; 3: 33; 4: 9; 
CD4_T_cell_signaling, 104, 15, 13,  544, 1, 4, 1568120, 45211.48, 9, 0.00, 1: 196; 2: 110; 3: 32; 4: 8; 
CD4_T_cell_signaling, 420, 15, 13,  544, 1, 4, 1568209, 45211.48, 9, 0.00, 1: 197; 2: 108; 3: 33; 4: 8; 
CD4_T_cell_signaling, 681, 14, 14,  544, 1, 4, 1583789, 45211.48, 0, 0.00, 1: 198; 2: 104; 3: 38; 4: 6; 
CD4_T_cell_signaling,  96, 16, 12,  544, 1, 4, 1539684, 45211.48, 9, 0.00, 1: 197; 2: 110; 3: 29; 4: 10; 
CD4_T_cell_signaling, 521,  8, 25,  544, 1, 4, 1606499, 45211.48, 0, 0.00, 1: 202; 2: 100; 3: 34; 4: 10; 
CD4_T_cell_signaling, 603, 11, 18,  544, 1, 4, 1595486, 45211.48, 0, 0.00, 1: 194; 2: 116; 3: 26; 4: 10; 
CD4_T_cell_signaling, 775, 16, 12,  544, 1, 4, 1539615, 45211.48, 0, 0.00, 1: 200; 2: 108; 3: 24; 4: 14; 
CD4_T_cell_signaling,  70, 12, 16,  544, 1, 4, 1539702, 45211.48, 0, 0.00, 1: 203; 2: 96; 3: 39; 4: 8; 
CD4_T_cell_signaling, 510, 12, 17,  544, 1, 4, 1626139, 45211.48, 0, 0.00, 1: 202; 2: 99; 3: 36; 4: 9; 
CD4_T_cell_signaling, 771, 13, 15,  544, 1, 4, 1568181, 45211.48, 0, 0.00, 1: 200; 2: 104; 3: 32; 4: 10; 
CD4_T_cell_signaling, 967, 16, 12,  544, 1, 4, 1539714, 45211.48, 0, 0.00, 1: 195; 2: 116; 3: 23; 4: 12; 
CD4_T_cell_signaling, 113, 13, 15,  544, 1, 4, 1568230, 45211.48, 0, 0.00, 1: 196; 2: 110; 3: 32; 4: 8; 
CD4_T_cell_signaling, 547,  8, 24,  544, 1, 4, 1539714, 45211.48, 0, 0.00, 1: 196; 2: 110; 3: 32; 4: 8; 
CD4_T_cell_signaling,  68,  8, 24,  544, 1, 4, 1539686, 45211.48, 8, 0.00, 1: 198; 2: 106; 3: 34; 4: 8; 
CD4_T_cell_signaling, 437, 10, 20,  544, 1, 4, 1606419, 45211.48, 0, 0.00, 1: 198; 2: 106; 3: 34; 4: 8; 
CD4_T_cell_signaling, 530, 11, 18,  545, 1, 4, 1595557, 45211.48, 0, 0.00, 1: 197; 2: 108; 3: 32; 4: 9; 
CD4_T_cell_signaling, 411,  8, 24,  545, 1, 4, 1539704, 45211.48, 0, 0.00, 1: 195; 2: 112; 3: 30; 4: 9; 
CD4_T_cell_signaling, 430, 13, 15,  545, 1, 4, 1568116, 45211.48, 0, 0.00, 1: 194; 2: 114; 3: 29; 4: 9; 
CD4_T_cell_signaling, 275, 16, 12,  545, 1, 4, 1539698, 45211.48, 0, 0.00, 1: 198; 2: 107; 3: 31; 4: 10; 
CD4_T_cell_signaling, 274, 15, 13,  545, 1, 4, 1568110, 45211.48, 0, 0.00, 1: 199; 2: 108; 3: 26; 4: 13; 
CD4_T_cell_signaling, 413,  8, 25,  545, 1, 4, 1606316, 45211.48, 0, 0.00, 1: 203; 2: 99; 3: 32; 4: 12; 
CD4_T_cell_signaling,  82, 12, 17,  545, 1, 4, 1625899, 45211.48, 0, 0.00, 1: 200; 2: 101; 3: 37; 4: 8; 
CD4_T_cell_signaling, 634, 10, 20,  545, 1, 4, 1606477, 45211.48, 0, 0.00, 1: 196; 2: 113; 3: 25; 4: 12; 
CD4_T_cell_signaling, 872,  9, 21,  545, 1, 4, 1527876, 45211.48, 66, 0.00, 1: 197; 2: 109; 3: 30; 4: 10; 
CD4_T_cell_signaling, 740,  8, 24,  545, 1, 4, 1539720, 45211.48, 48, 0.00, 1: 201; 2: 101; 3: 34; 4: 10; 
CD4_T_cell_signaling, 331, 11, 18,  545, 1, 4, 1595504, 45211.48, 0, 0.00, 1: 194; 2: 112; 3: 33; 4: 7; 
CD4_T_cell_signaling, 168, 12, 16,  545, 1, 4, 1539715, 45211.48, 13, 0.00, 1: 203; 2: 98; 3: 34; 4: 11; 
CD4_T_cell_signaling,  39,  9, 22,  545, 1, 4, 1595636, 45211.48, 0, 0.00, 1: 197; 2: 109; 3: 30; 4: 10; 
CD4_T_cell_signaling, 746, 16, 12,  545, 1, 4, 1539686, 45211.48, 0, 0.00, 1: 200; 2: 102; 3: 35; 4: 9; 
CD4_T_cell_signaling,  77,  8, 24,  545, 1, 4, 1539729, 45211.48, 0, 0.00, 1: 195; 2: 113; 3: 28; 4: 10; 
CD4_T_cell_signaling, 912, 12, 16,  545, 1, 4, 1539713, 45211.48, 69, 0.00, 1: 195; 2: 112; 3: 30; 4: 9; 
CD4_T_cell_signaling, 834, 14, 14,  545, 1, 4, 1583774, 45211.48, 0, 0.00, 1: 194; 2: 115; 3: 27; 4: 10; 
CD4_T_cell_signaling, 937,  8, 26,  545, 1, 4, 1664117, 45211.48, 0, 0.00, 1: 198; 2: 107; 3: 31; 4: 10; 
CD4_T_cell_signaling, 119,  8, 25,  545, 1, 4, 1606519, 45211.48, 0, 0.00, 1: 201; 2: 101; 3: 34; 4: 10; 
CD4_T_cell_signaling, 798,  8, 26,  545, 1, 4, 1664314, 45211.48, 0, 0.00, 1: 201; 2: 98; 3: 40; 4: 7; 
CD4_T_cell_signaling, 184,  9, 21,  545, 1, 4, 1527876, 45211.48, 13, 0.00, 1: 191; 2: 118; 3: 30; 4: 7; 
CD4_T_cell_signaling, 506,  8, 25,  545, 1, 4, 1606548, 45211.48, 0, 0.00, 1: 201; 2: 102; 3: 32; 4: 11; 
CD4_T_cell_signaling,   3,  9, 23,  545, 1, 4, 1649546, 45211.48, 178, 0.00, 1: 200; 2: 102; 3: 35; 4: 9; 
CD4_T_cell_signaling, 655,  9, 23,  545, 1, 4, 1649283, 45211.48, 0, 0.00, 1: 199; 2: 107; 3: 28; 4: 12; 
CD4_T_cell_signaling,  46,  9, 21,  545, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 204; 2: 96; 3: 35; 4: 11; 
CD4_T_cell_signaling, 112,  8, 24,  545, 1, 4, 1539782, 45211.48, 9, 0.00, 1: 196; 2: 113; 3: 25; 4: 12; 
CD4_T_cell_signaling, 543,  9, 23,  545, 1, 4, 1649659, 45211.48, 0, 0.00, 1: 203; 2: 99; 3: 32; 4: 12; 
CD4_T_cell_signaling, 496, 13, 15,  545, 1, 4, 1568149, 45211.48, 33, 0.00, 1: 197; 2: 105; 3: 38; 4: 6; 
CD4_T_cell_signaling, 129, 13, 15,  545, 1, 4, 1568110, 45211.48, 0, 0.00, 1: 201; 2: 100; 3: 36; 4: 9; 
CD4_T_cell_signaling, 683, 15, 13,  545, 1, 4, 1568078, 45211.48, 0, 0.00, 1: 203; 2: 97; 3: 36; 4: 10; 
CD4_T_cell_signaling,  25,  8, 26,  545, 1, 4, 1664260, 45211.48, 186, 0.00, 1: 205; 2: 97; 3: 30; 4: 14; 
CD4_T_cell_signaling,  72,  9, 21,  545, 1, 4, 1527876, 45211.48, 7, 0.00, 1: 200; 2: 106; 3: 27; 4: 13; 
CD4_T_cell_signaling, 939,  8, 26,  545, 1, 4, 1664453, 45211.48, 0, 0.00, 1: 201; 2: 99; 3: 38; 4: 8; 
CD4_T_cell_signaling, 984, 10, 19,  545, 1, 4, 1526070, 45211.48, 74, 0.00, 1: 199; 2: 103; 3: 36; 4: 8; 
CD4_T_cell_signaling, 725, 15, 13,  545, 1, 4, 1568179, 45211.48, 0, 0.00, 1: 197; 2: 108; 3: 32; 4: 9; 
CD4_T_cell_signaling, 363, 16, 12,  545, 1, 4, 1539762, 45211.48, 0, 0.00, 1: 195; 2: 112; 3: 30; 4: 9; 
CD4_T_cell_signaling, 469,  8, 25,  545, 1, 4, 1606718, 45211.48, 0, 0.00, 1: 194; 2: 113; 3: 31; 4: 8; 
CD4_T_cell_signaling, 365,  9, 22,  545, 1, 4, 1595713, 45211.48, 0, 0.00, 1: 202; 2: 97; 3: 39; 4: 8; 
CD4_T_cell_signaling, 876, 14, 14,  545, 1, 4, 1583771, 45211.48, 65, 0.00, 1: 196; 2: 106; 3: 39; 4: 5; 
CD4_T_cell_signaling, 190, 14, 14,  545, 1, 4, 1583601, 45211.48, 0, 0.00, 1: 191; 2: 120; 3: 26; 4: 9; 
CD4_T_cell_signaling, 855, 12, 17,  546, 1, 4, 1626017, 45211.48, 0, 0.00, 1: 195; 2: 114; 3: 25; 4: 12; 
CD4_T_cell_signaling, 700, 12, 17,  546, 1, 4, 1626139, 45211.48, 157, 0.00, 1: 194; 2: 114; 3: 28; 4: 10; 
CD4_T_cell_signaling, 963,  8, 25,  546, 1, 4, 1606708, 45211.48, 0, 0.00, 1: 203; 2: 100; 3: 29; 4: 14; 
CD4_T_cell_signaling, 316, 12, 17,  546, 1, 4, 1626020, 45211.48, 100, 0.00, 1: 202; 2: 96; 3: 40; 4: 8; 
CD4_T_cell_signaling, 787,  8, 26,  546, 1, 4, 1664308, 45211.48, 0, 0.00, 1: 202; 2: 99; 3: 34; 4: 11; 
CD4_T_cell_signaling,  95,  8, 25,  546, 1, 4, 1606593, 45211.48, 0, 0.00, 1: 200; 2: 102; 3: 34; 4: 10; 
CD4_T_cell_signaling, 702,  9, 23,  546, 1, 4, 1649289, 45211.48, 0, 0.00, 1: 199; 2: 102; 3: 37; 4: 8; 
CD4_T_cell_signaling, 127,  9, 21,  546, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 193; 2: 116; 3: 27; 4: 10; 
CD4_T_cell_signaling, 816, 15, 13,  546, 1, 4, 1568079, 45211.48, 59, 0.00, 1: 198; 2: 107; 3: 30; 4: 11; 
CD4_T_cell_signaling,  63, 12, 17,  546, 1, 4, 1626054, 45211.48, 0, 0.00, 1: 200; 2: 99; 3: 40; 4: 7; 
CD4_T_cell_signaling, 106, 16, 12,  546, 1, 4, 1539729, 45211.48, 0, 0.00, 1: 200; 2: 100; 3: 38; 4: 8; 
CD4_T_cell_signaling, 648, 14, 14,  546, 1, 4, 1583813, 45211.48, 41, 0.00, 1: 199; 2: 105; 3: 31; 4: 11; 
CD4_T_cell_signaling, 991,  9, 21,  546, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 200; 2: 101; 3: 36; 4: 9; 
CD4_T_cell_signaling, 779, 10, 20,  546, 1, 4, 1606602, 45211.48, 0, 0.00, 1: 191; 2: 118; 3: 29; 4: 8; 
CD4_T_cell_signaling, 737, 11, 18,  546, 1, 4, 1595559, 45211.48, 0, 0.00, 1: 198; 2: 103; 3: 38; 4: 7; 
CD4_T_cell_signaling, 811,  9, 21,  546, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 201; 2: 101; 3: 33; 4: 11; 
CD4_T_cell_signaling, 195, 14, 14,  546, 1, 4, 1583650, 45211.48, 0, 0.00, 1: 192; 2: 111; 3: 40; 4: 3; 
CD4_T_cell_signaling, 441,  8, 25,  546, 1, 4, 1606368, 45211.48, 0, 0.00, 1: 198; 2: 107; 3: 30; 4: 11; 
CD4_T_cell_signaling, 917,  9, 22,  546, 1, 4, 1595553, 45211.48, 0, 0.00, 1: 190; 2: 119; 3: 30; 4: 7; 
CD4_T_cell_signaling, 386,  9, 21,  546, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 197; 2: 105; 3: 37; 4: 7; 
CD4_T_cell_signaling, 539,  8, 25,  546, 1, 4, 1606490, 45211.48, 0, 0.00, 1: 204; 2: 92; 3: 42; 4: 8; 
CD4_T_cell_signaling,  30,  8, 26,  546, 1, 4, 1664307, 45211.48, 0, 0.00, 1: 199; 2: 103; 3: 35; 4: 9; 
CD4_T_cell_signaling, 189, 10, 20,  546, 1, 4, 1606305, 45211.48, 0, 0.00, 1: 209; 2: 90; 3: 31; 4: 16; 
CD4_T_cell_signaling, 571,  8, 26,  546, 1, 4, 1664345, 45211.48, 0, 0.00, 1: 199; 2: 106; 3: 29; 4: 12; 
CD4_T_cell_signaling,  26, 10, 19,  546, 1, 4, 1526094, 45211.48, 248, 0.00, 1: 195; 2: 109; 3: 35; 4: 7; 
CD4_T_cell_signaling, 338, 14, 14,  546, 1, 4, 1583685, 45211.48, 0, 0.00, 1: 199; 2: 104; 3: 33; 4: 10; 
CD4_T_cell_signaling, 482, 11, 18,  546, 1, 4, 1595532, 45211.48, 0, 0.00, 1: 206; 2: 88; 3: 44; 4: 8; 
CD4_T_cell_signaling, 336,  8, 26,  546, 1, 4, 1664038, 45211.48, 21, 0.00, 1: 193; 2: 112; 3: 35; 4: 6; 
CD4_T_cell_signaling, 484, 13, 15,  546, 1, 4, 1568163, 45211.48, 170, 0.00, 1: 206; 2: 92; 3: 36; 4: 12; 
CD4_T_cell_signaling, 616, 16, 12,  546, 1, 4, 1539671, 45211.48, 39, 0.00, 1: 202; 2: 100; 3: 32; 4: 12; 
CD4_T_cell_signaling, 485, 10, 19,  546, 1, 4, 1526083, 45211.48, 0, 0.00, 1: 202; 2: 102; 3: 28; 4: 14; 
CD4_T_cell_signaling, 387,  9, 23,  546, 1, 4, 1649444, 45211.48, 0, 0.00, 1: 203; 2: 97; 3: 35; 4: 11; 
CD4_T_cell_signaling, 924, 11, 18,  546, 1, 4, 1595563, 45211.48, 178, 0.00, 1: 204; 2: 98; 3: 30; 4: 14; 
CD4_T_cell_signaling,  15,  8, 24,  546, 1, 4, 1539603, 45211.48, 0, 0.00, 1: 196; 2: 111; 3: 28; 4: 11; 
CD4_T_cell_signaling,  85,  8, 25,  547, 1, 4, 1606552, 45211.48, 0, 0.00, 1: 197; 2: 108; 3: 30; 4: 11; 
CD4_T_cell_signaling, 401,  8, 26,  547, 1, 4, 1664170, 45211.48, 0, 0.00, 1: 203; 2: 99; 3: 30; 4: 14; 
CD4_T_cell_signaling, 181, 15, 13,  547, 1, 4, 1568206, 45211.48, 0, 0.00, 1: 200; 2: 102; 3: 33; 4: 11; 
CD4_T_cell_signaling,  81, 14, 14,  547, 1, 4, 1583758, 45211.48, 0, 0.00, 1: 201; 2: 102; 3: 30; 4: 13; 
CD4_T_cell_signaling, 148,  8, 25,  547, 1, 4, 1606688, 45211.48, 8, 0.00, 1: 201; 2: 100; 3: 34; 4: 11; 
CD4_T_cell_signaling, 668, 13, 15,  547, 1, 4, 1568171, 45211.48, 86, 0.00, 1: 200; 2: 101; 3: 35; 4: 10; 
CD4_T_cell_signaling, 561, 16, 12,  547, 1, 4, 1539712, 45211.48, 0, 0.00, 1: 200; 2: 99; 3: 39; 4: 8; 
CD4_T_cell_signaling, 447,  8, 25,  547, 1, 4, 1606644, 45211.48, 0, 0.00, 1: 200; 2: 102; 3: 33; 4: 11; 
CD4_T_cell_signaling, 846, 10, 20,  547, 1, 4, 1606515, 45211.48, 0, 0.00, 1: 198; 2: 107; 3: 29; 4: 12; 
CD4_T_cell_signaling,  50,  8, 25,  547, 1, 4, 1606550, 45211.48, 0, 0.00, 1: 195; 2: 113; 3: 26; 4: 12; 
CD4_T_cell_signaling, 108, 13, 15,  547, 1, 4, 1568217, 45211.48, 170, 0.00, 1: 200; 2: 102; 3: 33; 4: 11; 
CD4_T_cell_signaling, 501, 14, 14,  547, 1, 4, 1583688, 45211.48, 0, 0.00, 1: 190; 2: 118; 3: 31; 4: 7; 
CD4_T_cell_signaling, 974, 13, 15,  547, 1, 4, 1568174, 45211.48, 0, 0.00, 1: 192; 2: 112; 3: 37; 4: 5; 
CD4_T_cell_signaling, 209,  9, 21,  547, 1, 4, 1527876, 45211.48, 0, 0.00, 1: 195; 2: 110; 3: 32; 4: 9; 
CD4_T_cell_signaling, 772,  9, 23,  547, 1, 4, 1649560, 45211.48, 57, 0.00, 1: 196; 2: 105; 3: 39; 4: 6; 
CD4_T_cell_signaling, 791,  8, 24,  547, 1, 4, 1539661, 45211.48, 0, 0.00, 1: 202; 2: 96; 3: 39; 4: 9; 
CD4_T_cell_signaling, 645, 16, 12,  547, 1, 4, 1539678, 45211.48, 0, 0.00, 1: 191; 2: 114; 3: 36; 4: 5; 
CD4_T_cell_signaling, 941,  8, 25,  547, 1, 4, 1606521, 45211.48, 0, 0.00, 1: 195; 2: 110; 3: 32; 4: 9; 
CD4_T_cell_signaling, 646, 10, 20,  547, 1, 4, 1606519, 45211.48, 0, 0.00, 1: 201; 2: 100; 3: 34; 4: 11; 
CD4_T_cell_signaling,  74, 13, 15,  547, 1, 4, 1568125, 45211.48, 0, 0.00, 1: 193; 2: 115; 3: 28; 4: 10; 
CD4_T_cell_signaling,  38, 10, 20,  547, 1, 4, 1606508, 45211.48, 0, 0.00, 1: 199; 2: 104; 3: 32; 4: 11; 
CD4_T_cell_signaling, 810,  8, 24,  547, 1, 4, 1539700, 45211.48, 0, 0.00, 1: 196; 2: 113; 3: 23; 4: 14; 
CD4_T_cell_signaling, 596,  8, 25,  547, 1, 4, 1606621, 45211.48, 110, 0.00, 1: 199; 2: 102; 3: 36; 4: 9; 
CD4_T_cell_signaling, 814,  9, 22,  547, 1, 4, 1595416, 45211.48, 0, 0.00, 1: 203; 2: 96; 3: 36; 4: 11; 
CD4_T_cell_signaling,  37,  8, 25,  547, 1, 4, 1606545, 45211.48, 0, 0.00, 1: 196; 2: 109; 3: 31; 4: 10; 
CD4_T_cell_signaling, 696, 12, 17,  548, 1, 4, 1626341, 45211.48, 44, 0.00, 1: 196; 2: 106; 3: 36; 4: 8; 
CD4_T_cell_signaling, 162,  8, 25,  548, 1, 4, 1606554, 45211.48, 0, 0.00, 1: 198; 2: 108; 3: 26; 4: 14; 
CD4_T_cell_signaling, 898, 13, 15,  548, 1, 4, 1568132, 45211.48, 0, 0.00, 1: 195; 2: 109; 3: 33; 4: 9; 
CD4_T_cell_signaling,  62,  8, 25,  548, 1, 4, 1606459, 45211.48, 0, 0.00, 1: 198; 2: 103; 3: 36; 4: 9; 
CD4_T_cell_signaling,  23, 10, 19,  548, 1, 4, 1526086, 45211.48, 0, 0.00, 1: 198; 2: 106; 3: 30; 4: 12; 
CD4_T_cell_signaling, 487, 16, 12,  548, 1, 4, 1539645, 45211.48, 0, 0.00, 1: 190; 2: 119; 3: 28; 4: 9; 
CD4_T_cell_signaling, 711, 10, 19,  548, 1, 4, 1526086, 45211.48, 0, 0.00, 1: 188; 2: 118; 3: 36; 4: 4; 
CD4_T_cell_signaling,  64, 15, 13,  548, 1, 4, 1568104, 45211.48, 6, 0.00, 1: 208; 2: 90; 3: 32; 4: 16; 
CD4_T_cell_signaling, 325,  8, 24,  548, 1, 4, 1539641, 45211.48, 0, 0.00, 1: 191; 2: 114; 3: 35; 4: 6; 
CD4_T_cell_signaling, 968, 12, 16,  548, 1, 4, 1539679, 45211.48, 72, 0.00, 1: 190; 2: 117; 3: 32; 4: 7; 
CD4_T_cell_signaling, 819, 16, 12,  548, 1, 4, 1539683, 45211.48, 0, 0.00, 1: 197; 2: 108; 3: 29; 4: 12; 
CD4_T_cell_signaling,  16, 16, 12,  548, 1, 4, 1539697, 45211.48, 128, 0.00, 1: 197; 2: 104; 3: 37; 4: 8; 
CD4_T_cell_signaling, 452,  8, 24,  548, 1, 4, 1539755, 45211.48, 144, 0.00, 1: 201; 2: 97; 3: 39; 4: 9; 
CD4_T_cell_signaling, 651,  8, 24,  548, 1, 4, 1539654, 45211.48, 0, 0.00, 1: 197; 2: 106; 3: 33; 4: 10; 
CD4_T_cell_signaling, 758,  8, 25,  548, 1, 4, 1606651, 45211.48, 0, 0.00, 1: 200; 2: 104; 3: 28; 4: 14; 
CD4_T_cell_signaling, 370,  9, 22,  548, 1, 4, 1595497, 45211.48, 0, 0.00, 1: 203; 2: 93; 3: 41; 4: 9; 
CD4_T_cell_signaling,  55, 15, 13,  548, 1, 4, 1568081, 45211.48, 0, 0.00, 1: 197; 2: 102; 3: 41; 4: 6; 
CD4_T_cell_signaling, 183, 13, 15,  548, 1, 4, 1568178, 45211.48, 0, 0.00, 1: 201; 2: 102; 3: 29; 4: 14; 
CD4_T_cell_signaling, 589, 10, 20,  548, 1, 4, 1606310, 45211.48, 0, 0.00, 1: 201; 2: 96; 3: 41; 4: 8; 
CD4_T_cell_signaling,  73, 11, 18,  548, 1, 4, 1595554, 45211.48, 0, 0.00, 1: 193; 2: 115; 3: 27; 4: 11; 
CD4_T_cell_signaling, 553,  9, 22,  548, 1, 4, 1595467, 45211.48, 0, 0.00, 1: 202; 2: 99; 3: 32; 4: 13; 
CD4_T_cell_signaling, 840, 11, 18,  548, 1, 4, 1595424, 45211.48, 62, 0.00, 1: 190; 2: 117; 3: 32; 4: 7; 
CD4_T_cell_signaling, 445,  8, 24,  548, 1, 4, 1539754, 45211.48, 0, 0.00, 1: 199; 2: 102; 3: 35; 4: 10; 
CD4_T_cell_signaling, 551, 14, 14,  548, 1, 4, 1583695, 45211.48, 0, 0.00, 1: 194; 2: 113; 3: 28; 4: 11; 
CD4_T_cell_signaling, 550, 11, 18,  548, 1, 4, 1595531, 45211.48, 0, 0.00, 1: 194; 2: 110; 3: 34; 4: 8; 
CD4_T_cell_signaling, 822,  8, 24,  549, 1, 4, 1539659, 45211.48, 0, 0.00, 1: 201; 2: 98; 3: 36; 4: 11; 
CD4_T_cell_signaling, 395, 12, 16,  549, 1, 4, 1539696, 45211.48, 0, 0.00, 1: 196; 2: 108; 3: 31; 4: 11; 
CD4_T_cell_signaling, 925, 11, 18,  549, 1, 4, 1595529, 45211.48, 0, 0.00, 1: 191; 2: 116; 3: 30; 4: 9; 
CD4_T_cell_signaling, 710,  8, 25,  549, 1, 4, 1606547, 45211.48, 0, 0.00, 1: 196; 2: 109; 3: 29; 4: 12; 
CD4_T_cell_signaling, 981,  8, 26,  549, 1, 4, 1664204, 45211.48, 0, 0.00, 1: 194; 2: 110; 3: 33; 4: 9; 
CD4_T_cell_signaling, 839, 12, 16,  549, 1, 4, 1539744, 45211.48, 0, 0.00, 1: 194; 2: 111; 3: 31; 4: 10; 
CD4_T_cell_signaling,  24,  8, 24,  549, 1, 4, 1539722, 45211.48, 128, 0.00, 1: 197; 2: 105; 3: 34; 4: 10; 
CD4_T_cell_signaling, 976,  8, 25,  549, 1, 4, 1606461, 45211.48, 73, 0.00, 1: 198; 2: 106; 3: 29; 4: 13; 
CD4_T_cell_signaling, 481,  8, 24,  549, 1, 4, 1539744, 45211.48, 0, 0.00, 1: 200; 2: 101; 3: 33; 4: 12; 
CD4_T_cell_signaling, 227, 12, 17,  549, 1, 4, 1626027, 45211.48, 0, 0.00, 1: 201; 2: 97; 3: 38; 4: 10; 
CD4_T_cell_signaling, 296,  9, 21,  549, 1, 4, 1527876, 45211.48, 18, 0.00, 1: 196; 2: 104; 3: 39; 4: 7; 
CD4_T_cell_signaling, 210, 11, 18,  549, 1, 4, 1595487, 45211.48, 0, 0.00, 1: 198; 2: 107; 3: 27; 4: 14; 
CD4_T_cell_signaling, 629,  8, 26,  549, 1, 4, 1664200, 45211.48, 0, 0.00, 1: 193; 2: 110; 3: 36; 4: 7; 
CD4_T_cell_signaling, 610,  9, 23,  549, 1, 4, 1649779, 45211.48, 0, 0.00, 1: 199; 2: 106; 3: 26; 4: 15; 
CD4_T_cell_signaling, 572, 14, 14,  549, 1, 4, 1583838, 45211.48, 138, 0.00, 1: 200; 2: 101; 3: 33; 4: 12; 
CD4_T_cell_signaling, 900,  8, 26,  549, 1, 4, 1663949, 45211.48, 178, 0.00, 1: 198; 2: 102; 3: 37; 4: 9; 
CD4_T_cell_signaling, 520,  9, 23,  549, 1, 4, 1649730, 45211.48, 33, 0.00, 1: 195; 2: 113; 3: 24; 4: 14; 
CD4_T_cell_signaling, 541, 11, 18,  549, 1, 4, 1595500, 45211.48, 0, 0.00, 1: 200; 2: 98; 3: 39; 4: 9; 
