Seed 1656949570
ARCH 2|F_ID 0|LIMIT 3
before: 
3(297)
Melhor resultado nxn: B_bronchiseptica_and_T_retortaeformis_coinfectio, 157,  6, 10,  189, 1, 3, 469954, 12208.51, 0, 0.00, 1: 86; 2: 44; 3: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 924,  5, 12,  197, 1, 4, 470426, 12208.51, 20, 0.00, 1: 83; 2: 44; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 392,  7,  8,  197, 1, 4, 442819, 12208.51, 15, 0.00, 1: 83; 2: 44; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 391,  5, 13,  197, 1, 4, 499519, 12208.51, 0, 0.00, 1: 85; 2: 40; 3: 8; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 799,  9,  6,  197, 1, 4, 427869, 12208.51, 0, 0.00, 1: 83; 2: 43; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 804,  5, 11,  197, 1, 4, 434783, 12208.51, 5, 0.00, 1: 80; 2: 49; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 659,  9,  6,  197, 1, 4, 427869, 12208.51, 0, 0.00, 1: 83; 2: 44; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 958,  5, 12,  197, 1, 4, 470392, 12208.51, 0, 0.00, 1: 84; 2: 41; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 724,  8,  7,  197, 1, 4, 442764, 12208.51, 31, 0.00, 1: 83; 2: 45; 3: 4; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 814,  6, 10,  197, 1, 4, 470575, 12208.51, 0, 0.00, 1: 78; 2: 53; 3: 3; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   9,  5, 13,  197, 1, 4, 499102, 12208.51, 127, 0.00, 1: 82; 2: 46; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 720,  7,  8,  197, 1, 4, 442386, 12208.51, 31, 0.00, 1: 82; 2: 46; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 948,  5, 12,  197, 1, 4, 470479, 12208.51, 51, 0.00, 1: 82; 2: 46; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 350,  6,  9,  197, 1, 4, 427869, 12208.51, 0, 0.00, 1: 80; 2: 49; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 327,  5, 11,  197, 1, 4, 434831, 12208.51, 0, 0.00, 1: 85; 2: 40; 3: 8; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 351,  9,  6,  197, 1, 4, 427869, 12208.51, 0, 0.00, 1: 83; 2: 43; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 474,  5, 13,  197, 1, 4, 498146, 12208.51, 0, 0.00, 1: 84; 2: 41; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 161,  7,  8,  197, 1, 4, 442801, 12208.51, 0, 0.00, 1: 80; 2: 49; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 784,  5, 13,  197, 1, 4, 500017, 12208.51, 34, 0.00, 1: 81; 2: 47; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 541,  5, 12,  197, 1, 4, 470275, 12208.51, 0, 0.00, 1: 87; 2: 37; 3: 8; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 263,  9,  6,  197, 1, 4, 427869, 12208.51, 0, 0.00, 1: 81; 2: 47; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 844,  5, 13,  198, 1, 4, 499331, 12208.51, 34, 0.00, 1: 86; 2: 37; 3: 10; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 607,  6,  9,  198, 1, 4, 427869, 12208.51, 0, 0.00, 1: 79; 2: 50; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 192,  5, 13,  198, 1, 4, 499873, 12208.51, 5, 0.00, 1: 81; 2: 47; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  58,  5, 11,  198, 1, 4, 434819, 12208.51, 0, 0.00, 1: 81; 2: 47; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 642,  8,  7,  198, 1, 4, 442581, 12208.51, 0, 0.00, 1: 82; 2: 45; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 733,  5, 13,  198, 1, 4, 499362, 12208.51, 0, 0.00, 1: 83; 2: 42; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 637,  7,  8,  198, 1, 4, 442656, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 616,  5, 12,  198, 1, 4, 470707, 12208.51, 26, 0.00, 1: 85; 2: 38; 3: 11; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 201,  8,  7,  198, 1, 4, 442620, 12208.51, 0, 0.00, 1: 80; 2: 48; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 624,  9,  6,  198, 1, 4, 427869, 12208.51, 26, 0.00, 1: 80; 2: 48; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 717,  5, 11,  198, 1, 4, 434861, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 665,  6, 10,  198, 1, 4, 470229, 12208.51, 0, 0.00, 1: 83; 2: 42; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 651,  6,  9,  198, 1, 4, 427869, 12208.51, 0, 0.00, 1: 82; 2: 45; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 663,  7,  8,  198, 1, 4, 442295, 12208.51, 0, 0.00, 1: 83; 2: 43; 3: 7; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 370,  5, 13,  198, 1, 4, 499216, 12208.51, 0, 0.00, 1: 80; 2: 48; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 446,  5, 12,  198, 1, 4, 470217, 12208.51, 0, 0.00, 1: 77; 2: 54; 3: 3; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 111,  5, 11,  198, 1, 4, 434840, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 247,  6, 10,  198, 1, 4, 470448, 12208.51, 0, 0.00, 1: 82; 2: 45; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 159,  9,  6,  198, 1, 4, 427869, 12208.51, 0, 0.00, 1: 81; 2: 46; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 872,  6,  9,  198, 1, 4, 427869, 12208.51, 38, 0.00, 1: 84; 2: 42; 3: 6; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 425,  5, 12,  198, 1, 4, 470355, 12208.51, 0, 0.00, 1: 81; 2: 47; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  90,  8,  7,  198, 1, 4, 442763, 12208.51, 0, 0.00, 1: 83; 2: 44; 3: 5; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 885,  5, 12,  198, 1, 4, 470647, 12208.51, 0, 0.00, 1: 85; 2: 39; 3: 9; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 887,  5, 12,  198, 1, 4, 470668, 12208.51, 0, 0.00, 1: 83; 2: 43; 3: 7; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 251,  5, 13,  198, 1, 4, 499540, 12208.51, 0, 0.00, 1: 84; 2: 40; 3: 10; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 409,  9,  6,  198, 1, 4, 427869, 12208.51, 0, 0.00, 1: 81; 2: 47; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  14,  5, 11,  198, 1, 4, 434850, 12208.51, 0, 0.00, 1: 84; 2: 40; 3: 10; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  99,  8,  7,  198, 1, 4, 442781, 12208.51, 0, 0.00, 1: 81; 2: 46; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 383,  5, 11,  198, 1, 4, 434798, 12208.51, 0, 0.00, 1: 85; 2: 38; 3: 11; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 931,  7,  8,  198, 1, 4, 442856, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  65,  5, 11,  198, 1, 4, 434698, 12208.51, 0, 0.00, 1: 81; 2: 46; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 369,  7,  8,  198, 1, 4, 442336, 12208.51, 0, 0.00, 1: 84; 2: 40; 3: 10; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 932,  9,  6,  198, 1, 4, 427869, 12208.51, 11, 0.00, 1: 79; 2: 50; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 100,  5, 11,  198, 1, 4, 434883, 12208.51, 4, 0.00, 1: 82; 2: 44; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 138,  7,  8,  198, 1, 4, 442672, 12208.51, 0, 0.00, 1: 80; 2: 49; 3: 4; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 957,  6, 10,  198, 1, 4, 470770, 12208.51, 0, 0.00, 1: 79; 2: 50; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 337,  9,  6,  198, 1, 4, 427869, 12208.51, 0, 0.00, 1: 82; 2: 46; 3: 4; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 134,  5, 11,  198, 1, 4, 434769, 12208.51, 0, 0.00, 1: 83; 2: 43; 3: 7; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 980,  5, 12,  198, 1, 4, 470474, 12208.51, 18, 0.00, 1: 78; 2: 53; 3: 2; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 297,  5, 13,  198, 1, 4, 500170, 12208.51, 0, 0.00, 1: 81; 2: 47; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 281,  6,  9,  198, 1, 4, 427869, 12208.51, 0, 0.00, 1: 83; 2: 42; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   2,  5, 13,  198, 1, 4, 499784, 12208.51, 20, 0.00, 1: 85; 2: 39; 3: 9; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 289,  5, 13,  198, 1, 4, 499861, 12208.51, 0, 0.00, 1: 84; 2: 40; 3: 10; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 995,  5, 12,  198, 1, 4, 470291, 12208.51, 0, 0.00, 1: 86; 2: 38; 3: 8; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 286,  6,  9,  198, 1, 4, 427869, 12208.51, 0, 0.00, 1: 83; 2: 43; 3: 7; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 245,  5, 11,  198, 1, 4, 434856, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 592,  5, 12,  198, 1, 4, 470028, 12208.51, 25, 0.00, 1: 84; 2: 41; 3: 8; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 588,  5, 12,  198, 1, 4, 470211, 12208.51, 21, 0.00, 1: 85; 2: 40; 3: 7; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 188,  5, 13,  198, 1, 4, 499804, 12208.51, 35, 0.00, 1: 82; 2: 45; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 573,  5, 13,  198, 1, 4, 500259, 12208.51, 0, 0.00, 1: 81; 2: 46; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  68,  5, 12,  198, 1, 4, 470643, 12208.51, 3, 0.00, 1: 81; 2: 46; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 550,  9,  6,  198, 1, 4, 427869, 12208.51, 0, 0.00, 1: 81; 2: 46; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 549,  7,  8,  198, 1, 4, 442579, 12208.51, 0, 0.00, 1: 81; 2: 47; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 537,  6, 10,  198, 1, 4, 470407, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 531,  5, 12,  198, 1, 4, 470580, 12208.51, 0, 0.00, 1: 79; 2: 50; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 522,  5, 12,  198, 1, 4, 470268, 12208.51, 0, 0.00, 1: 82; 2: 45; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 510,  5, 11,  198, 1, 4, 434886, 12208.51, 0, 0.00, 1: 84; 2: 42; 3: 6; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 504,  7,  8,  198, 1, 4, 442775, 12208.51, 21, 0.00, 1: 81; 2: 46; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 809,  5, 11,  198, 1, 4, 434882, 12208.51, 0, 0.00, 1: 81; 2: 46; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 822,  5, 12,  198, 1, 4, 470398, 12208.51, 0, 0.00, 1: 83; 2: 43; 3: 7; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 828,  5, 13,  198, 1, 4, 499300, 12208.51, 33, 0.00, 1: 82; 2: 46; 3: 4; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  84,  6, 10,  198, 1, 4, 470629, 12208.51, 27, 0.00, 1: 81; 2: 47; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 466,  5, 11,  198, 1, 4, 434589, 12208.51, 0, 0.00, 1: 81; 2: 47; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 242,  5, 11,  198, 1, 4, 434851, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  27,  5, 11,  198, 1, 4, 434697, 12208.51, 107, 0.00, 1: 81; 2: 46; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 836,  7,  8,  198, 1, 4, 442791, 12208.51, 32, 0.00, 1: 82; 2: 44; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 480,  5, 11,  198, 1, 4, 434885, 12208.51, 20, 0.00, 1: 82; 2: 45; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 472,  5, 13,  198, 1, 4, 499639, 12208.51, 19, 0.00, 1: 83; 2: 42; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 176,  5, 12,  199, 1, 4, 470722, 12208.51, 5, 0.00, 1: 85; 2: 39; 3: 8; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 117,  9,  6,  199, 1, 4, 427869, 12208.51, 0, 0.00, 1: 81; 2: 45; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 855,  5, 11,  199, 1, 4, 434810, 12208.51, 0, 0.00, 1: 80; 2: 47; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 707,  9,  6,  199, 1, 4, 427869, 12208.51, 0, 0.00, 1: 83; 2: 42; 3: 8; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 130,  4, 14,  199, 1, 4, 442608, 12208.51, 0, 0.00, 1: 82; 2: 45; 3: 5; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,   4,  5, 11,  199, 1, 4, 434774, 12208.51, 82, 0.00, 1: 82; 2: 43; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 768,  8,  7,  199, 1, 4, 442727, 12208.51, 33, 0.00, 1: 82; 2: 43; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 680,  8,  7,  199, 1, 4, 442562, 12208.51, 30, 0.00, 1: 84; 2: 39; 3: 11; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 681,  4, 14,  199, 1, 4, 442773, 12208.51, 0, 0.00, 1: 82; 2: 43; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 641,  5, 13,  199, 1, 4, 499904, 12208.51, 0, 0.00, 1: 82; 2: 43; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 198,  5, 11,  199, 1, 4, 434828, 12208.51, 0, 0.00, 1: 84; 2: 39; 3: 11; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 726,  6, 10,  199, 1, 4, 470584, 12208.51, 0, 0.00, 1: 80; 2: 47; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  10,  5, 11,  199, 1, 4, 434891, 12208.51, 20, 0.00, 1: 78; 2: 51; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 796,  5, 13,  199, 1, 4, 499422, 12208.51, 6, 0.00, 1: 84; 2: 39; 3: 11; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 891,  9,  6,  199, 1, 4, 427869, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 7; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 895,  5, 11,  199, 1, 4, 434854, 12208.51, 0, 0.00, 1: 82; 2: 43; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 930,  9,  6,  199, 1, 4, 427869, 12208.51, 0, 0.00, 1: 79; 2: 49; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 142,  5, 11,  199, 1, 4, 434892, 12208.51, 0, 0.00, 1: 81; 2: 45; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 124,  6,  9,  199, 1, 4, 427869, 12208.51, 5, 0.00, 1: 82; 2: 43; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 922,  5, 12,  199, 1, 4, 470099, 12208.51, 0, 0.00, 1: 86; 2: 35; 3: 13; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 823,  7,  8,  199, 1, 4, 442787, 12208.51, 0, 0.00, 1: 80; 2: 48; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 579,  6, 10,  199, 1, 4, 469994, 12208.51, 0, 0.00, 1: 86; 2: 36; 3: 11; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 448,  6, 10,  199, 1, 4, 469687, 12208.51, 18, 0.00, 1: 83; 2: 44; 3: 4; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 378,  6,  9,  199, 1, 4, 427869, 12208.51, 0, 0.00, 1: 85; 2: 38; 3: 10; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 635,  5, 13,  199, 1, 4, 500249, 12208.51, 0, 0.00, 1: 85; 2: 39; 3: 8; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 336,  5, 11,  199, 1, 4, 434770, 12208.51, 12, 0.00, 1: 82; 2: 45; 3: 5; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 629,  5, 11,  199, 1, 4, 434774, 12208.51, 0, 0.00, 1: 83; 2: 42; 3: 8; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 429,  5, 12,  199, 1, 4, 470818, 12208.51, 0, 0.00, 1: 83; 2: 43; 3: 6; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 462,  9,  6,  199, 1, 4, 427869, 12208.51, 0, 0.00, 1: 81; 2: 45; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 465,  4, 14,  199, 1, 4, 442621, 12208.51, 0, 0.00, 1: 82; 2: 43; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 606,  8,  7,  199, 1, 4, 442736, 12208.51, 0, 0.00, 1: 79; 2: 49; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  94,  8,  7,  199, 1, 4, 442442, 12208.51, 0, 0.00, 1: 83; 2: 42; 3: 8; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 360,  5, 12,  199, 1, 4, 470278, 12208.51, 14, 0.00, 1: 82; 2: 46; 3: 3; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 318,  5, 11,  199, 1, 4, 434628, 12208.51, 0, 0.00, 1: 79; 2: 49; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 552,  8,  7,  199, 1, 4, 442495, 12208.51, 23, 0.00, 1: 80; 2: 47; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  81,  5, 11,  199, 1, 4, 434823, 12208.51, 0, 0.00, 1: 79; 2: 49; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 533,  6, 10,  199, 1, 4, 470556, 12208.51, 0, 0.00, 1: 81; 2: 46; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 232,  8,  7,  199, 1, 4, 442757, 12208.51, 7, 0.00, 1: 82; 2: 47; 3: 1; 4: 5; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  89,  7,  8,  199, 1, 4, 442742, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 7; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 515,  6,  9,  199, 1, 4, 427869, 12208.51, 0, 0.00, 1: 82; 2: 44; 3: 7; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 496,  9,  6,  199, 1, 4, 427869, 12208.51, 21, 0.00, 1: 85; 2: 39; 3: 8; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 495,  5, 12,  199, 1, 4, 470549, 12208.51, 0, 0.00, 1: 83; 2: 42; 3: 8; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 488,  5, 13,  199, 1, 4, 499581, 12208.51, 20, 0.00, 1: 83; 2: 42; 3: 8; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 652,  5, 13,  199, 1, 4, 499002, 12208.51, 41, 0.00, 1: 83; 2: 41; 3: 10; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 212,  5, 11,  199, 1, 4, 434872, 12208.51, 1, 0.00, 1: 85; 2: 37; 3: 12; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 340,  7,  8,  199, 1, 4, 442527, 12208.51, 37, 0.00, 1: 79; 2: 49; 3: 6; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 439,  5, 13,  199, 1, 4, 498790, 12208.51, 0, 0.00, 1: 80; 2: 47; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 352,  7,  8,  199, 1, 4, 442378, 12208.51, 14, 0.00, 1: 78; 2: 51; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 649,  5, 11,  199, 1, 4, 434864, 12208.51, 0, 0.00, 1: 86; 2: 38; 3: 7; 4: 4; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 137,  7,  8,  200, 1, 4, 442824, 12208.51, 0, 0.00, 1: 84; 2: 40; 3: 8; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  74,  5, 12,  200, 1, 4, 470758, 12208.51, 0, 0.00, 1: 80; 2: 47; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 613,  6, 10,  200, 1, 4, 470507, 12208.51, 0, 0.00, 1: 76; 2: 54; 3: 4; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 387,  4, 14,  200, 1, 4, 442399, 12208.51, 0, 0.00, 1: 80; 2: 47; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 871,  6,  9,  200, 1, 4, 427869, 12208.51, 0, 0.00, 1: 84; 2: 38; 3: 12; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 920,  8,  7,  200, 1, 4, 442729, 12208.51, 41, 0.00, 1: 81; 2: 44; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 470,  8,  7,  200, 1, 4, 442575, 12208.51, 0, 0.00, 1: 81; 2: 44; 3: 9; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 776,  6,  9,  200, 1, 4, 427869, 12208.51, 34, 0.00, 1: 79; 2: 48; 3: 7; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 229,  7,  8,  200, 1, 4, 442273, 12208.51, 0, 0.00, 1: 85; 2: 38; 3: 9; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 508,  5, 11,  200, 1, 4, 434714, 12208.51, 24, 0.00, 1: 77; 2: 52; 3: 5; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  79,  7,  8,  200, 1, 4, 442764, 12208.51, 0, 0.00, 1: 83; 2: 41; 3: 9; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 269,  4, 14,  200, 1, 4, 442250, 12208.51, 0, 0.00, 1: 85; 2: 38; 3: 9; 4: 3; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 139,  7,  8,  200, 1, 4, 442594, 12208.51, 0, 0.00, 1: 79; 2: 49; 3: 5; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 672,  6,  9,  200, 1, 4, 427869, 12208.51, 29, 0.00, 1: 80; 2: 47; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 156,  5, 13,  200, 1, 4, 499350, 12208.51, 1, 0.00, 1: 81; 2: 45; 3: 7; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio,  37,  8,  7,  200, 1, 4, 442752, 12208.51, 0, 0.00, 1: 80; 2: 46; 3: 8; 4: 1; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 581,  6, 10,  200, 1, 4, 469988, 12208.51, 0, 0.00, 1: 80; 2: 47; 3: 6; 4: 2; 
B_bronchiseptica_and_T_retortaeformis_coinfectio, 974,  9,  6,  200, 1, 4, 427869, 12208.51, 0, 0.00, 1: 80; 2: 46; 3: 8; 4: 1; 
