Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
03(220)
Melhor resultado nxn: IGVH_mutations_in_chronic_lymphocytic_leukemia, 292, 10, 10,  185, 1, 3, 796125, 18030.87, 9, 0.00, 1: 120; 2: 25; 3: 5; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 495, 12,  8,  193, 1, 4, 764436, 18030.87, 0, 0.00, 1: 116; 2: 27; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 586,  8, 12,  193, 1, 4, 764466, 18030.87, 0, 0.00, 1: 112; 2: 34; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 193,  8, 12,  193, 1, 4, 764495, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 967,  6, 18,  193, 1, 4, 845285, 18030.87, 0, 0.00, 1: 116; 2: 29; 3: 1; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 521,  7, 15,  193, 1, 4, 826966, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 947,  8, 12,  193, 1, 4, 764524, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 600,  7, 14,  193, 1, 4, 780916, 18030.87, 49, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 602, 10, 10,  193, 1, 4, 796019, 18030.87, 0, 0.00, 1: 114; 2: 31; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 755,  8, 12,  193, 1, 4, 764610, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 912,  8, 12,  193, 1, 4, 764451, 18030.87, 85, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 993,  7, 15,  193, 1, 4, 827238, 18030.87, 0, 0.00, 1: 117; 2: 25; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 371,  7, 15,  193, 1, 4, 827721, 18030.87, 0, 0.00, 1: 114; 2: 31; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  80, 12,  8,  193, 1, 4, 764341, 18030.87, 12, 0.00, 1: 112; 2: 34; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 120,  6, 16,  193, 1, 4, 764345, 18030.87, 17, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  93,  7, 13,  193, 1, 4, 728910, 18030.87, 0, 0.00, 1: 112; 2: 34; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 846, 10, 10,  193, 1, 4, 795130, 18030.87, 0, 0.00, 1: 116; 2: 26; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 704,  9, 11,  193, 1, 4, 786651, 18030.87, 59, 0.00, 1: 116; 2: 26; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 754,  7, 14,  193, 1, 4, 780688, 18030.87, 0, 0.00, 1: 117; 2: 26; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  60,  7, 14,  193, 1, 4, 780907, 18030.87, 73, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 884, 12,  8,  193, 1, 4, 764593, 18030.87, 18, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  47,  8, 12,  193, 1, 4, 764627, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 779,  7, 14,  193, 1, 4, 780654, 18030.87, 0, 0.00, 1: 118; 2: 23; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 291, 11,  9,  193, 1, 4, 786329, 18030.87, 0, 0.00, 1: 114; 2: 31; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 689,  7, 14,  193, 1, 4, 780631, 18030.87, 0, 0.00, 1: 116; 2: 27; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 318,  7, 14,  193, 1, 4, 780372, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 395,  9, 11,  193, 1, 4, 786248, 18030.87, 0, 0.00, 1: 115; 2: 29; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 104, 12,  8,  193, 1, 4, 764679, 18030.87, 14, 0.00, 1: 114; 2: 30; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 934, 11,  9,  193, 1, 4, 786299, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 673, 11,  9,  193, 1, 4, 786326, 18030.87, 0, 0.00, 1: 112; 2: 34; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 772, 12,  8,  193, 1, 4, 764338, 18030.87, 38, 0.00, 1: 113; 2: 33; 3: 2; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 833,  8, 12,  194, 1, 4, 764587, 18030.87, 0, 0.00, 1: 116; 2: 25; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 782,  7, 13,  194, 1, 4, 728910, 18030.87, 0, 0.00, 1: 116; 2: 25; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 914,  8, 12,  194, 1, 4, 764055, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 785,  6, 17,  194, 1, 4, 805516, 18030.87, 0, 0.00, 1: 117; 2: 24; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  86,  7, 14,  194, 1, 4, 781236, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 227,  6, 16,  194, 1, 4, 764429, 18030.87, 0, 0.00, 1: 111; 2: 35; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 825,  6, 17,  194, 1, 4, 805035, 18030.87, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 828,  8, 12,  194, 1, 4, 764377, 18030.87, 16, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 607, 10, 10,  194, 1, 4, 795593, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 499,  7, 14,  194, 1, 4, 780414, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 845,  7, 15,  194, 1, 4, 827539, 18030.87, 0, 0.00, 1: 111; 2: 35; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 858,  7, 15,  194, 1, 4, 827436, 18030.87, 0, 0.00, 1: 118; 2: 22; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 881,  7, 13,  194, 1, 4, 728910, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 494,  9, 11,  194, 1, 4, 786655, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 482,  9, 11,  194, 1, 4, 785312, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  46,  9, 11,  194, 1, 4, 786016, 18030.87, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 475, 12,  8,  194, 1, 4, 764551, 18030.87, 0, 0.00, 1: 117; 2: 23; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 668, 12,  8,  194, 1, 4, 764589, 18030.87, 38, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 130,  7, 13,  194, 1, 4, 728910, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 158,  7, 15,  194, 1, 4, 827483, 18030.87, 0, 0.00, 1: 117; 2: 25; 3: 5; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 931,  7, 13,  194, 1, 4, 728910, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  28, 11,  9,  194, 1, 4, 786134, 18030.87, 98, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 149, 10, 10,  194, 1, 4, 795414, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 937,  9, 11,  194, 1, 4, 785736, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 697,  7, 14,  194, 1, 4, 780623, 18030.87, 0, 0.00, 1: 116; 2: 27; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 637, 11,  9,  194, 1, 4, 786156, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 700,  7, 15,  194, 1, 4, 827152, 18030.87, 88, 0.00, 1: 115; 2: 29; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 172, 10, 10,  194, 1, 4, 795755, 18030.87, 23, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 148,  9, 11,  194, 1, 4, 786523, 18030.87, 63, 0.00, 1: 111; 2: 35; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 147,  6, 17,  194, 1, 4, 805628, 18030.87, 0, 0.00, 1: 118; 2: 23; 3: 6; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 146,  9, 11,  194, 1, 4, 785834, 18030.87, 0, 0.00, 1: 116; 2: 25; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 707,  6, 18,  194, 1, 4, 845811, 18030.87, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 134,  6, 16,  194, 1, 4, 764772, 18030.87, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  39,  8, 12,  194, 1, 4, 764493, 18030.87, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 186,  7, 13,  194, 1, 4, 728910, 18030.87, 0, 0.00, 1: 116; 2: 25; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 718,  7, 14,  194, 1, 4, 781175, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 719,  7, 14,  194, 1, 4, 780195, 18030.87, 0, 0.00, 1: 112; 2: 34; 3: 2; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 720,  7, 14,  194, 1, 4, 781016, 18030.87, 65, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 721,  9, 11,  194, 1, 4, 786366, 18030.87, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 732,  6, 18,  194, 1, 4, 846758, 18030.87, 34, 0.00, 1: 118; 2: 22; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 736,  7, 15,  194, 1, 4, 827023, 18030.87, 67, 0.00, 1: 116; 2: 27; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 107,  6, 17,  194, 1, 4, 804287, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 748,  7, 13,  194, 1, 4, 728910, 18030.87, 90, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 950,  8, 12,  194, 1, 4, 763901, 18030.87, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 953,  7, 15,  194, 1, 4, 827321, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 954,  8, 12,  194, 1, 4, 764557, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 762,  7, 15,  194, 1, 4, 827743, 18030.87, 0, 0.00, 1: 115; 2: 29; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  11,  8, 12,  194, 1, 4, 764479, 18030.87, 158, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 456, 11,  9,  194, 1, 4, 786315, 18030.87, 43, 0.00, 1: 115; 2: 27; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 411,  7, 14,  194, 1, 4, 780335, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 442,  7, 14,  194, 1, 4, 780538, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 363,  8, 12,  194, 1, 4, 764394, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 361,  7, 15,  194, 1, 4, 826104, 18030.87, 0, 0.00, 1: 117; 2: 24; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 367,  9, 11,  194, 1, 4, 786564, 18030.87, 0, 0.00, 1: 116; 2: 26; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 294, 10, 10,  194, 1, 4, 795598, 18030.87, 0, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 407,  7, 15,  194, 1, 4, 826844, 18030.87, 0, 0.00, 1: 117; 2: 24; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 382,  8, 12,  194, 1, 4, 764521, 18030.87, 0, 0.00, 1: 114; 2: 29; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 269,  7, 13,  194, 1, 4, 728910, 18030.87, 0, 0.00, 1: 117; 2: 23; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 338, 10, 10,  194, 1, 4, 796221, 18030.87, 0, 0.00, 1: 115; 2: 29; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 372,  8, 12,  194, 1, 4, 764358, 18030.87, 37, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 401, 10, 10,  194, 1, 4, 796205, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 468,  7, 14,  194, 1, 4, 780719, 18030.87, 54, 0.00, 1: 115; 2: 28; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 300, 10, 10,  194, 1, 4, 795844, 18030.87, 31, 0.00, 1: 113; 2: 31; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 529,  6, 17,  195, 1, 4, 805192, 18030.87, 0, 0.00, 1: 117; 2: 24; 3: 6; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 113,  7, 14,  195, 1, 4, 780579, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 425,  8, 12,  195, 1, 4, 764656, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 750,  7, 15,  195, 1, 4, 826696, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 542,  8, 12,  195, 1, 4, 764393, 18030.87, 0, 0.00, 1: 114; 2: 28; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 290,  8, 12,  195, 1, 4, 764326, 18030.87, 0, 0.00, 1: 113; 2: 30; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 110,  7, 15,  195, 1, 4, 827385, 18030.87, 0, 0.00, 1: 111; 2: 34; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 815,  7, 15,  195, 1, 4, 826239, 18030.87, 0, 0.00, 1: 111; 2: 34; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 261,  7, 14,  195, 1, 4, 780777, 18030.87, 0, 0.00, 1: 115; 2: 26; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 739,  6, 16,  195, 1, 4, 764287, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 520,  7, 15,  195, 1, 4, 826206, 18030.87, 48, 0.00, 1: 116; 2: 26; 3: 5; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 909, 11,  9,  195, 1, 4, 786438, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 553,  6, 16,  195, 1, 4, 764351, 18030.87, 0, 0.00, 1: 115; 2: 26; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 570,  8, 12,  195, 1, 4, 764672, 18030.87, 0, 0.00, 1: 114; 2: 28; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  97,  8, 12,  195, 1, 4, 764565, 18030.87, 0, 0.00, 1: 111; 2: 35; 3: 2; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  96, 12,  8,  195, 1, 4, 764439, 18030.87, 14, 0.00, 1: 113; 2: 30; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  94, 12,  8,  195, 1, 4, 764376, 18030.87, 0, 0.00, 1: 111; 2: 34; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  92,  7, 15,  195, 1, 4, 828167, 18030.87, 42, 0.00, 1: 115; 2: 28; 3: 4; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 951,  7, 14,  195, 1, 4, 780296, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 2; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 791,  7, 14,  195, 1, 4, 781389, 18030.87, 0, 0.00, 1: 113; 2: 30; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  40, 11,  9,  195, 1, 4, 786106, 18030.87, 7, 0.00, 1: 113; 2: 30; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  90, 12,  8,  195, 1, 4, 764425, 18030.87, 0, 0.00, 1: 114; 2: 28; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 814,  7, 13,  195, 1, 4, 728910, 18030.87, 0, 0.00, 1: 117; 2: 23; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 437,  7, 14,  195, 1, 4, 780718, 18030.87, 0, 0.00, 1: 114; 2: 28; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,   5,  7, 15,  195, 1, 4, 826200, 18030.87, 127, 0.00, 1: 115; 2: 27; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 211, 10, 10,  195, 1, 4, 796201, 18030.87, 0, 0.00, 1: 110; 2: 36; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 347,  7, 15,  195, 1, 4, 827758, 18030.87, 0, 0.00, 1: 116; 2: 25; 3: 7; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  37,  6, 18,  195, 1, 4, 846119, 18030.87, 0, 0.00, 1: 117; 2: 25; 3: 4; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 948,  6, 18,  195, 1, 4, 846535, 18030.87, 1, 0.00, 1: 117; 2: 23; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 738,  6, 16,  195, 1, 4, 764566, 18030.87, 0, 0.00, 1: 114; 2: 30; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 540,  7, 15,  195, 1, 4, 826925, 18030.87, 10, 0.00, 1: 114; 2: 28; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 106, 12,  8,  195, 1, 4, 764366, 18030.87, 0, 0.00, 1: 113; 2: 31; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 879,  7, 15,  195, 1, 4, 825809, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  62,  7, 14,  195, 1, 4, 781132, 18030.87, 0, 0.00, 1: 111; 2: 34; 3: 4; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 928,  7, 15,  195, 1, 4, 825327, 18030.87, 86, 0.00, 1: 113; 2: 30; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  57,  7, 13,  195, 1, 4, 728910, 18030.87, 0, 0.00, 1: 112; 2: 34; 3: 1; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 464,  7, 13,  195, 1, 4, 728910, 18030.87, 43, 0.00, 1: 114; 2: 28; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 644, 12,  8,  195, 1, 4, 764339, 18030.87, 54, 0.00, 1: 114; 2: 28; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 645,  6, 16,  195, 1, 4, 764691, 18030.87, 0, 0.00, 1: 112; 2: 32; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  53,  7, 13,  195, 1, 4, 728910, 18030.87, 0, 0.00, 1: 117; 2: 23; 3: 8; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 646, 12,  8,  195, 1, 4, 764613, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 641,  7, 13,  195, 1, 4, 728910, 18030.87, 0, 0.00, 1: 113; 2: 30; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 150,  6, 17,  195, 1, 4, 805717, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 681,  8, 12,  195, 1, 4, 764692, 18030.87, 0, 0.00, 1: 114; 2: 28; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 674,  7, 15,  195, 1, 4, 827022, 18030.87, 0, 0.00, 1: 113; 2: 30; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 658,  7, 13,  195, 1, 4, 728910, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 2; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 467,  7, 15,  195, 1, 4, 826162, 18030.87, 0, 0.00, 1: 113; 2: 32; 3: 2; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  15,  8, 12,  195, 1, 4, 763931, 18030.87, 0, 0.00, 1: 110; 2: 36; 3: 3; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 403,  6, 17,  195, 1, 4, 804454, 18030.87, 0, 0.00, 1: 116; 2: 24; 3: 9; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 404,  7, 13,  195, 1, 4, 728910, 18030.87, 39, 0.00, 1: 113; 2: 31; 3: 4; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 927,  7, 13,  195, 1, 4, 728910, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  26,  6, 17,  195, 1, 4, 804931, 18030.87, 107, 0.00, 1: 116; 2: 27; 3: 3; 4: 4; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 907,  7, 13,  195, 1, 4, 728910, 18030.87, 0, 0.00, 1: 114; 2: 28; 3: 7; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 391,  7, 15,  195, 1, 4, 826213, 18030.87, 0, 0.00, 1: 115; 2: 26; 3: 8; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  71,  8, 12,  195, 1, 4, 764492, 18030.87, 0, 0.00, 1: 112; 2: 32; 3: 5; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 983, 10, 10,  195, 1, 4, 796073, 18030.87, 0, 0.00, 1: 115; 2: 27; 3: 6; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 617,  8, 12,  195, 1, 4, 764514, 18030.87, 0, 0.00, 1: 112; 2: 34; 3: 1; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 710,  8, 12,  195, 1, 4, 764212, 18030.87, 0, 0.00, 1: 114; 2: 29; 3: 5; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 623, 11,  9,  195, 1, 4, 786339, 18030.87, 0, 0.00, 1: 112; 2: 33; 3: 3; 4: 2; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 676,  7, 15,  196, 1, 4, 826969, 18030.87, 62, 0.00, 1: 112; 2: 31; 3: 6; 4: 1; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 568,  7, 13,  196, 1, 4, 728910, 18030.87, 48, 0.00, 1: 113; 2: 31; 3: 3; 4: 3; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 154,  9, 11,  196, 1, 4, 785564, 18030.87, 0, 0.00, 1: 114; 2: 28; 3: 6; 4: 2; 
